ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-12.0,7,,7.899999999999991,7.899999999999991,100.3,0.0,92.4,0.0,Wed 11-09 11-09,H,253 (Ⅳ),UMKC,"W, 74-63",74,100.6,49.1,20.4,32.5,45.6,85.6,36.2,21.7,25.6,46.6,-0.5,-23.0,137.5,100.3,0.0,100.3,100.3,92.4,0.0,92.4,92.4,20221109,102.2,91.1,11.100000000000009,88.5,101.8,-13.299999999999995,107.888,91.6448,16.243,71.1882,-23.161228452513598,142.5867001680161,72.35900792091039,-21.15440256532179,137.14238613088432,-17.1146856208872,137.14238613088432,-21.15440256532179,137.14238613088432,-17.1146856208872,131.98169248203064,-20.482007155256028,93.0848,103.763,-10.678,71.4562,102.2,91.1,11.100000000000009,88.5,101.8,-13.299999999999995,-17.1146856208872,131.98169248203064,0,101.4800938,79.74591052,21.73418328000001,28.85616141,97.48320084,98.96346802,-1.4802671799999985,-1.750300992,2022-11-09,132.3200484859388,-24.447174219175622,132.3200484859388,-19.659363580047987,132.3200484859388,0.0,0.0,0.0,-9.242999999999999,-9.242999999999999,0.0,0.0,-9.242999999999999,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,3,0.9857551401446322,0.9744516850244741,-8.343000000000007,,0.0,-9.242999999999999,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-9.5,0,,5.333333333333329,6.499999999999993,88.3,0.0,88.1,0.0,Sat 11-12 11-12,H,314 (Ⅳ),Arkansas St.,"W, 61-52",64,94.9,47.1,20.2,24.2,31.4,80.9,43.0,24.9,27.8,7.0,-27.5,-18.5,140.5,94.3,100.3,96.3,98.1181818181818,90.25,92.4,90.96666666666668,91.6181818181818,20221112,102.7,92.2,10.5,94.7,101.7,-7.0,107.816,92.6459,15.1696,71.6144,-21.73256721992184,147.13872831987467,73.44265552887626,-16.893988983328313,144.33688467146084,-14.675200559624189,144.33688467146084,-16.893988983328313,144.33688467146084,-14.675200559624189,126.40465205630113,-19.448802073949906,95.2635,104.228,-8.96453,72.0947,102.7,92.2,10.5,94.7,101.7,-7.0,-14.675200559624189,126.40465205630113,0,101.4800938,79.74591052,21.73418328000001,28.85616141,98.18236511,97.78278077,0.3995843400000041,0.504245776,2022-11-12,133.73048870742429,-23.180676967685628,133.73048870742429,-14.94484597357102,133.73048870742429,0.0,0.0,0.0,-15.1696,-24.412599999999998,-9.242999999999999,-9.242999999999999,-15.169599999999999,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.9609573050315723,0.9680062442819334,-9.836266666666672,,-8.343000000000007,-12.206299999999999,-9.242999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
4.5,18,8.999999999999995,9.85555555555555,8.754545454545447,112.6,100.4,93.7,91.4,Thu 11-17 11-17,H,335 (Ⅳ),New Orleans,"W, 91-62",73,124.8,62.1,19.2,37.5,44.8,85.0,53.0,31.5,27.3,40.0,4.0,-24.5,149.0,103.45,94.3,101.73333333333336,100.75123966942148,91.975,90.25,91.8777777777778,91.99669421487602,20221117,102.1,92.2,9.899999999999991,92.9,106.5,-13.599999999999994,106.955,92.7345,14.2203,69.5853,-24.558214480537274,148.49900204538142,73.8889973807966,-21.543529120729417,147.3037275530495,-27.403829336870967,147.3037275530495,-21.543529120729417,147.3037275530495,-27.403829336870967,124.80003443354289,-11.803284243877314,93.4922,107.021,-13.5293,74.6479,102.1,92.2,9.899999999999991,92.9,106.5,-13.599999999999994,-27.6143528081956,124.99060154163311,0,98.40036273,100.3460749,-1.9457121700000073,-8.763213789,89.26693226,101.5236558,-12.256723539999996,-3.139936934,2022-11-17,143.32200575678422,2.2092226236069052,143.32200575678422,-15.973027897791077,143.32200575678422,9.836266666666667,-9.836266666666667,0.0,3.7797,-20.6329,-14.299533333333333,-24.412599999999998,-6.333366666666667,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.9901846713713547,0.869519428809403,-4.364744444444449,-5.220300000000005,-9.836266666666672,-6.877633333333332,-12.206299999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
3.5,21,13.666666666666666,13.87037037037037,11.144628099173548,103.9,101.59999999999998,82.0,87.93333333333334,Mon 11-21 11-21,N,283 (Ⅳ),Illinois St.,"W, 77-61",75,102.7,51.9,24.0,30.0,56.6,81.4,47.1,25.4,13.3,26.9,2.5,-12.5,135.5,103.675,103.45,102.45555555555558,101.32374154770848,86.9875,91.975,88.5851851851852,90.17911344853492,20221121,103.4,93.0,10.400000000000006,100.2,104.3,-4.099999999999994,107.959,93.5576,14.4019,69.1573,-14.062977270982003,132.23727097865643,64.99084320497867,-9.772130940832113,134.0031501428051,-9.75436787530353,134.0031501428051,-9.772130940832113,134.0031501428051,-9.75436787530353,123.86476906397482,-6.877267674153551,97.6625,104.778,-7.11592,66.0647,103.4,93.0,10.400000000000006,100.2,104.3,-4.099999999999994,-9.774828299028071,123.64267291311894,0,97.44148272,93.89758279,3.543899929999995,-0.103169312,95.36382697,102.4837032,-7.1198762299999885,-6.523003602,2022-11-21,126.25338832008106,-4.172304437433361,126.25338832008106,-9.458093340937872,126.25338832008106,5.40272970370371,-5.525542592592597,-0.12281288888888664,6.5981000000000005,-14.034799999999999,-16.410655555555557,-20.6329,2.3758555555555585,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.8830703586536275,0.7437590000211908,-0.5315296296296292,-0.7352333333333334,-4.364744444444449,-3.5086999999999993,-6.877633333333332,-1,-1.0,1,-1,-1,-1,-3.0,-3.0
11.0,19,20.03333333333333,15.680246913580246,12.6274229902329,118.0,111.5,98.7,91.46666666666664,Tue 11-22 11-22,N,126 (Ⅲ),Akron,"W, 73-58",62,116.9,56.7,16.0,32.0,30.8,92.9,33.3,22.4,45.2,55.6,-3.0,-4.0,134.0,110.8375,103.675,107.63703703703706,104.3557885390342,92.84375,86.9875,91.9567901234568,91.72836554880128,20221122,103.5,92.0,11.5,104.9,100.2,4.700000000000003,107.434,92.9473,14.4865,70.9261,-5.502858626397817,130.509838038491,64.45134410583216,-4.760032101670497,132.3836403994944,-7.340175369462292,132.3836403994944,-4.760032101670497,132.3836403994944,-7.340175369462292,128.24322554748304,-2.934381396398976,104.858,98.7056,6.15276,63.8824,103.5,92.0,11.5,104.9,100.2,4.700000000000003,-7.415513449830338,128.4102807892209,0,99.14278935,93.67431623,5.468473119999999,1.700759787,104.2366556,102.9635022,1.2731534000000124,-6.687646624,2022-11-22,132.05889664005903,-5.406440680949288,132.05889664005903,-7.2130602401701225,132.05889664005903,-1.014110481481481,-1.4329951851851899,-2.447105666666671,4.5135000000000005,-9.521299999999998,-15.618703703703705,-14.034799999999999,6.097403703703707,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,-3,0.6483807083005341,0.6100559625019188,1.193746913580247,5.546833333333332,-0.5315296296296292,-1.904259999999999,-3.5086999999999993,1,-1.0,1,-1,-1,1,-1.0,-3.0
-0.5,16,19.3,16.020164609053495,13.36789153746328,97.1,106.33333333333331,80.4,87.03333333333335,Wed 11-23 11-23,N,23 (I-A),Kansas St.,"L, 61-59",67,87.7,49.1,25.3,29.0,26.4,90.6,45.8,25.3,27.6,43.8,-16.5,1.5,136.5,103.96875,110.8375,104.1246913580247,103.0365542592098,86.621875,92.84375,88.10452674897121,89.66866272174651,20221123,104.4,92.3,12.100000000000009,110.5,93.4,17.099999999999994,108.3,92.7828,15.5168,70.8366,-1.4740273141323428,140.94741797986222,70.49390401621623,3.2329395861719235,143.90660293064235,6.286218970706906,143.90660293064235,3.2329395861719235,143.90660293064235,6.286218970706906,134.74353209289694,7.080868202462696,107.154,93.7414,13.4125,69.9599,104.4,92.3,12.100000000000009,110.5,93.4,17.099999999999994,6.283809040151228,134.66188064522558,0,97.84012842,95.73468406,2.105444359999993,-1.760036677,103.1793585,90.92594275,12.253415750000002,15.73472829,2022-11-23,135.42329561287,12.332742823699604,135.42329561287,5.900476526817627,135.42329561287,10.351456860670195,1.9848272663139301,12.336284126984125,0.4832000000000001,-9.038099999999998,-13.586235802469137,-9.521299999999998,4.5481358024691385,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.4432015031835318,0.2500385637529653,0.5033646090534951,3.783200000000001,1.193746913580247,-1.5063499999999994,-1.904259999999999,1,1.0,1,-1,-1,1,1.0,-1.0
-9.5,-3,10.733333333333327,9.413443072702332,10.246456712469955,108.3,107.8,112.1,97.06666666666668,Sun 11-27 11-27,H,225 (Ⅳ),Wofford,"W, 78-75",67,117.0,60.4,16.5,19.2,32.1,112.5,57.8,19.5,30.0,15.5,16.5,-12.5,136.5,106.134375,103.96875,105.5164609053498,103.99354439389892,99.3609375,86.621875,96.10301783264748,93.74708768142897,20221127,103.7,91.4,12.299999999999995,103.1,106.4,-3.300000000000012,107.659,92.8764,14.7831,69.5379,-13.458335936157532,136.42329644927193,64.28724451237554,-14.401495420585746,135.25314731454154,-18.011647613023648,135.25314731454154,-14.401495420585746,135.25314731454154,-18.011647613023648,138.72203594400287,-6.706507971835251,106.447,105.836,0.610269,64.9918,103.7,91.4,12.299999999999995,103.1,106.4,-3.300000000000012,-17.276809923564517,138.75273336621723,0,97.02717,95.94158214,1.085587860000004,-2.147808455,107.512084,110.7112182,-3.199134200000003,-1.460087601,2022-11-27,138.99189926460798,-1.3254542219431187,138.99189926460798,-16.514394599398152,138.99189926460798,-7.320114936801894,1.5807102145796605,-5.7394047222222335,-17.783099999999997,-26.821199999999997,-12.070190534979425,-9.038099999999998,-14.751009465020573,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.8830703586536275,0.7384958382246487,-5.369656927297667,-4.049766666666672,0.5033646090534951,-3.8316000000000017,-1.5063499999999994,-1,1.0,-1,-1,-1,-3,1.0,1.0
-15.0,0,4.033333333333331,6.008962048468223,8.23801003747542,96.5,100.63333333333333,97.3,96.6,Fri 12-02 12-02,H,273 (Ⅳ),UT Arlington,"W, 63-59",64,99.1,48.0,20.4,33.3,41.2,92.8,41.4,14.2,32.6,17.2,-10.0,-19.0,132.0,101.3171875,106.134375,102.51097393689987,102.63108177682638,98.33046875,99.3609375,96.50201188843168,94.39307173935096,20221202,104.3,93.1,11.200000000000005,91.4,101.4,-10.0,107.591,93.9452,13.646,69.6561,-19.35520949801532,129.0812406431244,66.26593860384068,-17.670859982106045,130.05828122136967,-21.473918947785034,130.05828122136967,-17.670859982106045,130.05828122136967,-21.473918947785034,125.06306361072832,-8.88515156750396,91.1018,101.75,-10.6478,66.8785,104.3,93.1,11.200000000000005,91.4,101.4,-10.0,-18.91304405925113,121.92738430132847,0,96.52823238,97.48972272,-0.9614903399999974,-4.605031994,87.76844101,96.99424239,-9.225801379999993,-5.7595234,2022-12-02,121.8957173053492,-2.524326468398833,121.8957173053492,-17.65358147723188,121.8957173053492,1.4642165066300894,-3.442593490757071,-1.9783769841269816,-13.646,-40.4672,-16.987193689986285,-26.821199999999997,-23.480006310013714,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9648151676951044,0.8012807786678586,-7.637037951531778,-9.61266666666667,-5.369656927297667,-5.058399999999999,-3.8316000000000017,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
4.0,8,1.4333333333333325,6.97264136564548,8.358371848843523,103.1,102.63333333333333,94.2,101.2,Sat 12-10 12-10,N,68 (Ⅱ),Wake Forest,"W, 72-70",69,104.9,51.6,10.2,23.7,23.4,102.0,55.5,21.8,27.6,23.6,-0.5,2.0,142.5,102.20859375,101.3171875,102.70731595793326,102.7163396355852,96.265234375,98.33046875,95.73467459228776,94.35796778674168,20221210,104.7,94.4,10.299999999999995,108.1,97.5,10.599999999999994,107.23,95.0868,12.1431,68.9845,-1.6779213784774214,142.49079778738474,68.90050180369843,-0.02546774243894845,144.00837256355203,0.27470908413450623,144.00837256355203,-0.02546774243894845,144.00837256355203,0.27470908413450623,142.64565934091007,3.182968882320111,108.003,98.0547,9.94812,70.2144,104.7,94.4,10.299999999999995,108.1,97.5,10.599999999999994,0.5165470483107879,136.84274556114104,0,96.70793426,99.18568904,-2.477754779999998,-8.526832763,100.9248007,98.84521568,2.0795850200000103,4.258469797,2022-12-10,138.0578276187914,8.809137620961096,138.0578276187914,3.435992339190932,138.0578276187914,8.959552727850049,-7.43100507163541,1.5285476562146378,-4.1431000000000004,-44.610299999999995,-24.813862459990858,-40.4672,-19.796437540009137,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.4244679994402739,0.3808916264683119,-5.17045863435452,-10.709766666666669,-7.637037951531778,-4.9567,-5.058399999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-4.0,10,6.099999999999999,8.048427577096987,8.693213330871973,98.0,99.2,87.8,93.1,Tue 12-13 12-13,H,212 (Ⅳ),North Carolina Central,"W, 67-57",68,98.3,44.4,16.1,35.7,28.6,83.6,50.0,20.5,11.8,14.5,-17.5,-14.0,141.5,100.104296875,102.20859375,101.13821063862218,101.8588233382061,92.0326171875,96.265234375,93.0897830615252,93.16561000733412,20221213,104.1,94.5,9.599999999999994,101.0,106.7,-5.700000000000003,107.138,95.3458,11.7922,68.8879,-14.52671134059532,139.63260197449821,67.10808360213372,-14.72608339155343,142.34051663386225,-9.901429390449993,142.34051663386225,-14.72608339155343,142.34051663386225,-9.901429390449993,141.3346282653833,-0.595501014159197,101.061,104.788,-3.72735,68.4837,104.1,94.5,9.599999999999994,101.0,106.7,-5.700000000000003,-10.62129982232793,137.99476766803906,0,97.01957601,98.10223655,-1.0826605400000062,-7.317958925,103.2416834,99.57617048,3.6655129199999976,5.067439738,2022-12-13,136.01481195817118,6.453721272528767,136.01481195817118,-4.3005794240681325,136.01481195817118,13.378622029389845,-7.681384123909411,5.697237905480435,-1.7921999999999993,-46.402499999999996,-31.41267497332724,-44.610299999999995,-14.989825026672758,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9087887802741321,0.5226136414812721,-3.743772422903012,-5.692200000000001,-5.17045863435452,-4.64025,-4.9567,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
