ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
2.5,-13,,-13.100000000000009,-13.100000000000009,111.1,0.0,124.2,0.0,Mon 11-07 11-07,A,82 (Ⅱ),Villanova,"L, 81-68",62,109.0,49.1,14.4,28.6,36.4,129.9,68.3,14.4,20.8,21.2,12.0,15.5,137.0,111.1,0.0,111.1,111.1,124.2,0.0,124.2,124.2,20221107,100.1,99.0,1.1,108.9,90.3,18.6,98.6161,100.491,-1.87509,69.9619,18.81739006967385,138.6435434852809,69.0423438748222,16.239891626783013,140.4785843916187,32.574175269979776,140.4785843916187,16.239891626783013,140.4785843916187,32.574175269979776,193.59316129582655,15.183287352415384,110.915,90.9642,19.9508,69.376,100.1,99.0,1.1,108.9,90.3,18.6,32.574175269979776,193.59316129582655,0,92.52839331,101.9079577,-9.379564389999999,-9.85413328,103.2993515,96.44680728,6.852544219999999,8.943767652,2022-11-07,137.8418643305039,14.902897502471248,137.8418643305039,14.206014590995665,137.8418643305039,0.0,0.0,0.0,-11.12491,-11.12491,0.0,0.0,-11.12491,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.06994638275525245,0.07408476303665412,-11.224910000000008,,0.0,-11.12491,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
1.5,2,,-8.066666666666674,-10.35454545454546,106.1,0.0,104.1,0.0,Sat 11-12 11-12,H,317 (Ⅳ),Wagner,"W, 77-69",73,105.5,51.1,20.6,19.4,87.0,94.6,43.1,17.8,37.0,35.4,15.5,-6.5,130.5,108.6,111.1,109.43333333333334,110.19090909090907,114.15,124.2,117.5,120.54545454545452,20221112,101.0,100.0,1.0,95.5,100.2,-4.700000000000003,99.4273,101.372,-1.94448,70.0387,-7.724293439277659,138.4902378819622,69.63430870085348,-7.9908061319870995,140.3463721112048,12.958961821708169,140.3463721112048,-7.9908061319870995,140.3463721112048,12.958961821708169,171.09929866928948,8.652921631316218,95.7493,103.21,-7.46093,69.8941,101.0,100.0,1.0,95.5,100.2,-4.700000000000003,12.958961821708169,171.09929866928948,0,92.52839331,101.9079577,-9.379564389999999,-9.85413328,97.91048754,89.20225697,8.708230570000012,5.936143857,2022-11-12,129.6324207113087,9.083885390570465,129.6324207113087,-5.8828456676655065,129.6324207113087,0.0,0.0,0.0,3.94448,-7.180429999999999,-11.12491,-11.12491,3.9444800000000004,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.732057505466481,0.2049448431109464,-6.122186666666673,,-11.224910000000008,-3.590215,-11.12491,-1,-1.0,1,-1,-1,-1,-3.0,0.0
6.0,8,-0.733333333333339,-2.411111111111119,-6.853719008264469,93.8,103.66666666666669,84.9,104.4,Tue 11-15 11-15,H,218 (Ⅳ),Queens,"W, 72-60",70,103.1,46.3,12.9,28.6,19.1,85.9,45.9,34.4,40.6,36.7,-19.5,-6.0,151.5,101.2,108.6,104.22222222222224,107.21074380165288,99.525,114.15,106.63333333333334,114.06446280991734,20221115,101.7,100.5,1.2000000000000028,100.5,105.2,-4.700000000000003,99.6621,101.663,-2.00103,70.8404,-5.95835632471119,150.85927132116873,71.90119216330014,-8.684911073375602,153.096262340323,5.236473335946122,153.096262340323,-8.684911073375602,153.096262340323,5.236473335946122,177.08429808199125,-4.2453894180526675,102.46,106.952,-4.49226,71.3527,101.7,100.5,1.2000000000000028,100.5,105.2,-4.700000000000003,5.273816576707993,177.2300786433659,0,92.52839331,101.9079577,-9.379564389999999,-9.85413328,95.0,105.0,-10.0,-10.0,2022-11-15,142.666048139335,-1.9182582719137713,142.666048139335,0.5359514863852297,142.666048139335,6.12218666666667,-6.12218666666667,0.0,10.00103,2.8206000000000007,-9.810083333333335,-7.180429999999999,12.630683333333335,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.7161454169013237,0.6570123199028826,-0.4100811111111189,1.267696666666661,-6.122186666666673,0.9401999999999999,-3.590215,-1,-1.0,1,1,-1,1,-1.0,-3.0
-4.5,0,3.466666666666664,-1.7740740740740797,-5.698497370398202,92.6,97.5,93.1,94.03333333333336,Fri 11-18 11-18,N,68 (Ⅱ),Wake Forest,"L, 75-63",71,89.1,50.0,22.6,18.8,30.2,106.1,50.8,14.1,25.0,15.4,-4.5,7.5,142.5,96.9,101.2,100.34814814814816,104.55424492862508,96.3125,99.525,102.12222222222223,110.25274229902328,20221118,101.4,99.6,1.8000000000000114,104.5,95.2,9.299999999999995,99.4719,100.767,-1.29505,70.3952,7.927557662122069,143.6080220609977,71.48657593854908,5.520048349007908,146.69148989648593,8.161378452748716,146.69148989648593,5.520048349007908,146.69148989648593,8.161378452748716,145.02852764896224,5.944543339407787,105.708,95.8801,9.82772,71.3899,101.4,99.6,1.8000000000000114,104.5,95.2,9.299999999999995,8.134830792461923,144.92218616047023,0,98.44597501,101.6128412,-3.1668661900000075,0.097220097,98.36591343,93.27213372,5.093779710000007,3.467878995,2022-11-18,140.22778679744778,2.4095686327482326,140.22778679744778,8.647228037603753,140.22778679744778,-0.2717737037036998,-0.51164481481482,-0.7834185185185198,1.29505,4.1156500000000005,-5.599855555555557,2.8206000000000007,9.715505555555557,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,-3,0.23752526202697655,0.28564693287034415,-0.47902407407407965,4.761716666666664,-0.4100811111111189,1.0289125,0.9401999999999999,-1,-1.0,1,1,1,1,1.0,-1.0
-3.5,-20,-4.066666666666667,-8.049382716049385,-8.407861484871255,77.4,87.93333333333334,98.0,92.0,Sun 11-20 11-20,N,178 (Ⅳ),Georgetown,"L, 69-62",74,83.7,42.3,17.6,26.1,24.6,93.2,44.9,18.9,22.2,33.9,-13.0,3.5,144.0,87.15,96.9,92.69876543209878,99.61710948705688,97.15625,96.3125,100.74814814814818,108.02497097192813,20221120,101.9,100.2,1.7000000000000028,104.4,105.5,-1.0999999999999943,99.1607,100.613,-1.45251,70.6111,3.566446034527388,147.21748375624227,71.39485307724038,-2.1147211547837514,154.9057163107325,-3.146310464624986,154.9057163107325,-2.1147211547837514,154.9057163107325,-3.146310464624986,155.02728132054304,5.854488701880371,105.48,101.962,3.51747,71.0803,101.9,100.2,1.7000000000000028,104.4,105.5,-1.0999999999999943,-3.1450934203628624,154.89518678360247,0,93.65398795,100.1230463,-6.469058349999997,-3.602262302,104.1912435,102.8283617,1.3628817999999967,0.403035869,2022-11-20,146.51387912828565,2.8595767444908518,146.51387912828565,-2.504769428793182,146.51387912828565,-11.29461533333332,0.03433996296294595,-11.260275370370374,-18.54749,-14.43184,-2.361353703703705,4.1156500000000005,-12.070486296296295,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,3,0.36944134018176367,0.28856890302789884,-6.5968727160493845,-2.614156666666667,-0.47902407407407965,-2.886368,1.0289125,-1,-1.0,-1,-1,1,-3,1.0,1.0
-7.5,-4,-8.6,-6.932921810699591,-7.7337048512583,86.7,85.56666666666666,91.4,94.16666666666669,Sat 11-26 11-26,H,298 (Ⅳ),Binghamton,"W, 65-62",71,91.6,45.0,14.1,23.1,30.0,87.4,48.9,29.6,24.1,51.1,-11.5,-10.5,138.5,86.92500000000001,87.15,90.69917695473254,97.2685441257738,94.278125,97.15625,97.63209876543212,105.00224897703212,20221126,100.0,100.2,-0.2000000000000028,97.2,108.7,-11.5,99.0673,101.107,-2.03946,69.4209,-9.11478710543581,135.74195907155956,66.75782342645805,-11.6843549754106,141.24522944282666,-13.883273117359447,141.24522944282666,-11.6843549754106,141.24522944282666,-13.883273117359447,140.63644171181798,-7.072145712733473,96.9674,107.045,-10.0779,67.6032,100.0,100.2,-0.2000000000000028,97.2,108.7,-11.5,-13.577283434159149,140.60859421578544,0,94.15394207,99.36362621,-5.209684140000007,-1.703541683,96.04219338,106.5138259,-10.47163252,-17.9362726,2022-11-26,134.02117556525906,-12.522281323239142,134.02117556525906,-13.211338146425952,134.02117556525906,-10.042030777777782,-2.070537481481481,-12.112568259259263,-1.96054,-16.39238,-6.384849135802469,-14.43184,-10.00753086419753,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,3,0.8413447460685429,0.7496973594821337,-4.893461810699591,-6.56054,-6.5968727160493845,-2.7320633333333335,-2.886368,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-11.0,-4,-9.766666666666666,-5.955281207133061,-7.054849423756791,86.0,83.36666666666667,90.0,93.13333333333333,Wed 11-30 11-30,N,99 (Ⅲ),Temple,"L, 67-51",67,75.9,34.8,16.4,31.3,8.7,99.7,52.9,19.3,22.6,34.6,-16.5,5.0,134.5,86.4625,86.92500000000001,89.13278463648837,95.21971792108764,92.1390625,94.278125,95.08806584362144,102.27456734484444,20221130,98.5,99.2,-0.7000000000000028,106.9,98.2,8.700000000000003,97.6514,100.185,-2.5338,69.342,5.9120437196028774,131.18280890882139,65.07021716073969,6.218376810550652,135.32287223954307,6.669497509595755,135.32287223954307,6.218376810550652,135.32287223954307,6.669497509595755,125.7957571524074,6.7716674306430775,105.675,99.0661,6.60851,65.9692,98.5,99.2,-0.7000000000000028,106.9,98.2,8.700000000000003,6.698713959405146,131.87108936043015,0,90.32527702,98.29077413,-7.965497110000001,-5.319694271,102.0138415,99.77641968,2.2374218199999945,0.442421781,2022-11-30,127.06203847748631,3.749421428090237,127.06203847748631,6.772018464652888,127.06203847748631,1.6897668946371223,-6.628190058788913,-4.938423164151791,-1.4662000000000002,-17.85858,-9.720692757201647,-16.39238,-8.137887242798353,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,3,0.31696934194067294,0.2594892857835899,-3.4214812071330614,-7.232866666666666,-4.893461810699591,-2.5512257142857147,-2.7320633333333335,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
7.5,7,-0.3333333333333381,-1.4035208047553782,-4.372149528528285,113.6,95.43333333333332,105.9,95.76666666666668,Sat 12-03 12-03,A,118 (Ⅲ),Penn,"W, 84-81 OT",73,115.0,54.4,13.7,32.5,25.0,110.9,52.5,13.7,21.1,34.4,23.0,4.5,142.0,100.03125,86.4625,97.28852309099224,98.5615873899808,99.01953125,92.1390625,98.69204389574764,102.93373691850908,20221203,97.4,98.5,-1.0999999999999943,105.7,105.9,-0.2000000000000028,96.5219,100.205,-3.68341,69.1394,6.397426108210809,136.5840474645994,66.18794424751067,4.594307267107922,140.66991360622234,7.820165876480704,140.66991360622234,4.594307267107922,140.66991360622234,7.820165876480704,126.04639064799754,8.603394288739459,105.359,105.328,0.0310662,67.299,97.4,98.5,-1.0999999999999943,105.7,105.9,-0.2000000000000028,5.691029854066636,133.06674659142143,0,87.32712498,98.17588387,-10.848758890000013,-9.446444555,98.96812412,102.7362938,-3.7681696799999997,-0.187457946,2022-12-03,126.9616123682678,7.892324585352604,126.9616123682678,7.758613985687049,126.9616123682678,6.074024165251753,-5.620508356522302,0.45351580872945063,10.68341,-7.17517,-12.433321838134432,-17.85858,5.258151838134433,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.3341175708976246,0.20628742058619975,2.2798891952446216,3.350076666666662,-3.4214812071330614,-0.8968962500000002,-2.5512257142857147,1,-1.0,1,-1,-1,1,-3.0,-3.0
5.0,2,2.099999999999999,-0.0690138698369161,-3.104485977886777,110.4,103.33333333333331,107.8,101.23333333333336,Tue 12-06 12-06,H,296 (Ⅳ),Bucknell,"W, 82-72",71,115.1,57.6,19.6,33.3,9.1,101.1,53.4,18.2,25.0,23.7,14.0,-5.0,140.0,105.215625,100.03125,101.65901539399484,100.71402604634793,103.409765625,99.01953125,101.72802926383176,103.8185120242347,20221206,98.0,99.3,-1.2999999999999972,104.3,107.5,-3.200000000000003,97.7336,100.78,-3.04638,68.9425,-4.577371023956502,134.81509331727517,65.43408188122332,-5.119760625781453,140.24322445488008,-1.5815689621030389,140.24322445488008,-5.119760625781453,140.24322445488008,-1.5815689621030389,124.11873459781656,1.1594349768182042,102.08,106.525,-4.44516,66.7225,98.0,99.3,-1.2999999999999972,104.3,107.5,-3.200000000000003,-3.1004521874945903,132.17661132968465,0,90.51446007,98.86053359,-8.346073520000004,-8.666733674,99.3168391,100.7098721,-1.3930330000000026,-0.173403742,2022-12-06,126.93877233163877,3.806360648045846,126.93877233163877,1.8440337101165056,126.93877233163877,8.047225077732044,-1.0418314599527623,7.005393617779281,5.04638,-2.1287899999999995,-10.68060455875629,-7.17517,8.551814558756291,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.6830306580593271,0.4560372029899732,2.977366130163084,5.146379999999999,2.2798891952446216,-0.2365322222222228,-0.8968962500000002,1,1.0,1,-1,-1,1,1.0,-3.0
-10.0,-7,0.7999999999999972,-2.679342579891279,-3.976397618271,86.8,103.6,94.7,102.8,Sat 12-10 12-10,H,198 (Ⅳ),Drexel,"L, 65-58 OT",70,82.6,39.2,14.2,20.9,13.8,92.6,37.0,10.0,34.7,20.5,-8.0,-3.0,131.0,96.0078125,105.215625,96.70601026266324,98.18420312883012,99.0548828125,103.409765625,99.38535284255452,102.16060074710111,20221210,98.7,99.6,-0.8999999999999915,99.7,104.0,-4.299999999999997,98.2636,100.876,-2.61262,69.3796,-3.900540361616855,128.6806438910015,63.42647503328592,-5.8604111920358335,131.55766314924594,-5.048100126399223,131.55766314924594,-5.8604111920358335,131.55766314924594,-5.048100126399223,134.388192691121,0.09676892695244277,100.802,103.963,-3.16149,64.2679,98.7,99.6,-0.8999999999999915,99.7,104.0,-4.299999999999997,-3.0166304263519765,127.59905510374755,0,91.97784655,99.20030708,-7.222460530000006,-7.265795838,99.06141221,100.863951,-1.8025387899999998,0.112574834,2022-12-10,124.29419058113623,2.9674176342858516,124.29419058113623,-3.759077354527115,124.29419058113623,-5.100629760337716,1.6334539289095815,-3.467175831428134,-4.38738,-6.51617,-7.829999705837527,-2.1287899999999995,1.3138297058375272,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,3,0.6124515189020077,0.4963233647714186,-0.06672257989127894,3.4126199999999973,2.977366130163084,-0.6516169999999999,-0.2365322222222228,-1,1.0,1,-1,-1,-1,1.0,1.0
