ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
11.5,22,,22.599999999999994,22.599999999999994,118.5,0.0,95.9,0.0,Fri 11-11 11-11,N,155 (Ⅲ),Harvard,"W, 75-61",67,111.8,50.0,13.4,38.2,26.6,90.9,52.0,22.4,25.0,34.7,-7.0,-2.5,143.0,118.5,0.0,118.5,118.5,95.9,0.0,95.9,95.9,20221111,102.7,98.6,4.1000000000000085,96.0,95.4,0.5999999999999943,101.3,99.6242,1.67596,73.7411,-4.119890381956495,146.5345849256342,74.85204166443813,-2.538640874802013,147.30494646264393,-26.74876810691507,147.30494646264393,-2.538640874802013,147.30494646264393,-26.74876810691507,154.88697275708017,1.682751266492815,95.9671,99.8401,-3.87304,71.3591,102.7,98.6,4.1000000000000085,96.0,95.4,0.5999999999999943,-26.74876810691507,154.88697275708017,0,94.89051167,95.56008426,-0.6695725900000014,-5.497358578,96.274038,94.63433552,1.639702480000011,3.901418519,2022-11-11,139.02079879525337,7.035176548594109,139.02079879525337,-2.6198214582553447,139.02079879525337,0.0,0.0,0.0,20.32404,20.32404,0.0,0.0,20.32404,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,-3,0.5940963859982835,0.4363373357658573,20.924039999999994,,0.0,20.32404,0.0,1,0.0,1,1,1,3,0.0,0.0
-1.5,6,,17.266666666666666,19.690909090909088,113.4,0.0,106.8,0.0,Sun 11-13 11-13,N,234 (Ⅳ),East Tennessee St.,"W, 81-77",74,109.8,57.6,16.3,20.6,30.5,104.4,46.0,17.6,30.6,37.1,12.5,-5.5,145.5,115.95,118.5,116.8,117.57272727272728,101.35,95.9,99.53333333333332,97.8818181818182,20221113,104.2,98.9,5.299999999999997,96.8,103.7,-6.900000000000006,102.703,99.9223,2.78031,71.9515,-4.968588919129729,149.7413009268268,72.05405391607395,-9.078216468227026,150.1643789053638,-9.253174434344617,150.1643789053638,-9.078216468227026,150.1643789053638,-9.253174434344617,149.79055579760092,-3.2873054969439295,101.042,105.054,-4.0119,70.4002,104.2,98.9,5.299999999999997,96.8,103.7,-6.900000000000006,-9.253174434344617,149.79055579760092,0,94.89051167,95.56008426,-0.6695725900000014,-5.497358578,98.23835255,103.6330274,-5.394674850000001,-2.148241509,2022-11-13,141.6345031815772,2.413174618609702,141.6345031815772,-8.790594577761027,141.6345031815772,0.0,0.0,0.0,3.21969,23.54373,20.32404,20.32404,3.21969,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,3,0.6997944856925475,0.622888810012332,14.486356666666666,,20.924039999999994,11.771865,20.32404,1,1.0,1,1,1,3,3.0,0.0
1.5,0,9.9,11.677777777777775,16.201652892561977,119.9,117.26666666666668,119.4,107.36666666666667,Thu 11-17 11-17,H,146 (Ⅲ),Louisiana Tech,"W, 94-88",75,124.6,61.0,17.2,36.7,54.2,116.7,59.5,14.6,20.0,22.2,42.5,-4.5,139.5,117.925,115.95,117.83333333333336,117.99586776859503,110.375,101.35,106.15555555555557,101.79421487603308,20221117,104.7,99.4,5.299999999999997,101.0,94.1,6.900000000000006,103.118,100.347,2.77101,72.0018,-3.982161687594015,146.3141875405916,72.41568232403984,-2.7382015387275516,147.27884713027282,-16.20794288580505,147.27884713027282,-2.7382015387275516,147.27884713027282,-16.20794288580505,139.27687264095454,-8.82296256997033,101.239,98.3652,2.87381,70.7041,104.7,99.4,5.299999999999997,101.0,94.1,6.900000000000006,-16.184605595090204,139.31046839913313,0,105.6092686,102.6826173,2.926651299999989,2.319542866,103.9352859,106.5244516,-2.5891657000000095,-2.202322435,2022-11-17,162.47636339539054,-5.303367120215313,162.47636339539054,-9.77973789786158,162.47636339539054,-14.486356666666659,14.486356666666659,0.0,-2.77101,20.77272,21.397270000000002,23.54373,-0.6245500000000028,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.6658824291023754,0.799624896237743,8.906767777777775,7.12899,14.486356666666666,6.924240000000001,11.771865,1,1.0,-1,1,1,1,3.0,3.0
3.0,3,3.600000000000004,9.01851851851852,13.928625093914343,99.7,111.0,96.0,107.4,Tue 11-22 11-22,A,173 (Ⅲ),SMU,"W, 76-72 OT",78,97.9,46.6,15.5,34.0,17.6,92.8,46.4,19.3,29.5,24.6,2.0,-1.0,146.0,108.8125,117.925,111.78888888888892,114.6693463561232,103.1875,110.375,102.7703703703704,100.74072126220888,20221122,107.3,101.8,5.5,97.6,97.1,0.5,105.586,102.535,3.05128,71.4569,3.8238587031839444,147.6670940397865,72.06067522901851,0.6387757748533289,149.92659809005664,-6.004850124854408,149.92659809005664,0.6387757748533289,149.92659809005664,-6.004850124854408,148.50701670935024,-1.32895775778546,100.202,97.7163,2.48555,70.894,107.3,101.8,5.5,97.6,97.1,0.5,-5.874006352928066,148.43325419601342,0,104.1482066,102.1300846,2.018121999999991,0.562790402,89.48283539,94.58444476,-5.101609369999991,-6.512235171,2022-11-22,139.819762775598,-3.1406332351378836,139.819762775598,-9.639102276240465,139.819762775598,-17.28244533333332,8.763752037037033,-8.518693296296288,-0.051280000000000214,20.72144,21.189086666666668,20.77272,-0.467646666666667,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.5379371440662541,0.5503586019691487,5.967238518518521,0.5487200000000039,8.906767777777775,5.18036,6.924240000000001,1,1.0,-1,1,1,1,1.0,3.0
-3.5,-7,-0.9333333333333323,3.6790123456790136,10.123420531384465,94.8,104.8,101.8,105.73333333333332,Sat 11-26 11-26,A,81 (Ⅱ),Drake,"L, 76-64",73,88.2,46.7,22.0,27.8,20.0,104.7,48.3,20.7,30.6,33.3,-5.0,8.5,145.0,101.80625,108.8125,106.12592592592596,111.05673792773716,102.49375,103.1875,102.44691358024691,100.93331739635268,20221126,107.4,101.8,5.6000000000000085,109.1,97.4,11.699999999999989,106.001,102.222,3.779,69.89,8.772989628766155,143.4910930994913,66.60715833570413,8.53067865731225,147.38213318657907,6.8347997124414395,147.38213318657907,8.53067865731225,147.38213318657907,6.8347997124414395,143.37797025318068,2.4438494203122048,109.293,98.6228,10.6704,66.9979,107.4,101.8,5.6000000000000085,109.1,97.4,11.699999999999989,6.979132361117651,143.48480123151532,0,104.6272292,102.4199033,2.2073259000000007,0.242033732,98.37274182,98.32481359,0.047928229999996574,2.32110685,2022-11-26,138.99490170776363,3.273713248502503,138.99490170776363,5.613785999008883,138.99490170776363,-2.2510914409171336,5.209621740740755,2.9585302998236216,-10.779,9.942440000000001,21.033204444444447,20.72144,-11.090764444444446,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.20910695659274503,0.407978716337952,-0.09998765432098633,-4.712333333333333,5.967238518518521,1.9884879999999998,5.18036,-1,1.0,-1,1,1,-1,1.0,1.0
-11.5,-9,-4.400000000000001,-0.8473251028806588,6.482798616587287,100.3,98.26666666666668,110.2,102.66666666666669,Sat 12-03 12-03,A,343 (Ⅳ),New Orleans,"W, 78-77",74,105.7,45.7,19.0,41.7,60.3,104.3,58.2,24.4,28.6,34.5,0.5,-12.5,154.5,101.053125,101.80625,104.18395061728398,109.1009673954213,106.346875,102.49375,105.03127572016464,102.61816877883402,20221203,106.8,101.7,5.099999999999994,93.9,109.6,-15.699999999999989,105.644,102.0,3.64403,69.623,-9.921522540279113,152.9315610262761,72.48576306970129,-11.568899165981506,157.1146933958821,-19.814644636903516,157.1146933958821,-11.568899165981506,157.1146933958821,-19.814644636903516,156.1355872655155,-11.332543720340567,94.5309,109.921,-15.3896,73.1906,106.8,101.7,5.099999999999994,93.9,109.6,-15.699999999999989,-19.55699064115624,156.1909815277856,0,103.4102693,102.7324646,0.6778046999999958,-1.129857771,88.8420384,108.5526898,-19.71065139999999,-18.21480084,2022-12-03,150.436453491927,-10.550859715340806,150.436453491927,-18.972504165600355,150.436453491927,-9.495587559082882,-0.07655162962962736,-9.572139188712509,-12.64403,-2.7015899999999995,17.336282962962965,9.942440000000001,-20.037872962962965,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,3,0.8830703586536275,0.859770738159402,-4.491355102880659,-8.044030000000001,-0.09998765432098633,-0.4502649999999999,1.9884879999999998,-1,-1.0,-1,-1,1,-3,-1.0,1.0
14.5,19,0.6999999999999981,5.768449931412894,8.758653413571416,108.1,101.06666666666666,89.1,100.36666666666667,Sat 12-10 12-10,H,153 (Ⅲ),Samford,"W, 75-58",65,115.9,60.2,21.6,33.3,25.9,89.6,47.3,24.7,30.3,14.5,-19.0,-2.5,152.0,104.5765625,101.053125,105.48930041152266,108.91897332352652,97.7234375,106.346875,99.72085048010976,100.1603199099551,20221210,107.0,103.0,4.0,109.7,101.4,8.299999999999997,105.562,102.983,2.57899,69.8852,-3.221982146927047,156.86404657510482,71.31034114822191,-1.2457734756033005,161.50640749765398,4.201259565725892,161.50640749765398,-1.2457734756033005,161.50640749765398,4.201259565725892,157.6385381141146,1.3094697971937705,108.137,103.933,4.20337,71.7336,107.0,103.0,4.0,109.7,101.4,8.299999999999997,1.4347851510964895,155.7240561999159,0,101.4851498,103.7355787,-2.250428900000003,-1.123296774,102.4647038,97.312078,5.152625799999996,4.97499559,2022-12-10,149.45014783270855,2.3135703029144707,149.45014783270855,2.7932811909937527,149.45014783270855,6.913259231628473,-4.3041099059376915,2.6091493256907814,16.42101,13.71942,10.656991975308644,-2.7015899999999995,3.0624280246913553,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.5940963859982835,0.45037601232113667,3.1894599314128937,-1.8789900000000022,-4.491355102880659,1.9599171428571425,-0.4502649999999999,1,-1.0,1,1,-1,3,-3.0,-1.0
-4.0,-2,2.366666666666665,3.17896662094193,6.802534611103885,106.7,105.03333333333336,108.7,102.66666666666669,Thu 12-15 12-15,A,318 (Ⅳ),McNeese St.,"W, 78-70",67,117.1,67.3,22.5,29.2,36.7,105.1,46.2,16.5,36.6,18.2,8.5,-12.0,139.5,105.63828125,104.5765625,105.89286694101511,108.51552362833988,103.21171875,97.7234375,102.71390032007318,101.712989017236,20221215,106.9,102.0,4.900000000000006,93.9,111.0,-17.099999999999994,105.804,102.245,3.55911,68.8103,-10.723003880337316,136.5876500402299,64.70869713911807,-11.205234878183305,141.93908959371612,-4.045264767254032,141.93908959371612,-11.205234878183305,141.93908959371612,-4.045264767254032,130.6970431916028,-6.744799596558828,92.9735,111.212,-18.2386,66.1096,106.9,102.0,4.900000000000006,93.9,111.0,-17.099999999999994,-11.462504466295348,133.99825245538423,0,101.510532,101.3220238,0.18850820000000112,1.761672958,90.27731603,105.59658,-15.319263970000009,-22.37553616,2022-12-15,131.59947136867393,-13.993775498419673,131.59947136867393,-5.647273961371923,131.59947136867393,9.506258577380043,0.4343808942452032,9.940639471625246,-5.55911,8.160309999999999,11.67780131687243,13.71942,-3.51749131687243,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,3,0.8734510455264423,0.7396808732399459,-0.38014337905807016,-1.192443333333335,3.1894599314128937,1.0200387499999999,1.9599171428571425,-1,1.0,-1,1,1,-1,3.0,-3.0
-10.5,-9,2.5333333333333314,-1.0140222527053817,3.8566192272668154,101.6,105.46666666666664,111.0,102.93333333333334,Wed 12-21 12-21,A,13 (I-A),Texas,"L, 100-72",78,91.8,49.1,19.1,21.6,47.4,127.5,67.7,20.4,22.2,27.4,29.0,17.5,143.0,103.619140625,105.63828125,104.46191129401008,107.25815569591444,107.105859375,103.21171875,105.47593354671548,103.40153646864763,20221221,106.7,103.3,3.4000000000000057,111.2,89.4,21.8,106.15,102.962,3.18819,68.8494,19.138199182814454,138.8091939783616,66.44221735049787,17.27800366424382,143.58975976092785,15.440869859683493,143.58975976092785,17.27800366424382,143.58975976092785,15.440869859683493,136.96809727778697,22.087951791305116,112.837,87.7015,25.1353,67.8421,106.7,103.3,3.4000000000000057,111.2,89.4,21.8,18.799320654080862,136.11676247808867,0,101.8662343,102.7305818,-0.8643474999999938,1.947352664,106.6954719,81.04861448,25.646857420000003,20.28914567,2022-12-21,131.41249760733962,14.253917976597904,131.41249760733962,10.069227248407202,131.41249760733962,-10.387875161312506,0.5221820303688474,-9.865693130943658,-12.18819,-4.0278800000000015,10.505304211248287,8.160309999999999,-14.533184211248289,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,3,0.047790352272814696,0.017706045942504467,-4.202212252705381,-0.6548566666666686,-0.38014337905807016,-0.4475422222222223,1.0200387499999999,-1,-1.0,-1,-1,1,-3,-1.0,3.0
-4.5,-7,-6.400000000000001,-3.27601483513692,1.7372339132183028,100.9,103.06666666666668,108.7,109.46666666666664,Thu 12-29 12-29,A,271 (Ⅳ),Coastal Carolina,"L, 77-76",70,108.5,45.1,12.8,42.9,16.7,109.9,54.7,14.3,21.4,45.3,6.0,-3.5,147.0,102.2595703125,103.619140625,103.27460752934007,106.10212738756636,107.9029296875,107.105859375,106.550622364477,104.36489347434808,20221229,107.3,104.5,2.799999999999997,98.3,104.1,-5.799999999999997,106.432,103.487,2.94496,70.5053,-0.6262803305005491,151.58300262611445,70.79063083712661,-2.153821065671565,155.15160322503078,2.1660617161332922,155.15160322503078,-2.153821065671565,155.15160322503078,2.1660617161332922,149.55868570117923,1.223578395094691,100.705,104.418,-3.71291,70.5845,107.3,104.5,2.799999999999997,98.3,104.1,-5.799999999999997,-3.574707989246027,153.11727360983943,0,102.3816091,102.8507714,-0.4691622999999936,3.644263546,97.26994577,101.6470061,-4.377060329999992,-4.329920085,2022-12-29,147.78166601566937,-3.669632561306912,147.78166601566937,-3.0223612637803257,147.78166601566937,-1.2539795495720738,-1.6948338283428805,-2.9488133779149543,-9.94496,-13.972840000000001,5.660909474165526,-4.0278800000000015,-19.633749474165526,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,3,0.6305586598182363,0.45361575024865164,-6.22097483513692,-9.34496,-4.202212252705381,-1.397284,-0.4475422222222223,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
