ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-9.5,9,,9.199999999999989,9.199999999999989,95.6,0.0,86.4,0.0,Mon 11-07 11-07,H,227 (Ⅳ),Radford,"W, 79-69",80,99.1,50.0,22.6,25.7,42.4,86.6,45.2,18.8,20.0,31.7,8.5,-19.5,139.5,95.6,0.0,95.6,95.6,86.4,0.0,86.4,86.4,20221107,102.3,92.6,9.7,94.5,103.7,-9.2,103.758,93.5776,10.1803,74.7734,-18.67490301697569,143.90672613149266,75.78108590554766,-18.576383305688466,150.26085357661898,-8.056232035984593,150.26085357661898,-18.576383305688466,150.26085357661898,-8.056232035984593,125.35766490128572,-13.75215184976095,91.2776,101.053,-9.77534,71.2474,102.3,92.6,9.7,94.5,103.7,-9.2,-8.056232035984593,125.35766490128572,0,100.4172495,94.6318971,5.785352399999994,1.418343934,90.87092053,98.18138463,-7.31046409999999,-1.388262829,2022-11-07,143.1581002244131,-4.249066628487583,143.1581002244131,-16.449800317517244,143.1581002244131,0.0,0.0,0.0,-1.1803000000000008,-1.1803000000000008,0.0,0.0,-1.1803000000000008,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.9683545838833274,0.9048561925871073,-0.9803000000000122,,0.0,-1.1803000000000008,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
6.0,21,,13.333333333333329,11.454545454545446,116.7,0.0,95.1,0.0,Thu 11-10 11-10,H,289 (Ⅳ),Central Michigan,"W, 97-73",82,118.4,62.9,17.1,27.8,40.9,89.1,50.9,26.9,26.5,36.2,17.5,-18.0,152.5,106.15,95.6,102.63333333333333,99.43636363636362,90.75,86.4,89.30000000000001,87.98181818181817,20221110,102.8,93.1,9.700000000000005,93.0,106.3,-13.299999999999995,103.963,93.7825,10.1803,74.7904,-20.400986721146097,151.83231551466042,76.34482750270271,-21.96922352564586,153.20756157131711,-20.344431620362265,153.20756157131711,-21.96922352564586,153.20756157131711,-20.344431620362265,140.94321676463323,-14.257104867792066,94.8811,106.052,-11.171,71.7611,102.8,93.1,9.700000000000005,93.0,106.3,-13.299999999999995,-20.344431620362265,140.94321676463323,0,100.4172495,94.6318971,5.785352399999994,1.418343934,97.96492063,105.006099,-7.0411783700000115,-11.30539219,2022-11-10,154.77648649862797,-11.745894066736412,154.77648649862797,-19.658487702635938,154.77648649862797,0.0,0.0,0.0,10.8197,9.639399999999998,-1.1803000000000008,-1.1803000000000008,10.8197,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,-3,0.9567618672531671,0.912739518886873,3.153033333333328,,-0.9803000000000122,4.819699999999999,-1.1803000000000008,1,-1.0,1,1,-1,3,-3.0,0.0
2.5,26,18.933333333333334,17.555555555555554,14.099173553719002,119.9,110.73333333333332,93.9,91.8,Tue 11-15 11-15,A,4 (I-A),Purdue,"L, 75-70",66,105.4,45.1,12.0,34.1,9.7,112.9,56.3,9.0,20.0,32.1,-5.5,7.5,150.5,113.025,106.15,108.3888888888889,103.15702479338842,92.325,90.75,90.83333333333334,89.05785123966942,20221115,104.1,93.9,10.199999999999989,110.2,93.0,17.200000000000003,105.07,94.5704,10.4994,75.19,10.532407570420673,147.70776287719963,73.26083637268849,9.191743513120343,150.15972533324089,12.530548208116821,150.15972533324089,9.191743513120343,150.15972533324089,12.530548208116821,132.27635104698274,15.309880884879263,111.622,92.1102,19.5116,68.4963,104.1,93.9,10.199999999999989,110.2,93.0,17.200000000000003,12.494444788323303,132.17785568198954,0,100.4172495,94.6318971,5.785352399999994,1.418343934,115.3690411,94.043394,21.325647099999998,25.54165554,2022-11-15,152.81644168010087,20.000758957190854,152.81644168010087,13.443021590485245,152.81644168010087,5.75556666666667,3.153033333333326,8.908599999999996,15.5006,25.14,2.426266666666665,9.639399999999998,22.713733333333337,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.23752526202697655,0.07240871013069827,7.056155555555554,8.433933333333334,3.153033333333328,8.38,4.819699999999999,1,1.0,1,1,1,3,3.0,-3.0
8.0,20,22.73333333333333,18.57037037037037,15.281141998497365,106.0,114.2,85.4,91.46666666666664,Thu 11-17 11-17,H,356 (Ⅳ),LIU Brooklyn,"W, 95-58",81,118.0,58.1,14.9,25.0,29.4,72.0,37.3,28.6,32.6,31.7,-0.5,-29.0,153.5,109.5125,113.025,107.5925925925926,103.6739293764087,88.86250000000001,92.325,89.02222222222224,88.39278737791135,20221117,105.2,94.2,11.0,89.3,107.3,-18.0,105.944,95.0385,10.9053,74.233,-24.585872291768567,153.6547860671953,77.24772567567568,-27.031472060181272,156.0068867018839,-38.21808347407048,156.0068867018839,-27.031472060181272,156.0068867018839,-38.21808347407048,147.21319142527264,-16.705794240929464,90.8696,106.44,-15.5707,73.155,105.2,94.2,11.0,89.3,107.3,-18.0,-38.14868309586557,147.16294363647663,0,101.4655209,98.78761246,2.677908439999996,3.233017732,86.06502736,99.53710362,-13.472076259999994,-5.462965522,2022-11-17,147.0626184685198,-8.856269432450105,147.0626184685198,-29.61238348677118,147.0626184685198,-7.094524074074073,7.094524074074073,0.0,9.0947,34.234700000000004,9.997511111111109,25.14,24.237188888888895,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.9971267380880181,0.9441983653302436,7.665070370370369,11.82803333333333,7.056155555555554,8.558675,8.38,1,1.0,1,1,1,3,3.0,3.0
0.0,7,17.866666666666664,14.71358024691358,13.775479816952387,95.3,107.06666666666668,88.3,89.2,Mon 11-21 11-21,N,36 (I-A),Mississippi St.,"L, 58-55",66,83.5,49.0,24.3,15.6,15.7,88.0,42.7,24.3,37.5,38.2,-27.5,3.0,140.5,102.40625,109.5125,103.49506172839509,102.1513967625162,88.58125000000001,88.86250000000001,88.7814814814815,88.37591694556383,20221121,105.9,94.5,11.400000000000006,104.1,90.3,13.799999999999995,106.827,95.3297,11.4973,74.1933,5.00710304713958,140.01851334629714,70.51202475490753,1.9818510407639707,139.97504804882112,5.074408378653594,139.97504804882112,1.9818510407639707,139.97504804882112,5.074408378653594,125.44727291415678,11.584742160699513,108.415,90.0663,18.3487,66.8119,105.9,94.5,11.400000000000006,104.1,90.3,13.799999999999995,5.1594072848216275,125.67847887550857,0,102.0255576,96.40689564,5.618661959999997,5.076495924,98.99941727,77.80999226,21.189425009999994,24.91384876,2022-11-21,126.140867281911,13.987719142438678,126.140867281911,3.636070076528071,126.140867281911,-0.6693133333333279,8.699374814814814,8.030061481481486,-4.497299999999999,29.737400000000004,18.076574074074074,34.234700000000004,11.66082592592593,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.38754848109799234,0.13494654812552875,3.2162802469135805,6.369366666666664,7.665070370370369,5.947480000000002,8.558675,1,1.0,1,1,1,3,3.0,3.0
17.0,37,21.766666666666666,22.375720164609056,18.1253925775065,121.5,107.59999999999998,83.8,85.83333333333333,Wed 11-23 11-23,N,105 (Ⅲ),Georgia Tech,"W, 84-60",72,117.3,54.9,15.4,28.6,36.1,83.8,39.2,18.2,27.9,15.4,-2.0,-7.0,146.0,111.953125,102.40625,109.49670781893006,105.66932462387688,86.19062500000001,88.58125000000001,87.120987654321,87.5439320463704,20221123,105.5,94.3,11.200000000000005,99.9,93.5,6.400000000000006,106.237,94.5143,11.7228,73.1926,-4.527971309212447,142.0403475179521,72.70201176216216,-3.29788941080956,143.34476124091344,-7.0124653611265515,143.34476124091344,-3.29788941080956,143.34476124091344,-7.0124653611265515,130.3145851786232,-4.172503379878506,100.562,95.3573,5.20517,69.8288,105.5,94.3,11.200000000000005,99.9,93.5,6.400000000000006,-6.870482151723428,130.20218834588493,0,104.6563209,97.57326695,7.083053949999993,3.998461302,93.4833902,92.52021744,0.9631727600000062,-0.170055744,2022-11-23,139.7730785768651,-3.030595753090651,139.7730785768651,-9.278661567823505,139.7730785768651,-6.543596402116411,6.421544550264558,-0.12205185185185297,25.2772,55.0146,21.96351604938272,29.737400000000004,33.05108395061728,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.7475074624530771,0.6544568389475397,10.652920164609057,10.043866666666666,3.2162802469135805,9.1691,5.947480000000002,1,1.0,1,1,1,3,3.0,3.0
-13.5,3,15.9,15.91714677640604,15.375321199778044,94.6,103.8,91.6,87.89999999999999,Sat 11-26 11-26,H,313 (Ⅳ),Chicago St.,"W, 82-68",75,108.8,56.1,15.9,25.7,52.6,90.2,48.1,26.5,20.0,37.7,3.0,-27.5,147.0,103.2765625,111.953125,104.53113854595338,103.65672014680835,88.8953125,86.19062500000001,88.61399176954734,88.28139894703033,20221126,107.3,93.8,13.5,100.3,115.3,-15.0,107.758,94.1425,13.6156,72.7489,-28.350050801449164,148.8316848538746,69.49227427738266,-25.423976555124398,155.55494086135667,-28.695363008493278,155.55494086135667,-25.423976555124398,155.55494086135667,-28.695363008493278,154.74416302853868,-12.578374779053533,95.1877,115.636,-20.4478,67.153,107.3,93.8,13.5,100.3,115.3,-15.0,-30.363689328205282,150.094680582263,0,104.3806216,97.36228933,7.018332270000002,4.126372753,102.1550327,106.5720275,-4.416994799999998,1.143067492,2022-11-26,150.1495416398095,-4.070216308423554,150.1495416398095,-24.50055496759611,150.1495416398095,-0.7911021343654276,8.333537992357467,7.542435857992039,-10.6156,44.399,32.98054403292181,55.0146,11.418455967078188,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.995591218107113,0.8845299005539751,2.30154677640604,2.2843999999999998,10.652920164609057,6.342714285714287,9.1691,1,1.0,1,1,1,3,3.0,3.0
31.0,57,32.6,29.64476451760403,22.96162643618204,146.8,120.96666666666664,89.7,88.36666666666666,Tue 11-29 11-29,H,16 (I),Baylor,"W, 96-70",69,138.3,68.3,13.0,25.0,25.0,100.8,56.3,28.8,42.9,17.9,11.0,5.0,155.0,125.03828125,103.2765625,118.6207590306356,111.50095284738865,89.29765625,88.8953125,88.97599451303157,88.53932641120663,20221129,106.7,93.3,13.400000000000006,117.2,93.6,23.60000000000001,107.005,94.0253,12.9796,72.9853,4.0201382473918414,154.28477247200806,73.39279260668565,2.7157391419102197,156.7828513244258,-4.6470299984496934,156.7828513244258,2.7157391419102197,156.7828513244258,-4.6470299984496934,156.51027246060596,7.450955489606315,118.571,93.5103,25.061,70.6925,106.7,93.3,13.400000000000006,117.2,93.6,23.60000000000001,-1.5936426701534985,155.52433571601767,0,102.1385916,95.50405986,6.63453174,1.776610098,115.6075388,92.75299273,22.854546069999998,22.50763765,2022-11-29,153.5971362501826,12.910561437286049,153.5971362501826,1.828751908192828,153.5971362501826,-5.859488593311134,3.707960124763222,-2.1515284685479124,44.0204,88.4194,36.786696021947876,44.399,51.63270397805212,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,-3,0.31696934194067294,0.23897151699577046,16.665164517604033,19.620400000000004,2.30154677640604,11.052425,6.342714285714287,1,1.0,1,1,1,3,3.0,3.0
-8.5,6,22.233333333333334,21.96317634506936,19.98678526596712,123.7,121.7,117.1,99.46666666666664,Sat 12-03 12-03,H,38 (Ⅱ),Wisconsin,"L, 80-77 OT",69,111.9,59.4,17.4,24.1,37.7,116.2,61.0,21.8,34.5,22.0,21.5,-5.5,135.5,124.369140625,125.03828125,120.31383935375707,113.71896142059072,103.198828125,89.29765625,98.35066300868772,93.7321761546236,20221203,109.8,92.9,16.89999999999999,101.8,89.5,12.299999999999995,109.839,93.5676,16.2714,72.1787,-4.50665813362329,130.63330778421314,66.5331551945946,-6.204899515083952,131.60040847726705,-12.539328680054002,131.60040847726705,-6.204899515083952,131.60040847726705,-12.539328680054002,122.34135374094497,-7.2700735257107,104.719,90.3752,14.3441,64.8014,109.8,92.9,16.89999999999999,101.8,89.5,12.299999999999995,-9.217059602635317,122.95073578651268,0,106.4107315,92.74853762,13.662193880000004,13.43990012,95.79752841,88.6944388,7.103089609999998,4.714259506,2022-12-03,125.07945223198044,-7.837471849659224,125.07945223198044,-11.338677443887946,125.07945223198044,-15.481006308925043,11.771107788446887,-3.7098985204781556,-10.2714,78.148,53.997597347965254,88.4194,24.150402652034742,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.6997944856925475,0.7556531359641324,5.691776345069361,5.961933333333334,16.665164517604033,8.683111111111112,11.052425,1,1.0,1,1,1,3,3.0,3.0
-7.0,17,27.03333333333333,20.44211756337957,19.516460672154917,121.1,130.53333333333333,103.7,103.5,Tue 12-06 12-06,H,249 (Ⅳ),North Carolina Central,"W, 90-78",73,123.0,71.1,21.9,22.2,28.1,106.6,53.2,21.9,38.2,19.0,22.5,-19.0,145.5,122.7345703125,124.369140625,120.57589290250472,115.06096843502876,103.4494140625,103.198828125,100.13377533912517,95.54450776287383,20221206,111.5,94.6,16.900000000000006,100.1,105.9,-5.800000000000011,111.01,95.1642,15.8459,71.2447,-18.03936721838351,144.3235431887775,68.78042386173541,-20.66797535566411,150.3429395386528,-22.395153171950955,150.3429395386528,-20.66797535566411,150.3429395386528,-22.395153171950955,146.538732742171,-10.946704254455355,99.7224,103.925,-4.20267,67.8684,111.5,94.6,16.900000000000006,100.1,105.9,-5.800000000000011,-20.944586649376404,145.88272662401107,0,108.374409,94.76877953,13.605629469999997,12.32189847,101.5471614,97.91098262,3.6361787799999945,6.235628176,2022-12-06,142.73110264843268,-6.2907096105079034,142.73110264843268,-19.106506401028696,142.73110264843268,-4.577143806407893,8.387229960140978,3.8100861537330855,1.1540999999999997,79.3021,62.04773156531017,78.148,17.254368434689823,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,3,0.9648151676951044,0.8514200606225262,4.596217563379568,11.187433333333331,5.691776345069361,7.930210000000001,8.683111111111112,1,1.0,1,1,1,3,3.0,3.0
