ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-8.0,-22,,-22.30000000000001,-22.30000000000001,103.1,0.0,125.4,0.0,Mon 11-07 11-07,A,185 (Ⅲ),Old Dominion,"L, 84-65",66,99.0,49.1,15.2,17.1,34.0,127.9,54.3,15.2,46.9,46.6,20.5,11.0,128.5,103.1,0.0,103.1,103.1,125.4,0.0,125.4,125.4,20221107,91.8,101.7,-9.9,98.8,98.0,0.8,90.877,102.658,-11.7812,71.0064,12.178576172415177,130.85625868667015,69.2489158463727,11.236827347564791,135.24913270717803,33.44317852934944,135.24913270717803,11.236827347564791,135.24913270717803,33.44317852934944,187.59675396422566,-9.428717777446423,98.3323,97.473,0.859304,68.56,91.8,101.7,-9.9,98.8,98.0,0.8,33.44317852934944,187.59675396422566,0,110.5380536,95.66293014,14.875123459999998,5.319515992,98.8538857,102.8548221,-4.0009364000000005,-11.4760695,2022-11-07,147.2941949609014,-9.751478071371295,147.2941949609014,9.260380520472047,147.2941949609014,0.0,0.0,0.0,-10.2188,-10.2188,0.0,0.0,-10.2188,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.14740707903152717,0.8154000603811478,-10.518800000000011,,0.0,-10.2188,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-20.5,-35,,-26.66666666666667,-24.681818181818187,74.2,0.0,109.6,0.0,Mon 11-14 11-14,A,102 (Ⅱ),Charlotte,"L, 80-47",68,69.0,32.7,22.0,13.5,28.8,117.5,64.7,19.1,21.7,33.3,-6.0,12.5,133.0,88.65,103.1,93.46666666666668,97.84545454545454,117.5,125.4,120.13333333333334,122.52727272727272,20221114,92.9,103.0,-10.099999999999994,103.4,103.1,0.3000000000000113,91.7364,103.616,-11.8795,70.5132,11.145254883147125,133.37226346873328,68.31786229246089,11.466425756939842,141.77044221619792,24.066841698559934,141.77044221619792,11.466425756939842,141.77044221619792,24.066841698559934,151.75490165591486,-7.988066907945125,99.7745,100.803,-1.02842,68.1113,92.9,103.0,-10.099999999999994,103.4,103.1,0.3000000000000113,24.066841698559934,151.75490165591486,0,110.5380536,95.66293014,14.875123459999998,5.319515992,105.285579,106.9894949,-1.7039158999999984,-1.30670211,2022-11-14,152.90464558170092,-2.5756098526661617,152.90464558170092,8.924225715539592,152.90464558170092,0.0,0.0,0.0,-23.1205,-33.3393,-10.2188,-10.2188,-23.1205,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.11692964134637251,0.7766022572968397,-14.787166666666671,,-10.518800000000011,-16.66965,-10.2188,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
6.5,-7,-21.666666666666668,-20.21111111111112,-21.52148760330579,81.8,86.36666666666667,89.1,108.03333333333336,Fri 11-18 11-18,A,159 (Ⅲ),George Washington,"L, 69-64",74,86.6,41.3,19.0,31.0,34.9,93.4,49.0,24.4,28.1,54.9,-4.0,11.5,137.0,85.225,88.65,89.57777777777778,94.92809917355372,103.3,117.5,109.78888888888888,116.44958677685948,20221118,91.8,103.7,-11.900000000000006,102.2,101.7,0.5,91.1152,104.4,-13.2849,70.4706,10.748546365579443,138.53254389572606,70.02211427539117,13.046286206853821,143.13728984887865,29.87653561867863,143.13728984887865,13.046286206853821,143.13728984887865,29.87653561867863,171.15728035264797,4.09642496217694,99.7997,103.522,-3.72256,69.8526,91.8,103.7,-11.900000000000006,102.2,101.7,0.5,29.405734414954594,171.43357882013981,0,97.43994154,100.7563374,-3.31639586,-0.514299978,99.24346631,102.4982631,-3.2547967900000003,-4.348061143,2022-11-18,143.26370874163325,-0.7715276171397107,143.26370874163325,21.791815590692067,143.26370874163325,20.79718666666666,-14.787166666666664,6.010019999999997,6.2849,-27.0544,-17.925633333333334,-33.3393,-9.128766666666667,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,3,0.13670617005697383,0.34821809879525856,-6.926211111111119,-8.381766666666667,-14.787166666666671,-9.018133333333333,-16.66965,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
8.5,3,-12.999999999999996,-12.240740740740744,-16.93576258452292,102.4,86.13333333333333,98.7,99.13333333333333,Tue 11-22 11-22,H,325 (Ⅳ),Marist,"W, 70-59",66,106.4,48.4,19.8,38.5,26.2,89.6,44.0,21.3,24.2,38.0,0.0,-2.5,129.0,93.8125,85.225,93.85185185185186,96.28662659654395,101.0,103.3,106.0925925925926,113.22238918106686,20221122,92.0,103.7,-11.700000000000005,90.3,104.7,-14.400000000000006,91.5501,104.348,-12.7974,70.6057,-3.121180263417301,131.43485564988126,69.15752988862019,-5.666014715230574,134.58151382831917,-0.833226879150272,134.58151382831917,-5.666014715230574,134.58151382831917,-0.833226879150272,126.92360430248759,-3.6482141940062434,91.9034,103.864,-11.9604,68.8581,92.0,103.7,-11.700000000000005,90.3,104.7,-14.400000000000006,-0.5934360585771766,126.73324758525426,0,95.30231022,104.3182544,-9.015944180000005,-3.931831287,93.27605214,101.7977909,-8.521738759999991,-5.135341479,2022-11-22,137.60635007826622,-2.6809398996065568,137.60635007826622,2.001636633126303,137.60635007826622,3.7899900000000084,-8.947764814814821,-5.157774814814813,15.7974,-11.257000000000001,-20.968555555555557,-27.0544,9.711555555555556,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,3,0.5940963859982835,0.6358729756822236,0.5566592592592556,-0.20259999999999678,-6.926211111111119,-2.8142499999999995,-9.018133333333333,1,-1.0,1,-1,-1,1,-3.0,-3.0
1.5,-21,-8.199999999999998,-15.160493827160495,-17.674714841882388,79.8,88.0,100.8,96.2,Fri 11-25 11-25,A,17 (I-A),Virginia,"L, 72-45",63,70.9,37.3,23.6,23.5,9.1,113.5,57.8,15.8,25.0,35.3,-6.5,28.5,123.5,86.80625,93.8125,89.1679012345679,93.28905812444503,100.9,101.0,104.3283950617284,110.96377296632744,20221125,92.7,104.1,-11.399999999999991,112.1,92.1,20.0,92.2769,104.565,-12.2881,69.4874,27.051132244397827,123.89255028398625,60.537561261735426,23.01355932801691,126.31302366054628,29.318884829470544,126.31302366054628,23.01355932801691,126.31302366054628,29.318884829470544,133.96271183345812,22.23454560727655,116.537,89.6036,26.9329,61.2455,92.7,104.1,-11.399999999999991,112.1,92.1,20.0,29.201518211872386,134.00094611052822,0,93.05985376,103.5059,-10.446046240000001,-7.122728346,113.6885968,94.23941552,19.449181280000005,19.90439731,2022-11-25,128.3438957539318,18.164942416126777,128.3438957539318,26.672898818822425,128.3438957539318,1.7958407407407595,-1.7557796296296377,0.04006111111112176,-8.7119,-19.9689,-17.731370370370374,-11.257000000000001,-2.237529629629627,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,3,0.0033209427382132617,0.017105505923210806,-2.8723938271604954,4.0881000000000025,0.5566592592592556,-3.9937799999999974,-2.8142499999999995,-1,1.0,-1,-1,-1,-3,1.0,-3.0
3.0,-3,-6.833333333333333,-11.173662551440334,-15.04294850699468,83.6,88.60000000000001,86.8,95.43333333333334,Wed 11-30 11-30,H,268 (Ⅳ),Lehigh,"W, 64-60",74,86.1,43.9,25.6,34.3,36.8,80.7,40.2,26.9,36.1,23.0,-21.0,-1.0,145.0,85.203125,86.80625,87.31193415637861,91.52741119272775,93.85,100.9,98.48559670781896,106.57035969972245,20221130,92.8,104.0,-11.200000000000005,97.5,105.8,-8.299999999999997,92.4389,104.256,-11.8167,69.4207,-1.7117037275994136,141.25897971029588,71.87896302389758,-1.7422765953314183,146.6783561748038,1.0384675925139575,146.6783561748038,-1.7422765953314183,146.6783561748038,1.0384675925139575,135.62698326747903,-5.038465627964186,96.25,105.16,-8.91051,72.7894,92.8,104.0,-11.200000000000005,97.5,105.8,-8.299999999999997,0.9885913711983733,135.6740718780669,0,94.86449335,104.534227,-9.669733649999998,-6.05722949,92.34362365,103.2412095,-10.897585849999999,-10.26648318,2022-11-30,143.01460198511313,-4.873912452567517,143.01460198511313,0.5921942201059665,143.01460198511313,-0.26590284656086105,-0.5964631040564257,-0.8623659506172867,8.8167,-11.1522,-18.477213580246918,-19.9689,7.325013580246917,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.5379371440662541,0.6843343474551901,0.6430374485596673,4.983366666666668,-2.8723938271604954,-1.858699999999999,-3.9937799999999974,1,-1.0,1,-1,-1,1,-3.0,1.0
-4.5,-16,-13.700000000000005,-13.082441700960224,-15.380594232995648,103.3,88.89999999999999,120.2,102.6,Fri 12-02 12-02,A,34 (I),Liberty,"L, 79-59",63,94.4,53.9,17.6,10.7,11.8,126.4,62.5,14.4,25.8,23.2,5.5,15.5,132.5,94.2515625,85.203125,92.64128943758575,93.66788188495909,107.025,93.85,105.72373113854596,109.04847611795472,20221202,92.1,102.8,-10.700000000000005,105.7,98.0,7.700000000000003,91.8576,103.302,-11.4443,69.5922,15.187374814752935,128.15021198090201,64.07768635391182,15.763242690808099,131.15061884836075,19.2677895499304,131.15061884836075,15.763242690808099,131.15061884836075,19.2677895499304,118.86176308552726,10.478827454067165,105.829,99.1964,6.63264,64.7294,92.1,102.8,-10.700000000000005,105.7,98.0,7.700000000000003,19.03697186190973,124.61328414388625,0,92.10053492,102.8792265,-10.77869158,-7.717782719,101.6096981,102.2396077,-0.6299095999999906,5.810297967,2022-12-02,130.85871102749678,10.445544520235842,130.85871102749678,16.796288627536,130.85871102749678,5.626290486478548,1.051723618459734,6.678014104938282,-4.5557,-15.7079,-16.03554238683128,-11.1522,0.3276423868312808,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-3,0.06994638275525245,0.15914366359871146,-1.6381417009602242,-2.2557000000000045,0.6430374485596673,-2.2439857142857136,-1.858699999999999,-1,1.0,1,-1,-1,-1,1.0,-3.0
1.5,-10,-10.066666666666668,-12.088294467306817,-14.420486190632802,90.4,92.43333333333332,100.5,102.5,Tue 12-06 12-06,A,148 (Ⅱ),George Mason,"L, 67-54",65,83.6,40.7,18.6,13.9,22.2,103.8,50.9,17.0,34.3,41.5,-13.0,14.5,134.0,92.32578125,94.2515625,91.8941929583905,93.07372154223924,103.7625,107.025,103.98248742569731,107.49420773287204,20221206,92.4,104.2,-11.799999999999995,103.2,102.3,0.9000000000000057,92.4248,104.598,-12.1731,69.2874,13.96616764693352,128.3741892977785,64.09843408933145,12.278799353529877,133.15938060716167,10.104197045716818,133.15938060716167,12.278799353529877,133.15938060716167,10.104197045716818,124.01623483250546,11.53611194467102,103.757,99.8166,3.94083,65.0352,92.4,104.2,-11.799999999999995,103.2,102.3,0.9000000000000057,12.202710681504518,125.47288665719232,0,92.84062684,105.1707687,-12.330141859999998,-9.537320343,98.23955465,98.26389851,-0.024343860000001882,-1.107492686,2022-12-06,128.2012203833649,7.102619460581096,128.2012203833649,9.219211871209893,128.2012203833649,-2.27899749378559,-0.4831910608138976,-2.7621885545994878,2.1731,-13.5348,-15.926328257887521,-15.7079,2.3915282578875203,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.08364680132758417,0.1359544175428935,0.08480553269318314,2.1064333333333316,-1.6381417009602242,-1.6918500000000005,-2.2439857142857136,1,-1.0,1,-1,-1,1,-1.0,1.0
4.5,-16,-14.433333333333335,-13.492196311537883,-14.762215974154111,88.1,93.93333333333334,104.4,108.36666666666667,Sat 12-10 12-10,A,30 (I-A),Duke,"L, 82-55",71,77.9,47.3,25.5,15.2,3.6,116.2,58.3,26.9,48.3,21.7,0.5,31.5,136.5,90.212890625,92.32578125,90.62946197226034,92.16940853455937,104.08125,103.7625,104.12165828379824,106.93162450871348,20221210,92.4,104.3,-11.899999999999991,112.8,90.9,21.89999999999999,92.1459,104.325,-12.179,69.2831,25.999801379086506,131.26718552645403,64.93659564822192,26.182780967473782,134.95481224063235,22.579161291904224,134.95481224063235,26.182780967473782,134.95481224063235,22.579161291904224,128.55290075565173,20.514013959180673,113.454,90.9307,22.523,65.8897,92.4,104.3,-11.899999999999991,112.8,90.9,21.89999999999999,25.267028528987183,127.0924404052627,0,93.42217978,104.2877938,-10.86561402000001,-8.452652478,103.3244173,88.07391275,15.250504549999988,24.33213609,2022-12-10,127.07020096183719,23.251912609574966,127.07020096183719,22.410224292019926,127.07020096183719,-0.5822638855787918,-0.2566938690748426,-0.8389577546536344,-3.8209999999999997,-17.355800000000002,-15.129152171925014,-13.5348,-2.226647828074988,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.0013498980316301035,0.025367429284710807,-1.313196311537883,-2.254333333333335,0.08480553269318314,-1.9284222222222223,-1.6918500000000005,-1,1.0,-1,-1,-1,-3,1.0,-1.0
23.5,20,-1.933333333333337,-2.1281308743585923,-8.332722160671548,127.3,101.93333333333334,106.7,103.86666666666667,Tue 12-20 12-20,A,93 (Ⅱ),Temple,"W, 86-78",72,119.9,56.6,22.3,45.9,37.7,108.8,55.4,22.3,28.1,35.7,31.5,15.5,132.5,108.7564453125,90.212890625,102.85297464817356,98.55678880100312,105.390625,104.08125,104.98110552253216,106.88951096167467,20221220,91.6,103.3,-11.700000000000005,106.7,100.5,6.200000000000003,91.8188,104.057,-12.2383,70.3329,15.32980668125208,134.0508832103946,66.70500295903271,16.291272034060817,138.6592156660447,15.553734954014988,138.6592156660447,16.291272034060817,138.6592156660447,15.553734954014988,127.8718718746555,9.587996995585549,105.178,100.189,4.98844,66.6738,91.6,103.3,-11.700000000000005,106.7,100.5,6.200000000000003,18.127611938158495,132.6361837747613,0,93.68759243,103.713848,-10.026255570000004,-8.551433988,99.23164075,100.7806192,-1.548978450000007,-0.88216914,2022-12-20,135.09421057208584,6.895425833207916,135.09421057208584,11.202862836417069,135.09421057208584,-3.62651224664679,-1.2652974910513528,-4.891809737698143,32.2383,14.8825,-15.871368114616677,-17.355800000000002,30.75386811461668,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.06994638275525245,0.18058378160142174,10.11016912564141,10.304966666666663,-1.313196311537883,1.4882500000000007,-1.9284222222222223,1,-1.0,1,1,-1,3,-3.0,1.0
