ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
2.5,-10,,-10.299999999999995,-10.299999999999995,84.0,0.0,94.3,0.0,Fri 11-11 11-11,A,90 (Ⅲ),Tulane,"L, 75-58",74,78.8,43.0,21.7,19.5,9.4,101.9,53.8,20.4,22.6,45.3,-18.5,19.5,151.5,84.0,0.0,84.0,84.0,94.3,0.0,94.3,94.3,20221111,95.7,108.4,-12.700000000000005,109.6,94.8,14.799999999999995,92.7231,108.245,-15.522,73.3051,25.506099780234806,152.81733882997844,75.26316993997156,26.10429929239821,161.7201839231829,24.13524223306746,161.7201839231829,26.10429929239821,161.7201839231829,24.13524223306746,132.99555117951382,2.7394195160376995,106.974,94.2928,12.6817,72.1778,95.7,108.4,-12.700000000000005,109.6,94.8,14.799999999999995,24.13524223306746,132.99555117951382,0,100.0211,98.12676037,1.8943396300000046,0.170306,101.1408604,101.2764137,-0.1355533000000122,-4.420059368,2022-11-11,154.16185486737794,-1.3922647168556352,154.16185486737794,22.826867863773742,154.16185486737794,0.0,0.0,0.0,5.522,5.522,0.0,0.0,5.522,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,3,0.0316454161166726,0.39708593188936026,5.222000000000005,,0.0,5.522,0.0,1,0.0,1,1,1,3,0.0,0.0
-20.0,-49,,-23.333333333333336,-17.409090909090907,91.1,0.0,140.5,0.0,Fri 11-18 11-18,H,311 (Ⅳ),Western Carolina,"L, 88-69",67,102.5,47.4,16.3,29.3,39.7,130.7,69.0,17.8,35.7,62.0,7.5,-1.0,149.5,87.55,84.0,86.36666666666667,85.29090909090908,117.4,94.3,109.7,102.7,20221118,95.8,108.1,-12.299999999999995,95.6,104.9,-9.300000000000011,93.2992,108.313,-15.014,72.2749,-0.12677383883293203,146.43284682414878,73.78198073840684,-2.154696554383719,153.67376877563498,-4.545036873867543,153.67376877563498,-2.154696554383719,153.67376877563498,-4.545036873867543,111.59693359379037,12.45482468815679,94.6267,104.051,-9.4246,71.7659,95.8,108.1,-12.299999999999995,95.6,104.9,-9.300000000000011,-4.393974204934211,111.59326970377278,0,94.19573425,110.6305928,-16.43485855,-23.33082223,98.95040613,92.83110655,6.119299580000003,2.835173924,2022-11-18,148.04572965946306,17.45160411567597,148.04572965946306,-1.9572883850284484,148.04572965946306,-3.061960000000008,0.0,-3.061960000000008,-33.986000000000004,-28.464000000000006,5.522,5.522,-33.986000000000004,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,3,0.5379371440662541,0.11777683932705307,-8.319333333333336,,5.222000000000005,-14.232,5.522,-1,1.0,-1,-1,1,-3,3.0,0.0
-25.0,-47,-35.800000000000004,-31.45555555555556,-22.916528925619836,82.3,85.8,130.0,121.6,Sat 11-19 11-19,H,356 (Ⅳ),Lindenwood,"L, 78-60",70,86.2,41.8,25.9,28.9,34.5,112.1,59.6,14.4,18.8,26.3,-11.0,-7.0,149.0,84.925,87.55,85.01111111111112,84.74710743801653,123.7,117.4,116.46666666666668,107.66363636363636,20221119,96.1,110.9,-14.800000000000011,84.4,110.3,-25.89999999999999,93.5472,110.467,-16.9203,71.2274,-5.808071210553635,146.203762804846,71.9410924688478,-13.235728762568243,147.1348169128978,0.12864428162355893,147.1348169128978,-13.235728762568243,147.1348169128978,0.12864428162355893,134.83233100297895,1.0794453934381494,91.3117,110.39,-19.078,71.0044,96.1,110.9,-14.800000000000011,84.4,110.3,-25.89999999999999,0.5534040368612423,134.97048284480945,0,94.19573425,110.6305928,-16.43485855,-23.33082223,89.19582653,97.53786757,-8.342041039999998,-7.971742179,2022-11-19,140.08437404182428,9.350411088018916,140.08437404182428,-0.7903341839231217,140.08437404182428,4.6947462962963,-8.319333333333335,-3.6245870370370348,-30.0797,-58.5437,-5.8066666666666675,-28.464000000000006,-52.737033333333336,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.7475074624530771,0.4590591370213347,-14.535255555555558,-18.879700000000003,-8.319333333333336,-19.514566666666667,-14.232,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
1.5,-12,-36.53333333333334,-25.13703703703704,-21.02261457550713,88.8,87.39999999999999,101.3,123.93333333333334,Sun 11-20 11-20,H,359 (Ⅳ),Lamar,"W, 66-57",65,100.8,52.8,22.9,32.4,30.2,87.1,42.6,22.9,34.2,11.5,-18.0,-7.5,141.0,86.8625,84.925,86.27407407407408,85.48399699474079,112.5,123.7,111.41111111111113,106.50661157024793,20221120,95.2,112.9,-17.700000000000003,89.2,109.9,-20.700000000000003,93.5472,110.467,-16.9203,71.2274,-7.236781168013437,141.7427597636051,71.7580086682788,-7.095485740469655,150.8050733516548,12.959489225464466,150.8050733516548,-7.095485740469655,150.8050733516548,12.959489225464466,161.01085704754178,16.99836844515582,87.7043,108.464,-20.7597,70.8237,95.2,112.9,-17.700000000000003,89.2,109.9,-20.700000000000003,13.003352702404992,161.1261417601457,0,87.3281058,112.1028992,-24.774793399999993,-33.39959771,106.7414555,103.7659478,2.9755076999999943,4.559417694,2022-11-20,153.75800071970815,25.5191412655454,153.75800071970815,12.60909935145991,153.75800071970815,23.779877777777756,-15.7561574074074,8.023720370370357,4.920300000000001,-53.623400000000004,-23.38567777777778,-58.5437,-30.237722222222224,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.7624747379730235,0.05273522617368953,-8.216737037037039,-19.613033333333338,-14.535255555555558,-13.405850000000001,-19.514566666666667,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
7.5,-5,-21.766666666666666,-18.458024691358027,-18.127593743596744,103.4,91.5,108.5,113.26666666666668,Wed 11-23 11-23,A,15 (I-A),Baylor,"L, 89-60",68,87.8,47.1,30.7,36.1,30.8,130.2,66.7,16.1,34.5,28.3,-4.0,36.5,153.0,95.13125,86.8625,91.98271604938272,88.74145208660609,110.5,112.5,110.44074074074076,106.86904583020284,20221123,94.8,112.2,-17.400000000000006,117.6,93.8,23.8,92.4374,111.445,-19.0072,68.9763,36.466334334426875,154.18143770326137,70.63663705348506,35.57213548005762,160.5360636152833,47.44991386225062,160.5360636152833,35.57213548005762,160.5360636152833,47.44991386225062,161.00965017479152,34.487537642497195,118.359,93.183,25.1758,71.9922,94.8,112.2,-17.400000000000006,117.6,93.8,23.8,47.112890621830864,160.52651315600536,0,89.04053985,108.4280494,-19.387509550000004,-27.24744875,115.5189883,93.65202639,21.86696191,21.29520803,2022-11-23,151.6742730923979,36.20786364587003,151.6742730923979,43.80065031936734,151.6742730923979,17.285577513227533,-13.442151481481488,3.843426031746045,14.007200000000001,-39.616200000000006,-33.46491851851852,-53.623400000000004,-6.151281481481483,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,3,0.00025429546349076126,0.0005107678335726229,0.5491753086419742,-2.7594666666666647,-8.216737037037039,-7.92324,-13.405850000000001,1,-1.0,-1,-1,-1,-1,-3.0,-3.0
6.5,-11,-9.733333333333334,-16.172016460905354,-16.940758517488245,112.8,101.66666666666669,124.4,111.4,Mon 11-28 11-28,A,256 (Ⅲ),Tennessee Martin,"L, 86-83",69,119.8,59.5,14.4,39.5,42.9,124.1,57.8,11.5,27.8,50.0,23.5,9.5,145.5,103.965625,95.13125,98.92181069958848,93.11573352540498,117.45,110.5,115.09382716049384,110.05649204289324,20221128,94.8,111.9,-17.10000000000001,99.8,108.2,-8.400000000000006,92.6426,111.693,-19.0502,67.2245,9.811949687598926,140.84198439198963,68.79877730227597,10.639808274757726,151.1407125387534,15.789638163538928,151.1407125387534,10.639808274757726,151.1407125387534,15.789638163538928,139.53731585079962,17.11919741961978,95.8151,106.258,-10.4428,71.9463,94.8,111.9,-17.10000000000001,99.8,108.2,-8.400000000000006,15.797532557295586,139.6104534629781,0,89.02225242,109.384664,-20.36241158,-28.34944164,96.11890034,96.82923073,-0.71033039000001,1.702206035,2022-11-28,135.19164915975188,22.344870312116214,135.19164915975188,15.010918812821792,135.19164915975188,11.20723915343915,-6.9086407407407435,4.298598412698406,8.0502,-31.566000000000006,-35.515345679012356,-39.616200000000006,3.9493456790123496,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.182795768782416,0.051508518288598704,2.878183539094646,9.316866666666666,0.5491753086419742,-5.260999999999999,-7.92324,1,1.0,1,-1,-1,1,-1.0,-3.0
-1.0,-17,-11.266666666666666,-16.481344307270234,-16.969711514308564,85.7,100.63333333333333,102.8,111.9,Wed 11-30 11-30,A,4 (I-A),Tennessee,"L, 76-40",66,60.9,30.4,36.5,43.9,19.6,115.7,52.8,16.7,45.9,63.0,-17.5,35.0,133.5,94.8328125,103.965625,94.51454046639232,91.7674183389677,110.125,117.45,110.99588477366255,108.73712985327629,20221130,95.9,113.2,-17.299999999999997,108.3,85.2,23.099999999999994,94.1379,112.785,-18.6472,66.8722,33.006927251105566,130.30483696065903,63.96083363698436,30.59616660050245,134.8668215611683,36.63595493984064,134.8668215611683,30.59616660050245,134.8668215611683,36.63595493984064,129.475520719241,26.347472285166646,110.64,83.5232,27.1171,67.2394,95.9,113.2,-17.299999999999997,108.3,85.2,23.099999999999994,34.2945096981312,124.2566271011193,0,93.7003812,109.6849208,-15.984539600000005,-24.32545119,100.0669116,79.81679847,20.250113130000003,20.07098905,2022-11-30,121.78947880274654,30.149139972163958,121.78947880274654,29.142306699929286,121.78947880274654,-3.302585067607213,6.068065049970533,2.7654799823633205,1.6472000000000016,-29.918800000000005,-34.198897119341574,-31.566000000000006,4.280097119341569,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.0004290603331967846,0.006048824713263179,2.1658556927297674,7.380533333333336,2.878183539094646,-4.274114285714287,-5.260999999999999,1,1.0,1,-1,-1,1,1.0,-1.0
19.0,3,-8.4,-9.820896204846823,-13.24794578443428,81.7,93.4,78.2,101.8,Fri 12-09 12-09,A,221 (Ⅳ),Northern Iowa,"W, 52-49",63,82.0,50.0,33.1,30.0,16.7,77.2,35.5,28.4,42.9,30.9,-36.0,16.0,137.0,88.26640624999999,94.8328125,90.2430269775949,89.93697864097358,94.1625,110.125,100.06392318244173,103.18492442540786,20221209,95.8,113.6,-17.799999999999997,101.6,104.4,-2.800000000000012,94.2638,113.57,-19.306,65.9736,16.315816927858826,133.629976345298,62.85228856899005,13.833565704163775,139.32355377624253,14.288079099840104,139.32355377624253,13.833565704163775,139.32355377624253,14.288079099840104,136.9969974605991,11.602777232423684,102.662,102.345,0.316707,66.974,95.8,113.6,-17.799999999999997,101.6,104.4,-2.800000000000012,16.45010383651609,134.73161494172962,0,92.75891818,110.24735,-17.488431820000002,-24.88053954,98.71677387,104.1482478,-5.431473929999996,-5.736484003,2022-12-09,132.81619948345923,13.522932110015937,132.81619948345923,8.451757778784398,132.81619948345923,-9.131069053171341,6.792241491932851,-2.33882756123849,22.306,-7.612800000000004,-32.77219807956105,-29.918800000000005,25.159398079561047,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.06377814989000363,0.13457407429814972,9.485103795153178,10.906,2.1658556927297674,-0.9515999999999991,-4.274114285714287,1,1.0,1,-1,-1,1,1.0,1.0
-10.5,-26,-13.5,-15.51393080323122,-15.730137459991685,80.1,82.5,107.0,96.0,Sun 12-11 12-11,A,42 (I-A),Iowa St.,"L, 77-40",66,60.6,46.1,45.5,29.6,28.9,116.7,63.6,21.2,27.6,21.8,-12.0,26.5,129.0,84.18320312499999,88.26640624999999,86.86201798506326,88.14843706988746,100.58125,94.1625,102.3759487882945,103.87857452987916,20221211,94.8,111.3,-16.5,102.8,89.1,13.700000000000005,94.0182,111.424,-17.4056,65.8357,23.156968154021868,125.57033142588442,62.22869029701282,22.70321215888434,127.6653992424118,13.592824315720087,127.6653992424118,22.70321215888434,127.6653992424118,13.592824315720087,114.66229690144114,16.082685781865216,104.829,90.4766,14.3527,66.4484,94.8,111.3,-16.5,102.8,89.1,13.700000000000005,23.326097376907978,116.11691760182941,0,91.79425866,105.0365917,-13.242333040000005,-21.79373089,96.42793156,88.49589075,7.932040810000004,13.45689626,2022-12-11,117.02783488346907,23.605776283209906,117.02783488346907,11.979066044075957,117.02783488346907,-17.922889124209632,11.71108967383021,-6.21179945037942,-8.5944,-16.207200000000004,-24.385732053040705,-7.612800000000004,8.178532053040701,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.005804540573384642,0.06280017182717423,1.8916691967687793,3.9055999999999997,9.485103795153178,-1.8007999999999988,-0.9515999999999991,1,1.0,1,-1,-1,1,1.0,1.0
4.0,-7,-10.300000000000002,-12.84262053548748,-14.233748830902284,104.7,88.83333333333333,112.2,99.13333333333333,Thu 12-15 12-15,H,131 (Ⅲ),Louisiana Lafayette,"L, 78-70",66,105.9,46.2,15.1,36.6,18.2,118.0,67.3,22.7,29.2,36.7,8.5,12.0,139.5,94.4416015625,84.18320312499999,92.8080119900422,91.15781214808972,106.390625,100.58125,105.65063252552966,105.39156097899205,20221215,93.9,111.0,-17.099999999999994,106.9,102.0,4.900000000000006,92.9735,111.212,-18.2386,66.1096,10.723003880337316,136.5876500402299,64.70869713911807,11.205234878183305,141.93908959371612,5.515817654719452,141.93908959371612,11.205234878183305,141.93908959371612,5.515817654719452,132.56213869062063,6.744799596558828,105.804,102.245,3.55911,68.8103,93.9,111.0,-17.099999999999994,106.9,102.0,4.900000000000006,13.393598086151533,135.14070675051775,0,90.27731603,105.59658,-15.319263970000009,-22.37553616,101.510532,101.3220238,0.18850820000000112,1.761672958,2022-12-15,131.59947136867393,13.993775498419673,131.59947136867393,7.252892493354437,131.59947136867393,-7.0291477275531395,8.552381584108105,1.523233856554965,11.238600000000002,-4.968600000000002,-21.65955470202714,-16.207200000000004,16.69095470202714,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,3,0.12654895447355774,0.2603191267600541,5.395979464512521,7.938599999999999,1.8916691967687793,-0.4968599999999981,-1.8007999999999988,1,1.0,1,-1,-1,1,1.0,1.0
