ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
7.0,30,,30.90000000000001,30.90000000000001,120.4,0.0,89.5,0.0,Mon 11-07 11-07,A,92 (Ⅱ),Vanderbilt,"W, 76-67",66,115.0,55.7,19.7,33.3,35.8,101.4,51.8,19.7,27.8,26.8,3.5,-2.0,139.5,120.4,0.0,120.4,120.4,89.5,0.0,89.5,89.5,20221107,106.0,88.8,17.2,102.3,94.0,8.3,107.221,88.7397,18.4813,72.3686,-1.425949752964783,139.24504220987515,72.31558459601708,-2.56282812028968,140.6992943696895,-24.000322187464892,140.6992943696895,-2.56282812028968,140.6992943696895,-24.000322187464892,161.46532145724646,3.0311481721535927,104.959,93.7724,11.187,70.2485,106.0,88.8,17.2,102.3,94.0,8.3,-24.000322187464892,161.46532145724646,0,104.2262846,94.60599052,9.620294079999994,10.18590909,98.96611442,90.96036235,8.00575207,7.014325825,2022-11-07,139.34095444357584,-0.09457430431632474,139.34095444357584,-4.153084023349265,139.34095444357584,0.0,0.0,0.0,11.518699999999999,11.518699999999999,0.0,0.0,11.518699999999999,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,-3,0.5755320005597261,0.386412836716687,12.418700000000008,,0.0,11.518699999999999,0.0,1,0.0,1,1,1,3,0.0,0.0
-3.0,-1,,20.266666666666676,25.1,107.8,0.0,108.8,0.0,Tue 11-15 11-15,A,94 (Ⅱ),Saint Louis,"L, 90-84",78,107.4,46.4,12.8,34.1,37.1,115.1,52.5,14.1,27.3,60.0,29.5,3.0,144.5,114.1,120.4,116.20000000000002,118.1090909090909,99.15,89.5,95.93333333333334,93.0090909090909,20221115,107.4,90.4,17.0,109.4,94.8,14.600000000000009,108.255,90.0581,18.1969,71.8117,2.484823008285673,146.733844046229,72.85557448406828,2.0123759638161545,149.46568741624827,-13.063517946878548,149.46568741624827,2.0123759638161545,149.46568741624827,-13.063517946878548,159.7529340331949,6.063075958059088,111.147,94.5332,16.6133,71.3219,107.4,90.4,17.0,109.4,94.8,14.600000000000009,-13.050335151713313,159.71893749134546,0,104.2262846,94.60599052,9.620294079999994,10.18590909,106.6538041,94.35233735,12.301466750000003,14.2421194,2022-11-15,148.48335465984422,5.244291936067711,148.48335465984422,-1.036151980312411,148.48335465984422,-4.720633333333328,0.0,-4.720633333333328,-19.1969,-7.6782,11.518699999999999,11.518699999999999,-19.1969,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.38754848109799234,0.28182254614340174,2.069766666666677,,12.418700000000008,-3.839100000000002,11.518699999999999,1,1.0,-1,-1,1,-1,3.0,0.0
4.5,28,19.46666666666667,23.01111111111112,25.71818181818182,97.7,108.63333333333333,69.2,89.16666666666667,Sun 11-20 11-20,H,80 (Ⅱ),VCU,"W, 62-47",69,90.3,46.5,26.2,33.3,22.8,68.4,34.5,26.2,28.2,23.6,-27.0,-10.5,136.0,105.9,114.1,110.03333333333336,114.398347107438,84.17500000000001,99.15,87.02222222222223,88.68016528925618,20221120,108.5,92.1,16.400000000000006,99.0,89.7,9.299999999999995,108.893,90.8957,17.9971,72.9046,-10.817297194455108,140.90346260551578,74.36435127965862,-8.681070972987882,143.3921315476174,-5.6121450992870985,143.3921315476174,-8.681070972987882,143.3921315476174,-5.6121450992870985,140.53023031853368,-7.853790803861955,99.473,91.5673,7.90568,71.7076,108.5,92.1,16.400000000000006,99.0,89.7,9.299999999999995,-5.6057074777510145,140.33162676501144,0,101.2521277,96.80046807,4.451659630000009,3.080151361,91.50088652,92.64181795,-1.140931430000009,-0.489373003,2022-11-20,138.71507854395028,-4.763628090154697,138.71507854395028,-9.761023986286546,138.71507854395028,0.7941269629629595,2.069766666666677,2.8638936296296365,10.0029,2.3247,5.1197333333333335,-7.6782,-2.7950333333333335,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.8413447460685429,0.7727639124955761,5.01401111111112,1.469566666666669,2.069766666666677,0.7748999999999988,-3.839100000000002,1,1.0,-1,1,-1,1,-1.0,3.0
-2.5,11,13.0,19.17407407407408,23.133057851239663,106.4,103.96666666666664,94.9,90.96666666666664,Thu 11-24 11-24,N,62 (Ⅱ),Seton Hall,"L, 70-69",73,94.5,49.0,23.3,28.1,56.9,95.9,48.0,23.3,25.7,58.8,1.0,-1.5,138.0,106.15,105.9,108.82222222222224,112.9441021788129,89.53750000000001,84.17500000000001,89.64814814814815,89.81104432757323,20221124,108.3,90.8,17.5,105.9,90.8,15.100000000000009,109.108,90.829,18.2792,70.5369,-1.3335605921088103,135.79897591426476,68.80438129118066,-1.53529261402727,137.02486580193408,-0.16095714940903458,137.02486580193408,-1.53529261402727,137.02486580193408,-0.16095714940903458,128.6882246938797,11.017694994266975,108.12,91.7918,16.3282,68.5733,108.3,90.8,17.5,105.9,90.8,15.100000000000009,-0.495575078416272,128.46879044750162,0,101.2960006,96.44771227,4.848288330000003,3.965268449,105.9073632,85.39988894,20.50747426000001,24.34992397,2022-11-24,132.90926493344966,14.025536109562537,132.90926493344966,-2.6637488801359694,132.90926493344966,-1.7931614814814836,2.7984814814814882,1.0053200000000047,-7.2791999999999994,-4.9544999999999995,4.188055555555556,2.3247,-9.142555555555555,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,3,0.5567984968164682,0.14701904720739511,0.8948740740740817,-5.2791999999999994,5.01401111111112,-1.238624999999999,0.7748999999999988,1,1.0,-1,-1,1,-1,1.0,-1.0
2.0,22,20.966666666666665,20.41604938271605,23.090683696468812,117.6,107.23333333333332,94.7,86.26666666666667,Fri 11-25 11-25,N,117 (Ⅱ),Nebraska,"W, 73-61",66,110.7,56.8,19.7,33.3,18.6,92.5,52.0,30.3,36.7,23.5,-4.5,-10.0,138.5,111.875,106.15,111.74814814814818,113.79062905539236,92.11875,89.53750000000001,91.33209876543212,90.69994535892354,20221125,108.4,91.0,17.400000000000006,104.1,98.2,5.899999999999992,108.774,90.6681,18.1063,70.8301,-9.389735979136525,135.38174380090268,67.5050147081081,-8.103938918872345,139.13437769128603,-9.605614870789793,139.13437769128603,-8.103938918872345,139.13437769128603,-9.605614870789793,132.89132077934406,-7.380242622240026,103.44,99.0736,4.36664,66.9998,108.4,91.0,17.400000000000006,104.1,98.2,5.899999999999992,-9.873084415526716,132.7601513285144,0,102.7413787,95.22518325,7.516195449999998,6.964816746,96.87945408,100.1787385,-3.2992844199999922,-0.66492625,2022-11-25,134.9840325481068,-5.1504591316406305,134.9840325481068,-11.176889815310432,134.9840325481068,-3.5194377918871282,0.35525296296296816,-3.16418482892416,3.893699999999999,-1.0608000000000004,1.1405370370370378,-4.9544999999999995,-2.201337037037038,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.8295480920359348,0.7589348098109396,2.309749382716049,2.860366666666664,0.8948740740740817,-0.2121600000000008,-1.238624999999999,1,1.0,-1,-1,-1,-1,-1.0,1.0
2.0,15,16.73333333333333,18.877366255144032,21.765104842565396,92.1,105.36666666666667,76.3,88.63333333333333,Sun 11-27 11-27,N,114 (Ⅲ),Stanford,"W, 56-48",62,91.0,44.4,16.3,21.2,20.4,78.0,37.9,24.4,34.9,10.3,-33.0,-6.0,137.0,101.9875,111.875,105.19876543209878,109.8468783180483,84.209375,92.11875,86.32139917695474,88.08177347548289,20221127,108.7,90.9,17.799999999999997,106.3,93.8,12.5,109.294,91.0682,18.2257,69.8857,-4.0413242047507225,134.44058675892228,67.58682828947369,-3.6932257056042204,137.50308801562386,-6.821039990215526,137.50308801562386,-3.6932257056042204,137.50308801562386,-6.821039990215526,129.4872969592853,1.2028831710942995,106.459,94.2043,12.2544,67.9875,108.7,90.9,17.799999999999997,106.3,93.8,12.5,-6.680368128342588,131.8208404121552,0,102.7011977,95.6010165,7.100181199999994,7.175855551,102.079153,93.3304182,8.748734800000008,14.13117047,2022-11-27,133.9391797106799,4.700876751296676,133.9391797106799,-6.51339151456628,133.9391797106799,-3.7389415961199344,2.715595167548507,-1.0233464285714273,-3.2257,-4.2865,0.40675802469135847,-1.0608000000000004,-4.693258024691358,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.7161454169013237,0.45439682344227816,0.6516662551440326,-1.492366666666669,2.309749382716049,-0.7144166666666685,-0.2121600000000008,1,1.0,-1,-1,-1,-1,-1.0,-1.0
-7.5,16,18.36666666666666,18.051577503429357,20.789631234826228,113.8,107.83333333333331,97.4,89.46666666666665,Wed 11-30 11-30,H,286 (Ⅳ),North Alabama,"W, 87-68",71,123.2,61.7,15.6,33.3,28.3,96.3,47.6,15.6,23.5,21.0,12.5,-26.5,142.5,107.89375,101.9875,108.06584362139918,110.56562771476678,90.8046875,84.209375,90.01426611796984,89.77599647994055,20221130,108.5,90.1,18.40000000000001,97.5,108.0,-10.5,108.414,89.7052,18.7085,68.3278,-26.020584197106587,138.17864941320852,67.83929996756756,-24.377056143101328,143.07605282650093,-24.160370176632558,143.07605282650093,-24.377056143101328,143.07605282650093,-24.160370176632558,141.75417338007946,-13.422674786362194,95.2607,109.11,-13.8488,69.7974,108.5,90.1,18.40000000000001,97.5,108.0,-10.5,-26.609689297750652,144.30479234863984,0,103.1127597,92.53624224,10.576517459999991,10.5357211,105.5526233,107.7853453,-2.2327220000000096,-0.13870391,2022-11-30,145.39975988935825,-9.2397012929477,145.39975988935825,-24.381756158043935,145.39975988935825,-1.4196021399176875,1.7968270429159254,0.37722490299823797,-2.708500000000001,-6.995000000000001,-1.1576613168724277,-4.2865,-5.837338683127573,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.9941954594266154,0.8994369737196186,-0.6569224965706439,-0.34183333333334076,0.6516662551440326,-0.9992857142857154,-0.7144166666666685,-1,1.0,-1,-1,-1,-3,-1.0,-1.0
4.5,27,19.933333333333326,21.234385002286235,22.027880101221456,110.0,105.3,82.4,85.36666666666667,Sat 12-03 12-03,H,104 (Ⅲ),Mississippi,"W, 68-57",67,101.7,39.9,16.4,50.0,23.2,85.2,37.3,23.9,46.3,20.6,-9.0,-6.5,134.0,108.946875,107.89375,108.71056241426612,110.4627863120819,86.60234375,90.8046875,87.4761774119799,88.43490621086045,20221203,108.4,90.3,18.10000000000001,108.0,95.0,13.0,108.647,90.4056,18.2415,68.2202,-6.6169611874004985,126.24054958434542,63.189954925746804,-7.181391192798095,130.18276166590678,-9.814663335770238,130.18276166590678,-7.181391192798095,130.18276166590678,-9.814663335770238,117.78169327893168,-7.1903096598226455,108.232,94.5759,13.6562,65.1164,108.4,90.3,18.10000000000001,108.0,95.0,13.0,-7.325687232900092,123.83553467235593,0,101.43022,91.51422483,9.915995170000002,8.080572053,101.4392751,97.16662303,4.272652070000007,3.756351088,2022-12-03,124.27313312323969,-4.606508466157607,124.27313312323969,-8.025510366235721,124.27313312323969,-4.45379378796787,0.4262704552877459,-4.027523332680124,8.758500000000002,1.7635000000000005,-3.1034408779149523,-6.995000000000001,4.866940877914953,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,3,0.732057505466481,0.7532622173053996,2.9928850022862363,1.691833333333328,-0.6569224965706439,0.22043749999999918,-0.9992857142857154,1,-1.0,1,1,-1,3,-3.0,-1.0
-12.0,5,16.499999999999996,15.989590001524158,19.02281099190846,101.5,108.43333333333334,96.0,91.93333333333334,Tue 12-06 12-06,H,339 (Ⅳ),Little Rock,"W, 87-71",78,112.2,58.7,19.3,34.4,30.2,91.6,41.4,21.9,38.1,24.3,8.0,-28.0,150.0,105.2234375,108.946875,106.30704160951076,108.83318880079428,91.301171875,86.60234375,90.3174516079866,89.81037780888582,20221206,109.2,89.7,19.5,98.8,113.2,-14.400000000000006,109.056,90.1916,18.8642,67.845,-27.058954460777507,143.26960309042408,68.32792514935988,-28.649232985544586,149.23469626493093,-30.256124834787585,149.23469626493093,-28.649232985544586,149.23469626493093,-30.256124834787585,149.50382590861534,-18.46347584941433,97.4684,111.712,-14.2441,70.8004,109.2,89.7,19.5,98.8,113.2,-14.400000000000006,-33.43280743735059,148.68629572683935,0,102.3605297,90.14742645,12.213103250000003,12.01955711,100.396295,108.6713135,-8.275018500000002,-5.057507731,2022-12-06,141.60842039874586,-13.648184320887829,141.60842039874586,-31.31965870367995,141.60842039874586,-11.072949479336778,2.5863195720926626,-8.486629907244115,-13.8642,-12.1007,-1.4811272519433019,1.7635000000000005,-10.619572748056697,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,3,0.9961696194324102,0.9606624968463927,-2.874609998475842,-2.364200000000004,2.9928850022862363,-1.3445222222222206,0.22043749999999918,-1,1.0,-1,-1,1,-3,3.0,-3.0
10.0,28,20.566666666666663,20.193060001016107,20.76411808428874,117.5,109.66666666666669,88.9,89.10000000000001,Sat 12-10 12-10,N,27 (I),Auburn,"W, 82-73",78,105.6,53.3,24.5,40.0,41.7,94.0,42.9,19.3,27.5,38.1,16.0,1.0,139.0,111.36171875,105.2234375,110.03802773967384,110.4089726551953,90.1005859375,91.301171875,89.84496773865774,89.64485457090657,20221210,109.0,90.2,18.8,106.2,87.7,18.5,108.409,90.6312,17.7775,68.6268,2.9190130348136023,130.26417869382948,67.31088355049788,0.13751831024845274,131.99095694194483,2.358836360980119,131.99095694194483,0.13751831024845274,131.99095694194483,2.358836360980119,121.66347351675809,4.387099930423155,109.704,87.6936,22.0107,68.952,109.0,90.2,18.8,106.2,87.7,18.5,1.5927214455164778,122.99315218703644,0,100.1748382,90.85498091,9.319857290000002,8.100504076,99.28960314,83.70196152,15.58764162,17.37260141,2022-12-10,120.04083268052173,6.24113063917757,120.04083268052173,1.7606789578817512,120.04083268052173,0.27444458803859817,-0.15732946077142174,0.11711512726717643,10.2225,-1.8781999999999996,-5.020984834628868,-12.1007,3.142784834628868,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.46206285593374585,0.3380397140980068,2.4155600010161073,2.789166666666663,-2.874609998475842,-0.18781999999999854,-1.3445222222222206,1,-1.0,1,-1,-1,1,-3.0,3.0
