ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-3.0,2,,2.6999999999999886,2.6999999999999886,116.1,0.0,113.4,0.0,Tue 11-08 11-08,A,206 (Ⅲ),East Carolina,"L, 77-75",67,112.0,55.4,16.4,34.3,41.1,115.0,55.2,20.9,40.0,36.2,19.5,-1.0,132.5,116.1,0.0,116.1,116.1,113.4,0.0,113.4,113.4,20221108,97.0,100.1,-3.0999999999999943,94.9,99.2,-4.299999999999997,100.596,100.958,-0.362366,69.6577,-0.273575758413358,137.7236334837408,70.392425242532,2.971178391924468,137.7415098622678,-6.015468257220732,137.7415098622678,2.971178391924468,137.7415098622678,-6.015468257220732,183.7237722574393,5.534534545446576,94.5232,100.727,-6.20348,71.0415,97.0,100.1,-3.0999999999999943,94.9,99.2,-4.299999999999997,-6.015468257220732,183.7237722574393,0,99.17911534,103.7781086,-4.59899326,-9.113068761,99.38791166,102.0183895,-2.6304778399999975,-4.106825556,2022-11-08,147.24749917833435,5.364722653190569,147.24749917833435,1.053352251329244,147.24749917833435,0.0,0.0,0.0,2.362366,2.362366,0.0,0.0,2.362366,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.5379371440662541,0.2990625844030065,3.062365999999989,,0.0,2.362366,0.0,1,0.0,1,1,1,3,0.0,0.0
2.0,-7,,-0.7333333333333387,0.8272727272727189,108.0,0.0,115.6,0.0,Tue 11-15 11-15,A,268 (Ⅳ),Georgia St.,"L, 85-83 OT",79,104.7,55.1,21.5,35.5,52.5,107.3,46.2,15.1,31.7,43.9,36.0,4.0,132.0,112.05,116.1,113.4,114.62727272727273,114.5,113.4,114.13333333333334,113.8,20221115,99.7,102.5,-2.799999999999997,98.9,99.8,-0.8999999999999915,101.724,101.969,-0.244859,68.9498,0.4689777528825658,136.2908939465243,68.91547221906116,5.2898805133099245,141.8061658859777,0.9042058852576531,141.8061658859777,5.2898805133099245,141.8061658859777,0.9042058852576531,138.05566798933984,0.01631906290202778,95.1117,100.141,-5.02896,70.265,99.7,102.5,-2.799999999999997,98.9,99.8,-0.8999999999999915,0.9042058852576531,138.05566798933984,0,99.17911534,103.7781086,-4.59899326,-9.113068761,95.09305651,105.2100945,-10.11703799,0.055803764,2022-11-15,143.18116946136746,8.161019022701815,143.18116946136746,3.203328979686404,143.18116946136746,0.0,0.0,0.0,-6.755141,-4.392775,2.362366,2.362366,-6.755141,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,3,0.35161929169946593,0.4993799655669374,-0.48847433333333873,,3.062365999999989,-2.1963875,2.362366,-1,1.0,-1,-1,1,-3,3.0,0.0
5.5,2,-0.8333333333333334,0.3111111111111093,1.113223140495862,107.5,110.53333333333336,105.1,111.36666666666667,Sat 11-19 11-19,H,267 (Ⅳ),Winthrop,"W, 77-68",65,118.8,59.8,13.9,25.8,26.8,104.9,50.9,17.0,23.5,33.3,-1.0,-3.5,146.0,109.775,112.05,111.43333333333334,113.33140495867768,109.8,114.5,111.12222222222223,112.2181818181818,20221119,100.6,103.3,-2.700000000000003,99.2,104.4,-5.200000000000003,102.213,102.697,-0.484425,69.4503,-4.176427310846023,146.50440415416824,71.10001630113797,-6.0831581276476925,151.00946698859977,-4.097373882170099,151.00946698859977,-6.0831581276476925,151.00946698859977,-4.097373882170099,173.98673865312793,-8.193398776335101,100.75,101.331,-0.581264,71.9699,100.6,103.3,-2.700000000000003,99.2,104.4,-5.200000000000003,-4.159677896261493,174.00246508049983,0,106.0707157,103.6461171,2.424598599999996,4.875375355,106.88615,109.0830949,-2.1969449000000054,3.447122386,2022-11-19,164.87200826324434,-3.089130711719534,164.87200826324434,-3.3289606965658862,164.87200826324434,-1.7785777962962852,-0.4884743333333393,-2.2670521296296244,2.484425,-1.9083500000000004,0.11065233333333357,-4.392775,-2.019002333333334,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,3,0.6305586598182363,0.7823998148607887,0.7955361111111092,-0.3489083333333334,-0.48847433333333873,-0.6361166666666667,-2.1963875,1,-1.0,-1,-1,-1,-1,-3.0,3.0
-2.0,-7,-4.166666666666662,-2.225925925925926,-0.4164537941397488,106.5,107.33333333333331,113.8,111.5,Mon 11-21 11-21,A,164 (Ⅲ),Florida St.,"L, 81-72",69,105.1,47.0,10.2,26.3,22.7,118.2,52.5,10.2,35.3,41.7,9.5,7.0,143.5,108.1375,109.775,109.7888888888889,112.0893313298272,111.8,109.8,112.01481481481484,112.50578512396692,20221121,102.2,104.2,-2.0,103.1,98.7,4.399999999999992,103.953,103.808,0.144839,68.1502,7.933463681999612,145.94484515295284,68.670584457468,8.71430209910956,146.63342775947314,-0.04920810568772087,146.63342775947314,8.71430209910956,146.63342775947314,-0.04920810568772087,156.07604462736919,-1.0518088014085407,105.496,99.9285,5.56746,70.8368,102.2,104.2,-2.0,103.1,98.7,4.399999999999992,-0.06440156985318907,156.10547440770475,0,104.4726296,105.0326882,-0.5600585999999907,0.804419348,95.60646644,103.1282767,-7.521810259999995,-9.917062632,2022-11-21,146.25971895787995,-5.527335848996067,146.25971895787995,-2.5791745741012164,146.25971895787995,-13.24110816666667,-0.01027235185185299,-13.251380518518523,-7.144839,-9.053189,-0.5623484444444444,-1.9083500000000004,-8.490840555555556,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.2524925375469229,0.5398962184331275,-2.370764925925926,-4.311505666666662,0.7955361111111092,-2.26329725,-0.6361166666666667,-1,1.0,-1,-1,-1,-3,-1.0,-3.0
-1.0,7,0.833333333333338,0.9827160493827178,1.0047196229765702,100.2,104.73333333333332,92.8,103.9,Fri 11-25 11-25,N,251 (Ⅳ),Robert Morris,"W, 72-66",74,98.0,46.5,23.1,36.4,40.4,89.8,43.4,21.8,28.9,27.9,-2.5,-7.0,140.5,104.16875,108.1375,106.5925925925926,109.92763472440406,102.3,111.8,105.60987654320988,108.92291510142748,20221125,102.9,105.1,-2.1999999999999886,98.8,107.6,-8.799999999999997,104.424,104.602,-0.178031,67.1179,-6.699713962332879,136.713826464941,65.15133598264582,-4.598095857693281,143.36255649122091,-6.31329747565002,143.36255649122091,-4.598095857693281,143.36255649122091,-6.31329747565002,135.29986576554282,-2.5814338382768867,95.8657,105.926,-10.0598,68.2402,102.9,105.1,-2.1999999999999886,98.8,107.6,-8.799999999999997,-6.259273793371611,135.42743773432866,0,102.8035298,103.9952747,-1.1917448999999891,0.587875384,88.19613168,92.9766068,-4.7804751200000055,-6.174280927,2022-11-25,125.15074206349234,-4.405635177851295,125.15074206349234,-6.8753963561241775,125.15074206349234,0.6939416370370441,-2.0026416370370352,-1.308699999999991,7.178031,-1.8751579999999999,-3.3926286296296295,-9.053189,1.5174706296296296,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.7475074624530771,0.5971011507052246,1.1607470493827179,1.011364333333338,-2.370764925925926,-0.37503159999999996,-2.26329725,1,-1.0,1,-1,-1,1,-3.0,-1.0
-1.5,-5,-1.7999999999999972,-1.1781893004115211,-0.1779566721100789,94.1,100.26666666666668,99.6,102.06666666666666,Sat 11-26 11-26,N,234 (Ⅳ),Fairfield,"W, 60-58",63,95.0,48.0,20.6,24.1,30.0,91.8,41.5,15.8,29.7,18.6,-16.0,-3.5,134.0,99.134375,104.16875,102.4283950617284,107.0498829563306,100.95,102.3,103.60658436213993,107.22783962844066,20221126,102.9,104.4,-1.5,102.7,104.9,-2.200000000000003,103.977,104.325,-0.347441,68.0239,-2.714196867098835,133.70250632476984,63.44791386216215,-0.4710296129005229,140.11773183786357,-5.518993781907326,140.11773183786357,-0.4710296129005229,140.11773183786357,-5.518993781907326,143.0146560852675,-2.3149324710737744,99.4404,103.908,-4.46802,65.5709,102.9,104.4,-1.5,102.7,104.9,-2.200000000000003,-5.778086797810907,142.59442736343078,0,102.8035298,103.9952747,-1.1917448999999891,0.587875384,99.69726053,104.3108016,-4.613541070000011,-2.006615325,2022-11-26,137.35311164455118,-1.6461502302081215,137.35311164455118,-5.203870327740319,137.35311164455118,-2.5124934560846515,0.6825467294532676,-1.829946726631384,-4.652559,-6.527717,-2.886805086419753,-1.8751579999999999,-3.640911913580247,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,3,0.6305586598182363,0.5872473391680972,-0.8307483004115211,-1.4525589999999973,1.1607470493827179,-1.0879528333333333,-0.37503159999999996,-1,1.0,-1,-1,-1,-3,1.0,-3.0
-5.5,-8,-2.099999999999999,-3.518792866941016,-1.636510004453701,98.6,97.63333333333333,106.8,99.73333333333332,Sun 11-27 11-27,N,154 (Ⅲ),Towson,"L, 70-60",63,95.5,49.0,17.5,21.9,32.7,111.4,46.7,17.5,36.8,28.3,-3.0,4.5,133.0,98.8671875,99.134375,101.1522633744856,105.51354060063412,103.875,100.95,104.67105624142664,107.1500506050878,20221127,102.1,103.7,-1.6000000000000083,106.9,99.0,7.900000000000006,103.486,104.033,-0.547161,67.6713,4.783823951123743,131.60197970443625,61.83838047866288,6.2099816823239,134.62231323262768,3.1176140462589044,134.62231323262768,6.2099816823239,134.62231323262768,3.1176140462589044,136.64469528400485,1.6904607521233928,106.531,99.5813,6.94963,64.2405,102.1,103.7,-1.6000000000000083,106.9,99.0,7.900000000000006,3.9277960734387176,135.0084871966973,0,101.0606048,103.2885846,-2.2279798,-1.662608209,99.87645106,99.44498222,0.43146883999999375,-6.254456166,2022-11-27,129.36684118796313,-2.8395244106513644,129.36684118796313,-1.5575039689139984,129.36684118796313,-10.651180768845133,-0.04250396105232901,-10.693684729897463,-7.452839,-13.980556,-4.100442390946502,-6.527717,-9.880113609053499,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.3341175708976246,0.43604817232238735,-2.9716318669410158,-1.5528389999999992,-0.8307483004115211,-1.9972222857142856,-1.0879528333333333,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-7.0,-6,-6.86666666666667,-4.645861911294013,-2.5935081854621203,96.5,96.4,103.4,103.26666666666668,Fri 12-02 12-02,H,130 (Ⅲ),Kennesaw St.,"L, 66-63",65,96.7,54.0,24.6,25.9,26.0,101.3,47.4,13.8,22.9,26.3,-10.0,-4.0,139.0,97.68359375,98.8671875,99.60150891632377,103.87471503688244,103.6375,103.875,104.24737082761776,106.46822322234456,20221202,102.4,104.2,-1.7999999999999972,104.0,107.6,-3.5999999999999943,102.993,104.204,-1.21112,67.3583,-5.844218257934841,135.48973583882108,63.060495524182066,-5.136326617282293,141.5431793616849,-2.3467198718778515,141.5431793616849,-5.136326617282293,141.5431793616849,-2.3467198718778515,137.79453924032148,-2.8570505078280632,101.976,106.351,-4.37518,65.8145,102.4,104.2,-1.7999999999999972,104.0,107.6,-3.5999999999999943,-2.207608504218796,141.59007492911593,0,100.2571676,103.1071458,-2.8499781999999954,-1.310703533,99.78901985,101.3175475,-1.528527650000001,-1.641868683,2022-12-02,132.36804919745694,-1.9484615658888345,132.36804919745694,-0.9209465341564922,132.36804919745694,5.723446221079105,-1.966288263407147,3.7571579576719585,-4.78888,-18.769436,-7.393813593964334,-13.980556,-11.375622406035664,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6483807083005341,0.6072274538211144,-3.4347419112940125,-5.65554666666667,-2.9716318669410158,-2.3461795,-1.9972222857142856,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.5,-4,-6.5,-4.563907940862673,-2.921961242650824,92.9,96.0,97.3,102.5,Sat 12-10 12-10,A,191 (Ⅲ),Florida Gulf Coast,"L, 67-62",67,92.0,44.2,20.8,23.5,38.5,99.4,45.2,13.4,18.9,53.8,-10.0,6.5,139.0,95.291796875,97.68359375,97.36767261088252,101.8793123029038,100.46875,103.6375,101.93158055174518,104.80127354555464,20221210,102.2,105.0,-2.799999999999997,106.8,104.0,2.799999999999997,102.65,104.714,-2.06434,67.1588,5.692577790426654,134.1143690088694,62.87573081194878,7.726429057611398,141.13516278668368,10.711228071730625,141.13516278668368,7.726429057611398,141.13516278668368,10.711228071730625,133.70431104806346,8.844326310295841,103.777,102.844,0.932254,65.8166,102.2,105.0,-2.799999999999997,106.8,104.0,2.799999999999997,10.23346555999414,136.64104980447505,0,98.83460677,103.1517951,-4.317188330000008,-3.878994176,101.2172461,97.46456369,3.7526824099999914,-1.370360644,2022-12-10,129.75254102151217,3.2916341464893577,129.75254102151217,9.511097536082914,129.75254102151217,8.230817360316225,-3.0994596861377848,5.131357674178441,-1.93566,-20.705095999999998,-11.185687729309556,-18.769436,-9.519408270690441,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,-3,0.26794249453351904,0.19980532728068945,-2.4995679408626725,-4.43566,-3.4347419112940125,-2.3005662222222223,-2.3461795,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
21.0,29,6.100000000000004,6.82406137275822,2.991122619649328,120.2,103.2,90.6,97.09999999999998,Sat 12-17 12-17,H,252 (Ⅳ),Morehead St.,"W, 79-52",60,131.2,67.3,14.9,23.8,30.6,86.4,36.0,21.6,26.5,65.1,-2.5,-6.0,133.5,107.7458984375,95.291796875,104.97844840725502,105.21034642964857,95.534375,100.46875,98.1543870344968,102.21922380999924,20221217,101.4,104.1,-2.6999999999999886,95.5,101.4,-5.900000000000006,102.291,104.323,-2.03189,67.8352,-7.7086872074172845,133.70554654645247,65.00358699288762,-6.045223629464402,134.92059147137857,-7.311705627331043,134.92059147137857,-6.045223629464402,134.92059147137857,-7.311705627331043,126.77243291275944,-9.178068616644097,96.0339,103.939,-7.90496,67.3655,101.4,104.1,-2.6999999999999886,95.5,101.4,-5.900000000000006,-7.029074342409666,130.65575498132085,0,98.25665622,101.9976076,-3.7409513799999985,-3.003254397,92.68952248,104.6044475,-11.914925020000013,-9.371954356,2022-12-17,131.73459601060387,-5.8473632397431174,131.73459601060387,-2.755818534648853,131.73459601060387,5.669602212373159,-2.941094556718536,2.7285076556546235,31.03189,10.326794000000003,-14.358823819539705,-20.705095999999998,24.685617819539708,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.7161454169013237,0.8089685839839024,8.85595137275822,8.131890000000004,-2.4995679408626725,1.0326794,-2.3005662222222223,1,-1.0,1,1,-1,3,-3.0,-3.0
