ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-24.5,-35,,-35.400000000000006,-35.400000000000006,93.4,0.0,128.8,0.0,Tue 11-08 11-08,A,115 (Ⅱ),Duquesne,"L, 91-63",68,93.2,44.2,19.2,22.2,42.3,134.6,72.9,19.2,34.8,13.6,18.5,3.5,135.5,93.4,0.0,93.4,93.4,128.8,0.0,128.8,128.8,20221108,99.3,99.4,-0.1000000000000085,99.1,100.4,-1.3000000000000114,97.4322,101.197,-3.76513,69.8669,9.692715648751758,138.10146369673896,70.03376561180654,3.123354838529977,142.06640978394586,63.89236037359078,142.06640978394586,3.123354838529977,142.06640978394586,63.89236037359078,177.1572102451364,5.440614205794219,101.916,97.2673,4.6491,70.4679,99.3,99.4,-0.1000000000000085,99.1,100.4,-1.3000000000000114,63.89236037359078,177.1572102451364,0,95.6085793,102.2376648,-6.629085500000002,0.96924799,99.92619252,104.8433013,-4.917108779999992,-7.082304414,2022-11-08,145.13901500262102,-3.7377967521063766,145.13901500262102,1.1068136317289827,145.13901500262102,0.0,0.0,0.0,-31.23487,-31.23487,0.0,0.0,-31.23487,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.36944134018176367,0.30217550605315735,-31.634870000000006,,0.0,-31.23487,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-4.5,-8,,-26.333333333333336,-30.454545454545453,105.4,0.0,113.6,0.0,Fri 11-11 11-11,A,19 (I-A),Xavier,"L, 86-64",65,99.1,52.9,24.8,31.0,25.0,133.1,72.0,13.9,21.1,38.0,6.5,17.5,143.5,99.4,93.4,97.4,95.5818181818182,121.2,128.8,123.73333333333336,126.03636363636365,20221111,99.2,102.3,-3.0999999999999943,109.3,91.5,17.799999999999997,97.638,101.403,-3.76516,69.884,18.4130550921723,144.13437388063855,72.23570097866288,19.738806199847104,150.1045070509527,47.20956865422692,150.1045070509527,19.738806199847104,150.1045070509527,47.20956865422692,173.43387875299817,19.492650499111633,108.452,92.1341,16.3182,72.6657,99.2,102.3,-3.0999999999999943,109.3,91.5,17.799999999999997,47.20956865422692,173.43387875299817,0,95.6085793,102.2376648,-6.629085500000002,0.96924799,104.0227845,89.25207256,14.770711939999998,21.93321628,2022-11-11,142.05180386491276,17.39768165312418,142.05180386491276,17.2685222045572,142.05180386491276,0.0,0.0,0.0,-4.23484,-35.46971,-31.23487,-31.23487,-4.234839999999998,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,3,0.047790352272814696,0.03169522702694727,-22.568173333333334,,-31.634870000000006,-17.734855,-31.23487,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
13.0,23,-6.699999999999998,-9.722222222222229,-20.64462809917355,107.9,102.23333333333336,84.4,108.93333333333334,Thu 11-17 11-17,H,201 (Ⅳ),St. Thomas,"W, 78-59",67,116.3,50.0,13.4,33.3,45.6,87.9,39.0,17.9,18.9,54.0,-1.0,-6.0,138.0,103.65,99.4,100.90000000000002,97.8214876033058,102.8,121.2,110.62222222222223,118.46611570247934,20221117,100.7,104.3,-3.5999999999999943,104.1,107.3,-3.200000000000003,99.1823,103.435,-4.25243,67.5941,-4.304635128637301,139.03240058856923,65.37926345163585,-3.714417166369401,145.2543746975,21.468424056250807,145.2543746975,-3.714417166369401,145.2543746975,21.468424056250807,146.76776838300765,1.7511523391435304,102.975,108.03,-5.0547,67.9965,100.7,104.3,-3.5999999999999943,104.1,107.3,-3.200000000000003,21.502874387315035,146.67976279881358,0,99.01464557,105.4048156,-6.390170030000007,2.977269546,97.20475864,95.27666019,1.9280984499999931,5.747343681,2022-11-17,131.81364271570925,-0.09942254025396835,131.81364271570925,24.822615176854427,131.81364271570925,44.26515481481481,-22.568173333333323,21.69698148148148,27.25243,-8.217279999999999,-32.646483333333336,-35.46971,24.429203333333337,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.7161454169013237,0.43377298911878903,-5.469792222222228,-2.447569999999998,-22.568173333333334,-2.7390933333333334,-17.734855,-1,-1.0,1,-1,-1,-1,-3.0,-3.0
0.5,-6,2.8666666666666694,-8.71481481481482,-18.109241172051085,94.0,102.43333333333334,100.7,99.56666666666666,Fri 11-18 11-18,H,336 (Ⅳ),Merrimack,"W, 62-51",64,96.5,45.7,24.9,30.0,46.8,79.4,41.1,23.4,14.7,42.2,-15.5,-10.5,128.5,98.825,103.65,98.60000000000002,97.126671675432,101.75,102.8,107.31481481481482,115.23591284748308,20221118,101.4,103.4,-2.0,93.4,100.1,-6.699999999999989,99.6551,102.527,-2.87168,67.8551,-9.610888759622512,131.6193112708466,67.0541588623044,-7.196007781396048,136.22134961444212,-14.8386725702787,136.22134961444212,-7.196007781396048,136.22134961444212,-14.8386725702787,139.44879658105668,-4.6094454972446925,91.7293,103.291,-11.5621,69.4702,101.4,103.4,-2.0,93.4,100.1,-6.699999999999989,-14.829279829977791,139.58575136649256,0,99.01464557,105.4048156,-6.390170030000007,2.977269546,88.82128385,95.99325666,-7.17197281,-7.948122572,2022-11-18,129.68864769326973,-9.156781943689808,129.68864769326973,-8.053956976034428,129.68864769326973,-3.535527037037026,-6.808406296296303,-10.343933333333329,-3.12832,-11.3456,-24.50341555555556,-8.217279999999999,13.15781555555556,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.8413447460685429,0.6696673512600226,-5.843134814814821,5.738346666666669,-5.469792222222228,-2.8364,-2.7390933333333334,-1,-1.0,1,-1,-1,-1,-1.0,-3.0
-12.5,-8,2.699999999999998,-8.709876543209882,-16.398470049859977,102.0,101.3,110.7,98.6,Sat 11-19 11-19,H,152 (Ⅲ),Troy,"L, 73-62",66,94.4,42.5,18.3,27.8,37.7,111.1,44.1,10.7,30.6,42.4,3.0,-1.5,132.0,100.4125,98.825,99.73333333333336,98.012731370808,106.225,101.75,108.44320987654322,114.41120142066798,20221119,101.0,102.7,-1.7000000000000028,100.7,101.2,-0.5,99.0407,101.615,-2.57398,67.2696,-2.536310409811776,133.1810606659099,67.65771592830725,-3.154024197593472,142.5296748438272,5.97397678067355,142.5296748438272,-3.154024197593472,142.5296748438272,5.97397678067355,145.7166445768781,3.7500209393353146,98.2198,98.9839,-0.764181,70.7056,101.0,102.7,-1.7000000000000028,100.7,101.2,-0.5,5.9985606635779085,145.8454922123217,0,99.01464557,105.4048156,-6.390170030000007,2.977269546,107.488998,102.8795319,4.609466099999992,2.333127508,2022-11-19,148.9402834752166,-2.380528343185901,148.9402834752166,7.531524127548636,148.9402834752166,10.731522555555566,-2.207954592592604,8.523567962962963,-5.426019999999999,-16.77162,-20.11747703703704,-11.3456,3.3458570370370424,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,3,0.5567984968164682,0.36049168452587876,-6.135896543209881,5.273979999999998,-5.843134814814821,-3.3543239999999996,-2.8364,-1,-1.0,1,-1,-1,-1,-1.0,-1.0
-2.0,-4,-6.733333333333339,-7.406584362139926,-14.2896573135218,91.6,95.86666666666667,96.4,102.6,Sun 11-27 11-27,A,148 (Ⅲ),Air Force,"L, 59-56",61,92.4,48.0,21.5,27.6,21.6,97.4,52.3,14.9,10.7,53.5,-8.0,1.0,123.0,96.00625,100.4125,97.02222222222224,96.84678021247926,101.3125,106.225,104.42880658436216,111.13643752600107,20221127,100.6,103.4,-2.800000000000012,98.2,101.0,-2.799999999999997,99.7444,103.879,-4.13446,65.3637,2.496433034729627,117.06784714275923,58.07532202617354,3.3599387749070075,121.45540519517583,7.61209828770065,121.45540519517583,3.3599387749070075,121.45540519517583,7.61209828770065,124.18050565699467,5.880958690112934,96.8595,102.23,-5.37041,62.4612,100.6,103.4,-2.800000000000012,98.2,101.0,-2.799999999999997,6.736839947045648,120.49994319973227,0,93.09707416,104.8762175,-11.77914333999999,-4.413171431,94.82659865,102.1078651,-7.281266450000004,-7.989704124,2022-11-27,116.36742899316911,-0.5518160009652746,116.36742899316911,5.3004701746486305,116.36742899316911,10.203452455908273,-1.1377020105820081,9.065750445326264,0.1344599999999998,-16.637159999999998,-19.002191358024696,-16.77162,2.365031358024698,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,3,0.46206285593374585,0.2877085808617298,-3.272124362139926,-2.598873333333339,-6.135896543209881,-2.77286,-3.3543239999999996,-1,-1.0,1,-1,-1,-1,-1.0,-1.0
-1.0,-9,-7.533333333333336,-7.971056241426615,-13.346083256517836,101.5,98.36666666666667,110.6,105.90000000000002,Tue 11-29 11-29,A,88 (I),Southern Miss,"L, 64-54",56,97.2,46.8,14.4,10.3,21.3,115.2,45.8,7.2,32.3,54.2,-10.5,9.0,128.5,98.753125,96.00625,98.51481481481484,97.69282017384666,105.95625,101.3125,106.48587105624144,111.03890343036451,20221129,99.9,103.3,-3.3999999999999915,101.7,102.0,-0.2999999999999971,99.0579,103.27,-4.21222,65.2972,4.701553101798218,122.31499899059,61.20084564096728,5.6304934006639655,130.22712829384966,16.504348350795834,130.22712829384966,5.6304934006639655,130.22712829384966,16.504348350795834,118.76707560170128,23.38583760564574,98.2175,100.275,-2.05781,65.8898,99.9,103.3,-3.3999999999999915,101.7,102.0,-0.2999999999999971,20.31452813460567,121.49098042446147,0,92.93059253,104.1087221,-11.178129569999996,-4.035876034,104.9010955,83.1275988,21.773496699999995,7.97041422,2022-11-29,117.8451098120272,9.095286432490703,117.8451098120272,19.321525469662426,117.8451098120272,29.093860908583153,-4.850101797472027,24.243759111111125,-4.78778,-21.42494,-18.213847572016462,-16.637159999999998,-3.2110924279835373,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.19568296915377603,0.012966199235534881,-3.7588362414266143,-3.3211133333333356,-3.272124362139926,-3.060705714285714,-2.77286,-1,-1.0,-1,-1,-1,-3,-1.0,-1.0
25.0,35,7.099999999999999,6.419295839048924,-4.519522664423683,125.7,106.26666666666668,90.5,99.16666666666669,Tue 12-06 12-06,H,219 (Ⅳ),South Dakota St.,"W, 81-56",66,123.3,64.2,15.2,29.2,37.7,85.3,35.4,18.3,18.2,52.1,-1.0,0.0,138.0,112.2265625,98.753125,107.57654320987658,102.78503468769271,98.228125,105.95625,101.15724737082763,107.30455735211642,20221206,99.8,104.5,-4.700000000000003,101.9,100.8,1.1000000000000083,99.6622,104.674,-5.01217,63.8467,0.9656406558490858,131.7662142336968,63.019780791607396,0.05816499541865028,133.89523435409706,-6.998450145055686,133.89523435409706,0.05816499541865028,133.89523435409706,-6.998450145055686,131.5728682958104,0.7637720916970423,104.002,101.78,2.22159,69.3895,99.8,104.5,-4.700000000000003,101.9,100.8,1.1000000000000083,0.8815655067826714,128.67109441789435,0,95.74300017,102.9310079,-7.188007729999995,-0.25629702,93.95073105,94.30383075,-0.35309970000000135,-7.086403883,2022-12-06,120.88553903463318,-6.004089278874588,120.88553903463318,0.03577960515226408,120.88553903463318,-3.289008809746857,-5.286925052256816,-8.575933862003673,40.01217,18.587229999999998,-19.284211714677642,-21.42494,37.871441714677644,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,-3,0.5,0.47100642945918014,11.431465839048924,12.112169999999999,-3.7588362414266143,2.32340375,-3.060705714285714,1,-1.0,1,1,-1,3,-3.0,-1.0
4.5,2,9.433333333333335,5.012863892699284,-3.297791270892103,117.4,114.86666666666667,115.2,105.43333333333334,Sat 12-10 12-10,A,245 (Ⅳ),North Dakota St.,"W, 82-75",67,123.1,61.3,15.0,26.9,39.6,112.6,47.2,13.5,32.4,59.3,18.5,-2.5,138.5,114.81328125,112.2265625,110.8510288065844,105.44230110811222,106.7140625,98.228125,105.8381649138851,108.74009237900432,20221210,102.0,103.9,-1.9000000000000057,96.4,105.9,-9.5,101.025,103.553,-2.52818,63.6008,0.6780976395760092,131.2644021670369,63.226523314936,-1.3181387611391528,134.99512810304682,-3.0710189785308297,134.99512810304682,-1.3181387611391528,134.99512810304682,-3.0710189785308297,126.88138114601418,2.561845201930865,98.4879,105.67,-7.18208,69.8863,102.0,103.9,-1.9000000000000057,96.4,105.9,-9.5,-2.8151557709894637,130.39499498172202,0,98.55037765,101.3564091,-2.806031449999992,6.616621635,97.19426291,101.5997685,-4.40550558999999,-4.735963657,2022-12-10,128.91701204403677,-5.39085528850709,128.91701204403677,-3.1870428577644887,128.91701204403677,-3.4231938538459588,4.934469208009457,1.511275354163498,4.52818,23.115409999999997,-6.660397809785097,18.587229999999998,29.775807809785093,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.5940963859982835,0.4036211189455091,7.5410438926992835,11.961513333333336,11.431465839048924,2.5683788888888883,2.32340375,1,1.0,1,1,1,3,3.0,-3.0
-2.0,0,12.433333333333335,3.3085759284661918,-2.7163746761844467,119.4,120.83333333333331,119.5,108.4,Sat 12-17 12-17,N,290 (Ⅳ),Prairie View A&M,"W, 81-76",71,114.8,67.6,19.8,11.1,27.5,107.7,52.6,14.2,22.2,38.6,26.0,-7.0,131.0,117.106640625,114.81328125,113.70068587105628,107.9800645430009,113.10703125,106.7140625,110.39210994259008,110.69643921918536,20221217,103.3,104.7,-1.4000000000000057,97.7,103.4,-5.700000000000003,102.742,104.375,-1.63361,63.7699,-4.032662462767348,127.63960277256902,61.59564575661451,-2.86041191555843,132.31950517269348,-4.563530557384606,132.31950517269348,-2.86041191555843,132.31950517269348,-4.563530557384606,127.11491177123852,3.538471989009956,96.6123,104.552,-7.94008,67.9031,103.3,104.7,-1.4000000000000057,97.7,103.4,-5.700000000000003,0.14496902964018057,129.02380271827514,0,101.1500496,102.6476712,-1.4976216000000022,6.610695155,100.3496349,96.30714711,4.042487789999996,6.055586857,2022-12-17,126.82508839155722,-0.3419225408016615,126.82508839155722,-2.205382562449927,126.82508839155722,0.8551804405312549,6.960596523155678,7.8157769636869325,1.63361,24.749019999999998,3.264871460143267,23.115409999999997,21.484148539856733,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.7475074624530771,0.3680594555657839,4.942185928466191,14.066943333333334,7.5410438926992835,2.474902,2.5683788888888883,1,1.0,1,1,1,3,3.0,3.0
