ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
12.0,-1,,-1.9000000000000057,-1.9000000000000057,113.3,0.0,115.2,0.0,Mon 11-07 11-07,A,33 (I-A),Virginia,"L, 73-61",59,102.6,49.1,13.5,22.9,26.4,122.8,54.3,13.5,34.5,63.8,7.0,24.0,127.0,113.3,0.0,113.3,113.3,115.2,0.0,115.2,115.2,20221107,97.3,105.1,-7.8,106.1,89.0,17.1,95.663,101.716,-6.05266,70.0619,22.759540727086723,125.26973111387608,63.81901596315789,19.952664638088706,130.22637709976487,19.75135254011338,130.22637709976487,19.952664638088706,130.22637709976487,19.75135254011338,170.69652285872203,6.502472303998687,111.447,86.7871,24.6594,64.0359,97.3,105.1,-7.8,106.1,89.0,17.1,19.75135254011338,170.69652285872203,0,97.53290008,97.77274437,-0.23984428999999352,2.17272298,100.4507192,96.02708347,4.423635730000001,0.140423527,2022-11-07,125.76775045823082,5.05266,5.05266,0.0,0.0,5.05266,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.0111354894796164,0.2678649456004095,4.152659999999995,,0.0,5.05266,0.0,1,0.0,1,1,1,3,0.0,0.0
1.0,1,,-0.6666666666666716,-1.2272727272727324,101.0,0.0,99.2,0.0,Thu 11-10 11-10,A,148 (Ⅲ),Appalachian St.,"L, 79-74 OT",79,93.6,46.3,17.7,20.6,19.1,99.9,50.0,10.1,14.6,35.9,12.0,6.0,141.0,107.15,113.3,109.20000000000002,111.06363636363636,107.2,115.2,109.86666666666667,112.29090909090908,20221110,97.7,105.6,-7.899999999999991,97.2,98.6,-1.3999999999999917,95.8689,101.922,-6.05278,70.079,5.614502836907491,134.22261697477057,69.31052345519203,8.432060094620326,141.33753353742253,5.2958518700267945,141.33753353742253,8.432060094620326,141.33753353742253,5.2958518700267945,158.89825418330105,0.37378442336301987,96.7421,100.04,-3.29804,69.5291,97.7,105.6,-7.899999999999991,97.2,98.6,-1.3999999999999917,5.2958518700267945,158.89825418330105,0,97.53290008,97.77274437,-0.23984428999999352,2.17272298,96.14249575,101.3749394,-5.2324436500000076,-4.868304612,2022-11-10,136.78595947600613,7.05278,12.105440000000002,5.05266,5.05266,7.052780000000001,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,3,0.2838545830986763,0.4858012456132157,5.386113333333329,,4.152659999999995,6.052720000000001,5.05266,1,1.0,1,1,1,3,3.0,0.0
-4.5,-13,-4.666666666666671,-5.077777777777783,-3.531404958677691,100.3,104.86666666666667,114.2,109.53333333333336,Mon 11-14 11-14,A,39 (I-A),Liberty,"L, 79-63",66,95.8,51.9,19.8,16.1,25.0,120.2,61.5,16.7,32.3,11.5,6.5,11.5,135.5,103.725,107.15,106.23333333333336,109.1066115702479,110.7,107.2,111.31111111111112,112.6380165289256,20221114,98.6,105.9,-7.300000000000011,104.3,96.0,8.299999999999997,96.4515,102.368,-5.91687,69.9412,13.116405285609787,135.71322548203113,67.8761935317212,14.979139166568608,142.94530296818866,1.4317574630320546,142.94530296818866,14.979139166568608,142.94530296818866,1.4317574630320546,154.21386063883872,1.9509208922985835,104.681,96.791,7.89042,68.2244,98.6,105.9,-7.300000000000011,104.3,96.0,8.299999999999997,1.3396638560334544,154.3059542458373,0,97.53290008,97.77274437,-0.23984428999999352,2.17272298,99.7109697,102.7546199,-3.0436501999999876,-1.039467394,2022-11-14,137.43850464458114,-7.08313,5.022310000000002,7.403586666666667,12.105440000000002,-2.3812766666666656,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.13670617005697383,0.426300022057982,0.8390922222222175,1.250203333333329,5.386113333333329,1.674103333333334,6.052720000000001,1,1.0,-1,1,1,1,3.0,3.0
7.5,0,-4.033333333333336,-3.385185185185189,-2.889331329827202,84.8,95.36666666666666,84.8,99.40000000000002,Sat 11-26 11-26,H,202 (Ⅳ),Gardner Webb,"W, 58-53",68,84.9,41.4,21.9,28.2,20.7,77.6,38.9,26.3,33.3,38.9,-25.0,2.5,136.0,94.2625,103.725,99.0888888888889,104.68722764838463,97.75,110.7,102.47407407407408,107.57655897821184,20221126,99.4,107.5,-8.099999999999994,96.4,99.5,-3.0999999999999943,98.2787,104.562,-6.28353,68.1184,-0.7235415448241582,130.62969823711205,65.85934967624466,-0.6367283347183985,136.69124231239834,-3.3716568005150505,136.69124231239834,-0.6367283347183985,136.69124231239834,-3.3716568005150505,136.1801852408063,-5.101303587532357,97.5036,99.18,-1.67638,67.9686,99.4,107.5,-8.099999999999994,96.4,99.5,-3.0999999999999943,-3.3975423760992345,136.11728461760413,0,100.3843259,98.89019695,1.4941289499999897,-1.300887729,95.77333295,96.52898452,-0.7556515699999977,-4.677615154,2022-11-26,129.44543707723363,6.28353,11.305840000000002,6.609827777777779,5.022310000000002,4.6960122222222225,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,3,0.4059036140017165,0.686459140068869,2.898344814814811,2.250196666666664,0.8390922222222175,2.82646,1.674103333333334,1,1.0,1,1,1,3,1.0,3.0
14.0,17,1.0333333333333314,3.409876543209873,0.7269107301413804,119.2,101.43333333333332,102.2,100.4,Tue 11-29 11-29,H,174 (Ⅲ),UNC Asheville,"W, 79-66",67,118.2,61.8,23.9,32.0,33.3,98.7,62.0,29.9,26.9,34.8,2.0,1.0,143.0,106.73125,94.2625,105.7925925925926,107.32591353049652,99.975,97.75,102.38271604938272,106.59900280035514,20221129,98.2,105.7,-7.5,104.0,105.1,-1.0999999999999943,97.2193,102.96,-5.7404,67.7103,-0.8338227016381552,137.9123957159385,67.67071403513513,0.5222208098754919,147.6532623102657,-1.7357044623691966,147.6532623102657,0.5222208098754919,147.6532623102657,-1.7357044623691966,139.90219220786472,-2.0446658556921733,101.691,103.069,-1.37756,70.2589,98.2,105.7,-7.5,104.0,105.1,-1.0999999999999943,-1.5023110445542767,140.14862523869365,0,97.34268551,96.31259786,1.0300876499999987,0.992849267,99.00972837,95.57342183,3.436306540000004,4.550611448,2022-11-29,130.58191217220087,22.7404,34.046240000000004,8.175165185185186,11.305840000000002,25.87107481481482,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.46206285593374585,0.577197869468762,9.150276543209873,6.773733333333332,2.898344814814811,6.809248,2.82646,1,1.0,1,1,1,3,3.0,1.0
2.5,-6,3.5,0.106584362139916,-0.5870730389752343,107.8,103.93333333333334,114.3,100.43333333333334,Thu 12-01 12-01,A,177 (Ⅲ),Radford,"L, 80-78",71,109.4,56.1,22.4,37.1,7.6,112.2,64.6,19.6,19.2,62.5,26.0,4.5,132.0,107.265625,106.73125,106.46172839506175,107.41211107040624,107.1375,99.975,106.3551440329218,107.99918410938147,20221201,99.3,105.0,-5.700000000000003,98.6,104.7,-6.1000000000000085,98.529,102.761,-4.23159,67.034,2.5642330439495353,126.9304351679666,63.58398982361308,3.506122137492298,135.42639093614684,3.028839729873563,135.42639093614684,3.506122137492298,135.42639093614684,3.028839729873563,131.9895423627177,10.511181104243406,96.8581,102.606,-5.74757,66.6819,99.3,105.0,-5.700000000000003,98.6,104.7,-6.1000000000000085,3.059316732586857,132.41893186214932,0,99.93625408,97.0173443,2.918909779999993,5.410599429,104.2576881,90.46415072,13.79353737999999,8.385700172,2022-12-01,125.2248511635274,-1.7684100000000003,32.27783,16.79885679012346,34.046240000000004,15.478973209876543,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,-3,0.3341175708976246,0.15839772446516198,4.338174362139916,7.73159,9.150276543209873,5.379638333333334,6.809248,1,1.0,1,1,1,3,3.0,3.0
7.0,-2,2.699999999999998,-0.7289437585733911,-0.91669612279792,108.1,111.7,110.5,109.0,Tue 12-06 12-06,A,15 (I-A),Marquette,"L, 90-78",73,106.6,53.2,21.9,38.2,19.0,123.0,71.1,21.9,22.2,28.1,22.5,19.0,145.5,107.6828125,107.265625,107.00781893004118,107.53718178487784,108.81875,107.1375,107.73676268861456,108.45387790767576,20221206,100.1,105.9,-5.800000000000011,111.5,94.6,16.900000000000006,99.7224,103.925,-4.20267,67.8684,18.03936721838351,144.3235431887775,68.78042386173541,20.66797535566411,150.3429395386528,18.277474529465724,150.3429395386528,20.66797535566411,150.3429395386528,18.277474529465724,148.0366159277115,10.946704254455355,111.01,95.1642,15.8459,71.2447,100.1,105.9,-5.800000000000011,111.5,94.6,16.900000000000006,17.452404067186563,148.35547807293503,0,101.5471614,97.91098262,3.6361787799999945,6.235628176,108.374409,94.76877953,13.605629469999997,12.32189847,2022-12-06,142.73110264843268,2.2026700000000003,34.4805,21.958514526748974,32.27783,12.521985473251025,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,3,0.03518483230489555,0.14857993937747382,3.4737262414266095,6.902669999999999,4.338174362139916,4.925785714285714,5.379638333333334,1,1.0,1,1,1,3,3.0,3.0
4.0,-11,-6.833333333333333,-4.352629172382259,-2.859115009561933,84.5,100.13333333333333,96.1,106.96666666666664,Tue 12-13 12-13,A,159 (Ⅲ),LSU,"L, 67-57",68,83.6,50.0,20.5,11.8,14.5,98.3,44.4,16.1,35.7,28.6,-17.5,14.0,141.5,96.09140625,107.6828125,99.50521262002746,103.3486032785364,102.459375,108.81875,103.8578417924097,106.20771828809832,20221213,101.0,106.7,-5.700000000000003,104.1,94.5,9.599999999999994,101.061,104.788,-3.72735,68.4837,14.52671134059532,139.63260197449821,67.10808360213372,14.72608339155343,142.34051663386225,10.547142985143282,142.34051663386225,14.72608339155343,142.34051663386225,10.547142985143282,140.75099437906817,0.595501014159197,107.138,95.3458,11.7922,68.8879,101.0,106.7,-5.700000000000003,104.1,94.5,9.599999999999994,11.361833327463787,137.92962886862003,0,103.2416834,99.57617048,3.6655129199999976,5.067439738,97.01957601,98.10223655,-1.0826605400000062,-7.317958925,2022-12-13,136.01481195817118,-7.2726500000000005,27.20785,26.13250968449932,34.4805,1.0753403155006822,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.09121121972586788,0.4773863585187279,-0.625279172382259,-3.105983333333333,3.4737262414266095,3.40098125,4.925785714285714,-1,1.0,1,1,1,1,3.0,3.0
4.5,-5,-6.466666666666664,-4.70175278158817,-3.3210940987324893,100.7,97.76666666666664,106.1,104.23333333333332,Sat 12-17 12-17,A,202 (Ⅲ),Gardner Webb,"L, 72-70",72,97.6,51.8,25.1,26.7,32.7,100.4,51.9,22.3,39.4,50.0,10.5,6.5,131.5,98.395703125,96.09140625,99.90347508001832,102.86703904607523,104.2796875,102.459375,104.60522786160648,106.18813314480772,20221217,100.6,105.8,-5.200000000000003,93.7,95.4,-1.7000000000000028,100.796,103.884,-3.08851,68.4714,4.726242051399389,127.1630298068838,65.15087799601707,5.763493570258582,130.44895437008253,2.8225315700748235,130.44895437008253,5.763493570258582,130.44895437008253,2.8225315700748235,118.79041192247907,2.105687134441851,95.2359,96.3675,-1.13166,66.8908,100.6,105.8,-5.200000000000003,93.7,95.4,-1.7000000000000028,4.156562708801644,125.34632481212276,0,101.5482458,98.43172329,3.11652251000001,4.744005493,93.67580816,92.83902352,0.8367846400000047,-3.721815002,2022-12-17,124.58773772306786,-1.9114900000000001,25.29636,26.49095645633288,27.20785,-1.1945964563328815,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.26794249453351904,0.42052850086426974,-1.6132427815881702,-3.3781566666666643,-0.625279172382259,2.8107066666666665,3.40098125,-1,-1.0,-1,1,1,-1,1.0,3.0
0.0,-7,-8.066666666666663,-5.534501854392115,-4.026349717144765,99.1,94.76666666666668,106.3,102.83333333333331,Tue 12-20 12-20,H,336 (Ⅳ),The Citadel,"W, 81-74",76,107.1,52.7,19.8,34.4,61.8,97.8,52.5,22.5,24.2,25.0,12.5,-7.0,142.5,98.7478515625,98.395703125,99.63565005334554,102.18212285587973,105.28984375,104.2796875,105.17015190773763,106.2084725730245,20221220,100.6,105.4,-4.800000000000011,95.5,106.6,-11.099999999999994,100.876,103.498,-2.62251,69.1425,-8.372312478325185,139.88797043013585,67.09625574324325,-8.528743346219414,143.08883066605057,-7.735537474240045,143.08883066605057,-8.528743346219414,143.08883066605057,-7.735537474240045,144.3758099735658,-9.705707779400242,97.888,107.053,-9.16539,68.2195,100.6,105.4,-4.800000000000011,95.5,106.6,-11.099999999999994,-10.762206228148061,141.37787711856438,0,101.6357004,97.45859761,4.177102790000006,5.908472162,96.52556787,101.0261435,-4.50057563,-3.654728747,2022-12-20,135.46347003486943,-4.37749,20.91887,26.09275763755526,25.29636,-5.173887637555261,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.7475074624530771,0.822348753355054,-2.911991854392115,-5.444156666666663,-1.6132427815881702,2.091887,2.8107066666666665,-1,-1.0,-1,1,1,-1,-1.0,1.0
