ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,WinorLose,Score,WinnerScore,LoserScore,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
3.0,-9,,-9.600000000000009,-9.600000000000009,91.3,0.0,100.9,0.0,Mon 11-07 11-07,A,24 (I-A),Michigan St.,"L, 73-55",65,84.0,38.3,18.3,26.7,21.7,111.5,51.5,13.7,34.2,12.3,-16.0,21.0,144.0,91.3,0.0,91.3,91.3,100.9,0.0,100.9,100.9,20221107,L, 73-55,73,55,97.6,104.6,-7.0,107.9,91.0,16.9,96.624,104.221,-7.59714,68.8842,21.592549896915763,139.51534792058627,69.35953037581793,21.08772569673892,143.7076255295822,24.47703699678913,143.7076255295822,21.08772569673892,143.7076255295822,24.47703699678913,125.30814056906588,24.8910997885693,108.922,90.9471,17.975,70.7851,97.6,104.6,-7.0,107.9,91.0,16.9,24.47703699678913,125.30814056906588,0,95.89929494,106.4956989,-10.59640395999999,-10.32756957,109.1712448,90.61731582,18.553928979999995,17.58301069,2022-11-07,144.86764582281145,-1.4028600000000004,-1.4028600000000004,0.0,0.0,-1.4028600000000004,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,-3,0.02275013194817921,0.008880077588203306,-2.002860000000009,,0.0,-1.4028600000000004,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
0.5,-14,,-11.066666666666674,-10.400000000000006,102.6,0.0,116.6,0.0,Thu 11-10 11-10,A,51 (I),Arizona St.,"L, 84-68",71,96.3,48.2,17.0,17.1,31.6,119.0,63.5,22.7,39.3,72.9,17.5,16.5,134.5,96.95,91.3,95.06666666666666,93.35454545454544,108.75,100.9,106.13333333333334,103.75454545454544,20221110,L, 84-68,84,68,98.0,105.1,-7.099999999999994,101.3,89.5,11.799999999999995,96.8311,104.428,-7.59722,68.9014,16.514871301822538,140.76545854440934,72.74615692631579,17.996280884906596,144.8361377063606,9.40497689906043,144.8361377063606,17.996280884906596,144.8361377063606,9.40497689906043,111.04741640394626,10.833444602723887,101.183,91.1708,10.012,74.2228,98.0,105.1,-7.099999999999994,101.3,89.5,11.799999999999995,9.40497689906043,111.04741640394626,0,95.89929494,106.4956989,-10.59640395999999,-10.32756957,93.54895116,94.24626591,-0.6973147500000039,-3.969413149,2022-11-10,141.5366379898643,-6.40278,-7.80564,-1.4028600000000004,-1.4028600000000004,-6.40278,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,3,0.05804156686932749,0.15109307080798207,-3.4694466666666735,,-2.002860000000009,-3.90282,-1.4028600000000004,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
6.5,3,-6.86666666666667,-6.377777777777784,-7.963636363636368,114.1,102.66666666666669,111.1,109.53333333333336,Sat 11-12 11-12,A,56 (I),Utah Valley,"L, 73-69",65,106.0,45.5,15.4,38.1,14.9,112.1,57.7,16.9,24.2,38.5,6.0,10.5,136.0,105.525,96.95,101.41111111111113,97.12644628099171,109.925,108.75,107.7888888888889,105.0900826446281,20221112,L, 73-69,73,69,99.0,106.5,-7.5,103.0,96.0,7.0,98.0956,105.685,-7.58948,68.8068,11.248344078658377,140.18562049318518,69.95987668677097,14.599944665196787,146.9166266618406,10.059550600460728,146.9166266618406,14.599944665196787,146.9166266618406,10.059550600460728,128.78026422701478,18.476583792890594,100.097,97.1096,2.98715,71.4781,99.0,106.5,-7.5,103.0,96.0,7.0,10.03501600612313,128.68652043316635,0,95.89929494,106.4956989,-10.59640395999999,-10.32756957,105.6540117,96.40897656,9.245035139999999,7.988009567,2022-11-12,147.1951107331567,10.58948,2.7838399999999996,-3.5371200000000003,-7.80564,6.3209599999999995,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,-3,0.15865525393145707,0.0392314934339969,1.2117022222222156,0.7228133333333302,-3.4694466666666735,0.9279466666666654,-3.90282,1,-1.0,1,1,-1,3,-3.0,-3.0
18.0,13,0.7333333333333343,0.1481481481481443,-4.115702479338845,90.3,102.33333333333331,77.1,101.59999999999998,Fri 11-18 11-18,H,123 (Ⅲ),UC Santa Barbara,"W, 63-54",68,93.3,46.6,17.8,20.0,20.7,79.9,35.1,22.2,20.6,51.1,-20.0,9.0,137.0,97.9125,105.525,97.70740740740742,95.88527422990232,93.5125,109.925,97.55925925925928,100.00097670924116,20221118,W, 63-54,63,54,100.1,107.2,-7.1000000000000085,105.9,96.1,9.800000000000011,99.6383,106.267,-6.62909,68.2486,5.5392136209006395,137.7590798714972,66.37152079516359,7.796333916860618,142.3738626779178,6.235293490158378,142.3738626779178,7.796333916860618,142.3738626779178,6.235293490158378,131.76407676206122,-7.0523069235982305,105.013,97.7122,7.30094,68.3665,100.1,107.2,-7.1000000000000085,105.9,96.1,9.800000000000011,6.328680957758123,131.7260466761745,0,102.8591,95.86481701,6.994282990000002,5.612515309,92.28560018,91.12755324,1.1580469400000055,10.60431959,2022-11-18,124.07933938868604,19.629089999999998,22.412929999999996,-1.4301333333333341,2.7838399999999996,23.84306333333333,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.19568296915377603,0.7490961822325497,6.777238148148144,7.362423333333334,1.2117022222222156,5.6032325,0.9279466666666654,1,1.0,1,1,1,3,3.0,-3.0
1.5,-22,-1.9333333333333325,-7.23456790123457,-7.367392937640872,74.2,92.86666666666667,96.2,94.8,Mon 11-21 11-21,N,6 (I-A),Texas,"L, 73-48",70,68.2,34.3,29.8,30.8,27.8,103.7,56.3,21.3,24.2,28.6,-11.5,26.5,132.5,86.05625,97.9125,89.87160493827162,91.9424970971928,94.85625,93.5125,97.1061728395062,99.30989003483369,20221121,L, 73-48,73,48,100.4,105.7,-5.299999999999997,113.3,89.9,23.39999999999999,99.9126,104.936,-5.0231,67.9783,22.97332466890844,133.33701160032845,65.1549281601707,19.711140779430785,140.33555776979384,24.09541808388203,140.33555776979384,19.711140779430785,140.33555776979384,24.09541808388203,123.5654998174381,14.396918311590198,114.882,85.1912,29.691,67.3802,100.4,105.7,-5.299999999999997,113.3,89.9,23.39999999999999,23.953950553085036,123.27010787265073,0,100.9081582,93.22062984,7.687528360000002,-1.597143623,108.3100168,78.70693994,29.60307686,25.23691785,2022-11-21,120.53741848910131,-16.9769,5.436029999999995,6.517554444444443,22.412929999999996,-1.0815244444444474,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.005804540573384642,0.08516642601886737,-2.2114679012345695,3.0897666666666677,6.777238148148144,1.087206000000001,5.6032325,-1,1.0,-1,1,1,-1,3.0,3.0
-16.0,-11,-6.766666666666666,-8.656378600823047,-8.118776039887987,106.6,90.36666666666666,118.1,97.13333333333333,Tue 11-22 11-22,A,258 (Ⅳ),UT Rio Grande Valley,"L, 91-79",74,106.2,54.8,24.2,30.6,21.0,122.3,53.6,16.1,35.5,62.5,22.5,-4.0,147.5,96.328125,86.05625,95.4477366255144,94.60749762497592,106.478125,94.85625,104.10411522633746,102.7262736648639,20221122,L, 91-79,91,79,99.0,105.2,-6.200000000000003,89.3,111.6,-22.3,99.4046,104.277,-4.8721,68.5697,-3.0228858083827106,149.14490713456428,71.71805387852062,-7.936367671820662,149.63997434078732,-5.602885238367026,149.63997434078732,-7.936367671820662,149.63997434078732,-5.602885238367026,143.420364129289,-1.8328340247650345,95.4902,110.324,-14.8335,73.5278,99.0,105.2,-6.200000000000003,89.3,111.6,-22.3,-5.2966591135479115,143.84263626575557,0,101.1957717,95.39533878,5.8004329199999916,-0.53281682,103.6467225,105.8736076,-2.226885100000004,8.548496852,2022-11-22,150.97362207909873,-6.1279,-0.6918700000000051,6.1570462962962935,5.436029999999995,-6.848916296296299,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,3,0.6483807083005341,0.5692855889586046,-3.784278600823047,-1.894566666666666,-2.2114679012345695,-0.11531166666666692,1.087206000000001,-1,-1.0,-1,-1,1,-3,-1.0,3.0
-8.0,-14,-16.0,-10.6042524005487,-9.278998578090173,116.4,99.06666666666666,130.9,115.06666666666668,Sun 11-27 11-27,H,194 (Ⅳ),Abilene Christian,"L, 92-82",69,118.1,56.9,14.4,28.6,37.9,132.5,65.0,14.4,31.3,36.7,33.0,2.0,141.0,106.3640625,96.328125,102.4318244170096,98.5697707840712,118.6890625,106.478125,113.03607681755832,107.84876936216136,20221127,L, 92-82,92,82,99.0,106.8,-7.799999999999997,97.6,98.2,-0.6000000000000085,99.8225,106.205,-6.38257,67.6738,-0.3607432300256761,136.28732559633625,67.54981158691324,0.9546256861000018,139.30568351532892,-6.459125857006907,139.30568351532892,0.9546256861000018,139.30568351532892,-6.459125857006907,128.0256349262191,-21.155524321391724,97.9304,99.0401,-1.10964,70.1712,99.0,106.8,-7.799999999999997,97.6,98.2,-0.6000000000000085,-5.809230666279716,126.59796374989517,0,100.6454246,94.72388535,5.921539249999995,-0.459707927,84.77636895,104.983785,-20.207416049999992,-16.06845512,2022-11-27,129.21131273985696,-7.61743,-8.309300000000004,3.874074197530861,-0.6918700000000051,-12.183374197530865,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.4244679994402739,0.9780378160112365,-4.2216824005487,-9.617429999999999,-3.784278600823047,-1.187042857142857,-0.11531166666666692,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-9.0,-16,-14.066666666666668,-12.4695016003658,-10.537362472982869,100.8,107.93333333333334,117.0,122.0,Sat 12-03 12-03,A,190 (Ⅲ),Pepperdine,"L, 88-69",72,96.5,45.1,19.6,33.3,34.4,123.0,61.9,11.2,24.2,27.0,5.5,10.0,151.5,103.58203125,106.3640625,101.88788294467308,98.97526700514916,117.84453125,118.6890625,114.3573845450389,109.51262947813204,20221203,L, 88-69,88,69,100.7,109.3,-8.599999999999994,100.6,99.2,1.3999999999999917,100.96,108.389,-7.42904,67.4198,9.810941729796411,147.0237223068792,68.25923884694167,11.14302973571283,146.9313284362441,14.037425571213788,146.9313284362441,11.14302973571283,146.9313284362441,14.037425571213788,143.62984174624927,7.432761075408422,103.599,102.912,0.686128,71.1753,100.7,109.3,-8.599999999999994,100.6,99.2,1.3999999999999917,14.789469666102965,143.55381011707985,0,100.7838874,102.3096514,-1.5257640000000094,-8.641906422,100.7390544,97.3037606,3.4352937999999966,16.86645706,2022-12-03,140.7363786401448,-8.57096,-16.880260000000003,-0.18705053497942714,-8.309300000000004,-16.693209465020576,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,-3,0.17045190796406517,0.2395092670711383,-5.040461600365801,-6.637626666666669,-4.2216824005487,-2.1100325,-1.187042857142857,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
10.0,7,-7.700000000000003,-5.779667733577204,-7.2396602051678,103.0,106.73333333333332,95.4,114.43333333333334,Tue 12-06 12-06,A,167 (Ⅲ),Pacific,"W, 73-69",70,104.9,50.0,18.7,29.4,36.8,99.1,44.0,20.1,29.0,60.0,-4.0,6.0,146.0,103.291015625,103.58203125,102.25858862978204,99.70703664057658,106.622265625,117.84453125,108.03825636335928,106.94669684574438,20221206,W, 73-69,73,69,101.2,110.4,-9.200000000000005,104.1,108.5,-4.400000000000006,101.082,109.441,-8.35915,67.2662,6.545305177687794,148.60772021409937,67.33777200227595,7.877460539424206,155.17581563870755,3.384399039183886,155.17581563870755,7.877460539424206,155.17581563870755,3.384399039183886,145.14198443630227,5.7369204120230535,102.892,107.877,-4.98489,70.3748,101.2,110.4,-9.200000000000005,104.1,108.5,-4.400000000000006,9.219241918764537,149.3830692816113,0,100.6874202,102.6187679,-1.9313476999999892,-9.395336504,102.7390177,102.2465016,0.4925161000000031,-9.885245191,2022-12-06,143.84252941440315,15.35915,-1.5211100000000037,-5.751453689986286,-16.880260000000003,4.230343689986282,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.2838545830986763,0.2924046548729339,2.5794822664227954,0.6591499999999968,-5.040461600365801,-0.16901222222222234,-2.1100325,1,-1.0,1,-1,-1,1,-3.0,-3.0
-1.0,2,-2.200000000000003,-3.1864451557181366,-5.559721986046382,103.8,102.53333333333336,101.8,104.73333333333336,Sat 12-10 12-10,H,56 (Ⅱ),Utah Valley,"L, 80-75 OT",78,96.2,49.3,11.5,17.5,17.6,102.6,50.0,23.1,26.5,57.1,16.0,4.0,139.0,103.5455078125,103.291015625,102.77239241985473,100.45121179683538,104.2111328125,106.622265625,105.95883757557286,106.01093378288176,20221210,L, 80-75 OT,80,75 OT,101.3,109.7,-8.400000000000006,105.1,100.1,5.0,101.109,108.435,-7.32595,67.3239,3.7276495732398587,134.1848441077135,63.249128134992894,5.082702638602953,140.46381548082536,5.483247517510376,140.46381548082536,5.082702638602953,140.46381548082536,5.483247517510376,140.1815022590219,-4.639865312259147,103.935,99.6974,4.23795,66.0451,101.3,109.7,-8.400000000000006,105.1,100.1,5.0,3.5575320841865925,131.67146225979005,0,100.4716057,102.10981,-1.6382042999999982,-7.981168187,97.62040217,100.7265471,-3.1061449299999992,-2.28512498,2022-12-10,130.47459987278364,9.325949999999999,7.804839999999995,-4.341339126657525,-1.5211100000000037,12.14617912665752,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,-3,0.35161929169946593,0.6707162963171321,4.139504844281863,5.125949999999997,2.5794822664227954,0.7804840000000004,-0.16901222222222234,1,1.0,1,1,-1,3,1.0,-3.0
