ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
4.0,-24,,-24.40000000000001,-24.40000000000001,79.5,0.0,103.9,0.0,Mon 11-07 11-07,A,57 (I),Texas Tech,"L, 73-49",66,73.7,35.8,21.1,31.3,1.5,109.8,59.8,30.1,38.5,47.8,-19.5,28.0,141.5,79.5,0.0,79.5,79.5,103.9,0.0,103.9,103.9,20221107,96.7,107.8,-11.1,102.4,86.3,16.1,89.7575,108.931,-19.1733,72.0508,30.4750477793108,137.43022434985613,70.8876356625889,23.474808171713462,141.15649811286227,39.51051636136519,141.15649811286227,23.474808171713462,141.15649811286227,39.51051636136519,120.08542509718042,20.691302935853024,106.268,86.8846,19.3833,69.1651,96.7,107.8,-11.1,102.4,86.3,16.1,39.51051636136519,120.08542509718042,0,94.52093388,102.9943569,-8.473423019999998,-6.476780238,104.1335503,88.95778236,15.17576794,18.32164091,2022-11-07,139.26369414236524,19.68141981551186,139.26369414236524,21.315912043740475,139.26369414236524,0.0,0.0,0.0,-4.826699999999999,-4.826699999999999,0.0,0.0,-4.826699999999999,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.003830380567589775,0.024384807317357926,-5.226700000000008,,0.0,-4.826699999999999,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
1.5,-14,,-21.23333333333333,-22.67272727272728,108.2,0.0,123.1,0.0,Sat 11-12 11-12,H,279 (Ⅳ),Illinois St.,"L, 69-67",60,111.9,49.2,21.7,51.3,28.8,115.2,60.8,28.4,42.9,83.8,5.0,3.5,131.0,93.85,79.5,89.06666666666666,84.71818181818182,113.5,103.9,110.3,107.39090909090908,20221112,97.8,108.9,-11.100000000000009,99.2,101.6,-2.3999999999999915,90.6232,109.79,-19.1663,71.9915,5.548857814905858,139.53634097626454,71.2005151550498,2.0821557636106576,150.91080635707834,8.307376095047848,150.91080635707834,2.0821557636106576,150.91080635707834,8.307376095047848,117.66018824244496,1.404193659483255,95.9311,101.485,-5.55414,69.5276,97.8,108.9,-11.100000000000009,99.2,101.6,-2.3999999999999915,8.47384439041444,117.59095928423628,0,94.52093388,102.9943569,-8.473423019999998,-6.476780238,103.9773885,105.1441206,-1.1667320999999902,-2.040475836,2022-11-12,150.26041083898218,1.2499577865534377,150.26041083898218,0.3571892510278474,150.26041083898218,-2.5800666666666627,0.0,-2.5800666666666627,5.1663,0.3396000000000008,-4.826699999999999,-4.826699999999999,5.1663,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.36944134018176367,0.4468069616220519,-2.067033333333331,,-5.226700000000008,0.16980000000000217,-4.826699999999999,-1,-1.0,1,1,-1,1,-3.0,0.0
23.5,20,-6.299999999999997,-7.355555555555557,-14.841322314049584,107.2,98.3,86.8,104.6,Mon 11-14 11-14,A,15 (I-A),TCU,"W, 64-63",67,95.1,50.8,19.3,25.0,13.6,93.6,37.3,14.9,35.9,45.8,-10.5,22.5,137.5,100.525,93.85,95.11111111111111,88.80578512396693,100.15,113.5,102.46666666666668,103.6471074380165,20221114,98.7,109.7,-11.0,107.4,93.3,14.100000000000009,91.9469,110.715,-18.7681,69.662,28.987692616159784,142.63893086443633,70.53649096728309,22.81693454855946,152.049838248987,8.41883165428089,152.049838248987,22.81693454855946,152.049838248987,8.41883165428089,145.3433619617099,14.321696498657708,107.405,90.5744,16.8308,71.1825,98.7,109.7,-11.0,107.4,93.3,14.100000000000009,8.302661985963665,145.55850003803667,0,94.52093388,102.9943569,-8.473423019999998,-6.476780238,100.7937024,94.56234538,6.231357020000004,9.615156406,2022-11-14,139.75721957215254,13.35670099035157,139.75721957215254,6.753069596553061,139.75721957215254,-30.233133333333317,-2.067033333333331,-32.30016666666665,38.768100000000004,39.10770000000001,-3.104599999999999,0.3396000000000008,42.212300000000006,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.016062285603828275,0.08628833154606408,11.412544444444443,12.468100000000003,-2.067033333333331,13.035900000000002,0.16980000000000217,1,-1.0,1,1,1,3,1.0,-3.0
9.0,3,2.8666666666666694,-3.870370370370374,-11.579263711495114,107.6,107.66666666666669,104.5,104.8,Thu 11-17 11-17,A,279 (Ⅳ),Illinois St.,"W, 70-67",66,106.7,51.9,15.2,20.0,34.0,102.1,53.8,25.9,33.3,22.6,3.0,6.0,134.0,104.0625,100.525,99.27407407407408,92.22291510142747,102.325,100.15,103.14444444444445,103.8021788129226,20221117,99.1,108.3,-9.200000000000005,100.1,103.0,-2.9000000000000057,93.3999,109.099,-15.6987,68.8459,10.095457256060719,132.07054353666524,65.41506299473684,8.20385514334005,141.33681504929342,5.308449054722041,141.33681504929342,8.20385514334005,141.33681504929342,5.308449054722041,129.29452954641542,0.752925580554674,97.3548,103.188,-5.83298,66.7967,99.1,108.3,-9.200000000000005,100.1,103.0,-2.9000000000000057,4.980304870494659,129.3570182101851,0,99.49881881,99.3178906,0.1809282100000047,-2.391197547,97.70043146,101.9798856,-4.279454139999999,-6.003868071,2022-11-17,133.097808477091,-0.6084918596887547,133.097808477091,4.585213116673522,133.097808477091,-8.88671796296296,9.692559259259255,0.8058412962962951,18.698700000000002,57.80640000000001,10.966166666666668,39.10770000000001,46.840233333333344,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.2838545830986763,0.47141746380917615,11.828329629629627,18.56536666666667,11.412544444444443,14.4516,13.035900000000002,1,1.0,1,1,1,3,3.0,1.0
9.0,-3,6.633333333333336,-3.780246913580248,-10.128488491223274,88.4,101.06666666666668,92.0,94.43333333333334,Sat 11-26 11-26,A,334 (Ⅳ),Central Arkansas,"W, 74-66 OT",78,95.5,39.9,10.3,34.0,33.8,85.1,38.7,20.6,35.3,17.3,-6.5,1.0,146.5,96.23125,104.0625,95.6493827160494,91.52783962844066,97.1625,102.325,99.42962962962964,101.65632811966393,20221126,100.5,108.8,-8.299999999999997,97.6,107.9,-10.300000000000011,95.5687,110.054,-14.4855,67.3844,5.644582644692875,150.97050701567935,71.10079823157895,2.7337889296036337,156.0991881794325,-1.9478765375959928,156.0991881794325,2.7337889296036337,156.0991881794325,-1.9478765375959928,144.9215338170195,4.148589253378773,97.8168,110.544,-12.7276,74.1772,100.5,108.8,-8.299999999999997,97.6,107.9,-10.300000000000011,-2.0133356636354045,144.9374073573051,0,96.88207682,101.6718453,-4.789768480000006,-11.00958344,93.00723043,97.17219456,-4.164964129999987,3.07577266,2022-11-26,137.29373400928472,11.926648932217923,137.29373400928472,-5.3749606967256724,137.29373400928472,-12.813916666666653,13.68348518518517,0.8695685185185162,11.4855,69.29190000000001,26.579577777777782,57.80640000000001,42.71232222222223,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.46206285593374585,0.3463831650037642,10.705253086419752,21.118833333333335,11.828329629629627,13.858379999999999,14.4516,1,1.0,1,1,1,3,3.0,3.0
-1.0,-13,-4.5,-6.853497942386832,-10.65058149281904,95.8,97.26666666666668,108.8,101.76666666666664,Sun 11-27 11-27,N,354 (Ⅳ),Bethune Cookman,"W, 69-66",65,105.6,46.9,19.9,45.0,16.9,101.0,45.6,13.8,27.8,35.1,2.0,-4.0,133.0,96.015625,96.23125,95.69958847736626,92.30459605963328,102.98125,97.1625,102.5530864197531,102.9551775524523,20221127,99.7,107.1,-7.399999999999991,94.8,108.2,-13.400000000000006,95.4601,108.46,-13.0002,66.1037,-0.29359200184097745,129.33209195493777,62.83988858179232,-4.093364747224271,135.10323061031363,-12.138022396588859,135.10323061031363,-4.093364747224271,135.10323061031363,-12.138022396588859,121.73328078217023,-6.2463482696181245,95.1372,108.585,-13.4475,66.829,99.7,107.1,-7.399999999999991,94.8,108.2,-13.400000000000006,-11.832134738847174,121.60170952472217,0,97.60052057,97.48972387,0.11079669999999453,-8.485327764,95.21827969,105.0298719,-9.81159221,-3.102445372,2022-11-27,126.02663956366524,3.3825972976217216,126.02663956366524,-12.855201446955597,126.02663956366524,-22.12365231040565,12.118664162257485,-10.004988148148165,0.00019999999999953388,69.2921,40.81701851851852,69.29190000000001,28.47508148148148,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,-3,0.6483807083005341,0.7240416030094221,6.146702057613168,8.5002,10.705253086419752,11.548683333333333,13.858379999999999,1,1.0,1,1,1,3,3.0,3.0
18.5,13,-1.0333333333333314,-0.068998628257888,-6.259566675942851,138.4,107.53333333333336,124.9,108.56666666666666,Thu 12-01 12-01,A,114 (Ⅱ),Stephen F. Austin,"W, 102-96",76,134.7,60.5,15.9,37.5,48.4,126.8,65.1,21.1,35.7,64.2,59.5,12.5,138.5,117.2078125,96.015625,109.93305898491084,100.68557859424538,113.940625,102.98125,110.00205761316874,106.94514527018823,20221201,99.7,106.8,-7.099999999999994,100.6,97.7,2.8999999999999915,95.4374,107.886,-12.4489,65.4523,12.229922187409386,131.63495864392576,64.9430196571835,10.505459493255216,136.66287530223119,4.1748264028201065,136.66287530223119,10.505459493255216,136.66287530223119,4.1748264028201065,128.35387742700524,2.107743451639422,100.35,99.5758,0.774533,69.753,99.7,106.8,-7.099999999999994,100.6,97.7,2.8999999999999915,8.444392445622633,130.99989190023408,0,97.40866428,96.73819377,0.6704705100000012,-7.670086876,99.86542333,101.5494627,-1.6840393700000078,-1.829636692,2022-12-01,130.2222417904249,5.524997558646241,130.2222417904249,9.037108713739741,130.2222417904249,-0.5021957408877809,6.521151690182279,6.018955949294498,25.448900000000002,94.74100000000001,50.30871234567902,69.2921,44.432287654320994,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.11692964134637251,0.42045192897819217,12.379901371742113,11.415566666666669,6.146702057613168,13.534428571428572,11.548683333333333,1,1.0,1,1,1,3,3.0,3.0
8.5,7,2.566666666666663,2.3540009144947374,-3.8123727348623344,113.6,115.93333333333332,106.4,113.36666666666667,Sun 12-04 12-04,H,90 (Ⅱ),Southern Miss,"W, 84-82",76,111.0,51.4,14.5,28.6,22.9,108.4,61.3,25.1,35.5,16.1,32.0,6.5,134.0,115.40390625,117.2078125,111.15537265660724,103.0336552134735,110.1703125,113.940625,108.80137174211252,106.84602794833584,20221204,102.6,108.2,-5.6000000000000085,102.7,101.4,1.2999999999999972,98.6597,108.975,-10.3152,66.5057,1.9546601174125158,125.12407470080456,60.66852403783785,0.6622100374754183,134.0679837740784,7.063473612519119,134.0679837740784,0.6622100374754183,134.0679837740784,7.063473612519119,123.9981444811904,4.777452009879433,99.3493,100.568,-1.21817,64.1298,102.6,108.2,-5.6000000000000085,102.7,101.4,1.2999999999999972,10.985308656747518,123.5758451345576,0,101.867004,98.5892558,3.2777481999999907,-5.90179799,104.530361,88.34210971,16.188251289999997,5.127536386,2022-12-04,120.17341350618136,4.999191967280353,120.17341350618136,10.637778060235519,120.17341350618136,10.348561937814326,9.160765448429052,19.509327386243378,17.3152,112.05620000000002,65.11947489711935,94.74100000000001,46.93672510288067,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,3,0.26794249453351904,0.3245562634797947,12.669200914494738,12.881866666666664,12.379901371742113,14.007025,13.534428571428572,1,1.0,1,1,1,3,3.0,3.0
10.5,8,9.666666666666664,4.336000609663158,-1.6101231467055468,124.1,125.36666666666666,115.8,115.7,Sat 12-10 12-10,H,243 (Ⅳ),Louisiana Monroe,"W, 91-73",70,130.5,51.3,11.5,49.0,33.3,104.7,50.0,25.8,40.0,80.4,24.5,-7.5,139.5,119.751953125,115.40390625,115.47024843773816,106.86389972011467,112.98515625,110.1703125,111.134247828075,108.4740228668202,20221210,103.8,108.6,-4.799999999999997,96.6,107.5,-10.900000000000006,99.8542,109.283,-9.42872,67.6042,-4.80720017473125,133.5460711608727,63.99473194480797,-8.366228716228406,142.31353512455314,-17.453369070397994,142.31353512455314,-8.366228716228406,142.31353512455314,-17.453369070397994,136.801532202212,-15.944700776815644,95.147,105.813,-10.6656,66.5466,103.8,108.6,-4.799999999999997,96.6,107.5,-10.900000000000006,-15.022961680136076,131.26958705404274,0,103.1939034,98.68820506,4.505698339999995,-1.723058588,86.90172499,101.4655898,-14.563864809999998,-5.247350812,2022-12-10,125.4463550717347,-3.984764128801338,125.4463550717347,-12.710236505079884,125.4463550717347,-16.706132414374963,10.466445503734162,-6.239686910640799,17.42872,129.48492000000002,80.7650499314129,112.05620000000002,48.71987006858711,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,3,0.7624747379730235,0.9355612073031481,13.764720609663158,19.095386666666663,12.669200914494738,14.387213333333332,14.007025,1,1.0,1,1,1,3,3.0,3.0
-31.5,-30,-5.033333333333341,-7.309332926891231,-6.88100984730454,88.1,108.59999999999998,118.7,113.63333333333333,Sat 12-17 12-17,A,170 (Ⅲ),Rice,"L, 110-73",86,85.3,39.7,11.7,21.1,24.4,128.5,69.8,25.7,47.6,58.6,29.0,5.5,154.0,103.9259765625,119.751953125,106.34683229182544,103.45228158918472,115.842578125,112.98515625,113.65616521871668,110.33329143648923,20221217,104.6,109.1,-4.5,104.8,111.0,-6.200000000000003,101.5,109.697,-8.19732,67.575,7.7149852902811915,150.16369547643905,67.1457113086771,3.2218816654680467,158.54556317526163,3.2222465220282235,158.54556317526163,3.2218816654680467,158.54556317526163,3.2222465220282235,161.84392448305422,-2.353013157507476,104.754,108.033,-3.27816,69.8534,104.6,109.1,-4.5,104.8,111.0,-6.200000000000003,-0.43283193625597066,154.48080345158877,0,103.8200032,101.0289287,2.7910745000000077,-2.75488294,101.3003426,107.6435607,-6.343218100000001,-2.525093065,2022-12-17,147.1507434948109,1.9847400784902334,147.1507434948109,3.2905940521597614,147.1507434948109,-2.200285367927105,11.711343449012293,9.511058081085189,-21.802680000000002,107.68224000000001,97.00500662094194,129.48492000000002,10.677233379058066,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.30020551430745246,0.5886588886588906,0.8879870731087687,3.1639866666666583,13.764720609663158,10.768224,14.387213333333332,1,1.0,1,1,1,3,3.0,3.0
