ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-12.5,-12,,-12.600000000000009,-12.600000000000009,108.8,0.0,121.4,0.0,Fri 11-11 11-11,H,220 (Ⅳ),Bowling Green,"L, 87-82",71,115.6,56.0,14.1,24.2,41.4,122.7,53.8,21.1,51.3,33.8,12.5,-7.5,156.5,108.8,0.0,108.8,108.8,121.4,0.0,121.4,121.4,20221111,99.7,103.5,-3.799999999999997,94.1,103.5,-9.400000000000006,99.2041,103.912,-4.70804,71.8331,-7.6109218482622225,154.8473844049692,76.27479704679945,-8.889415585613548,156.38183077263727,9.682097271552891,156.38183077263727,-8.889415585613548,156.38183077263727,9.682097271552891,149.94080955615306,-14.979921903960104,96.0176,104.928,-8.91043,74.6469,99.7,103.5,-3.799999999999997,94.1,103.5,-9.400000000000006,9.682097271552891,149.94080955615306,0,103.7133264,94.73199459,8.98133181,8.444101318,97.68210196,102.3997094,-4.717607440000009,-2.578296031,2022-11-11,155.11646236060298,-10.605643360041412,155.11646236060298,-6.266127126988678,155.11646236060298,0.0,0.0,0.0,-7.29196,-7.29196,0.0,0.0,-7.29196,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-3,0.7624747379730235,0.9231609285269856,-7.891960000000009,,0.0,-7.29196,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-20.5,-17,,-14.36666666666667,-13.56363636363637,102.7,0.0,120.6,0.0,Sun 11-13 11-13,H,27 (Ⅱ),Oklahoma St.,"L, 91-62",72,85.6,40.0,17.9,20.5,25.0,125.6,64.1,13.8,20.7,15.6,9.0,8.5,144.0,105.75,108.8,106.76666666666668,107.69090909090907,121.0,121.4,121.13333333333335,121.25454545454544,20221113,101.0,105.9,-4.900000000000006,104.2,89.8,14.400000000000006,100.557,106.475,-5.91835,70.5244,12.084619204921225,147.05778136541755,72.40699017126597,10.383194859944794,148.46971702470324,8.932350597616926,148.46971702470324,10.383194859944794,148.46971702470324,8.932350597616926,157.06569795457355,-3.032356650121045,106.694,90.5972,16.0969,72.1766,101.0,105.9,-4.900000000000006,104.2,89.8,14.400000000000006,8.973147355027441,157.06007080129706,0,103.7133264,94.73199459,8.98133181,8.444101318,99.48255772,89.75936203,9.723195689999997,9.080319052,2022-11-13,138.69963891560323,-1.7443742873585109,138.69963891560323,6.329770809445307,138.69963891560323,-10.482733333333325,0.0,-10.482733333333325,-11.08165,-18.37361,-7.29196,-7.29196,-11.08165,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.20910695659274503,0.6136312041621754,-8.44831666666667,,-7.891960000000009,-9.186805,-7.29196,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-8.5,-16,-15.799999999999995,-15.211111111111112,-14.1702479338843,109.7,107.06666666666666,126.6,122.86666666666667,Wed 11-16 11-16,A,95 (Ⅱ),Toledo,"L, 112-90",78,115.6,51.3,7.7,21.7,21.3,143.8,72.2,11.6,35.5,20.8,45.0,13.5,157.0,107.725,105.75,107.74444444444444,108.05619834710744,123.8,121.0,122.95555555555558,122.22644628099172,20221116,101.2,107.3,-6.099999999999994,106.4,96.4,10.0,100.471,107.557,-7.08613,70.4217,17.88230028268285,159.28651458815787,74.18891034409673,17.089004018160892,160.89171468178594,30.575901570169908,160.89171468178594,17.089004018160892,160.89171468178594,30.575901570169908,176.16185323673906,23.161751953690285,108.51,98.0539,10.4557,74.0607,101.2,107.3,-6.099999999999994,106.4,96.4,10.0,30.587994749798217,176.14819060174037,0,104.7778571,120.1694544,-15.3915973,-19.47807085,105.5066127,97.98218379,7.524428910000012,12.62650339,2022-11-16,174.49214247719493,25.824159843541352,174.49214247719493,25.751366454624474,174.49214247719493,16.675756666666672,-8.448316666666667,8.227440000000003,-8.91387,-27.28748,-10.985843333333333,-18.37361,-16.301636666666667,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.09927139684333097,0.01369616159702114,-8.124981111111111,-8.713869999999996,-8.44831666666667,-9.095826666666667,-9.186805,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-2.0,-9,-14.76666666666666,-13.307407407407409,-13.321111945905336,106.5,106.3,116.0,121.06666666666666,Sat 11-19 11-19,H,332 (Ⅳ),Eastern Michigan,"W, 92-90 OT",79,115.8,63.1,16.4,17.2,36.1,113.2,54.5,15.1,25.7,29.9,22.0,-4.0,160.0,107.1125,107.725,107.32962962962964,107.77325319308788,119.9,123.8,120.63703703703706,121.09436513899324,20221119,102.9,109.7,-6.799999999999997,98.1,106.2,-8.100000000000009,101.543,109.137,-7.5933,71.0563,-7.583696889214394,157.20822739874703,73.82790000327171,-5.837993917221496,163.71628885702074,1.6549738153588416,163.71628885702074,-5.837993917221496,163.71628885702074,1.6549738153588416,179.06892532210966,-2.3740294637493236,95.9826,107.43,-11.447,73.0421,102.9,109.7,-6.799999999999997,98.1,106.2,-8.100000000000009,1.7221059726087697,179.13882212788377,0,104.7778571,120.1694544,-15.3915973,-19.47807085,93.06875256,103.8474115,-10.778658940000014,-11.69921081,2022-11-19,166.44992176224116,3.9980332642216183,166.44992176224116,8.464557406675112,166.44992176224116,17.224263148148147,-8.271596481481481,8.952666666666667,-1.4066999999999998,-28.69418,-16.419722222222223,-27.28748,-12.274457777777776,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6483807083005341,0.5894374171315182,-5.7141074074074085,-7.17336666666666,-8.124981111111111,-7.173545,-9.095826666666667,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-5.0,-9,-11.866666666666664,-11.938271604938276,-12.57181886483164,95.2,103.8,104.4,115.66666666666669,Fri 11-25 11-25,N,138 (Ⅲ),Long Beach St.,"L, 78-70",75,93.9,47.9,21.5,33.3,8.5,104.7,53.7,17.4,34.3,19.4,-8.0,3.0,156.0,101.15625,107.1125,103.28641975308643,105.487207157981,112.15,119.9,115.22469135802471,118.05902602281265,20221125,103.7,110.9,-7.200000000000003,102.1,101.7,0.3999999999999915,102.663,111.092,-8.42861,68.8479,6.500705916667002,152.93202097651846,71.071109356899,5.646470002643568,159.00549684832924,11.341849120099566,159.00549684832924,5.646470002643568,159.00549684832924,11.341849120099566,163.62095047208675,9.269877567550324,101.47,100.847,0.622442,72.5701,103.7,110.9,-7.200000000000003,102.1,101.7,0.3999999999999915,11.611326319733656,164.02189631101163,0,99.17012538,116.2042302,-17.034104819999996,-19.33306298,92.40263627,95.41808725,-3.015450979999997,-8.561881372,2022-11-25,146.87075506797845,7.655198259651868,146.87075506797845,13.495350761551322,146.87075506797845,8.71914951851852,-6.516307296296295,2.202842222222225,-0.5713899999999992,-29.265569999999997,-20.51120814814815,-28.69418,-8.754361851851847,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.38754848109799234,0.18865988125913558,-3.509661604938275,-3.4380566666666628,-5.7141074074074085,-5.853113999999999,-7.173545,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-12.0,-17,-12.066666666666668,-13.79218106995885,-13.467851798498613,99.8,100.5,117.3,112.56666666666666,Sat 11-26 11-26,N,106 (Ⅲ),San Jose St.,"L, 80-67",66,101.3,44.7,12.1,20.0,31.6,120.9,63.4,18.1,26.9,17.9,7.0,1.0,140.0,100.478125,101.15625,102.12427983539098,104.45316949289352,114.725,112.15,115.9164609053498,117.92102129139217,20221126,103.4,111.0,-7.599999999999994,102.7,105.8,-3.0999999999999943,102.351,110.991,-8.63999,69.066,2.961230555834561,138.8048167361864,63.23331244096729,2.9856735379697596,145.00242433930288,9.15612179864331,145.00242433930288,2.9856735379697596,145.00242433930288,9.15612179864331,150.13828132017588,7.133296666533951,101.502,105.472,-3.97007,64.3631,103.4,111.0,-7.599999999999994,102.7,105.8,-3.0999999999999943,8.99922422708943,150.55027757728897,0,99.17012538,116.2042302,-17.034104819999996,-19.33306298,96.20707825,101.6505394,-5.4434611500000045,-6.731932994,2022-11-26,137.9984190313475,7.968111895139785,137.9984190313475,7.852640615354197,137.9984190313475,7.793100232804225,-4.63955986243386,3.153540370370365,-8.36001,-37.62558,-23.4293287654321,-29.265569999999997,-14.1962512345679,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.46206285593374585,0.24845439125426472,-5.152191069958851,-3.426676666666669,-3.509661604938275,-6.270930000000001,-5.853113999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-19.5,-9,-11.966666666666663,-12.261454046639232,-12.691878744226134,106.4,100.46666666666668,115.6,112.43333333333334,Sun 11-27 11-27,N,136 (Ⅲ),Missouri St.,"L, 76-64",64,100.8,56.0,22.0,20.7,24.0,119.7,59.0,14.2,31.3,11.5,3.0,-7.5,137.0,103.4390625,100.478125,103.54951989026068,104.8071386760038,115.1625,114.725,115.81097393689988,117.49901742022992,20221127,102.8,112.1,-9.299999999999995,100.9,100.6,0.3000000000000113,102.219,112.151,-9.93184,69.1231,8.640326594508124,140.32353184939302,64.58516356870554,6.42139366989305,143.45670797341756,14.772593208287592,143.45670797341756,6.42139366989305,143.45670797341756,14.772593208287592,140.84275758846383,13.202895012434105,103.343,100.231,3.11215,65.6848,102.8,112.1,-9.299999999999995,100.9,100.6,0.3000000000000113,14.440078113102988,141.5184529871617,0,97.84813366,116.1995122,-18.35137854,-18.55944912,99.54151279,97.84450854,1.697004249999992,2.342948579,2022-11-27,140.06456013692465,13.49984774368049,140.06456013692465,12.656440501441821,140.06456013692465,6.114466458259852,-4.139941236037625,1.9745252222222263,0.9318399999999993,-36.69374,-28.161412510288066,-37.62558,-8.532327489711932,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.7624747379730235,0.10430105371461473,-2.3296140466392323,-2.034826666666664,-5.152191069958851,-5.241962857142857,-6.270930000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-11.5,-21,-16.16666666666666,-15.440969364426154,-14.347900790730472,96.7,100.96666666666664,118.5,117.13333333333333,Thu 12-01 12-01,A,148 (Ⅲ),Cleveland St.,"L, 80-64",67,96.2,41.8,16.5,27.0,43.6,120.3,46.0,13.5,56.5,21.3,8.5,4.5,135.5,100.06953125,103.4390625,101.26634659350712,103.33311346218493,116.83125,115.1625,116.70731595793326,117.6810142529154,20221201,103.4,112.9,-9.5,99.6,99.3,0.2999999999999971,102.291,112.395,-10.104,68.3786,6.429828962627468,130.40436991066372,60.60435197411096,9.840783787357232,134.20403737248338,15.837188099367076,134.20403737248338,9.840783787357232,134.20403737248338,15.837188099367076,132.04600489031236,13.416275181844703,98.1757,103.365,-5.18895,62.3073,103.4,112.9,-9.5,99.6,99.3,0.2999999999999971,15.982316659752053,134.20582155432768,0,100.1345979,114.4136131,-14.279015200000003,-11.24905515,98.7803164,97.24389754,1.5364188599999977,-3.497218482,2022-12-01,131.35836085748159,6.26975586395799,131.35836085748159,16.403405962697953,131.35836085748159,22.71878198820952,-2.496857953818017,20.221924034391506,-10.896,-47.58974,-31.00552167352538,-36.69374,-16.58421832647462,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.3341175708976246,0.10067047115044003,-5.336969364426155,-6.0626666666666615,-2.3296140466392323,-5.948717500000001,-5.241962857142857,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
2.0,-8,-13.299999999999992,-13.260646242950768,-13.35737337423402,93.9,99.0,102.8,112.3,Sat 12-03 12-03,A,225 (Ⅲ),Fort Wayne,"L, 79-73 OT",77,94.3,47.0,10.3,15.0,20.9,102.1,47.2,14.2,24.4,21.1,-2.5,8.0,154.5,96.984765625,100.06953125,98.81089772900476,101.61800192360585,109.815625,116.83125,112.07154397195552,114.97537529783985,20221203,103.4,114.5,-11.099999999999994,96.9,99.2,-2.299999999999997,102.161,113.31,-11.149,69.1725,9.88254240946479,149.8612464153859,70.20064146870554,10.314989134252158,153.59678980175673,8.23016175780586,153.59678980175673,10.314989134252158,153.59678980175673,8.23016175780586,139.21376445472254,7.364172821690914,98.1465,100.883,-2.73662,71.3449,103.4,114.5,-11.099999999999994,96.9,99.2,-2.299999999999997,7.635312037572212,141.89748342005313,0,99.58769955,113.0977881,-13.510088550000006,-9.321283028,90.1214753,97.65533852,-7.533863220000001,-5.748193061,2022-12-03,143.21444413489985,4.325845873885406,143.21444413489985,4.1215117612149825,143.21444413489985,-5.768907385383297,-4.056342291571408,-9.825249676954705,3.148999999999999,-44.44074,-36.53359444901692,-47.58974,-7.907145550983081,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.22305842386064167,0.24154237337556894,-2.111646242950769,-2.1509999999999927,-5.336969364426155,-4.937860000000001,-5.948717500000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-12.5,-23,-18.16666666666666,-16.77376416196718,-15.256032760736923,88.5,93.03333333333336,112.3,111.2,Tue 12-06 12-06,A,116 (Ⅱ),Syracuse,"L, 95-66",78,84.5,41.4,17.9,24.4,35.9,121.6,63.9,16.6,31.3,9.7,16.5,16.5,144.5,92.7423828125,96.984765625,95.3739318193365,99.2329106647684,111.0578125,109.815625,112.14769598130368,114.48894342550533,20221206,103.2,114.8,-11.599999999999994,105.4,99.6,5.800000000000011,102.08,113.335,-11.2555,68.3463,17.012622659420877,137.29499671239907,62.086051138549074,15.611227350384084,143.05549661764564,10.270236288458577,143.05549661764564,15.611227350384084,143.05549661764564,10.270236288458577,127.71224237510623,7.3653508719913745,107.174,98.0956,9.07859,63.8608,103.2,114.8,-11.599999999999994,105.4,99.6,5.800000000000011,12.868640787522832,134.7553260654612,0,98.25288493,111.6122839,-13.35939897,-10.28009787,93.08098024,99.73581819,-6.654837950000001,-7.263830298,2022-12-06,128.8657603808977,3.45859820810945,128.8657603808977,8.081784669997916,128.8657603808977,-9.863290246474808,-2.812549286370798,-12.675839532845606,-11.7445,-56.18524,-39.169309632677944,-44.44074,-17.015930367322056,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.05804156686932749,0.24150737445706372,-5.5182641619671795,-6.911166666666661,-2.111646242950769,-5.618524000000001,-4.937860000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
