ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
5.0,-1,,-1.4000000000000057,-1.4000000000000057,95.1,0.0,96.5,0.0,Mon 11-07 11-07,A,151 (Ⅲ),Belmont,"L, 70-69",70,99.0,50.8,20.1,27.3,15.0,100.4,55.3,18.6,19.4,22.8,-5.5,6.0,144.5,95.1,0.0,95.1,95.1,96.5,0.0,96.5,96.5,20221107,100.7,98.6,2.1,97.9,99.7,-1.8,97.6611,100.591,-2.92994,71.0083,8.522685367184707,146.245577341692,73.45096531849218,1.2347728208316795,147.79198430308378,8.840384919510939,147.79198430308378,1.2347728208316795,147.79198430308378,8.840384919510939,137.49718244966013,10.27699710525141,102.373,99.236,3.13691,72.7183,100.7,98.6,2.1,97.9,99.7,-1.8,8.840384919510939,137.49718244966013,0,97.14982653,95.43807012,1.7117564099999925,0.480367971,105.2102316,94.81649975,10.393731849999995,14.16692035,2022-11-07,144.74176687570184,12.260151915420934,144.74176687570184,-0.8048756779600268,144.74176687570184,0.0,0.0,0.0,1.9299400000000002,1.9299400000000002,0.0,0.0,1.9299400000000002,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,-3,0.2838545830986763,0.1638488864864498,1.5299399999999945,,0.0,1.9299400000000002,0.0,1,0.0,1,1,1,3,0.0,0.0
1.5,16,,4.533333333333326,1.8363636363636304,128.2,0.0,111.8,0.0,Sat 11-12 11-12,H,155 (Ⅲ),Cleveland St.,"W, 81-70",64,127.1,64.0,20.4,34.6,38.0,109.9,50.9,20.4,39.5,43.6,15.0,-9.5,136.0,111.65,95.1,106.13333333333333,101.1181818181818,104.15,96.5,101.6,99.28181818181818,20221112,101.7,99.6,2.1000000000000085,97.6,99.9,-2.300000000000012,98.4134,101.383,-2.96938,70.9491,-7.253603011483662,140.09805087782723,70.55226947197724,-7.1874980574220615,143.63887477640048,-4.36473772822491,143.63887477640048,-7.1874980574220615,143.63887477640048,-4.36473772822491,136.21777640991382,-8.719196891525769,95.9952,103.717,-7.72177,69.9068,101.7,99.6,2.1000000000000085,97.6,99.9,-2.300000000000012,-4.36473772822491,136.21777640991382,0,97.14982653,95.43807012,1.7117564099999925,0.480367971,98.99511439,104.0454599,-5.05034551,-6.861825043,2022-11-12,141.3377166930365,-7.092515666549872,141.3377166930365,-5.077787938437169,141.3377166930365,0.0,0.0,0.0,18.96938,20.899320000000003,1.9299400000000002,1.9299400000000002,18.96938,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.817204231217584,0.7968435835303447,7.502713333333326,,1.5299399999999945,10.44966,1.9299400000000002,1,1.0,1,1,1,3,3.0,0.0
-15.5,-24,-3.300000000000002,-5.27777777777778,-3.024793388429756,92.9,105.4,117.8,108.7,Wed 11-16 11-16,A,224 (Ⅲ),Detroit,"L, 88-74",72,103.0,50.0,20.9,33.3,18.8,122.5,61.2,16.7,30.0,36.2,19.5,-1.5,142.5,102.275,111.65,101.72222222222224,99.62396694214874,110.975,104.15,107.0,102.64876033057853,20221116,103.7,100.9,2.799999999999997,100.2,107.2,-7.0,100.28,102.748,-2.46723,69.4221,1.408007297196292,144.49010285383608,68.75483808008536,-2.9027528290297226,149.27369660650015,-2.0980472681546076,149.27369660650015,-2.9027528290297226,149.27369660650015,-2.0980472681546076,151.65509658391335,9.465006199993084,100.933,107.263,-6.3296,69.6243,103.7,100.9,2.799999999999997,100.2,107.2,-7.0,-2.4446202307569798,151.92035616829517,0,103.3835907,104.3269187,-0.943327999999994,1.46125042,104.8329677,98.50718841,6.32577929,13.88550912,2022-11-16,148.8748500576637,10.615137373490057,148.8748500576637,-6.028332529744446,148.8748500576637,-7.5027133333333245,7.5027133333333245,0.0,-21.53277,-0.6334499999999963,8.253066666666667,20.899320000000003,-8.886516666666664,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.5567984968164682,0.18368009103491945,-2.8105477777777805,-0.8327700000000022,7.502713333333326,-0.21114999999999995,10.44966,-1,1.0,-1,-1,1,-3,3.0,3.0
10.5,12,1.1666666666666667,0.48148148148148,-0.2930127723516182,100.1,107.06666666666666,88.1,105.9,Sun 11-20 11-20,A,63 (Ⅱ),Michigan,"L, 70-66 OT",71,92.5,39.6,11.2,35.8,14.3,98.1,46.0,15.4,28.6,31.7,-10.0,14.5,146.0,101.1875,102.275,101.18148148148148,99.7105184072126,99.5375,110.975,100.70000000000002,100.00353117956423,20221120,104.0,103.6,0.4000000000000057,110.6,97.6,13.0,100.262,104.05,-3.7883,70.1131,18.424461525828747,148.68453672365328,70.17742851991466,13.739250026257125,155.48248033690197,12.897555935902593,155.48248033690197,13.739250026257125,155.48248033690197,12.897555935902593,157.9236983412252,0.5931468136379436,111.846,95.6885,16.158,70.3645,104.0,103.6,0.4000000000000057,110.6,97.6,13.0,13.222747963838282,157.88577151093642,0,99.29612918,102.7215858,-3.4254566200000056,-3.810184364,98.14151079,106.5197161,-8.378205309999998,-7.509239468,2022-11-20,148.29348450923806,-0.7421452809241913,148.29348450923806,11.043958122373596,148.29348450923806,-8.46665314814814,-0.09620870370370804,-8.562861851851848,15.7883,15.154850000000003,5.290894444444446,-0.6334499999999963,9.863955555555556,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.08364680132758417,0.47747566202633507,4.26978148148148,4.9549666666666665,-2.8105477777777805,3.7887125,-0.21114999999999995,1,-1.0,1,1,-1,3,-3.0,3.0
-5.5,-8,-7.13333333333333,-2.512345679012346,-1.7851922682876875,106.4,99.8,114.9,106.93333333333332,Fri 11-25 11-25,H,331 (Ⅳ),Eastern Illinois,"W, 78-67",67,116.3,51.6,17.9,47.5,29.7,99.9,52.9,22.4,20.7,33.3,12.5,-16.5,132.5,103.79375,101.1875,102.920987654321,100.9267877877194,107.21875,99.5375,105.43333333333337,102.71198005600708,20221125,103.9,102.3,1.6000000000000083,86.9,103.4,-16.5,101.223,103.536,-2.31245,68.1196,-15.411716341465258,130.2158440034856,67.21912284096729,-16.5539144249106,135.60661887763962,-16.11364004011927,135.60661887763962,-16.5539144249106,135.60661887763962,-16.11364004011927,118.61001796868669,-3.5261055118804094,85.262,104.6,-19.3385,69.3707,103.9,102.3,1.6000000000000083,86.9,103.4,-16.5,-16.233177474519312,118.58934954939005,0,101.4580088,106.2466286,-4.788619799999992,-6.426196153,89.62140386,93.64745196,-4.026048099999997,-6.065097801,2022-11-25,131.04388918881546,-1.5218567595563712,131.04388918881546,-13.654886140961537,131.04388918881546,-1.3356842222222305,2.3089112592592578,0.9732270370370273,-5.68755,9.467300000000003,8.578879629629633,15.154850000000003,0.8884203703703708,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.9419584331306725,0.6314965351519123,-0.19989567901234606,-4.82088333333333,4.26978148148148,1.8934600000000001,3.7887125,-1,1.0,1,1,1,1,3.0,-3.0
-3.5,8,3.933333333333332,1.0917695473251017,0.0484790532191643,105.5,104.0,97.2,100.06666666666666,Sun 11-27 11-27,H,338 (Ⅳ),Alabama St.,"W, 72-58",65,110.7,54.1,16.9,35.3,14.8,89.1,41.5,13.8,26.8,9.2,-10.0,-17.5,140.0,104.646875,103.79375,103.780658436214,101.75828091722497,102.209375,107.21875,102.6888888888889,101.7098018640058,20221127,104.2,103.8,0.4000000000000057,93.7,109.1,-15.399999999999991,102.245,104.784,-2.53922,67.5287,-14.172816837510688,136.53401482913029,65.91473525263157,-15.090733260756238,142.88716275715552,-10.49324611086263,142.88716275715552,-15.090733260756238,142.88716275715552,-10.49324611086263,135.23542067324271,-5.694642459263392,91.569,109.287,-17.7183,68.6198,104.2,103.8,0.4000000000000057,93.7,109.1,-15.399999999999991,-12.96866010170506,137.05341639630817,0,101.5755744,105.974381,-4.3988066,-5.228818754,93.78614837,100.5871184,-6.800970029999988,-5.071671588,2022-11-27,136.28808335510803,-1.646975875506648,136.28808335510803,-5.314538647292714,136.28808335510803,10.509943449474179,0.39359897001763766,10.903542419491817,10.53922,20.006520000000002,8.875019753086423,9.467300000000003,11.131500246913578,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9522096477271853,0.7062102241361621,3.6309895473251013,6.472553333333332,-0.19989567901234606,3.33442,1.8934600000000001,1,-1.0,1,1,1,3,1.0,3.0
-5.5,-13,-4.433333333333337,-3.638820301783268,-2.3421535019115947,103.8,105.23333333333332,116.9,109.66666666666669,Sat 12-03 12-03,A,57 (I),Marshall,"L, 83-69",69,100.7,48.5,19.0,35.9,9.0,121.1,51.3,8.8,42.2,14.5,1.0,8.5,151.0,104.2234375,104.646875,103.78710562414268,102.1295025686386,109.5546875,102.209375,107.42592592592594,104.47165607055018,20221203,104.4,103.4,1.0,104.6,98.7,5.899999999999992,102.13,104.455,-2.32456,66.4856,9.981397649340906,146.1622391777966,69.00136592546231,7.791202329644577,149.3386748193925,12.042102823735908,149.3386748193925,7.791202329644577,149.3386748193925,12.042102823735908,142.60868612953752,13.799869809786742,105.876,99.882,5.99391,72.9601,104.4,103.4,1.0,104.6,98.7,5.899999999999992,11.489453246851324,143.5083602458798,0,100.9324196,106.0192571,-5.0868375000000015,-5.920534318,100.7847133,92.05577628,8.728937020000004,9.357357104,2022-12-03,141.43381591401698,12.507192377036858,141.43381591401698,9.051592286022085,141.43381591401698,2.573781005780933,2.679913199588467,5.2536942053694,-10.67544,9.331080000000002,12.58551983539095,20.006520000000002,-3.254439835390949,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.20910695659274503,0.09437712197002734,-1.3142603017832681,-2.108773333333337,3.6309895473251013,1.3330114285714287,3.33442,-1,1.0,-1,1,1,-1,3.0,1.0
6.0,13,2.866666666666665,2.040786465477823,0.5200562257086965,112.4,107.23333333333332,99.0,104.36666666666667,Sun 12-11 12-11,A,145 (Ⅱ),Youngstown St.,"W, 81-79",70,115.8,60.5,22.9,43.3,16.1,113.0,47.8,12.9,34.1,22.1,11.5,4.0,148.5,108.31171875,104.2234375,106.65807041609511,103.99686573797702,104.27734375,109.5546875,104.6172839506173,103.47680951226832,20221211,104.5,105.1,-0.5999999999999943,108.6,106.3,2.299999999999997,103.085,105.78,-2.69487,65.67,7.191059511760969,146.10843090230026,65.57789385490754,6.295111182329947,151.5303392709519,9.066723310346491,151.5303392709519,6.295111182329947,151.5303392709519,9.066723310346491,142.25773266685616,13.269200863594143,108.004,106.215,1.78879,70.2014,104.5,105.1,-0.5999999999999943,108.6,106.3,2.299999999999997,7.898548206180167,146.94338751998632,0,100.125746,105.6029219,-5.477175899999992,-5.642715243,101.9466056,93.44443602,8.50216958,6.154798916,2022-12-11,135.5960045902858,9.577443732269515,135.5960045902858,5.038359695279745,135.5960045902858,1.6440647876439862,-0.07774887484486737,1.5663159127991189,15.69487,25.02595,11.500706556927302,9.331080000000002,13.5252434430727,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.35161929169946593,0.10316286356134108,4.735656465477823,5.561536666666665,-1.3142603017832681,3.12824375,1.3330114285714287,1,-1.0,1,1,1,3,-1.0,3.0
-21.5,-30,-9.966666666666663,-8.706142356348114,-5.065408542601974,77.4,97.86666666666667,107.6,107.83333333333331,Wed 12-14 12-14,N,41 (Ⅱ),Florida,"L, 82-48",71,67.2,34.3,16.8,10.5,45.1,114.8,61.1,19.6,18.5,38.9,-12.0,12.5,142.0,92.855859375,108.31171875,96.90538027739676,99.16107196743576,105.938671875,104.27734375,105.61152263374488,104.2264805100377,20221214,105.3,105.0,0.2999999999999971,108.0,95.3,12.700000000000005,103.697,105.612,-1.91439,65.9894,10.77339702090461,144.97042323800656,67.92984505945947,9.079816330003894,148.7320131176121,6.452424216381411,148.7320131176121,9.079816330003894,148.7320131176121,6.452424216381411,145.1617364310949,7.581977144624133,109.087,95.7309,13.3559,72.3672,105.3,105.0,0.2999999999999971,108.0,95.3,12.700000000000005,8.859698482789641,145.27670278668717,0,101.8516136,105.2794452,-3.4278316000000046,-4.132951232,102.1917582,94.9326566,7.259101599999994,8.54721487,2022-12-14,142.14013969947416,8.613617186370703,142.14013969947416,8.585572384232762,142.14013969947416,-3.1735207791852797,3.0200036280673626,-0.1535171511179172,-28.08561,-3.0596599999999974,16.009121037951537,25.02595,-19.068781037951535,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.11692964134637251,0.23511863193766058,-6.7917523563481135,-8.052276666666664,4.735656465477823,-0.3399622222222223,3.12824375,-1,1.0,-1,-1,1,-3,3.0,-1.0
12.0,22,1.8666666666666745,1.6625717624345926,-0.0716978984925225,113.2,101.0,90.8,99.13333333333333,Sat 12-17 12-17,H,209 (Ⅳ),Stetson,"W, 85-66",69,123.8,56.7,14.6,37.1,17.9,96.1,45.0,24.8,41.5,26.7,18.0,-7.0,133.0,103.0279296875,92.855859375,102.3369201849312,101.71360433699289,98.3693359375,105.938671875,100.6743484224966,101.78530223548536,20221217,103.1,105.4,-2.300000000000012,107.1,110.0,-2.9000000000000057,102.446,105.567,-3.12035,66.1459,-5.363795796666416,129.86554008667267,58.687220570554764,-4.144193467899129,136.6836218051405,-3.6996519959724856,136.6836218051405,-4.144193467899129,136.6836218051405,-3.6996519959724856,132.81214253444998,2.1122556771616274,103.869,109.924,-6.05435,62.3729,103.1,105.4,-2.300000000000012,107.1,110.0,-2.9000000000000057,-1.840604030265223,136.21560170084373,0,98.42660571,105.2885801,-6.86197439,-5.438352517,106.3948446,104.157203,2.2376416000000035,-0.915055311,2022-12-17,129.41533502676754,1.0635561708921486,129.41533502676754,-2.7755220239654506,129.41533502676754,2.521374860028196,-3.0489439504325357,-0.5275690904043397,25.120350000000002,22.060690000000005,9.652860691967692,-3.0596599999999974,12.407829308032312,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.7475074624530771,0.4202839160288977,4.782921762434593,4.987016666666674,-6.7917523563481135,2.2060690000000003,-0.3399622222222223,1,-1.0,1,1,-1,3,-3.0,3.0
