ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
5.0,-1,,-1.7999999999999972,-1.7999999999999972,112.8,0.0,114.6,0.0,Mon 11-07 11-07,A,69 (Ⅱ),Stanford,"L, 88-78",75,103.4,50.0,15.9,23.1,20.9,116.7,68.8,21.2,21.4,70.8,26.0,15.0,140.0,112.8,0.0,112.8,112.8,114.6,0.0,114.6,114.6,20221107,96.6,102.2,-5.6,106.8,92.0,14.8,96.6392,102.707,-6.06765,72.1052,17.99644649113472,146.28051704598403,73.97921722503555,19.524904281183055,150.1653136087806,13.701758778895309,150.1653136087806,19.524904281183055,150.1653136087806,13.701758778895309,174.3439708852266,14.204610677094891,105.664,92.7453,12.9185,72.1271,96.6,102.2,-5.6,106.8,92.0,14.8,13.701758778895309,174.3439708852266,0,91.12103039,103.659866,-12.538835609999992,-8.879822518,101.7861289,101.2529933,0.5331355999999943,3.823636646,2022-11-07,149.8293984892927,11.416970358116558,149.8293984892927,17.25846362799409,149.8293984892927,0.0,0.0,0.0,5.06765,5.06765,0.0,0.0,5.06765,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.07656372550983481,0.0880565605744128,4.267650000000003,,0.0,5.06765,0.0,1,0.0,1,1,1,3,0.0,0.0
10.5,4,,0.233333333333334,-0.6909090909090889,114.6,0.0,110.3,0.0,Sun 11-13 11-13,A,282 (Ⅳ),North Dakota St.,"W, 91-86",79,115.4,57.1,10.1,9.4,39.7,109.0,56.9,24.1,32.4,43.1,30.0,5.5,147.0,113.7,112.8,113.4,113.12727272727273,112.45,114.6,113.16666666666669,113.8181818181818,20221113,97.7,103.4,-5.700000000000003,94.7,100.4,-5.700000000000003,97.6124,103.724,-6.11136,71.8259,5.915468351444559,143.87671369458184,71.76561937268848,3.9027982040986586,143.89377170264686,-1.5730822502021842,143.89377170264686,3.9027982040986586,143.89377170264686,-1.5730822502021842,154.79691948984893,5.39538671756101,98.3453,101.793,-3.4473,70.241,97.7,103.4,-5.700000000000003,94.7,100.4,-5.700000000000003,-1.5575851530295712,154.75045827409892,0,91.12103039,103.659866,-12.538835609999992,-8.879822518,94.51796053,105.4200131,-10.90205257000001,-8.283354292,2022-11-13,142.48780741772077,2.265054817201289,142.48780741772077,0.9973985780416541,142.48780741772077,-3.473113333333326,0.0,-3.473113333333326,10.111360000000001,15.179010000000002,5.06765,5.06765,10.111360000000001,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.30020551430745246,0.3036797082689169,6.344693333333335,,4.267650000000003,7.589505000000001,5.06765,1,1.0,1,1,1,3,3.0,0.0
24.0,27,9.9,9.222222222222223,4.380165289256201,119.3,115.56666666666666,92.1,105.66666666666669,Tue 11-15 11-15,A,297 (Ⅳ),North Dakota,"W, 93-63",72,129.4,71.3,11.1,7.7,16.4,87.7,42.9,20.9,36.4,33.3,5.5,-6.0,150.5,116.5,113.7,115.36666666666667,114.24958677685947,102.275,112.45,106.14444444444445,109.8694214876033,20221115,99.6,104.3,-4.700000000000003,95.3,108.6,-13.299999999999995,99.1167,104.25,-5.13375,73.1706,-2.376210700433475,147.53743275609526,72.42661216386914,-2.19032000120707,153.56223447459138,-7.628533732808415,153.56223447459138,-2.19032000120707,153.56223447459138,-7.628533732808415,168.76159025665368,4.0019135756389375,93.9586,107.939,-13.9807,69.5852,99.6,104.3,-4.700000000000003,95.3,108.6,-13.299999999999995,-7.532380868727365,168.67097357009072,0,91.12103039,103.659866,-12.538835609999992,-8.879822518,94.90489559,108.0832879,-13.178392310000007,-9.639069126,2022-11-15,145.81724493802028,1.2902720628521962,145.81724493802028,-5.62962399468131,145.81724493802028,-3.0058933333333275,6.344693333333332,3.3388000000000044,32.13375,47.31276,8.438103333333334,15.179010000000002,38.87465666666667,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.7161454169013237,0.3515516775031403,14.355972222222224,15.033750000000001,6.344693333333335,15.77092,7.589505000000001,1,1.0,1,1,1,3,3.0,3.0
-6.5,-9,7.300000000000002,2.948148148148152,1.8383170548459835,105.4,113.09999999999998,115.0,105.8,Fri 11-18 11-18,H,241 (Ⅳ),Cal St. Fullerton,"L, 94-91 2OT",85,107.5,48.6,14.2,28.3,40.3,111.1,50.0,15.4,42.9,56.2,34.0,-3.5,151.0,110.95,116.5,112.04444444444444,112.64057099924868,108.6375,102.275,109.0962962962963,110.8022539444027,20221118,101.0,103.7,-2.700000000000003,98.7,103.3,-4.599999999999994,100.711,103.55,-2.83841,73.2211,-3.3525485031638453,145.82758357893778,71.92509694551921,-5.71442139203522,152.1024545014074,-12.998690130749774,152.1024545014074,-5.71442139203522,152.1024545014074,-12.998690130749774,166.35236425366543,-9.828154393772564,98.8759,100.65,-1.77457,69.0557,101.0,103.7,-2.700000000000003,98.7,103.3,-4.599999999999994,-13.111402346299974,166.18153102617597,0,109.9209211,96.90824789,13.012673210000003,2.958650653,102.7578042,97.48099344,5.276810759999989,8.72706769,2022-11-18,152.25282492007244,2.0173673321517924,152.25282492007244,-9.767151120383645,152.25282492007244,-12.9819887037037,13.366932962962958,0.38494425925925846,-6.16159,41.15116999999999,21.39632222222222,47.31276,19.754847777777773,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,-3,0.6305586598182363,0.8253671914906894,5.786558148148153,10.138410000000002,14.355972222222224,10.2877925,15.77092,1,1.0,1,1,1,3,3.0,3.0
-10.0,-13,1.3666666666666696,-2.534567901234565,-0.9504678642169226,94.2,106.3,107.7,104.93333333333332,Tue 11-22 11-22,H,208 (Ⅳ),Mount St. Mary's,"L, 69-65",68,95.8,42.7,17.7,35.0,29.0,101.7,50.8,19.2,34.2,21.3,-13.0,-6.0,147.0,102.575,110.95,106.09629629629632,109.28773990847615,108.16875,108.6375,108.63086419753088,110.2382077726931,20221122,102.4,105.0,-2.5999999999999943,99.4,103.3,-3.899999999999992,102.006,105.104,-3.09727,72.2587,-5.566799039690679,148.29355161139625,71.4938678709815,-5.3337196906374515,153.73735906896337,-8.161671253668132,153.73735906896337,-5.3337196906374515,153.73735906896337,-8.161671253668132,161.63372448442018,-5.772172918672453,98.1747,103.108,-4.93363,69.5559,102.4,105.0,-2.5999999999999943,99.4,103.3,-3.899999999999992,-8.147829773738172,161.68711307598707,0,105.7355328,97.21477538,8.520757419999995,-1.125777296,101.6510734,95.62960564,6.021467760000007,5.17118144,2022-11-22,146.28407542090747,2.4596200357087667,146.28407542090747,-6.301758137540844,146.28407542090747,-3.463957555555557,9.573918925925932,6.1099613703703755,-9.90273,31.248439999999995,27.98127148148148,41.15116999999999,3.267168518518517,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,3,0.7161454169013237,0.7087479701690544,0.5627020987654348,4.46393666666667,5.786558148148153,6.249688000000001,10.2877925,1,1.0,1,1,1,3,3.0,3.0
-16.5,-23,-15.399999999999997,-9.389711934156374,-4.977655525268391,104.9,101.5,128.0,116.90000000000002,Fri 11-25 11-25,H,320 (Ⅳ),Idaho,"L, 84-81",69,117.5,53.5,13.1,25.8,43.9,121.8,60.3,14.5,31.0,32.8,18.5,-13.5,146.5,103.7375,102.575,105.69753086419756,108.48996901602597,118.084375,108.16875,115.08724279835394,113.46762454129436,20221125,102.2,105.5,-3.299999999999997,94.3,114.3,-20.0,101.652,105.492,-3.83942,71.122,-15.133382073161997,143.39696912676465,67.21979991180655,-16.10853367900485,149.34167134742881,-20.45806199525693,149.34167134742881,-16.10853367900485,149.34167134742881,-20.45806199525693,154.00077625646622,-5.409002116625459,93.4908,113.386,-19.8952,66.4429,102.2,105.5,-3.299999999999997,94.3,114.3,-20.0,-20.520618399069143,153.94705232605392,0,105.0810633,104.0516068,1.029456499999995,-9.159402712,106.4426745,106.9279745,-0.4853000000000094,-3.63631113,2022-11-25,153.73342686615155,1.9508742582219583,153.73342686615155,-12.961094765448166,153.73342686615155,0.46764213051147374,0.21526728747795465,0.6829094179894284,-19.16058,12.087859999999996,29.070327654320984,31.248439999999995,-16.98246765432099,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.900728603156669,0.6967734722179966,-5.550291934156373,-11.560579999999996,0.5627020987654348,2.014643333333333,6.249688000000001,-1,1.0,-1,1,1,-1,3.0,3.0
-11.0,-8,-14.999999999999996,-9.059807956104247,-5.59989997521959,90.7,96.6,99.1,111.6,Mon 11-28 11-28,H,264 (Ⅳ),Cal Poly,"L, 62-58",65,89.1,50.0,23.0,13.3,33.3,95.2,47.1,20.0,25.8,31.4,-19.5,-7.0,139.5,97.21875,103.7375,100.69835390946506,105.25542919493031,108.5921875,118.084375,109.7581618655693,110.85532917014991,20221128,102.3,107.7,-5.400000000000006,95.7,102.9,-7.200000000000003,101.987,107.463,-5.47534,71.2306,-6.358221176037887,139.50211928586847,67.55133179630157,-5.558312377133646,144.2501349440053,-14.937077148712023,144.2501349440053,-5.558312377133646,144.2501349440053,-14.937077148712023,144.97983365291557,-19.176493337962754,94.8005,103.471,-8.67056,66.6688,102.3,107.7,-5.400000000000006,95.7,102.9,-7.200000000000003,-14.85888739467284,146.53268825079303,0,104.5312895,104.5950385,-0.06374900000000139,-11.0020476,91.42993636,112.2844536,-20.854517240000007,-14.4092875,2022-11-28,147.85994927126836,-3.9527534862196205,147.85994927126836,-5.999374824486935,147.85994927126836,-1.3016319218107526,-6.651693374485557,-7.95332529629631,-2.52466,9.563199999999995,23.409505102880654,12.087859999999996,-13.84630510288066,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.7475074624530771,0.9660999186685969,-3.5844679561042474,-9.524659999999997,-5.550291934156373,1.3661714285714286,2.014643333333333,-1,-1.0,-1,1,1,-1,-1.0,3.0
7.5,1,-10.166666666666664,-5.706538637402833,-4.399918161543301,102.3,99.3,101.3,109.46666666666664,Thu 12-01 12-01,A,182 (Ⅲ),UC Davis,"W, 74-72",73,101.1,44.9,15.0,31.8,25.0,98.4,49.1,17.8,28.9,52.6,-8.0,5.5,154.0,99.759375,97.21875,101.23223593964336,104.71807843221572,104.94609375,108.5921875,106.93877457704622,109.11799659375902,20221201,101.9,107.4,-5.5,99.6,100.4,-0.8000000000000114,101.086,107.376,-6.28968,70.7021,8.550932594424907,154.38278671152148,74.32862492731154,7.9924788537725675,159.07460891013187,11.221510594245538,159.07460891013187,7.9924788537725675,159.07460891013187,11.221510594245538,154.9326227228284,11.552853056302041,99.7718,100.32,-0.548567,73.9059,101.9,107.4,-5.5,99.6,100.4,-0.8000000000000114,9.010801211361148,160.06409422879182,0,101.1898658,104.6634904,-3.4736245999999937,-14.79715634,103.6926846,97.96771602,5.724968580000009,5.406518316,2022-12-01,157.94750298770242,17.000596004945294,157.94750298770242,13.635212978145816,157.94750298770242,11.225005737115398,-7.220170077078825,4.004835660036573,7.28968,16.852879999999995,18.794070068587104,9.563199999999995,-1.9411900685871082,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.30020551430745246,0.13560687507581315,0.5831413625971669,-3.8769866666666646,-3.5844679561042474,2.10661,1.3661714285714286,1,-1.0,-1,1,1,1,-1.0,-1.0
-1.0,-5,-4.299999999999997,-5.637692424935223,-4.5999330412627,112.2,101.73333333333332,117.7,106.03333333333336,Sat 12-03 12-03,A,110 (Ⅱ),UC Santa Barbara,"L, 82-71",67,105.5,50.8,19.3,38.5,27.9,121.8,65.2,19.3,33.3,32.1,14.0,10.0,139.0,105.9796875,99.759375,104.8881572930956,106.0784278081765,111.323046875,104.94609375,110.52584971803084,110.6783608494392,20221203,102.6,107.4,-4.800000000000011,104.3,99.0,5.299999999999997,101.79,106.864,-5.07341,70.5182,10.14191297599011,139.63450823078887,65.71915060540539,11.068765017039112,144.14846751402487,9.301230625943894,144.14846751402487,11.068765017039112,144.14846751402487,9.301230625943894,135.8493796832469,0.4380710089357791,104.227,100.053,4.17403,65.5158,102.6,107.4,-4.800000000000011,104.3,99.0,5.299999999999997,4.388291526158653,138.8468273332264,0,102.2576643,101.541398,0.7162663000000009,-10.30943916,94.39640473,98.48053885,-4.084134120000002,0.014893085,2022-12-03,132.37778880083647,8.530482838696912,132.37778880083647,8.108210435375177,132.37778880083647,-1.541458014849658,-3.8970716994360544,-5.438529714285712,0.07340999999999998,16.926289999999995,18.147006712391402,16.852879999999995,-1.2207167123914076,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.17045190796406517,0.48336053715800986,-0.5642824249352234,0.7734100000000028,0.5831413625971669,1.8806988888888894,2.10661,-1,1.0,-1,1,1,-1,1.0,-1.0
-10.0,-14,-6.233333333333334,-8.491794949956816,-6.345399761033118,91.6,102.03333333333336,105.8,108.26666666666668,Tue 12-06 12-06,H,262 (Ⅳ),Northern Arizona,"L, 73-69",70,99.1,44.0,20.1,29.0,60.0,104.9,50.0,18.7,29.4,36.8,-4.0,-6.0,146.0,98.78984375,105.9796875,100.4587715287304,103.44598638850805,108.5615234375,111.323046875,108.95056647868722,109.79138614954115,20221206,104.1,108.5,-4.400000000000006,101.2,110.4,-9.200000000000005,102.892,107.877,-4.98489,70.3748,-6.545305177687794,148.60772021409937,67.33777200227595,-7.877460539424206,155.17581563870755,-5.571356643407125,155.17581563870755,-7.877460539424206,155.17581563870755,-5.571356643407125,148.25186425830688,-5.7369204120230535,101.082,109.441,-8.35915,67.2662,104.1,108.5,-4.400000000000006,101.2,110.4,-9.200000000000005,-10.081987706592672,151.77603265500258,0,102.7390177,102.2465016,0.4925161000000031,-9.885245191,100.6874202,102.6187679,-1.9313476999999892,-9.395336504,2022-12-06,143.84252941440315,-1.3738004233974408,143.84252941440315,-6.335049343306551,143.84252941440315,-6.201227049879214,-2.6092303975373303,-8.810457447416544,-9.01511,7.9111799999999945,17.740101141594266,16.926289999999995,-9.828921141594272,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,3,0.7161454169013237,0.7075953451270661,-3.506904949956816,-1.2484433333333342,-0.5642824249352234,0.7911180000000009,1.8806988888888894,-1,-1.0,-1,1,1,-1,-1.0,1.0
