ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,WinorLose,Score,WinnerScore,LoserScore,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
12.0,18,,18.90000000000001,18.90000000000001,116.4,0.0,97.5,0.0,Mon 11-07 11-07,H,249 (Ⅳ),Winthrop,"W, 93-68",70,132.1,70.0,15.6,21.4,21.7,96.6,56.1,24.1,10.7,28.6,18.5,-13.0,142.5,116.4,0.0,116.4,116.4,97.5,0.0,97.5,97.5,20221107,W, 93-68,93,68,102.9,93.4,9.5,95.6,102.9,-7.3,109.122,92.7403,16.3814,68.1919,-16.219311160829157,141.62355149015818,70.82286572361309,-15.986132267512595,141.78892944103237,-26.221109776451666,141.78892944103237,-15.986132267512595,141.78892944103237,-26.221109776451666,164.89453053576,-6.830264840605565,98.6853,99.8158,-1.13053,73.0123,102.9,93.4,9.5,95.6,102.9,-7.3,-26.221109776451666,164.89453053576,0,99.6706631,98.40843871,1.26222439,2.173878883,101.2099835,103.6837224,-2.4737388999999865,1.125264765,2022-11-07,147.15725968479248,1.6186000000000007,1.6186000000000007,0.0,0.0,1.6186000000000007,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,-3,0.8921596253194927,0.7423158054662083,2.51860000000001,,0.0,1.6186000000000007,0.0,1,0.0,1,1,1,3,0.0,0.0
6.5,16,,18.000000000000007,18.409090909090917,125.4,0.0,109.2,0.0,Thu 11-10 11-10,H,318 (Ⅳ),Loyola MD,"W, 90-65",65,138.5,71.9,12.3,19.2,19.3,100.0,51.8,13.8,15.2,17.9,15.5,-18.5,139.5,120.9,116.4,119.4,118.03636363636365,103.35,97.5,101.4,99.62727272727273,20221110,W, 90-65,90,65,103.4,93.9,9.5,94.6,99.5,-4.900000000000006,109.329,92.9476,16.3813,68.2091,-17.784695859930366,133.32606777960075,67.59056086415363,-13.450229354101886,133.04848050925196,-24.725027296999492,133.04848050925196,-13.450229354101886,133.04848050925196,-24.725027296999492,145.5945388404985,-7.600846188044784,95.0595,99.9388,-4.87926,69.6625,103.4,93.9,9.5,94.6,99.5,-4.900000000000006,-24.725027296999492,145.5945388404985,0,99.6706631,98.40843871,1.26222439,2.173878883,96.73941521,101.0232979,-4.283882689999999,-2.802744495,2022-11-10,135.77601551489005,-0.38129999999999953,1.2373000000000012,1.6186000000000007,1.6186000000000007,-0.38129999999999953,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,-3,0.9609573050315723,0.7654333998725038,1.6187000000000076,,2.51860000000001,0.6186500000000024,1.6186000000000007,1,1.0,-1,1,1,1,3.0,0.0
0.0,13,16.200000000000003,16.500000000000007,17.516528925619838,105.5,115.76666666666668,92.0,99.56666666666666,Mon 11-14 11-14,H,125 (Ⅲ),Butler,"W, 68-62",70,97.8,54.2,15.8,12.1,8.5,89.2,38.1,7.2,16.3,17.9,-15.0,-6.0,145.0,113.2,120.9,114.76666666666668,115.75702479338842,97.675,103.35,98.26666666666668,98.24049586776856,20221114,W, 68-62,68,62,106.5,95.7,10.799999999999995,101.9,94.8,7.1000000000000085,111.336,94.2915,17.0448,66.9671,-12.225696978890298,139.4385329852691,68.00932907695591,-6.270762331014097,138.3576786285887,3.8794844943175297,138.3576786285887,-6.270762331014097,138.3576786285887,3.8794844943175297,131.7177674377892,-6.913704983412401,102.535,97.8902,4.64432,71.3941,106.5,95.7,10.799999999999995,101.9,94.8,7.1000000000000085,3.813462187481196,131.71932584634968,0,99.6706631,98.40843871,1.26222439,2.173878883,94.73588223,98.12628019,-3.3903979600000014,-7.577138429,2022-11-14,133.18962021982117,-4.044799999999999,-2.8074999999999974,1.491500000000001,1.2373000000000012,-4.298999999999999,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.7161454169013237,0.7448748798547451,-0.5447999999999915,-0.8447999999999958,1.6187000000000076,-0.9358333333333331,0.6186500000000024,-1,1.0,-1,-1,1,-3,1.0,3.0
2.5,24,18.133333333333336,19.23333333333334,18.82261457550714,117.8,116.23333333333332,93.1,98.1,Thu 11-17 11-17,N,94 (Ⅱ),Furman,"W, 73-68",64,113.5,55.1,12.4,21.2,15.3,105.8,50.8,17.1,35.9,10.9,-4.5,-2.5,145.5,115.5,113.2,115.7777777777778,116.12847483095416,95.3875,97.675,96.54444444444448,97.305860255447,20221117,W, 73-68,73,68,106.6,95.2,11.399999999999991,108.0,98.1,9.900000000000006,110.764,94.2514,16.5121,67.2814,-2.9969821798095353,139.84384924562346,66.57394038577526,-1.199941607586311,141.50836458676778,-1.1321990905165191,141.50836458676778,-1.199941607586311,141.50836458676778,-1.1321990905165191,154.2489874673308,-9.735829546954136,109.592,97.3387,12.2534,69.5608,106.6,95.2,11.399999999999991,108.0,98.1,9.900000000000006,-1.2330852728984865,154.082003960982,0,105.4970023,95.43639848,10.060603820000011,11.72434964,100.5547215,104.4905114,-3.935789900000003,0.31221658,2022-11-17,140.69609562959383,7.4879,4.680400000000002,0.05850000000000166,-2.8074999999999974,4.621900000000001,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,3,0.5940963859982835,0.8230943228019246,2.721233333333341,1.6212333333333362,-0.5447999999999915,1.1701000000000015,-0.9358333333333331,1,-1.0,1,1,-1,3,-3.0,1.0
1.0,-2,11.966666666666669,12.055555555555562,14.982139198142203,89.5,104.26666666666668,91.8,92.3,Fri 11-18 11-18,N,76 (Ⅱ),Virginia Tech,"L, 61-59",64,92.8,50.9,22.0,23.5,7.1,95.9,47.4,14.2,23.5,15.5,-20.5,3.0,140.5,102.5,115.5,107.01851851851852,111.28693395259884,93.59375,95.3875,94.96296296296298,96.30479475445662,20221118,L, 61-59,61,59,107.8,95.1,12.700000000000005,111.1,93.7,17.39999999999999,111.195,94.3212,16.8737,66.9254,1.0537608609584765,135.44589026295358,64.15366028307254,3.0591953847321207,136.03608314729456,0.6774455321796065,136.03608314729456,3.0591953847321207,136.03608314729456,0.6774455321796065,154.03650667476074,0.15386566098315768,113.354,94.668,18.6858,67.3885,107.8,95.1,12.700000000000005,111.1,93.7,17.39999999999999,0.6475712535900832,154.20467966072061,0,105.4970023,95.43639848,10.060603820000011,11.72434964,108.8845864,98.27935797,10.605228429999997,8.991794744,2022-11-18,136.6499656140714,-18.8737,-14.193299999999997,1.599133333333335,4.680400000000002,-15.792433333333332,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,3,0.38754848109799234,0.4941541599177238,-4.818144444444437,-4.907033333333331,2.721233333333341,-2.8386599999999973,1.1701000000000015,-1,1.0,-1,-1,1,-3,3.0,-3.0
7.5,26,16.366666666666664,16.937037037037037,17.112659343934528,102.6,103.3,75.9,86.93333333333334,Sun 11-20 11-20,N,107 (Ⅲ),Colorado St.,"W, 68-56",67,100.9,50.0,11.9,8.8,30.9,83.1,37.5,13.4,25.6,15.6,-11.5,-4.5,135.5,102.55,102.5,105.54567901234569,109.70749141576268,84.746875,93.59375,88.60864197530866,92.59483207182814,20221120,W, 68-56,68,56,107.9,95.6,12.300000000000011,104.9,96.4,8.5,110.281,93.5543,16.7272,66.8352,-5.076979746007083,134.26599000107524,65.45932657980086,-2.504519794373664,137.13373552490862,-1.239162169281029,137.13373552490862,-2.504519794373664,137.13373552490862,-1.239162169281029,134.4513119826237,-5.076420015542439,106.005,96.9949,9.00974,68.8528,107.9,95.6,12.300000000000011,104.9,96.4,8.5,-1.0722776609660065,134.37488362691892,0,104.650039,94.14005711,10.509981890000006,10.82907688,99.29744669,96.55176094,2.745685750000007,-0.832373469,2022-11-20,130.56912313369747,9.2728,-4.920499999999997,-3.6650111111111086,-14.193299999999997,-1.2554888888888884,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,3,0.6658824291023754,0.6856184655014994,0.20983703703703682,-0.36053333333333626,-4.818144444444437,-0.8200833333333346,-2.8386599999999973,1,-1.0,-1,-1,-1,-1,-3.0,3.0
-7.5,10,11.699999999999998,14.858024691358024,15.946721281400976,113.9,102.0,103.2,90.3,Fri 11-25 11-25,H,265 (Ⅳ),Lafayette,"W, 70-57",62,113.5,58.0,13.0,20.0,10.7,92.4,38.8,19.4,37.2,31.0,-0.5,-20.5,127.5,108.225,102.55,108.33045267489712,110.46976570380582,93.9734375,84.746875,93.47242798353912,94.52304442240484,20221125,W, 70-57,70,57,108.0,94.5,13.5,96.6,105.5,-8.900000000000006,110.859,93.4924,17.3661,66.0113,-20.14350183538346,120.47486298622601,58.459813858748234,-17.087444958371556,123.86832713096308,-14.959340563192562,123.86832713096308,-17.087444958371556,123.86832713096308,-14.959340563192562,116.5283406614353,-9.029746329154158,94.8823,106.041,-11.1587,62.2579,108.0,94.5,13.5,96.6,105.5,-8.900000000000006,-14.278183468074992,116.04258221448916,0,104.3498177,98.45709649,5.892721210000005,5.109470566,93.45539193,97.36500031,-3.9096083799999946,-6.220082633,2022-11-25,116.66039481123516,-7.366099999999999,-12.286599999999996,-4.083507407407405,-4.920499999999997,-8.203092592592592,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9745535036187463,0.805098819982458,-2.508075308641976,-5.666100000000002,0.20983703703703682,-1.755228571428571,-0.8200833333333346,-1,1.0,-1,-1,-1,-3,-1.0,-3.0
-5.0,13,17.099999999999994,14.538683127572014,15.574590139328068,123.1,113.2,109.2,96.1,Tue 11-29 11-29,A,58 (I),Clemson,"L, 101-94 2OT",84,111.7,48.6,13.1,27.9,40.8,120.0,59.5,11.9,16.2,58.7,63.0,2.0,132.0,115.6625,108.225,113.25363511659808,112.76617193947747,101.58671875,93.9734375,98.71495198902608,97.1915818001494,20221129,L, 101-94 2OT,101,94 2OT,108.0,94.5,13.5,107.0,96.6,10.400000000000006,110.531,94.0589,16.472,65.5407,0.4372763452101225,127.87096722231347,61.808236380512085,1.6118876376952898,130.40581510271767,1.2636424813558378,130.40581510271767,1.6118876376952898,130.40581510271767,1.2636424813558378,126.29646996880179,-3.224331943806604,107.862,96.4131,11.4492,66.2965,108.0,94.5,13.5,107.0,96.6,10.400000000000006,-1.4851581751121248,128.22351188034798,0,104.6871077,97.52716744,7.159940259999999,6.452776745,96.96462979,100.5259588,-3.5613290099999944,-1.558980286,2022-11-29,126.69265214454138,-3.4720000000000013,-15.758599999999998,-6.817871604938269,-12.286599999999996,-8.94072839506173,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.4244679994402739,0.620608467795073,-1.9333168724279872,0.627999999999993,-2.508075308641976,-1.9698250000000002,-1.755228571428571,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-13.0,8,10.866666666666664,12.35912208504801,14.19739193217751,95.5,110.83333333333331,87.5,99.96666666666664,Wed 12-07 12-07,H,24 (Ⅱ),Michigan St.,"L, 67-58",68,85.4,41.8,13.3,12.8,32.7,98.7,48.3,13.3,17.1,18.3,-11.0,-4.0,136.0,105.58125,115.6625,107.33575674439874,109.62686795048155,94.543359375,101.58671875,94.97663465935074,95.42947601830406,20221207,L, 67-58,67,58,109.3,95.6,13.700000000000005,110.1,97.8,12.299999999999995,111.468,95.5118,15.9562,65.2441,-4.598787659327094,129.33323470792428,60.9161794945946,-4.745538542611698,132.86801303230976,-10.736439702032468,132.86801303230976,-4.745538542611698,132.86801303230976,-10.736439702032468,132.6596711849823,-2.497271909510353,110.81,96.3966,14.4134,65.6367,109.3,95.6,13.700000000000005,110.1,97.8,12.299999999999995,-5.764753529493228,128.73176917904584,0,105.1760467,98.9784009,6.197645800000004,6.84354994,103.4920451,95.77788257,7.714162529999996,8.163364132,2022-12-07,127.18609010611044,-7.956200000000001,-23.714799999999997,-9.798114403292178,-15.758599999999998,-13.916685596707818,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,3,0.6483807083005341,0.5939956271876787,-3.5970779149519903,-5.089533333333337,-1.9333168724279872,-2.6349777777777774,-1.9698250000000002,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
25.5,36,19.33333333333333,20.272748056698678,18.179684308145237,125.8,114.8,89.7,95.46666666666668,Sat 12-10 12-10,A,50 (I-A),Illinois,"W, 74-59",64,116.1,61.1,14.1,10.7,18.5,92.6,51.0,18.8,23.3,23.1,-6.0,10.5,139.0,115.690625,105.58125,113.49050449626584,112.56743741403037,92.1216796875,94.543359375,93.21775643956715,94.38775310588514,20221210,W, 74-59,74,59,108.6,95.5,13.099999999999994,111.5,90.9,20.599999999999994,109.904,95.3316,14.5721,65.8899,9.576679396290558,138.1638330953375,67.61737759160741,9.360052371486816,142.32254009047801,8.736642695479325,142.32254009047801,9.360052371486816,142.32254009047801,8.736642695479325,131.62803836288313,6.2931981576065255,112.012,89.4351,22.577,72.1431,108.6,95.5,13.099999999999994,111.5,90.9,20.599999999999994,8.481651395012898,136.01941189671405,0,103.3132035,97.65816648,5.655037019999995,4.348326362,103.6369559,94.56205479,9.074901109999999,11.96449897,2022-12-10,137.87873375280674,21.4279,-2.2868999999999957,-14.437009602194784,-23.714799999999997,12.150109602194789,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.15865525393145707,0.27446902076006374,5.700648056698677,4.761233333333328,-3.5970779149519903,-0.22869000000000028,-2.6349777777777774,1,-1.0,1,-1,-1,1,-3.0,-3.0
