ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
34.5,20,,20.8,20.8,115.2,0.0,94.4,0.0,Mon 11-07 11-07,H,234 (Ⅳ),Rice,"W, 106-67",79,133.9,73.6,16.4,18.5,5.7,84.6,46.0,17.7,20.0,34.9,21.0,-4.5,152.0,115.2,0.0,115.2,115.2,94.4,0.0,94.4,94.4,20221107,97.8,97.6,0.2,100.2,106.1,-5.9,101.734,102.018,-0.284885,74.7537,-8.455742936771898,158.74729779010102,77.63496067596017,-9.203961718246248,159.87822370103152,-45.0499168739395,159.87822370103152,-9.203961718246248,159.87822370103152,-45.0499168739395,178.75834651087467,0.6764722492905548,98.0805,103.462,-5.38107,73.0096,97.8,97.6,0.2,100.2,106.1,-5.9,-45.0499168739395,178.75834651087467,0,91.75082149,102.8117534,-11.060931909999994,-8.9154692,97.49781106,102.3962993,-4.898488239999992,0.944117387,2022-11-07,153.7633044419594,20.284885,20.284885,0.0,0.0,20.284885,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,-3,0.6658824291023754,0.47431554247429,21.084885,,0.0,20.284885,0.0,1,0.0,1,1,1,3,0.0,0.0
-7.0,4,,15.4,17.854545454545452,111.6,0.0,107.0,0.0,Fri 11-11 11-11,A,117 (Ⅱ),Cal St. Fullerton,"L, 74-71",68,104.3,53.6,25.0,39.3,27.3,108.7,44.1,11.7,37.2,25.0,-9.0,-4.0,154.0,113.4,115.2,114.0,114.54545454545452,100.7,94.4,98.6,96.69090909090907,20221111,98.4,98.1,0.3000000000000113,96.1,102.4,-6.300000000000011,101.94,102.225,-0.284925,74.7708,1.9775062399508556,150.95840960611565,75.92958786059744,-0.7969536763998519,151.12313257318596,-15.886951139422564,151.12313257318596,-0.7969536763998519,151.12313257318596,-15.886951139422564,160.7907680460216,14.697088981799894,96.2945,99.4849,-3.19041,71.3895,98.4,98.1,0.3000000000000113,96.1,102.4,-6.300000000000011,-15.886951139422564,160.7907680460216,0,91.75082149,102.8117534,-11.060931909999994,-8.9154692,101.3211184,98.82698231,2.494136089999998,1.527969856,2022-11-11,151.40877488119798,4.284925,24.56981,20.284885,20.284885,4.284925000000001,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,3,0.6483807083005341,0.08079817770702702,15.684925,,21.084885,12.284905,20.284885,1,1.0,1,1,1,3,3.0,0.0
10.5,17,14.366666666666664,16.166666666666668,17.826446280991732,113.7,113.5,96.0,99.13333333333333,Sun 11-13 11-13,H,354 (Ⅳ),Alabama St.,"W, 91-62",74,122.5,62.7,12.1,26.5,30.2,83.4,37.0,16.1,25.0,23.2,-7.0,-18.5,160.0,113.55,113.4,113.9,114.39173553719006,98.35,100.7,97.73333333333336,96.56528925619834,20221113,99.3,99.6,-0.2999999999999971,93.5,108.6,-15.099999999999994,102.914,103.392,-0.478011,73.1968,-17.8601342310983,158.10111977731407,77.67825585889047,-16.12888188693627,159.68725631387787,-34.01317591212239,159.68725631387787,-16.12888188693627,159.68725631387787,-34.01317591212239,171.89500572979244,1.8331288523998097,90.2549,107.573,-17.3179,74.6041,99.3,99.6,-0.2999999999999971,93.5,108.6,-15.099999999999994,-33.98272792916043,171.93001122233656,0,91.75082149,102.8117534,-11.060931909999994,-8.9154692,100.1575233,103.6683377,-3.510814400000001,-7.308913535,2022-11-13,156.9059754036374,17.478011,42.047821,21.713193333333336,24.56981,20.334627666666663,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,-3,0.9609573050315723,0.43070337860360874,16.644677666666666,14.844677666666664,15.684925,14.015940333333333,12.284905,1,1.0,1,1,1,3,3.0,3.0
6.5,9,10.566666666666668,13.911111111111117,16.294365138993236,89.5,104.93333333333334,80.1,94.36666666666667,Sat 11-19 11-19,H,102 (Ⅲ),UC Irvine,"W, 64-55",71,89.6,44.9,16.8,8.3,59.2,77.0,32.1,21.0,37.3,25.4,-25.0,-2.5,144.0,101.525,113.55,105.76666666666668,109.86596543951912,89.225,98.35,91.85555555555558,93.5716003005259,20221119,100.8,99.4,1.3999999999999917,100.6,92.9,7.699999999999989,103.596,103.175,0.420918,73.1087,-0.16564825914626624,145.75131544410715,72.0557475284495,0.6871610170528015,142.58469896884495,10.015295023753444,142.58469896884495,0.6871610170528015,142.58469896884495,10.015295023753444,143.32000574876523,2.8927756266235036,101.218,95.5332,5.68427,69.2875,100.8,99.4,1.3999999999999917,100.6,92.9,7.699999999999989,10.080492368048777,143.29590787838598,0,102.6639245,95.47013671,7.193787789999988,14.64888417,103.4379772,87.23201205,16.20596515000001,9.936273682,2022-11-19,138.5966870829439,8.579082,50.626903,28.49140255555556,42.047821,22.13550044444444,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.5940963859982835,0.39146512549618784,13.490193111111116,10.145748666666668,16.644677666666666,12.65672575,14.015940333333333,1,1.0,1,1,1,3,3.0,3.0
-31.0,-14,4.200000000000003,4.440740740740744,10.695389659176282,99.1,100.76666666666664,113.6,96.56666666666666,Wed 11-23 11-23,A,3 (I-A),UCLA,"L, 100-53",73,72.7,40.8,23.3,18.4,11.7,137.2,62.7,12.3,40.6,29.9,1.5,16.0,151.5,100.3125,101.525,103.54444444444448,107.90851717778835,101.4125,89.225,99.10370370370372,97.2131275186121,20221123,100.9,98.8,2.1000000000000085,113.7,92.2,21.5,103.701,102.248,1.45294,72.0858,19.52234393608707,149.74139297022458,70.72201459459461,18.133335742449873,149.0231202144039,9.172264985796186,149.0231202144039,18.133335742449873,149.0231202144039,9.172264985796186,142.99799392296686,19.0522685526972,114.397,91.7739,22.6226,68.97,100.9,98.8,2.1000000000000085,113.7,92.2,21.5,8.868600903641584,142.91032498637148,0,100.1293673,97.42007418,2.709293119999998,16.26875125,111.7514743,87.94282064,23.808653660000004,28.75771325,2022-11-23,142.94491448312397,-15.45294,35.173963,35.8699027037037,50.626903,-0.6959397037037007,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,3,0.06377814989000363,0.0348002554786232,2.9878007407407443,2.747060000000003,13.490193111111116,7.0347926,12.65672575,1,1.0,-1,1,1,1,3.0,3.0
9.0,10,1.900000000000001,6.560493827160496,10.714409721144229,110.6,99.73333333333332,99.8,97.83333333333331,Sat 12-03 12-03,H,212 (Ⅳ),Northern Arizona,"W, 88-69",72,123.0,61.9,11.2,24.2,27.0,96.5,45.1,19.6,33.3,34.4,5.5,-10.0,151.5,105.45625,100.3125,105.89629629629631,108.39787769091777,100.60625,101.4125,99.33580246913584,97.68346796977352,20221203,100.6,99.2,1.3999999999999917,100.7,109.3,-8.599999999999994,103.599,102.912,0.686128,71.1753,-9.810941729796411,147.0237223068792,68.25923884694167,-11.14302973571283,146.9313284362441,-13.979543054503601,146.9313284362441,-11.14302973571283,146.9313284362441,-13.979543054503601,143.97908133333624,-7.432761075408422,100.96,108.389,-7.42904,67.4198,100.6,99.2,1.3999999999999917,100.7,109.3,-8.599999999999994,-14.425775069664677,143.9224259929605,0,100.7390544,97.3037606,3.4352937999999966,16.86645706,100.7838874,102.3096514,-1.5257640000000094,-8.641906422,2022-12-03,140.7363786401448,9.313872,44.487835000000004,35.637922802469134,35.173963,8.84991219753087,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,-3,0.8295480920359348,0.7604907329288617,5.874365827160496,1.2138720000000012,2.9878007407407443,7.414639166666667,7.0347926,1,1.0,1,1,1,3,1.0,3.0
-10.5,4,0.3333333333333286,5.940329218106994,9.620880680936184,111.1,106.93333333333332,106.4,106.6,Tue 12-06 12-06,H,76 (Ⅱ),Nevada,"L, 85-77",74,103.7,49.2,17.5,26.2,23.1,114.5,53.3,13.5,23.5,39.3,16.5,-2.5,145.5,108.278125,105.45625,107.63086419753088,108.88917265620545,103.503125,100.60625,101.6905349794239,99.26829197526924,20221206,101.6,99.7,1.8999999999999917,104.6,97.0,7.599999999999994,104.542,102.92,1.62202,71.3137,0.40213377017467167,141.03571952259512,67.2597748320057,0.038492104109764114,139.70309838413334,0.46224398816047607,139.70309838413334,0.038492104109764114,139.70309838413334,0.46224398816047607,142.51993802020453,0.05679018431573013,105.607,97.7469,7.86008,66.3037,101.6,99.7,1.8999999999999917,104.6,97.0,7.599999999999994,0.6201371158003695,134.23312870092428,0,101.2761516,96.59204144,4.684110160000003,18.97381263,102.2227597,92.10573982,10.11701988,13.54251951,2022-12-06,132.25172184955892,2.37798,46.865815000000005,38.58789353497943,44.487835000000004,8.277921465020576,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.5940963859982835,0.4978422956974202,4.318309218106994,-1.2886866666666714,5.874365827160496,6.695116428571429,7.414639166666667,1,1.0,1,1,1,3,3.0,1.0
-5.5,-2,4.36666666666666,3.1602194787379947,7.435266011675058,79.5,100.4,81.9,96.03333333333336,Sat 12-10 12-10,H,121 (Ⅲ),UC Santa Barbara,"L, 67-64 OT",78,81.6,42.9,25.5,28.6,22.2,85.4,43.9,19.1,20.0,19.7,-15.0,-2.5,146.0,93.8890625,108.278125,98.2539094650206,103.54568671871353,92.7015625,103.503125,95.0936899862826,96.11042070703846,20221210,103.1,101.0,2.0999999999999943,105.1,99.9,5.199999999999989,104.847,103.559,1.28756,72.1291,-1.8574568109377765,143.0033266730331,67.03748323257469,-1.8557158688363984,143.639578712471,-8.172461771677515,143.639578712471,-1.8557158688363984,143.639578712471,-8.172461771677515,140.42195965610682,-7.634085580666785,105.086,100.725,4.36043,65.3375,103.1,101.0,2.0999999999999943,105.1,99.9,5.199999999999989,-8.289127688304974,140.28303193945916,0,102.6743688,98.22296692,4.451401879999992,14.94510043,95.76598762,97.15128817,-1.3853005499999966,5.125734533,2022-12-10,133.27383300542186,-3.28756,43.578255000000006,41.34720068998629,46.865815000000005,2.231054310013718,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.5940963859982835,0.7664041037874347,1.8726594787379947,3.07910666666666,4.318309218106994,5.447281875,6.695116428571429,1,1.0,1,1,1,3,3.0,3.0
-5.0,2,1.4333333333333276,2.7734796524919965,6.447035827734138,94.3,94.96666666666664,92.3,93.53333333333336,Sat 12-17 12-17,A,116 (Ⅱ),Grand Canyon,"L, 83-73 OT",80,91.2,37.2,16.2,36.4,29.5,103.7,44.4,16.2,35.7,57.1,19.0,5.0,137.0,94.09453125,93.8890625,96.93593964334708,101.8646527698565,92.50078125,92.7015625,94.16245999085508,95.41761694212236,20221217,101.8,99.4,2.3999999999999915,103.8,96.7,7.099999999999994,103.535,102.193,1.34138,72.4541,6.735191457286263,136.14985540972964,66.18841784438122,7.0446619944683135,136.91280471947164,7.737573918332138,136.91280471947164,7.0446619944683135,136.91280471947164,7.737573918332138,134.45222229113207,2.15079073137278,103.239,97.6105,5.62807,64.2206,101.8,99.4,2.3999999999999915,103.8,96.7,7.099999999999994,4.911307754326594,130.1687465769514,0,100.143817,96.81344706,3.330369939999997,12.03875111,97.50087719,96.43189652,1.068980670000002,2.885078701,2022-12-17,129.5519049433499,0.65862,44.236875000000005,42.090885459990865,43.578255000000006,2.1459895400091398,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,-3,0.31696934194067294,0.41884965601139057,1.4320996524919964,0.09195333333332756,1.8726594787379947,4.915208333333333,5.447281875,1,1.0,1,1,1,3,3.0,3.0
-1.5,-11,-3.9000000000000057,-1.9176802316720056,3.220302040873383,100.1,91.3,111.4,95.2,Thu 12-22 12-22,A,136 (Ⅱ),Hawaii,"L, 76-70",72,97.0,47.3,19.4,19.4,36.4,105.3,53.6,26.3,45.2,45.5,5.0,4.5,141.0,97.097265625,94.09453125,97.99062642889804,101.54380681170078,101.950390625,92.50078125,99.90830666057006,98.32350477082738,20221222,101.4,98.5,2.9000000000000057,101.6,98.9,2.6999999999999886,103.046,101.48,1.56677,72.9678,4.269258707994936,138.9800710176502,67.8920228227596,3.7564047765708892,139.36262795771134,2.6858970318443474,139.36262795771134,3.7564047765708892,139.36262795771134,2.6858970318443474,137.1064336297902,6.294544962366118,101.614,99.5256,2.0884,65.4098,101.4,98.5,2.9000000000000057,101.6,98.9,2.6999999999999886,1.7373823027361934,133.90453148387527,0,99.73645486,96.52670416,3.2097507000000007,11.08666798,106.8423576,100.0255636,6.816794000000002,14.00600032,2022-12-22,141.1940350563201,-12.56677,31.670105000000007,42.806215306660576,44.236875000000005,-11.13611030666057,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,3,0.3341175708976246,0.2744262640366131,-3.484450231672006,-5.466770000000006,1.4320996524919964,3.1670105,4.915208333333333,-1,1.0,-1,1,1,-1,3.0,3.0
