ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
6.0,33,,33.7,33.7,110.0,0.0,76.3,0.0,Tue 11-08 11-08,H,195 (Ⅳ),Milwaukee,"W, 84-53",74,113.0,45.8,14.8,44.4,30.6,71.3,40.8,26.9,22.0,15.0,-8.5,-25.0,145.5,110.0,0.0,110.0,110.0,76.3,0.0,76.3,76.3,20221108,109.4,92.9,16.5,93.9,102.9,-9.0,111.027,91.6357,19.3914,71.2369,-27.694425883832295,144.6349577857581,73.1277684978663,-23.128159139757315,149.922409195217,-33.76868172731054,149.922409195217,-23.128159139757315,149.922409195217,-33.76868172731054,123.58349040770878,-30.699542612213705,90.1987,103.731,-13.5325,72.166,109.4,92.9,16.5,93.9,102.9,-9.0,-33.76868172731054,123.58349040770878,0,115.3690411,94.043394,21.325647099999998,25.54165554,89.89394476,103.9067162,-14.012771440000009,-17.44304666,2022-11-08,153.57834956956629,-33.56424367959988,153.57834956956629,-20.771942641818924,153.57834956956629,0.0,0.0,0.0,13.6086,13.6086,0.0,0.0,13.6086,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,3,0.9913660280019122,0.9982708767467381,14.308600000000002,,0.0,13.6086,0.0,1,0.0,1,1,1,3,0.0,0.0
-6.0,16,,28.06666666666667,30.62727272727273,101.6,0.0,84.8,0.0,Fri 11-11 11-11,H,319 (Ⅳ),Austin Peay,"W, 63-44",58,109.3,52.1,24.3,46.2,35.4,76.3,32.1,12.1,21.1,20.8,-32.0,-25.0,139.0,105.8,110.0,107.2,108.47272727272728,80.55,76.3,79.13333333333333,77.84545454545454,20221111,109.7,92.8,16.900000000000006,94.6,101.4,-6.800000000000011,111.239,91.8471,19.3914,71.2544,-22.37195303522782,145.44445304096865,71.31622814224752,-21.173642364335038,145.69876851759778,-53.85779003099228,145.69876851759778,-21.173642364335038,145.69876851759778,-53.85779003099228,135.55220905996956,-22.547312207033144,97.1157,103.383,-6.26724,70.361,109.7,92.8,16.900000000000006,94.6,101.4,-6.800000000000011,-53.85779003099228,135.55220905996956,0,115.3690411,94.043394,21.325647099999998,25.54165554,98.18395655,101.7311439,-3.5471873500000015,-3.095917899,2022-11-11,153.52179769825696,-22.644195944643585,153.52179769825696,-18.99964160428877,153.52179769825696,0.0,0.0,0.0,-3.391400000000001,10.217199999999998,13.6086,13.6086,-3.391400000000001,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,3,0.9913660280019122,0.9841178057409025,8.67526666666667,,14.308600000000002,5.108599999999999,13.6086,1,1.0,-1,1,1,1,3.0,0.0
-2.5,20,23.766666666666666,25.64444444444445,28.840495867768595,113.8,108.46666666666664,93.0,84.7,Tue 11-15 11-15,H,8 (I-A),Marquette,"W, 75-70",66,112.9,56.3,9.0,20.0,32.1,105.4,45.1,12.0,34.1,9.7,-5.5,-7.5,150.5,109.8,105.8,109.4,109.44132231404956,86.775,80.55,83.75555555555556,80.60082644628099,20221115,110.2,93.0,17.200000000000003,104.1,93.9,10.199999999999989,111.622,92.1102,19.5116,68.4963,-10.532407570420673,147.70776287719963,73.26083637268849,-9.191743513120343,150.15972533324089,-11.16099602602283,150.15972533324089,-9.191743513120343,150.15972533324089,-11.16099602602283,136.20006542990575,-15.309880884879263,105.07,94.5704,10.4994,75.19,110.2,93.0,17.200000000000003,104.1,93.9,10.199999999999989,-11.083612820067673,135.94268418336918,0,115.3690411,94.043394,21.325647099999998,25.54165554,100.4172495,94.6318971,5.785352399999994,1.418343934,2022-11-15,152.81644168010087,-20.000758957190854,152.81644168010087,-11.198944491274645,152.81644168010087,-2.6555666666666635,8.675266666666662,6.0196999999999985,0.4883999999999986,10.705599999999997,12.478133333333332,10.217199999999998,-1.7725333333333353,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.7624747379730235,0.9275912898693017,6.132844444444448,4.255066666666664,8.67526666666667,3.568533333333331,5.108599999999999,1,1.0,-1,1,1,1,1.0,3.0
10.5,37,25.03333333333333,29.5962962962963,30.41495116453794,126.8,114.06666666666666,89.3,89.03333333333335,Thu 11-24 11-24,N,21 (I-A),West Virginia,"W, 80-68",68,117.3,59.6,26.4,38.5,59.6,99.7,45.2,17.6,37.5,27.0,13.0,-1.5,135.0,118.3,109.8,115.20000000000002,112.59744552967692,88.0375,86.775,85.60370370370372,82.18249436513898,20221124,111.7,94.6,17.10000000000001,111.4,92.4,19.0,113.335,94.0136,19.321,65.6434,-1.9525155737029678,132.14016531134138,64.05918104637269,1.4287187653969653,137.11072718611263,1.1700144512690693,137.11072718611263,1.4287187653969653,137.11072718611263,1.1700144512690693,121.99688071111883,0.21340043580968882,108.626,92.8102,15.8155,68.6034,111.7,94.6,17.10000000000001,111.4,92.4,19.0,1.164415857318957,122.15950216400127,0,104.7608925,89.06372345,15.69716905,14.39759272,110.2993792,93.46242875,16.836950450000003,13.52139905,2022-11-24,128.92964833086873,-0.5612824893821511,128.92964833086873,0.1741460699557109,128.92964833086873,5.215368518518513,5.617692592592601,10.833061111111114,17.679,28.384599999999995,11.88728888888889,10.705599999999997,16.497311111111106,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.5567984968164682,0.4918925146724531,10.275296296296297,5.71233333333333,6.132844444444448,7.096149999999998,3.568533333333331,1,1.0,1,1,1,3,1.0,1.0
24.5,32,30.23333333333333,30.530864197530864,30.77586913462195,123.1,121.23333333333332,90.7,91.0,Fri 11-25 11-25,N,24 (I-A),Gonzaga,"W, 84-66",67,125.0,55.7,11.9,36.1,36.1,98.3,47.0,10.4,19.5,6.0,-3.0,6.5,153.0,120.7,118.3,117.83333333333336,114.50700088791748,89.36875,88.0375,87.30246913580248,83.73113175329553,20221125,113.1,94.3,18.8,117.8,91.4,26.39999999999999,114.211,93.849,20.3618,65.9504,4.696774028075197,148.79028622848946,68.74301949815077,5.428558869350624,150.95983154179123,-5.265709958279227,150.95983154179123,5.428558869350624,150.95983154179123,-5.265709958279227,139.85173730159545,0.44366347074895884,119.55,92.224,27.326,73.2768,113.1,94.3,18.8,117.8,91.4,26.39999999999999,-5.114959327801474,139.90647025431633,0,105.1340922,88.94194667,16.192145530000005,14.81704054,110.9980569,93.30327273,17.69478416999999,24.29337519,2022-11-25,138.54184921830796,6.514318576159525,138.54184921830796,-1.7734607871483519,138.54184921830796,-10.212038412698405,7.6516518518518595,-2.5603865608465455,11.638200000000001,40.0228,17.386392592592593,28.384599999999995,22.636407407407404,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,3,0.26794249453351904,0.48314824156845293,10.169064197530865,9.871533333333332,10.275296296296297,8.004559999999998,7.096149999999998,1,1.0,1,1,1,3,3.0,1.0
20.5,40,36.7,33.75390946502058,32.48934747378159,122.4,124.09999999999998,82.2,87.39999999999999,Sun 11-27 11-27,N,30 (I-A),Duke,"W, 75-56",65,115.3,50.9,16.9,41.2,32.8,86.1,37.9,16.9,28.2,29.3,-3.0,1.5,134.0,121.55,120.7,119.35555555555558,115.94209163556886,85.78437500000001,89.36875,85.60164609053498,83.45274416178725,20221127,114.5,93.9,20.599999999999994,112.6,90.6,22.0,116.079,93.2669,22.8116,64.3701,0.04422110876813434,126.32836335069149,59.647092705405406,1.2233727531508478,128.4887350612233,-6.714425971105989,128.4887350612233,1.2233727531508478,128.4887350612233,-6.714425971105989,120.01122451395545,-1.7179462631514255,114.149,91.652,22.4967,65.1419,114.5,93.9,20.599999999999994,112.6,90.6,22.0,-2.7487347663754305,116.25152431241669,0,105.4267687,90.80217824,14.624590459999993,13.97419245,98.87682842,87.81734677,11.059481649999995,19.68048313,2022-11-27,111.86359070554144,3.403636491939494,111.86359070554144,-8.103217873107951,111.86359070554144,-15.962201177085369,11.11055971781305,-4.851641459272319,17.1884,57.2112,24.931861728395063,40.0228,32.279338271604935,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,3,0.4432015031835318,0.5649824609631953,10.942309465020578,13.888400000000004,10.169064197530865,9.5352,8.004559999999998,1,1.0,1,1,1,3,3.0,3.0
-6.0,12,28.266666666666666,26.569272976680388,28.8003752058213,107.8,117.76666666666668,95.6,89.5,Wed 11-30 11-30,A,165 (Ⅲ),Florida St.,"W, 79-69",72,110.2,50.9,15.3,33.3,55.4,96.3,43.2,11.2,17.1,21.2,10.5,-16.0,137.5,114.675,121.55,115.50370370370374,114.46171133819269,90.6921875,85.78437500000001,88.93443072702333,85.66133613237139,20221130,116.2,92.5,23.700000000000003,100.5,101.7,-1.2000000000000028,116.678,91.2407,25.437,64.503,-12.625313260731964,135.81800990817118,64.56309881223328,-12.786725269442222,139.40056237017677,-19.298633219158614,139.40056237017677,-12.786725269442222,139.40056237017677,-19.298633219158614,132.14660979593694,-20.607913796279973,102.205,101.852,0.353907,70.3655,116.2,92.5,23.700000000000003,100.5,101.7,-1.2000000000000028,-21.4544347592711,132.2478205605139,0,111.7417658,87.80845444,23.93331135999999,22.34862628,91.02387266,104.2897241,-13.265851440000006,-11.27556774,2022-11-30,129.46708358696114,-19.800967307033076,129.46708358696114,-26.56225687713041,129.46708358696114,-23.868032403950817,11.98440420340976,-11.883628200541057,-13.437000000000001,43.77419999999999,35.69164115226337,57.2112,8.082558847736621,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.9362218501099964,0.9751570633321999,1.1322729766803867,2.8296666666666646,10.942309465020578,6.253457142857144,9.5352,1,1.0,1,1,1,3,3.0,3.0
0.0,22,24.96666666666667,25.21284865112026,27.654852441126515,132.1,120.76666666666664,109.6,95.8,Sun 12-04 12-04,H,201 (Ⅳ),Minnesota,"W, 89-70",68,130.5,56.2,10.3,40.0,27.7,102.7,55.1,11.7,9.4,13.6,27.5,-19.0,131.5,123.3875,114.675,121.03580246913585,117.66867291306671,100.14609375,90.6921875,95.82295381801556,90.01382047194022,20221204,116.0,92.8,23.200000000000003,98.7,99.4,-0.7000000000000028,116.745,91.3643,25.3805,64.9535,-17.2125500988285,120.49997484539077,57.98065400000001,-17.61114365226844,123.90155540944893,-22.013337765037846,123.90155540944893,-17.61114365226844,123.90155540944893,-22.013337765037846,116.44732895021744,-19.485587719877174,100.779,99.4288,1.35002,62.7532,116.0,92.8,23.200000000000003,98.7,99.4,-0.7000000000000028,-20.528710850078014,113.65499296209202,0,107.5186407,87.37396683,20.144673870000005,19.0374662,88.96893788,97.89505413,-8.926116250000007,-11.090783,2022-12-04,109.69449453507721,-19.156519781379124,109.69449453507721,-20.394408163541186,109.69449453507721,-7.825459013978708,4.726036142138614,-3.0994228718400945,-3.3805000000000014,40.393699999999995,38.38582743484225,43.77419999999999,2.007872565157747,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.9648151676951044,0.9682568442799304,-0.16765134887974042,-0.41383333333333283,1.1322729766803867,5.049212499999999,6.253457142857144,-1,1.0,1,1,1,1,3.0,3.0
-4.5,38,24.266666666666666,29.508565767413508,29.55397017910351,131.7,123.86666666666666,93.6,99.6,Wed 12-07 12-07,H,98 (Ⅲ),Hofstra,"W, 85-66",67,127.5,56.5,13.5,42.4,32.3,99.0,55.5,13.5,3.3,14.5,7.5,-23.5,143.5,127.54375,123.3875,124.5905349794239,120.21982329250916,96.873046875,100.14609375,95.08196921201036,90.66585311340565,20221207,117.5,93.7,23.8,106.1,103.6,2.5,117.86,92.2944,25.5656,66.2095,-18.728021984237365,142.82260216285212,64.56754207254623,-18.884485207436498,146.92141747723042,-19.45170034087769,146.92141747723042,-18.884485207436498,146.92141747723042,-19.45170034087769,132.84731168370863,-13.502169910172881,107.633,103.75,3.88294,68.5566,117.5,93.7,23.8,106.1,103.6,2.5,-17.436373831434487,139.2294910746173,0,109.2857831,89.33528141,19.95050169000001,19.29790722,104.9088341,99.22790659,5.680927510000004,4.991360953,2022-12-07,134.2044170599105,-11.264838226358833,134.2044170599105,-14.690820781842731,134.2044170599105,3.4221832588089205,0.6260149653254317,4.048198224134352,12.4344,52.82809999999999,39.055118289894835,40.393699999999995,13.772981710105157,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.9873925774343177,0.9007646732395342,3.942965767413508,-1.2989333333333342,-0.16765134887974042,5.869788888888891,5.049212499999999,1,-1.0,1,1,1,3,1.0,3.0
-4.5,15,25.266666666666666,24.73904384494234,26.944157419266507,107.3,123.7,92.1,98.43333333333332,Sat 12-10 12-10,A,118 (Ⅱ),Nebraska,"W, 65-62 OT",66,98.3,45.7,18.1,35.9,34.5,93.8,38.2,13.6,37.3,13.9,-11.0,-7.5,138.0,117.421875,127.54375,118.82702331961592,117.87076451205294,94.4865234375,96.873046875,94.08797947467356,90.92660709278644,20221210,118.8,93.9,24.89999999999999,106.2,98.0,8.200000000000003,118.274,92.3611,25.9125,66.1109,-6.562334072084177,130.97081072442634,62.15731771422475,-6.800925432378435,137.7119288254221,-6.14756293344505,137.7119288254221,-6.800925432378435,137.7119288254221,-6.14756293344505,133.74227245201274,-7.3923208339800155,105.908,96.6959,9.21233,66.0959,118.8,93.9,24.89999999999999,106.2,98.0,8.200000000000003,-8.782442108552486,128.84389845237396,0,109.9912231,89.34755795,20.643665150000004,19.82475466,101.1972187,97.7681458,3.429072899999994,5.86058508,2022-12-10,126.08865490094715,-6.715833900801059,126.08865490094715,-6.822744107771598,126.08865490094715,3.6999038609875505,1.5916010470503004,5.291504908037851,-10.912500000000001,41.91559999999999,43.64611219326322,52.82809999999999,-1.7305121932632304,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.7624747379730235,0.7592931274510037,-1.1734561550576608,-0.6458333333333357,3.942965767413508,4.191559999999999,5.869788888888891,-1,1.0,-1,1,1,-1,3.0,1.0
