ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
9.5,4,,4.400000000000006,4.400000000000006,91.0,0.0,86.6,0.0,Mon 11-07 11-07,A,16 (I-A),Marquette,"L, 79-69",80,86.6,45.2,18.8,20.0,31.7,99.1,50.0,22.6,25.7,42.4,8.5,19.5,139.5,91.0,0.0,91.0,91.0,86.6,0.0,86.6,86.6,20221107,94.5,103.7,-9.2,102.3,92.6,9.7,91.2776,101.053,-9.77534,71.2474,18.67490301697569,143.90672613149266,75.78108590554766,18.576383305688466,150.26085357661898,8.971850463476787,150.26085357661898,18.576383305688466,150.26085357661898,8.971850463476787,125.84751318908799,13.75215184976095,103.758,93.5776,10.1803,74.7734,94.5,103.7,-9.2,102.3,92.6,9.7,8.971850463476787,125.84751318908799,0,90.87092053,98.18138463,-7.31046409999999,-1.388262829,100.4172495,94.6318971,5.785352399999994,1.418343934,2022-11-07,143.1581002244131,4.249066628487583,143.1581002244131,16.449800317517244,143.1581002244131,0.0,0.0,0.0,13.77534,13.77534,0.0,0.0,13.77534,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.0316454161166726,0.09514380741289274,14.175340000000006,,0.0,13.77534,0.0,1,0.0,1,1,1,3,0.0,0.0
15.0,3,,4.200000000000003,4.290909090909095,115.5,0.0,111.7,0.0,Thu 11-10 11-10,A,147 (Ⅲ),Notre Dame,"L, 79-76",65,116.4,52.3,9.2,27.8,18.5,121.0,60.4,15.3,24.0,52.1,17.5,18.0,137.5,103.25,91.0,99.16666666666669,95.45454545454544,99.15,86.6,94.96666666666668,91.16363636363636,20221110,95.0,104.2,-9.200000000000005,111.1,94.4,16.69999999999999,91.4825,101.258,-9.77543,71.2644,21.8418298217492,140.0081917526936,71.25740534338549,23.21188696612137,150.31754869760695,-1.2110779767428568,150.31754869760695,23.21188696612137,150.31754869760695,-1.2110779767428568,151.46807393996477,11.987880929654537,109.626,93.6932,15.933,70.2931,95.0,104.2,-9.200000000000005,111.1,94.4,16.69999999999999,-1.2110779767428568,151.46807393996477,0,90.87092053,98.18138463,-7.31046409999999,-1.388262829,102.9400509,99.01234267,3.9277082300000075,3.255860317,2022-11-10,139.50942425449273,5.323120225576901,139.50942425449273,20.525695609162184,139.50942425449273,0.0,0.0,0.0,12.77543,26.55077,13.77534,13.77534,12.77543,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.04323813274683286,0.12678875799545453,13.975430000000003,,14.175340000000006,13.275385,13.77534,1,1.0,1,1,1,3,3.0,0.0
12.0,4,4.13333333333333,4.199999999999998,4.274380165289257,117.1,107.86666666666667,112.9,103.73333333333332,Sun 11-20 11-20,N,216 (Ⅳ),Army,"W, 90-75",71,127.2,65.2,11.3,14.8,39.3,106.0,61.0,24.0,16.7,34.0,25.0,-3.0,140.0,110.175,103.25,105.14444444444446,99.39008264462808,106.025,99.15,100.94444444444446,95.11570247933884,20221120,98.4,105.6,-7.199999999999989,96.8,106.1,-9.299999999999995,94.53,102.598,-8.06786,69.8939,-0.31520810241242714,143.3479062472498,72.4919049799431,-1.6170302478034273,153.15179881643562,-12.196154052021107,153.15179881643562,-1.6170302478034273,153.15179881643562,-12.196154052021107,160.05211664331097,-14.190696183686597,96.6369,105.347,-8.71036,72.9131,98.4,105.6,-7.199999999999989,96.8,106.1,-9.299999999999995,-12.117007830164622,159.8467335807462,0,107.0366841,95.90454265,11.132141450000006,4.607217259,99.83191583,107.3357022,-7.50378637,-10.36640858,2022-11-20,156.12311323320182,-10.854666615260086,156.12311323320182,-13.245881971057386,156.12311323320182,-18.922697222222226,13.975429999999998,-4.94726722222223,12.06786,38.618629999999996,18.033816666666667,26.55077,20.58481333333333,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6124515189020077,0.9117315196838811,12.267859999999999,12.201193333333329,13.975430000000003,12.872876666666667,13.275385,1,1.0,1,1,1,3,3.0,3.0
-13.5,-20,-4.200000000000003,-4.066666666666665,-0.2482344102178801,77.0,103.2,97.6,107.4,Wed 11-23 11-23,A,306 (Ⅳ),William & Mary,"L, 62-51",64,79.9,43.9,25.1,21.9,24.5,97.1,45.3,21.9,35.3,35.8,-23.5,-2.5,136.5,93.5875,110.175,95.76296296296296,95.31915852742296,101.8125,106.025,99.82962962962964,95.56739293764086,20221123,100.0,106.7,-6.700000000000003,100.5,110.3,-9.799999999999995,97.4492,104.044,-6.59514,69.1004,-0.5741408226272853,137.49738804502414,65.79567091266001,2.039831401397734,146.7154137430906,-7.517731624311402,146.7154137430906,2.039831401397734,146.7154137430906,-7.517731624311402,154.4482561377486,-3.337952849410911,97.7514,111.304,-13.5526,66.9379,100.0,106.7,-6.700000000000003,100.5,110.3,-9.799999999999995,-7.124224613704341,154.48586958967027,0,100.4771968,92.85310636,7.624090440000003,5.35007285,102.1562755,104.9081479,-2.7518723999999963,-0.04960983,2022-11-23,134.92201666537107,-1.6616540080294158,134.92201666537107,-9.331637709554329,134.92201666537107,-10.866903333333338,12.519136666666661,1.6522333333333226,-13.40486,25.213769999999997,24.895421111111112,38.618629999999996,0.3183488888888846,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,-3,0.5940963859982835,0.6247197066272328,2.528473333333335,2.395139999999997,12.267859999999999,6.303442499999999,12.872876666666667,1,1.0,1,1,1,3,3.0,3.0
12.5,8,-2.500000000000005,0.2555555555555537,1.41508093709446,102.8,98.96666666666664,93.9,101.46666666666668,Sun 11-27 11-27,A,293 (Ⅳ),Elon,"W, 69-53",62,111.4,50.0,16.1,35.3,20.3,85.5,37.5,12.9,27.9,18.3,-14.0,-3.5,136.0,98.19375,93.5875,98.10864197530866,96.67931152243696,97.85625,101.8125,97.85308641975313,95.26423058534252,20221127,98.2,105.6,-7.399999999999991,94.0,109.7,-15.700000000000005,96.3126,104.121,-7.80848,67.905,-0.558059395593375,133.75931538239365,65.50833021337127,-1.7917283379128435,138.90799556217127,-8.069211069087581,138.90799556217127,-1.7917283379128435,138.90799556217127,-8.069211069087581,140.17742302896454,-10.282365194223573,95.4407,110.036,-14.5952,67.8188,98.2,105.6,-7.399999999999991,94.0,109.7,-15.700000000000005,-7.683045417193024,140.0613277325535,0,101.2058159,94.01096763,7.1948482700000085,3.938781717,93.99385892,107.8986018,-13.90474288,-17.27482132,2022-11-27,132.34288431688458,-12.184750917704598,132.34288431688458,-9.665204684860953,132.34288431688458,-10.662018164021186,5.239550333333339,-5.422467830687847,15.80848,41.02225,25.001537407407408,25.213769999999997,16.02071259259259,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.6305586598182363,0.8362774155397568,8.064035555555554,5.308479999999996,2.528473333333335,8.204450000000001,6.303442499999999,1,1.0,1,1,1,3,3.0,3.0
-2.5,4,-2.3666666666666694,1.7037037037037006,1.994157130350012,115.6,98.46666666666664,111.0,100.83333333333331,Thu 12-01 12-01,H,199 (Ⅳ),North Carolina Central,"W, 80-78",71,112.2,64.6,19.6,19.2,62.5,109.4,56.1,22.4,37.1,7.6,26.0,-4.5,132.0,106.896875,98.19375,103.93909465020576,100.11943670017568,104.428125,97.85625,102.23539094650208,98.1252795698257,20221201,98.6,104.7,-6.1000000000000085,99.3,105.0,-5.700000000000003,96.8581,102.606,-5.74757,66.6819,-2.5642330439495353,126.9304351679666,63.58398982361308,-3.506122137492298,135.42639093614684,-3.0855110759145328,135.42639093614684,-3.506122137492298,135.42639093614684,-3.0855110759145328,132.14221817250956,-10.511181104243406,98.529,102.761,-4.23159,67.034,98.6,104.7,-6.1000000000000085,99.3,105.0,-5.700000000000003,-2.9164369495841873,131.8854985216206,0,104.2576881,90.46415072,13.79353737999999,8.385700172,99.93625408,97.0173443,2.918909779999993,5.410599429,2022-12-01,125.2248511635274,-3.7948507970132255,125.2248511635274,-0.47677724730834115,125.2248511635274,0.52153086772487,5.848507523809516,6.370038391534386,9.74757,50.769819999999996,30.341774938271605,41.02225,20.42804506172839,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.6658824291023754,0.841602275534838,7.4512737037037,3.3809033333333303,8.064035555555554,8.461636666666667,8.204450000000001,1,1.0,1,1,1,3,3.0,3.0
8.0,9,7.599999999999994,4.235802469135799,3.3224921975591,115.7,111.36666666666667,106.4,103.76666666666668,Sun 12-04 12-04,H,214 (Ⅳ),George Washington,"W, 86-76",70,123.7,60.3,15.8,39.3,36.2,109.4,55.1,15.8,22.2,32.2,21.5,-2.0,140.5,111.2984375,106.896875,107.85939643347052,102.95226639105285,105.4140625,104.428125,103.62359396433472,99.62977419349374,20221204,99.8,105.0,-5.200000000000003,104.9,103.1,1.8000000000000114,97.9457,103.472,-5.52671,67.6497,-1.3444028742474643,135.1845445067076,65.0782415598862,0.8593589322618413,142.08407804684543,0.5158842760829678,142.08407804684543,0.8593589322618413,142.08407804684543,0.5158842760829678,146.6655931202483,-14.638047328799018,102.733,104.68,-1.94737,67.6278,99.8,105.0,-5.200000000000003,104.9,103.1,1.8000000000000114,-0.3342957691744626,144.55172229176492,0,103.7878817,94.04261569,9.745266009999995,4.197258332,102.7796284,108.6083924,-5.8287639999999925,-3.674148272,2022-12-04,140.0766409354067,-6.949529799187367,140.0766409354067,4.848204463773953,140.0766409354067,9.200346582892394,6.981568042328022,16.181914625220415,14.52671,65.29652999999999,37.15112329218107,50.769819999999996,28.14540670781892,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,3,0.5755320005597261,0.9183562569947815,9.7625124691358,13.126709999999994,7.4512737037037,9.328075714285713,8.461636666666667,1,1.0,1,1,1,3,3.0,3.0
-11.0,-16,-0.733333333333339,-2.542798353909469,-0.2088700201789199,100.6,110.63333333333333,116.7,111.36666666666667,Sat 12-10 12-10,A,351 (Ⅳ),VMI,"L, 77-74",68,108.1,58.3,17.5,18.8,13.3,112.5,69.1,23.4,17.4,36.2,7.0,-8.0,144.0,105.94921875,111.2984375,105.43959762231368,102.52458159267955,111.05703125,105.4140625,107.98239597622316,102.73345161285852,20221210,102.0,105.4,-3.4000000000000057,94.7,114.1,-19.39999999999999,99.616,104.181,-4.56454,68.0979,-2.0402502584255586,142.90606038282766,66.73826682162162,-7.193897336675249,147.5815819449444,-14.577314820658573,147.5815819449444,-7.193897336675249,147.5815819449444,-14.577314820658573,153.32025132455462,-3.786235652221677,99.0153,112.69,-13.6746,68.8964,102.0,105.4,-3.4000000000000057,94.7,114.1,-19.39999999999999,-12.7106749674958,147.1099646515001,0,102.9531847,94.74419294,8.20899175999999,4.502727646,102.5482412,105.3382028,-2.789961599999998,-3.71942834,2022-12-10,140.43925704048365,-3.6113342840892955,140.43925704048365,-14.697082927623455,140.43925704048365,-14.577554281141799,9.371213521457959,-5.20634075968384,-11.435459999999999,53.86106999999999,46.532925528120714,65.29652999999999,7.328144471879277,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,3,0.7769415761393583,0.6407984643741386,2.021741646090531,3.831206666666661,9.7625124691358,6.73263375,9.328075714285713,1,1.0,1,1,1,3,3.0,3.0
3.5,3,-1.100000000000004,-0.5285322359396465,0.4654699834899746,98.6,104.96666666666664,95.1,106.06666666666666,Wed 12-14 12-14,A,85 (Ⅱ),VCU,"L, 70-62",72,86.3,43.9,23.7,28.9,33.3,97.4,52.2,34.8,44.8,68.9,-3.5,11.5,135.5,102.274609375,105.94921875,103.15973174820913,101.81102130310146,103.078515625,111.05703125,103.6882639841488,101.3455513196115,20221214,101.9,105.9,-4.0,97.3,93.5,3.799999999999997,99.9969,104.995,-4.99813,68.8423,9.980778065585625,135.23676831543457,68.06025930611665,9.284624941515588,138.4289417250256,4.8155860507887756,138.4289417250256,9.284624941515588,138.4289417250256,4.8155860507887756,139.82572297107865,-4.377886334119573,99.3155,95.1263,4.18922,69.5014,101.9,105.9,-4.0,97.3,93.5,3.799999999999997,5.364056598403605,133.02067164487772,0,103.2383919,95.961772,7.2766199,5.894162744,92.86775572,97.55134832,-4.683592599999997,-6.600868325,2022-12-14,132.1319706679919,-6.605197084483407,132.1319706679919,-0.5713391269796091,132.1319706679919,-13.68310032496546,5.02848315672153,-8.65461716824393,7.99813,61.85919999999999,48.975640352080475,53.86106999999999,12.883559647919512,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.13670617005697383,0.6616394215168757,4.469597764060353,3.8981299999999957,2.021741646090531,6.873244444444445,6.73263375,1,1.0,1,1,1,3,3.0,3.0
0.0,2,-3.3666666666666694,0.4809785093735689,0.8353845319463429,96.6,98.59999999999998,94.1,101.96666666666664,Sat 12-17 12-17,A,154 (Ⅲ),Eastern Kentucky,"L, 67-65",70,93.4,42.0,24.4,50.0,15.9,96.3,42.7,20.1,40.9,37.1,-14.0,2.0,146.0,99.4373046875,102.274609375,100.97315449880608,100.86356288435572,98.5892578125,103.078515625,100.49217598943252,100.0281783524094,20221217,101.9,105.2,-3.299999999999997,98.1,104.4,-6.300000000000011,99.8569,104.503,-4.64646,69.1901,1.4947003809423904,142.6051768544901,69.14482625035564,1.900983138179825,148.33290742082886,-2.980225551323122,148.33290742082886,1.900983138179825,148.33290742082886,-2.980225551323122,151.13555014163066,-4.922950266566346,97.462,105.634,-8.17239,70.254,101.9,105.2,-3.299999999999997,98.1,104.4,-6.300000000000011,-1.6403135541939882,143.6945833745775,0,101.6362048,95.65752806,5.978676739999997,4.611151574,95.25826461,101.8569652,-6.598700590000007,-9.754290934,2022-12-17,137.57225749795683,-8.04669213408139,137.57225749795683,-4.89777437703755,137.57225749795683,-5.812627686387185,4.598416648626173,-1.2142110377610127,6.64646,68.50565999999999,53.270160234720315,61.85919999999999,15.235499765279677,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.4244679994402739,0.6804124312120028,5.127438509373569,1.279793333333331,4.469597764060353,6.850566000000001,6.873244444444445,1,1.0,1,1,1,3,3.0,3.0
