ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
21.0,29,,29.40000000000001,29.40000000000001,90.9,0.0,61.5,0.0,Mon 11-07 11-07,H,339 (Ⅳ),Columbia,"W, 75-35",74,102.0,48.6,15.0,35.6,19.4,47.6,24.5,34.0,23.1,46.8,-28.0,-19.0,138.0,90.9,0.0,90.9,90.9,61.5,0.0,61.5,61.5,20221107,101.0,88.0,13.0,93.6,104.4,-10.8,103.427,87.6404,15.787,70.4009,-24.47557919504309,139.2866838396697,73.48161534381222,-21.284507851906284,141.57116906792592,-34.31738688975259,141.57116906792592,-21.284507851906284,141.57116906792592,-34.31738688975259,91.14833887221918,-13.719076799845183,92.1474,105.308,-13.1611,73.3763,101.0,88.0,13.0,93.6,104.4,-10.8,-34.31738688975259,91.14833887221918,0,96.00173838,98.92015423,-2.918415849999988,-2.618833592,93.35535548,109.4594595,-16.104104019999994,-15.91514408,2022-11-07,148.57901965443142,-11.63716203080601,148.57901965443142,-19.568742018979947,148.57901965443142,0.0,0.0,0.0,13.213,13.213,0.0,0.0,13.213,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,-3,0.9648151676951044,0.9043220900213189,13.613000000000008,,0.0,13.213,0.0,1,0.0,1,1,1,3,0.0,0.0
16.5,26,,28.300000000000004,28.800000000000004,105.1,0.0,79.0,0.0,Thu 11-10 11-10,H,334 (Ⅳ),Sacred Heart,"W, 88-50",75,117.9,57.5,13.4,21.9,36.7,67.0,44.3,33.5,17.1,15.1,-1.5,-21.5,139.5,98.0,90.9,95.63333333333334,93.48181818181818,70.25,61.5,67.33333333333334,64.68181818181817,20221110,101.4,88.5,12.900000000000006,100.4,108.7,-8.299999999999997,103.64,87.8529,15.787,70.4184,-22.546704127455463,139.12284050795517,72.36807814736842,-19.939606473618916,147.783887673714,-32.72324797997818,147.783887673714,-19.939606473618916,147.783887673714,-32.72324797997818,113.31967100659921,-5.388213599454801,94.7739,105.345,-10.5714,72.2464,101.4,88.5,12.900000000000006,100.4,108.7,-8.299999999999997,-32.72324797997818,113.31967100659921,0,96.00173838,98.92015423,-2.918415849999988,-2.618833592,99.6359952,104.4501391,-4.814143900000005,-7.892722961,2022-11-10,147.19772806161563,-5.7364204076390735,147.19772806161563,-17.41494379769533,147.19772806161563,0.0,0.0,0.0,10.213,23.426,13.213,13.213,10.213,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.9797013292561028,0.69608141722409,12.513000000000003,,13.613000000000008,11.713,13.213,1,1.0,1,1,1,3,3.0,0.0
-5.5,14,23.266666666666666,23.633333333333336,26.163636363636364,103.1,99.7,88.8,76.43333333333334,Sat 11-12 11-12,H,154 (Ⅲ),UMass Lowell,"W, 73-65",72,101.1,36.3,18.0,39.1,54.8,90.0,45.3,22.2,35.9,17.2,2.0,-13.5,136.0,100.55,98.0,98.12222222222223,95.23057851239668,79.525,70.25,74.4888888888889,69.06694214876032,20221112,102.0,88.3,13.700000000000005,98.7,101.7,-3.0,104.464,88.0809,16.3829,70.8735,-14.886678090395776,139.44966818900593,73.14790421052632,-16.397916392803467,143.10838386219206,-14.716130801953254,143.10838386219206,-16.397916392803467,143.10838386219206,-14.716130801953254,124.93523064392933,-2.357644641416755,99.9281,98.7097,1.21847,72.556,102.0,88.3,13.700000000000005,98.7,101.7,-3.0,-14.463023510925135,124.94579320717361,0,96.00173838,98.92015423,-2.918415849999988,-2.618833592,94.552659,95.31500309,-0.7623440899999991,-3.116926313,2022-11-12,138.34332180637236,-2.353747470076641,138.34332180637236,-25.20252521250316,138.34332180637236,-12.512999999999998,12.512999999999998,0.0,-2.3828999999999994,21.0431,16.617333333333335,23.426,4.425766666666664,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,3,0.900728603156669,0.5888304875508038,7.250433333333337,6.883766666666666,12.513000000000003,7.014366666666666,11.713,1,1.0,1,1,1,3,3.0,3.0
-10.5,-10,9.999999999999996,12.288888888888891,19.51570247933884,91.0,99.73333333333332,101.4,89.73333333333333,Fri 11-18 11-18,N,90 (Ⅲ),Temple,"L, 72-66",73,90.2,39.2,17.8,32.6,48.3,98.4,49.1,27.3,34.3,35.7,7.0,-4.5,131.0,95.775,100.55,95.74814814814816,94.46138241923366,90.4625,79.525,83.45925925925926,74.9456799398948,20221118,102.1,88.6,13.5,105.4,96.5,8.900000000000006,104.384,88.5882,15.7956,69.801,-6.6695306445347455,132.42595592205143,67.81668565433856,-3.572182878638557,133.31923362130547,-16.811564199442792,133.31923362130547,-3.572182878638557,133.31923362130547,-16.811564199442792,128.8640285979331,-8.004742452145848,105.185,98.7367,6.44858,68.3015,102.1,88.6,13.5,105.4,96.5,8.900000000000006,-16.76219413813731,128.97621363152237,0,92.55113261,79.06007473,13.49105788,20.52042352,104.7536086,101.9339008,2.8197078000000033,-2.597260077,2022-11-18,123.07136748443685,-15.677646815542076,123.07136748443685,-17.607220979144927,123.07136748443685,-16.5057912962963,7.944194444444449,-8.561596851851853,-25.7956,-4.752500000000001,18.09258888888889,21.0431,-22.845088888888892,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.6658824291023754,0.7770763467694357,-3.506711111111109,-5.795600000000004,7.250433333333337,-1.1881249999999994,7.014366666666666,-1,1.0,-1,-1,1,-3,3.0,3.0
15.5,29,11.066666666666665,17.959259259259262,21.2946656649136,100.6,98.23333333333332,71.3,87.16666666666667,Tue 11-22 11-22,H,228 (Ⅳ),Rider,"W, 76-46",69,110.4,49.1,16.0,38.5,55.2,66.8,26.7,24.7,39.1,33.3,-14.0,-14.5,136.0,98.1875,95.775,97.36543209876544,95.57749470664572,80.88125,90.4625,79.40617283950618,74.28282904173211,20221122,101.9,89.8,12.100000000000009,102.0,103.8,-1.7999999999999972,104.283,89.7151,14.5681,70.0585,-16.881978563448236,138.9152612211005,69.53321073470839,-14.025696803616043,140.79146448229824,-18.126249653412245,140.79146448229824,-14.025696803616043,140.79146448229824,-18.126249653412245,132.99782074023017,-18.00856683296678,101.112,105.006,-3.89381,69.7729,101.9,89.8,12.100000000000009,102.0,103.8,-1.7999999999999972,-17.98250281368943,133.01264102357834,0,94.40397145,78.33523907,16.06873238,23.91634497,96.09793194,101.4636497,-5.36571776000001,-2.025606195,2022-11-22,122.19152801022278,-20.198300142159695,122.19152801022278,-13.91200908068879,122.19152801022278,1.2238034074073885,-1.0258244444444244,0.19797896296296402,14.4319,9.6794,10.477559259259262,-4.752500000000001,-0.798159259259263,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.9163531986724158,0.9568366997684126,3.391159259259263,-3.5014333333333347,-3.506711111111109,1.935880000000001,-1.1881249999999994,1,-1.0,-1,1,-1,1,-3.0,3.0
8.0,24,14.566666666666665,20.23950617283951,21.93199918038385,113.5,101.7,88.7,87.13333333333333,Sat 11-26 11-26,H,335 (Ⅳ),Central Connecticut,"W, 83-49",65,127.1,61.1,19.9,44.4,40.7,75.0,34.2,21.4,29.3,22.8,0.5,-26.0,131.5,105.84375,98.1875,102.74362139917696,98.83613203271014,84.790625,80.88125,82.50411522633746,76.90413285232627,20221126,102.0,88.8,13.200000000000005,96.8,110.4,-13.600000000000009,104.569,89.2137,15.3556,69.5474,-23.310411598469365,129.93588799237423,65.68005012688478,-21.69444107346834,134.24995066416574,-21.807614621592812,134.24995066416574,-21.69444107346834,134.24995066416574,-21.807614621592812,122.52181797021844,-17.233124580852454,94.0542,109.047,-14.9928,66.3908,102.0,88.8,13.200000000000005,96.8,110.4,-13.600000000000009,-23.333171075540914,123.94592690903681,0,95.1201017,77.32993879,17.790162910000006,25.44508436,98.68793754,102.0258165,-3.337878960000012,-3.178410535,2022-11-26,117.1618101160717,-20.843713874072982,117.1618101160717,-21.95739107978467,117.1618101160717,-2.0404529365079256,0.859663915343921,-1.1807890211640046,8.6444,18.3238,10.21150617283951,9.6794,8.112293827160489,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.9933603644122728,0.9496272306105861,4.883906172839508,-0.7889333333333362,3.391159259259263,3.0539666666666694,1.935880000000001,1,1.0,1,1,1,3,1.0,-3.0
-4.0,12,22.03333333333333,17.49300411522634,20.126181147586784,101.4,105.16666666666669,89.4,83.13333333333334,Wed 11-30 11-30,A,45 (I-A),Miami FL,"L, 68-61",64,94.9,42.5,23.3,47.5,6.0,105.8,54.7,20.2,28.6,22.6,-7.5,3.0,136.5,103.621875,105.84375,102.29574759945132,99.30228984494464,87.0953125,84.790625,84.80274348422498,79.17610869735785,20221130,102.1,88.7,13.399999999999991,111.6,97.7,13.899999999999991,104.745,88.8472,15.8981,69.1841,2.0245784677166654,132.75756736248837,66.69366922532006,3.2823241496399618,135.85523259370245,-1.9118634408619506,135.85523259370245,3.2823241496399618,135.85523259370245,-1.9118634408619506,132.69643372259574,-11.27983250481256,111.164,96.7274,14.4362,67.7694,102.1,88.7,13.399999999999991,111.6,97.7,13.899999999999991,-3.8589324853501306,129.332081306884,0,97.24962875,78.975547,18.274081749999993,25.90813423,102.0961311,105.141783,-3.04565190000001,-4.804264147,2022-11-30,124.61338078112061,-18.418753412113418,124.61338078112061,-5.085896865767765,124.61338078112061,-9.956098107322461,4.183876499118135,-5.772221608204326,-3.8980999999999995,14.425699999999999,12.91560411522634,18.3238,1.5100958847736585,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.38754848109799234,0.8586491033888146,1.594904115226342,6.135233333333332,4.883906172839508,2.0608142857142884,3.0539666666666694,1,1.0,1,1,1,3,3.0,1.0
18.0,26,21.166666666666668,20.56200274348423,21.32142093893464,97.0,103.96666666666664,70.3,82.8,Sat 12-03 12-03,H,32 (I),Indiana,"W, 63-48",66,95.0,41.7,19.6,41.5,31.7,72.4,35.7,21.1,23.1,25.0,-24.0,3.0,135.0,100.3109375,103.621875,100.5304983996342,98.88369169131836,78.69765625,87.0953125,79.96849565615,77.56227075238368,20221203,102.5,88.8,13.700000000000005,111.8,90.4,21.39999999999999,104.956,89.3416,15.6148,68.4441,1.9361250915683996,130.41579952222418,67.30897942830727,0.8588948081705183,132.26684585495133,0.47708592389620363,132.26684585495133,0.8588948081705183,132.26684585495133,0.47708592389620363,126.6341091403567,2.586526570334307,113.759,88.8821,24.8771,69.1341,102.5,88.8,13.700000000000005,111.8,90.4,21.39999999999999,-0.6561279837111756,122.0153610706236,0,96.23764582,83.3392566,12.898389219999999,20.31257064,110.20333,86.44517534,23.758154659999988,28.7642594,2022-12-03,120.5683483875512,3.341630436720706,120.5683483875512,0.008280134419877072,120.5683483875512,-5.061072205891943,3.2266487262394534,-1.8344234796524894,10.3852,24.810899999999997,13.418969410150893,14.425699999999999,11.391930589849103,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,3,0.38754848109799234,0.4027111248915852,4.947202743484228,5.551866666666667,1.594904115226342,3.1013625000000005,2.0608142857142884,1,1.0,1,1,1,3,3.0,3.0
4.5,13,17.333333333333332,18.141335162322815,19.86298076821925,107.5,101.96666666666664,94.2,84.63333333333333,Thu 12-08 12-08,A,36 (I-A),Ohio St.,"L, 67-66",64,103.5,56.5,20.4,21.4,14.8,105.1,53.6,22.0,38.2,21.4,-3.0,5.5,136.0,103.90546875,100.3109375,102.85366559975614,100.45029320198772,86.448828125,78.69765625,84.71233043743334,80.58731243376846,20221208,102.8,87.6,15.200000000000005,116.0,98.4,17.599999999999994,105.322,87.578,17.744,67.8278,4.245369439796939,131.36773146997518,64.58943260426743,4.067245383782421,134.38731138444118,5.548608522116552,134.38731138444118,4.067245383782421,134.38731138444118,5.548608522116552,135.22857539572817,-3.1990368150545834,117.167,96.5881,20.5791,66.9436,102.8,87.6,15.200000000000005,116.0,98.4,17.599999999999994,4.174303409168762,121.78490388496029,0,99.2375366,79.59181254,19.645724059999992,27.69114737,109.8906045,98.21707337,11.67353113,13.25825927,2022-12-08,122.37100600606166,-7.143330567629079,122.37100600606166,4.207240541000559,122.37100600606166,-2.016271382030178,5.283832344535904,3.2675609625057263,-4.744,20.066899999999997,17.216279606767262,24.810899999999997,2.8506203932327345,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.30020551430745246,0.619691315589779,0.39733516232281474,-0.4106666666666676,4.947202743484228,2.2296555555555564,3.1013625000000005,1,1.0,1,1,1,3,3.0,3.0
-10.0,7,15.699999999999998,14.46089010821521,17.5424388103612,81.5,95.33333333333331,74.4,79.63333333333334,Sun 12-11 12-11,H,47 (Ⅱ),Seton Hall,"L, 45-43",59,72.4,38.4,32.0,26.7,25.6,75.8,39.8,25.3,25.0,40.9,-43.0,-8.0,131.0,92.702734375,103.90546875,95.73577706650411,97.00478534708084,80.4244140625,86.448828125,81.2748869582889,79.46234653671965,20221211,103.5,88.0,15.5,105.6,93.7,11.899999999999991,106.01,87.9974,18.0124,67.8346,-8.110296215191411,128.6718923215356,66.32670342219062,-6.370159132183353,129.21440592747857,-12.59325857046491,129.21440592747857,-6.370159132183353,129.21440592747857,-12.59325857046491,122.23503130753873,-8.869827501704776,106.766,95.0724,11.6935,68.7373,103.5,88.0,15.5,105.6,93.7,11.899999999999991,-8.81070967765625,117.9338281095357,0,98.83887033,82.33841505,16.50045528000001,23.00420938,101.3160179,92.64281719,8.673200710000003,9.696805629,2022-12-11,119.14781869172697,-10.98716298831549,119.14781869172697,-14.23860460481859,119.14781869172697,-14.931464326287553,3.3380593975419472,-11.593404928745606,-11.0124,9.054499999999997,18.16648640451151,20.066899999999997,-9.111986404511512,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.7769415761393583,0.8008735186555449,-3.5515098917847894,-2.312400000000002,0.39733516232281474,0.9054499999999983,2.2296555555555564,-1,1.0,-1,1,1,-1,3.0,3.0
