ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-1.0,23,,23.89999999999999,23.89999999999999,114.1,0.0,90.2,0.0,Mon 11-07 11-07,H,75 (Ⅱ),Oral Roberts,"W, 78-70",70,111.9,46.0,7.2,29.3,44.4,100.4,50.0,17.2,20.5,29.3,6.0,-9.0,142.0,114.1,0.0,114.1,114.1,90.2,0.0,90.2,90.2,20221107,101.0,89.1,11.9,107.9,101.4,6.5,104.741,89.6149,15.1264,68.1885,-11.849878627658242,144.1063840768606,71.05998272261738,-8.604220456777497,144.4970300125455,-13.621144034752916,144.4970300125455,-8.604220456777497,144.4970300125455,-13.621144034752916,159.08242609142138,-9.32832576227274,107.348,102.405,4.94321,73.2604,101.0,89.1,11.9,107.9,101.4,6.5,-13.621144034752916,159.08242609142138,0,100.8163224,91.32337463,9.49294777,13.91659546,101.7286537,99.50986298,2.218790720000001,6.527729037,2022-11-07,140.64581706336077,-7.443594988188906,140.64581706336077,-6.009969098748101,140.64581706336077,0.0,0.0,0.0,7.8736,7.8736,0.0,0.0,7.8736,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.804317030846224,0.812840407520145,8.773599999999991,,0.0,7.8736,0.0,1,0.0,1,1,1,3,0.0,0.0
18.0,31,,26.43333333333333,25.28181818181817,120.8,0.0,89.3,0.0,Thu 11-10 11-10,H,124 (Ⅲ),Vermont,"W, 79-53",64,124.2,56.8,12.6,41.4,30.5,83.3,47.9,22.0,12.9,25.0,1.0,-8.0,131.0,117.45,114.1,116.33333333333334,115.3181818181818,89.75,90.2,89.9,90.03636363636363,20221110,101.4,89.6,11.800000000000011,104.5,96.4,8.099999999999994,104.945,89.8186,15.1264,68.2055,-9.079992429428948,131.43743419525634,67.88067494452348,-6.589707213545189,133.1796358031595,-7.440149403062563,133.1796358031595,-6.589707213545189,133.1796358031595,-7.440149403062563,143.4318301363069,-9.76511524267405,103.729,96.4012,7.32822,69.9652,101.4,89.6,11.800000000000011,104.5,96.4,8.099999999999994,-7.440149403062563,143.4318301363069,0,100.8163224,91.32337463,9.49294777,13.91659546,97.57537921,97.12176746,0.4536117499999932,2.628847504,2022-11-10,130.24014824185994,-9.72009461400745,130.24014824185994,-4.60135943178949,130.24014824185994,0.0,0.0,0.0,15.8736,23.7472,7.8736,7.8736,15.8736,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,3,0.7769415761393583,0.8238172990818091,11.30693333333333,,8.773599999999991,11.8736,7.8736,1,1.0,1,1,1,3,3.0,0.0
20.5,61,38.96666666666666,38.12222222222222,31.866942148760323,121.6,118.83333333333331,60.1,79.86666666666666,Sun 11-13 11-13,H,71 (Ⅱ),North Texas,"W, 63-33",55,113.8,58.8,21.7,38.5,9.8,59.6,30.4,16.3,17.5,9.8,-23.5,-9.5,119.5,119.525,117.45,118.0888888888889,116.46033057851238,74.925,89.75,79.96666666666667,84.59338842975205,20221113,103.5,89.9,13.599999999999994,104.8,92.6,12.200000000000005,106.719,89.9805,16.7386,67.1955,-6.496633216351924,122.12557608427774,62.989807254623045,-4.492827667998718,122.9561714810522,-37.79750141907934,122.9561714810522,-4.492827667998718,122.9561714810522,-37.79750141907934,117.20663254996975,-2.3777095935419723,105.446,93.5113,11.9342,65.9,103.5,89.9,13.599999999999994,104.8,92.6,12.200000000000005,-37.7856790370768,117.19369537246187,0,100.8163224,91.32337463,9.49294777,13.91659546,98.32496262,87.76274634,10.562216279999987,11.2869544,2022-11-13,115.28156026244048,-3.6423797830057794,115.28156026244048,-11.069954706541964,115.28156026244048,-11.306933333333324,11.306933333333324,0.0,44.261399999999995,68.0086,13.1648,23.7472,54.8438,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.817204231217584,0.589573707777001,21.38362222222222,22.22806666666666,11.30693333333333,22.669533333333334,11.8736,1,1.0,1,1,1,3,3.0,3.0
-1.0,17,36.73333333333333,31.14814814814815,29.200225394440263,110.5,117.63333333333333,93.3,80.89999999999999,Wed 11-16 11-16,H,249 (Ⅳ),Southern,"W, 72-54",64,112.7,53.8,23.5,43.8,39.6,84.6,44.2,18.8,15.2,19.2,-6.5,-19.0,132.5,115.0125,119.525,115.55925925925928,115.37663410969196,84.1125,74.925,84.41111111111111,86.17640871525168,20221116,105.2,88.1,17.10000000000001,95.8,97.2,-1.4000000000000057,107.678,88.4507,19.2271,66.1963,-21.77316874076743,134.9096674615651,69.55178385561878,-16.435136546135666,133.2719347066186,-29.981476243349245,133.2719347066186,-16.435136546135666,133.2719347066186,-29.981476243349245,123.69406858614143,-15.552923774349715,95.0551,102.246,-7.19091,73.8635,105.2,88.1,17.10000000000001,95.8,97.2,-1.4000000000000057,-29.902246307463386,123.84767417964521,0,109.2273719,89.35654351,19.87082839,25.93421551,101.4786484,97.94736219,3.5312862099999904,-2.637296304,2022-11-16,141.08053509161005,-22.046294009589644,141.08053509161005,-30.56887453785467,141.08053509161005,-16.173206296296293,20.12639629629629,3.953189999999995,-2.2271,65.7815,31.446066666666667,68.0086,34.33543333333333,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,3,0.9648151676951044,0.930727464055419,11.921048148148149,17.506233333333327,21.38362222222222,16.445375,22.669533333333334,1,1.0,1,1,1,3,3.0,3.0
14.5,34,37.73333333333333,32.26543209876543,30.163820777269304,105.2,112.43333333333332,70.7,74.7,Sat 11-19 11-19,H,109 (Ⅲ),Hofstra,"W, 76-48",71,107.8,50.0,9.9,34.9,10.8,68.1,36.1,22.7,11.8,20.4,-15.5,-13.5,139.5,110.10625,115.0125,112.1061728395062,113.52633699883886,77.40625,84.1125,79.84074074074074,83.36251622156956,20221119,106.3,88.4,17.89999999999999,108.0,106.8,1.2000000000000028,107.743,88.5659,19.1767,65.4817,-14.610659822905546,137.77798988322198,65.61974250270272,-16.08875541233796,140.99015270362048,-21.56955996717536,140.99015270362048,-16.08875541233796,140.99015270362048,-21.56955996717536,150.33045258687955,-10.86101717651978,109.541,105.339,4.20247,70.4482,106.3,88.4,17.89999999999999,108.0,106.8,1.2000000000000028,-21.676205872151474,150.36796362258409,0,109.2273719,89.35654351,19.87082839,25.93421551,118.8034579,106.2703875,12.5330704,10.82009259,2022-11-19,149.7432592154937,-12.09285448439583,149.7432592154937,-17.45550089813362,149.7432592154937,-7.865509407407407,16.274155925925932,8.408646518518525,14.8233,80.6048,42.89121111111111,65.7815,37.713588888888886,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-3,0.900728603156669,0.8495213294953371,13.08873209876543,18.556633333333327,11.921048148148149,16.120960000000004,16.445375,1,1.0,1,1,1,3,3.0,3.0
2.5,17,23.133333333333336,27.410288065843623,27.89767154503852,102.8,106.16666666666669,85.1,83.03333333333335,Wed 11-23 11-23,N,92 (Ⅱ),Vanderbilt,"W, 75-65",72,104.2,59.8,18.1,11.1,49.0,90.3,44.8,19.5,25.0,29.3,15.5,-7.5,124.5,106.453125,110.10625,109.00411522633746,111.57609390814088,81.253125,77.40625,81.59382716049383,83.67842236310236,20221123,106.6,87.4,19.19999999999999,104.4,95.5,8.900000000000006,108.308,88.1105,20.1972,64.8647,-6.736499563291673,122.81799388545711,62.54562550526315,-6.780437678699151,123.9845038797547,-15.9388408070309,123.9845038797547,-6.780437678699151,123.9845038797547,-15.9388408070309,117.69213117646815,-13.200835999935592,105.846,96.1017,9.74412,67.7866,106.6,87.4,19.19999999999999,104.4,95.5,8.900000000000006,-15.538758291190263,117.77451862062256,0,106.6941505,82.12461254,24.569537960000005,32.28688416,101.3088324,97.24402939,4.064803010000006,2.225668543,2022-11-23,120.06974884721184,-18.801975342138498,120.06974884721184,-14.752902534412229,120.06974884721184,-11.67371632980597,11.962154144620776,0.2884378148148059,-3.1971999999999987,77.4076,55.46240740740741,80.6048,21.94519259259259,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.7624747379730235,0.8956634566555239,7.213088065843625,2.9361333333333377,13.08873209876543,12.901266666666668,16.120960000000004,1,1.0,1,1,1,3,3.0,3.0
-14.5,0,17.433333333333334,18.306858710562416,22.843549445940603,90.0,99.33333333333331,89.9,81.89999999999999,Thu 11-24 11-24,N,110 (Ⅲ),Washington,"L, 68-64 OT",75,85.5,42.2,21.4,28.6,21.9,90.9,49.0,30.7,33.3,40.4,3.0,-10.5,129.0,98.2265625,106.453125,102.66941015089164,107.65316774302434,85.5765625,81.253125,84.36255144032923,84.80961829708374,20221124,107.2,87.4,19.8,102.3,96.8,5.5,108.569,87.954,20.6146,66.0302,-10.354716642919733,126.38854568043044,65.00358536842104,-9.573445609346315,128.79342508213435,-19.561315170441326,128.79342508213435,-9.573445609346315,128.79342508213435,-19.561315170441326,121.99366720643002,-16.03507045998105,101.983,97.3641,4.61939,69.207,107.2,87.4,19.8,102.3,96.8,5.5,-18.405157080442272,123.18595304731731,0,106.0377551,84.79124512,21.24650998,28.78233294,92.76881919,96.8628159,-4.093996709999999,-4.087188896,2022-11-24,120.92046538684156,-21.366367686856066,120.92046538684156,-15.916359077746861,120.92046538684156,-8.972540911228734,6.71376043503826,-2.2587804761904735,-20.6146,56.793000000000006,62.777471604938285,77.4076,-5.984471604938278,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.8413447460685429,0.9366380881730092,-2.3077412894375833,-3.181266666666666,7.213088065843625,8.113285714285716,12.901266666666668,-1,1.0,-1,1,1,-1,3.0,3.0
-13.0,11,9.699999999999998,15.971239140374944,20.7447222739514,102.7,98.5,91.4,88.80000000000001,Wed 11-30 11-30,H,26 (I),New Mexico,"L, 69-65",69,94.6,51.1,21.8,25.8,57.4,100.4,53.9,24.7,20.0,31.4,-3.0,-9.0,137.0,100.46328125,98.2265625,102.6796067672611,106.7525917897472,88.48828125,85.5765625,86.70836762688616,86.00786951579579,20221130,106.2,87.3,18.90000000000001,109.1,97.5,11.599999999999994,107.328,87.927,19.4009,64.6863,-12.134032090526112,132.78499879739218,65.85414995675676,-9.363486051768689,134.39893917879112,-11.733605594510772,134.39893917879112,-9.363486051768689,134.39893917879112,-11.733605594510772,122.03058857282892,-14.228677611153287,107.698,100.205,7.4933,71.5692,106.2,87.3,18.90000000000001,109.1,97.5,11.599999999999994,-11.921113784982127,127.31738032656703,0,107.3900181,83.70696324,23.683054860000013,30.93005386,102.1999508,94.40874458,7.791206219999992,6.841391212,2022-11-30,126.53558066877754,-18.055537118680036,126.53558066877754,-4.063304569687148,126.53558066877754,11.13297566055914,-2.2005697596184994,8.93240590094064,-8.4009,48.392100000000006,60.782647736625535,56.793000000000006,-12.390547736625528,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.804317030846224,0.9123090864399974,-3.4296608596250557,-9.700900000000003,-2.3077412894375833,6.0490125,8.113285714285716,-1,-1.0,-1,1,1,-1,-1.0,3.0
5.0,17,9.566666666666665,16.41415942691663,20.11840913323296,100.7,97.8,83.4,88.23333333333333,Sat 12-03 12-03,N,1 (I-A),Houston,"L, 53-48",56,85.7,46.7,30.3,39.3,17.4,94.6,39.5,8.9,28.6,15.8,-17.5,10.0,118.5,100.581640625,100.46328125,102.01973784484076,105.65212055524768,85.944140625,88.48828125,85.60557841792411,85.53371142201473,20221203,106.1,87.6,18.5,112.2,83.7,28.5,106.704,88.6865,18.0172,64.5512,6.124039065567814,109.9419742872344,58.250709048079656,5.684249729744948,112.16397893394489,11.559148069819136,112.16397893394489,5.684249729744948,112.16397893394489,11.559148069819136,102.56638690332144,5.056811950429967,112.897,83.9318,28.9651,63.4384,106.1,87.6,18.5,112.2,83.7,28.5,8.05164903881707,103.39466528688435,0,105.7713877,85.04874709,20.72264061,25.39970614,108.2712796,79.08419632,29.187083279999996,36.26061893,2022-12-03,105.35290225276489,6.326558709268568,105.35290225276489,12.310091224591545,105.35290225276489,12.921417411598847,-6.4759799401767975,6.44543747142205,-1.017199999999999,47.37490000000001,56.652465157750356,48.392100000000006,-9.277565157750345,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.17045190796406517,0.3150446587632987,-1.6030405730833692,-8.450533333333334,-3.4296608596250557,5.263877777777775,6.0490125,-1,-1.0,-1,1,1,-1,-1.0,-1.0
5.5,25,17.966666666666665,19.376106284611087,21.06051656355424,105.0,102.8,79.7,84.83333333333334,Wed 12-07 12-07,H,133 (Ⅲ),Missouri St.,"W, 66-46",61,107.8,54.5,11.4,18.5,18.2,75.1,43.6,21.2,13.3,21.3,-8.0,-14.5,120.0,102.7908203125,100.581640625,103.01315856322718,105.53355318156628,82.8220703125,85.944140625,83.63705227861608,84.47303661801206,20221207,107.1,87.6,19.5,98.7,98.6,0.1000000000000085,107.235,88.4942,18.7408,64.3582,-12.777610022836079,114.67028547521568,58.86761245376956,-14.85102015625636,116.6691906978389,-13.376954831369028,116.6691906978389,-14.85102015625636,116.6691906978389,-13.376954831369028,102.60519590229495,-14.371048195112735,101.096,98.6688,2.42724,64.3025,107.1,87.6,19.5,98.7,98.6,0.1000000000000085,-14.180152669054957,108.3605996671217,0,107.4368792,86.84861055,20.588268650000003,24.27433957,94.46080841,93.68054191,0.7802664999999962,-1.699069294,2022-12-07,110.98026544189746,-17.124272136428637,110.98026544189746,-8.820538864408071,110.98026544189746,2.6760361506534434,-6.70161062873823,-4.025574478084787,6.2592,53.63410000000001,53.55994343850025,47.37490000000001,0.07415656149976257,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,-3,0.9163531986724158,0.9144489705072816,0.6353062846110866,-0.7741333333333351,-1.6030405730833692,5.363410000000002,5.263877777777775,1,-1.0,1,1,1,3,-1.0,-1.0
