ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,WinorLose,Score,WinnerScore,LoserScore,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
5.5,17,,17.700000000000003,17.700000000000003,106.8,0.0,89.1,0.0,Mon 11-07 11-07,H,320 (Ⅳ),NJIT,"W, 73-59",67,109.1,49.2,13.4,32.4,32.2,88.2,38.9,19.4,30.6,50.0,2.5,-8.5,129.5,106.8,0.0,106.8,106.8,89.1,0.0,89.1,89.1,20221107,W, 73-59,73,59,90.6,93.8,-3.2,93.2,104.9,-11.7,93.7353,97.267,-3.53176,69.9792,-11.21889114496075,129.3942298016861,69.79295379345662,-9.092489081015351,130.52034775577275,-45.38964528417856,130.52034775577275,-9.092489081015351,130.52034775577275,-45.38964528417856,142.36069316137966,-2.2876122622371184,89.9771,105.044,-15.0669,70.1129,90.6,93.8,-3.2,93.2,104.9,-11.7,-45.38964528417856,142.36069316137966,0,92.13636969,101.7056325,-9.569262809999998,-12.78978197,90.95772915,98.3164454,-7.3587162500000005,-13.77386065,2022-11-07,130.78201201998314,20.53176,20.53176,0.0,0.0,20.53176,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,-3,0.790893043407255,0.5862339552556386,21.23176,,0.0,20.53176,0.0,1,0.0,1,1,1,3,0.0,0.0
-20.0,-36,,-0.3000000000000007,7.88181818181818,76.1,0.0,112.4,0.0,Sat 11-12 11-12,A,59 (Ⅱ),Seton Hall,"L, 80-44",68,65.1,31.9,28.1,33.3,22.4,118.3,58.0,23.7,40.7,86.4,-4.0,16.0,128.0,91.45,106.8,96.56666666666666,101.21818181818182,100.75,89.1,96.86666666666667,93.33636363636364,20221112,L, 80-44,80,44,91.7,94.9,-3.200000000000003,103.0,90.5,12.5,94.5681,98.1491,-3.58101,70.566,17.089850933408712,136.2807211710173,71.74685124324326,14.545364199035347,132.95285029151933,2.6272337727225263,132.95285029151933,14.545364199035347,132.95285029151933,2.6272337727225263,123.59844280172882,21.511484725849527,106.442,90.7983,15.6436,71.4764,91.7,94.9,-3.200000000000003,103.0,90.5,12.5,2.6272337727225263,123.59844280172882,0,92.13636969,101.7056325,-9.569262809999998,-12.78978197,105.7132,90.6870826,15.026117400000004,17.56623469,2022-11-12,140.72837057740668,-32.41899,-11.887230000000002,20.53176,20.53176,-32.41899,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,3,0.06377814989000363,0.02024510189317419,3.2810099999999993,,21.23176,-5.943615,20.53176,1,1.0,-1,-1,1,-1,3.0,0.0
8.5,-1,-6.666666666666671,-0.6666666666666691,6.194214876033055,123.6,102.16666666666669,125.0,108.83333333333331,Tue 11-15 11-15,H,290 (Ⅳ),Bucknell,"W, 82-71",62,132.6,60.2,14.6,45.2,12.5,114.8,61.4,17.8,25.0,56.8,17.5,-2.5,135.5,107.525,91.45,105.57777777777778,105.28760330578513,112.875,100.75,106.24444444444448,99.09338842975204,20221115,W, 82-71,82,71,91.1,96.0,-4.900000000000006,100.6,107.1,-6.5,94.03,98.7653,-4.73525,69.9312,-5.6527874250306525,135.51582512429874,69.83510677211949,-4.594823066219149,138.81682719127332,10.140835986955242,138.81682719127332,-4.594823066219149,138.81682719127332,10.140835986955242,132.67099726411152,-3.1891036013396388,97.3172,105.065,-7.74753,70.2034,91.1,96.0,-4.900000000000006,100.6,107.1,-6.5,10.336134403881468,132.81285955518166,0,92.13636969,101.7056325,-9.569262809999998,-12.78978197,96.4875469,105.4174715,-8.929924600000007,-3.47432326,2022-11-15,139.57541232955802,3.7352499999999997,-8.151980000000002,9.725430000000001,-11.887230000000002,-17.877410000000005,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,3,0.5940963859982835,0.619330972155598,4.068583333333331,-1.9314166666666717,3.2810099999999993,-2.717326666666667,-5.943615,1,1.0,-1,-1,-1,-1,-1.0,3.0
-6.5,-15,-17.66666666666667,-5.544444444444445,2.286175807663408,84.5,94.73333333333332,99.8,112.4,Sat 11-19 11-19,A,353 (Ⅳ),St. Francis NY,"L, 61-58",68,85.8,33.6,25.1,43.5,39.3,90.2,46.8,22.2,25.0,53.2,-13.0,-3.5,132.0,96.0125,107.525,98.55185185185186,101.50803906836964,106.3375,112.875,104.09629629629632,99.2218632607062,20221119,L, 61-58,61,58,93.4,97.8,-4.399999999999992,91.6,109.5,-17.900000000000006,96.2337,100.443,-4.20957,68.6004,-6.127772474558093,133.28806695094855,67.32743809672832,-5.048602353202327,132.12922208541687,-15.980712993741376,132.12922208541687,-5.048602353202327,132.12922208541687,-15.980712993741376,143.67971023792688,-0.32027298494617185,91.8967,111.218,-19.3215,68.9955,93.4,97.8,-4.399999999999992,91.6,109.5,-17.900000000000006,-16.197817639386717,143.97876160581222,0,98.88818273,108.3009822,-9.41279947000001,-0.242014965,95.32489548,110.8949644,-15.570068920000011,-3.7229746,2022-11-19,146.76836865020928,-10.79043,-18.942410000000002,3.766293333333334,-8.151980000000002,-22.708703333333336,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,3,0.6305586598182363,0.5121667262043079,-1.334874444444445,-13.457096666666672,4.068583333333331,-4.7356025,-2.717326666666667,-1,1.0,-1,-1,-1,-3,-1.0,-1.0
8.0,9,-2.3666666666666694,-0.4962962962962991,3.6159620244518784,105.8,104.63333333333333,96.2,107.0,Sun 11-27 11-27,H,267 (Ⅳ),Fairleigh Dickinson,"W, 77-63",65,118.3,66.0,26.1,37.5,28.0,96.8,43.1,13.8,28.9,34.5,-5.5,-6.0,145.5,100.90625,96.0125,100.96790123456792,102.28839560139332,101.26875,106.3375,101.4641975308642,98.67243357694144,20221127,W, 77-63,77,63,93.3,98.1,-4.799999999999997,98.3,115.2,-16.900000000000006,96.6044,101.673,-5.0691,66.5133,-11.212115205135646,139.49858666907676,66.43051317567569,-11.412612792309048,139.08297364203742,-6.300948161517304,139.08297364203742,-11.412612792309048,139.08297364203742,-6.300948161517304,152.9002524796754,0.40188544237084045,98.1725,114.773,-16.6004,70.2125,93.3,98.1,-4.799999999999997,98.3,115.2,-16.900000000000006,-5.403107356327113,151.19701895676366,0,97.31926411,105.0855923,-7.766328189999996,-0.094301403,109.6010565,111.3119336,-1.7108771000000047,-0.791730437,2022-11-27,152.08253647196932,14.069099999999999,-4.873310000000004,-3.8032744444444444,-18.942410000000002,-1.0700355555555592,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,-3,0.7161454169013237,0.4847342897646011,4.5728037037037,2.7024333333333304,-1.334874444444445,-0.9746620000000004,-4.7356025,1,-1.0,-1,-1,-1,-1,-3.0,-1.0
-17.5,-27,-11.166666666666671,-9.597530864197536,-2.0960310709030106,95.1,95.13333333333333,122.9,106.3,Thu 12-01 12-01,H,255 (Ⅳ),Mount St. Mary's,"L, 73-58",62,93.1,43.1,14.4,28.2,20.7,117.2,49.1,11.2,31.6,40.4,1.5,-2.5,129.5,98.003125,100.90625,99.01193415637864,100.98141458295817,112.084375,101.26875,108.60946502057617,103.07744565386118,20221201,L, 73-58,73,58,93.9,98.4,-4.5,98.8,103.4,-4.6000000000000085,96.6299,101.529,-4.89888,65.1409,-3.5147449446690544,123.82343852728727,62.4085959910384,-3.405712236499106,124.55298423426862,-3.5969999980050895,124.55298423426862,-3.405712236499106,124.55298423426862,-3.5969999980050895,131.48362486204795,4.300661294685298,98.1397,103.196,-5.05632,67.3513,93.9,98.4,-4.5,98.8,103.4,-4.6000000000000085,-3.5346341731849154,129.1773615437107,0,95.47464841,103.3604807,-7.885832289999996,-0.30330231,99.79568184,95.31831014,4.477371700000006,3.27636679,2022-12-01,124.23625194412939,-22.10112,-26.974430000000005,-4.159952962962965,-4.873310000000004,-22.81447703703704,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,3,0.5940963859982835,0.3410545444686348,-4.6986508641975355,-6.267786666666671,4.5728037037037,-4.495738333333334,-0.9746620000000004,-1,1.0,-1,-1,-1,-3,-1.0,-3.0
-8.0,-24,-14.166666666666671,-14.498353909465022,-6.133116330738827,85.9,95.59999999999998,110.2,109.76666666666668,Sat 12-03 12-03,A,266 (Ⅳ),Fairfield,"L, 67-55",64,86.2,40.0,15.7,31.0,9.2,105.0,50.0,20.4,25.9,73.8,-3.0,4.0,125.0,91.9515625,98.003125,94.64128943758575,98.2393392042385,111.1421875,112.084375,109.13964334705078,104.37245553497732,20221203,L, 67-55,67,55,94.3,100.2,-5.900000000000006,99.8,103.5,-3.700000000000003,96.2834,103.3,-7.0165,64.7811,4.379850868878805,118.01806362014375,59.45071204907539,4.850248463075609,120.88731092499569,5.898056360334629,120.88731092499569,4.850248463075609,120.88731092499569,5.898056360334629,122.58438698430085,7.220900642240174,97.404,102.612,-5.20759,64.5155,94.3,100.2,-5.900000000000006,99.8,103.5,-3.700000000000003,3.6045692041480346,123.66798220484154,0,93.74335307,105.4234723,-11.680119230000003,-7.821954458,95.61310569,100.7619187,-5.148813009999998,-1.864454,2022-12-03,119.5213762675217,-16.9835,-43.957930000000005,-11.764778641975312,-26.974430000000005,-32.19315135802469,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.35161929169946593,0.2458193410761358,-7.4818539094650225,-7.150166666666672,-4.6986508641975355,-6.279704285714286,-4.495738333333334,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-10.5,-10,-20.933333333333337,-13.232235939643347,-6.96345881605904,89.8,90.26666666666668,100.5,111.2,Sat 12-10 12-10,A,178 (Ⅲ),Saint Joseph's,"L, 73-57",68,83.5,36.0,26.4,44.7,36.8,106.9,54.8,20.5,20.0,88.1,-3.0,5.5,133.0,90.87578125,91.9515625,93.02752629172385,96.70491389437696,105.82109375,111.1421875,106.2597622313672,103.668372710436,20221210,L, 73-57,73,57,94.6,101.5,-6.900000000000006,99.3,103.8,-4.5,96.3258,104.012,-7.68591,64.877,5.410247213206361,132.8329411688451,65.12857141109531,5.454960531441117,132.98534195608778,3.586653080524809,132.98534195608778,5.454960531441117,132.98534195608778,3.586653080524809,136.4072619587067,6.227578681060642,99.7353,104.982,-5.24683,70.5726,94.6,101.5,-6.900000000000006,99.3,103.8,-4.5,6.440116615914689,134.97525376432216,0,94.28809636,106.0065034,-11.718407040000002,-6.600299273,96.03029969,104.0131155,-7.982815809999991,-14.73967273,2022-12-10,133.59845630700286,-2.31409,-46.272020000000005,-22.495829094650208,-43.957930000000005,-23.776190905349797,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,3,0.30020551430745246,0.2765562012642552,-5.5463259396433475,-13.247423333333337,-7.4818539094650225,-5.7840025,-6.279704285714286,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-7.5,-19,-18.1,-15.254823959762232,-9.206466304048304,80.7,85.46666666666665,100.0,103.56666666666666,Tue 12-13 12-13,A,362 (Ⅳ),Hartford,"W, 58-57",65,89.4,39.2,23.1,45.5,36.7,87.8,41.7,20.0,26.5,54.2,-11.5,-8.5,126.5,85.78789062499999,90.87578125,88.91835086114924,93.79492954994478,102.910546875,105.82109375,104.17317482091148,103.00139585399307,20221213,W, 58-57,58,57,94.6,102.0,-7.400000000000006,86.1,112.7,-26.60000000000001,95.9678,104.606,-8.63772,65.5282,-6.346166397103296,124.55150587439184,62.73351082162162,-8.600004508928784,124.92480831778292,-5.166924989230327,124.92480831778292,-8.600004508928784,124.92480831778292,-5.166924989230327,120.17579841127638,-1.367482311197847,88.0321,112.38,-24.3475,67.3018,94.6,102.0,-7.400000000000006,86.1,112.7,-26.60000000000001,-8.280961986570926,125.76298827007129,0,94.37952909,106.3136246,-11.934095509999992,-5.096889529,87.0930264,106.0706091,-18.9775827,-11.71189578,2022-12-13,124.01007207561378,-10.36228,-56.6343,-30.421226063100143,-46.272020000000005,-26.21307393689986,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.790893043407255,0.5518103057994459,-6.6171039597622325,-9.462280000000002,-5.5463259396433475,-6.2927,-5.7840025,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
11.5,1,-9.5,-9.66988263984149,-7.259836066948613,92.8,87.76666666666667,91.3,97.26666666666668,Sun 12-18 12-18,H,185 (Ⅳ),Quinnipiac,"W, 63-56",65,97.5,44.7,15.5,31.6,31.6,86.6,34.3,13.9,23.1,60.8,-14.0,4.5,133.0,89.2939453125,85.78789062499999,90.21223390743282,93.61403326813664,97.1052734375,102.910546875,99.88211654727432,100.87386933508525,20221218,W, 63-56,63,56,94.0,102.5,-8.5,101.9,102.1,-0.1999999999999886,95.1221,104.623,-9.50044,65.5189,2.5623470040068526,133.36312248114407,66.06411417496444,1.9392236885121719,135.60235661533432,7.3099903636962615,135.60235661533432,1.9392236885121719,135.60235661533432,7.3099903636962615,133.17864761553574,6.592963003408869,101.646,101.724,-0.0781568,70.885,94.0,102.5,-8.5,101.9,102.1,-0.1999999999999886,5.195278688065798,133.36013595932533,0,93.89662147,105.8114435,-11.914822029999996,-5.48281565,98.7407559,95.12670626,3.6140496399999904,4.221473515,2022-12-18,130.9901232475224,10.50044,-46.133860000000006,-39.158917375400094,-56.6343,-6.974942624599912,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,-3,0.3341175708976246,0.2650343198359566,-0.1694426398414901,0.0004399999999993298,-6.6171039597622325,-4.613386,-6.2927,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
