ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
0.0,33,,33.3,33.3,118.6,0.0,85.3,0.0,Mon 11-07 11-07,H,112 (Ⅲ),Cal St. Fullerton,"W, 80-57",70,115.1,61.5,17.3,17.9,44.2,82.0,43.1,25.9,24.2,33.3,1.0,-23.0,136.0,118.6,0.0,118.6,118.6,85.3,0.0,85.3,85.3,20221107,104.1,85.7,18.4,95.5,101.8,-6.3,106.982,86.3426,20.6392,70.0043,-20.18733944574997,134.2658221882665,71.07199004921765,-21.371858575557752,137.07706258579427,-31.803277108784012,137.07706258579427,-21.371858575557752,137.07706258579427,-31.803277108784012,144.63737032086308,-7.230767273447711,96.0865,99.2768,-3.19036,71.3722,104.1,85.7,18.4,95.5,101.8,-6.3,-31.803277108784012,144.63737032086308,0,96.04079569,88.97664541,7.064150279999993,7.296514496,101.3211184,98.82698231,2.494136089999998,1.527969856,2022-11-07,134.68219412194065,12.360800000000001,12.360800000000001,0.0,0.0,12.360800000000001,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.9857551401446322,0.7544764956688359,12.660799999999998,,0.0,12.360800000000001,0.0,1,0.0,1,1,1,3,0.0,0.0
-3.5,10,,25.633333333333333,29.118181818181814,107.2,0.0,96.9,0.0,Fri 11-11 11-11,H,74 (Ⅲ),BYU,"W, 82-75",79,104.3,43.1,12.7,34.1,56.9,95.4,53.3,25.4,28.6,26.2,18.5,-10.5,138.5,112.9,118.6,114.8,116.5272727272727,91.1,85.3,89.16666666666667,87.4090909090909,20221111,104.6,86.3,18.3,101.7,93.8,7.900000000000006,107.19,86.5506,20.6392,70.0215,-8.919606993793693,137.1696520287624,73.27954162873401,-11.651041885253441,139.47918448426464,-23.56982633255514,139.47918448426464,-11.651041885253441,139.47918448426464,-23.56982633255514,113.18215169716791,-4.7043774833682335,104.517,90.8953,13.6221,73.571,104.6,86.3,18.3,101.7,93.8,7.900000000000006,-23.56982633255514,113.18215169716791,0,96.04079569,88.97664541,7.064150279999993,7.296514496,101.6329794,95.38931523,6.243664170000002,6.109929148,2022-11-11,136.410333484181,-10.639199999999999,1.7216000000000022,12.360800000000001,12.360800000000001,-10.639199999999999,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,3,0.8413447460685429,0.6729363744681256,4.994133333333334,,12.660799999999998,0.8608000000000011,12.360800000000001,1,1.0,-1,1,1,1,3.0,0.0
7.5,30,24.83333333333333,27.388888888888893,29.44214876033057,112.4,112.73333333333332,81.5,87.89999999999999,Tue 11-15 11-15,A,89 (Ⅱ),Stanford,"W, 74-62",68,108.9,58.8,16.2,13.0,35.3,91.2,44.2,25.0,33.3,46.2,-2.5,-4.5,138.5,112.65,112.9,114.0,115.7768595041322,86.3,91.1,86.61111111111111,86.33471074380164,20221115,105.6,87.8,17.799999999999997,106.4,92.9,13.5,108.248,87.7045,20.5439,70.8633,-2.055640571947876,136.38541587978932,71.2263862113798,0.49435963434360986,139.4784208147198,-8.543276903497292,139.4784208147198,0.49435963434360986,139.4784208147198,-8.543276903497292,138.2720182321014,-1.0353151654524453,105.092,92.8082,12.2837,70.6602,105.6,87.8,17.799999999999997,106.4,92.9,13.5,-8.238316051884956,138.24198847807648,0,96.04079569,88.97664541,7.064150279999993,7.296514496,101.7861289,101.2529933,0.5331355999999943,3.823636646,2022-11-15,136.7328854255648,9.4561,11.177700000000002,8.814400000000003,1.7216000000000022,2.363299999999999,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,-3,0.6658824291023754,0.5392726383986219,6.844988888888892,4.289433333333328,4.994133333333334,3.7258999999999993,0.8608000000000011,1,1.0,1,1,1,3,1.0,3.0
6.0,28,23.066666666666663,27.592592592592595,29.179939894815924,125.4,115.0,97.4,91.93333333333334,Mon 11-21 11-21,N,63 (Ⅱ),Ohio St.,"W, 88-77",72,122.5,59.0,9.7,21.2,32.8,107.2,47.7,11.1,21.1,22.7,23.0,-5.0,142.0,119.025,112.65,117.8,117.5265214124718,91.85,86.3,90.20740740740742,88.34658151765589,20221121,107.4,88.1,19.30000000000001,107.7,95.2,12.5,109.862,88.2879,21.5742,70.0802,-2.741748715577259,137.23947870993425,68.91565249445235,-5.194201090317577,139.0994647040065,0.3879187334573215,139.0994647040065,-5.194201090317577,139.0994647040065,0.3879187334573215,124.25241939101801,-7.958136042010665,111.079,92.9053,18.174,69.1318,107.4,88.1,19.30000000000001,107.7,95.2,12.5,0.15392063436869394,124.32910534161809,0,111.1372021,93.42232145,17.714880649999998,15.34157587,100.2759696,94.44022387,5.835745729999999,9.929232144,2022-11-21,140.16486556676477,6.425799999999999,17.6035,9.602166666666669,11.177700000000002,8.001333333333331,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,3,0.6830306580593271,0.7757498787732469,6.018392592592594,1.4924666666666617,6.844988888888892,4.400874999999999,3.7258999999999993,1,1.0,1,1,1,3,3.0,1.0
-14.0,2,20.40000000000001,19.161728395061736,24.29267809575849,101.4,113.06666666666668,99.1,92.66666666666669,Tue 11-22 11-22,N,9 (I-A),Arizona,"L, 87-70",76,92.7,40.5,17.2,25.6,38.1,115.2,66.4,25.2,32.1,24.1,-8.0,3.0,165.0,110.2125,119.025,112.33333333333334,114.5944266102042,95.475,91.85,93.1716049382716,90.30174851444572,20221122,109.5,89.3,20.200000000000003,116.3,94.2,22.099999999999994,111.424,88.9754,22.4482,70.5257,-0.6298349290311194,161.88616859220727,77.98226287894735,0.5625817077524999,164.7434858609971,0.45868376339566175,164.7434858609971,0.5625817077524999,164.7434858609971,0.45868376339566175,178.37892636686234,9.937916647072797,116.785,93.9848,22.7999,77.7327,109.5,89.3,20.200000000000003,116.3,94.2,22.099999999999994,0.6519147943530301,178.77850051388674,0,106.4731404,95.78332346,10.68981694,11.93118515,118.1632388,94.57164545,23.591593349999997,27.43493038,2022-11-22,170.21027597136379,-20.4482,-2.8446999999999996,12.26927777777778,17.6035,-15.11397777777778,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,3,0.38754848109799234,0.17195490390863022,-3.2864716049382636,-2.0481999999999907,6.018392592592594,-0.5689399999999978,4.400874999999999,-1,1.0,-1,-1,1,-3,3.0,3.0
-5.5,16,15.700000000000005,18.374485596707824,22.93037298743876,103.1,109.96666666666664,86.3,94.26666666666668,Wed 11-23 11-23,N,20 (I-A),Arkansas,"L, 78-74 OT",82,89.7,45.2,18.2,18.9,37.1,94.6,42.5,19.4,27.0,63.3,8.0,-1.5,144.0,106.65625,110.2125,109.25555555555556,112.50453086289434,90.8875,95.475,90.88106995884776,89.57415787545558,20221123,109.4,90.2,19.200000000000003,106.0,87.1,18.90000000000001,110.94,89.719,21.2211,70.2137,1.4442010123220683,142.62300001152119,73.28542452844951,0.24316068459636142,143.00440170374424,0.24372990848970338,143.00440170374424,0.24316068459636142,143.00440170374424,0.24372990848970338,138.35738161725783,-0.04817464359847179,110.103,87.2569,22.8458,73.3755,109.4,90.2,19.200000000000003,106.0,87.1,18.90000000000001,0.4856589862744063,138.03571909139848,0,107.8970405,93.52890744,14.368133060000005,13.80238136,101.8527706,88.34912652,13.50364408,15.08696162,2022-11-23,142.77103663588207,-5.2211,-8.0658,7.231285185185189,-2.8446999999999996,-15.297085185185189,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.5567984968164682,0.5018303652140588,-2.8466144032921754,-5.521099999999995,-3.2864716049382636,-1.3443000000000005,-0.5689399999999978,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
-8.5,9,9.566666666666672,15.449657064471888,20.50666880790444,105.2,103.23333333333336,95.6,93.66666666666669,Tue 11-29 11-29,H,96 (Ⅲ),UC Irvine,"W, 72-69",72,100.6,51.7,19.6,29.4,34.5,96.4,50.9,22.4,22.6,25.0,5.5,-11.5,135.5,105.928125,106.65625,107.90370370370373,111.17643434236808,93.24375,90.8875,92.45404663923183,90.66976553446366,20221129,108.9,89.9,19.0,102.2,91.4,10.799999999999995,110.337,89.5803,20.7566,69.5172,-12.09615984527241,131.1746378532013,67.19870743783784,-8.963365677334238,131.96937634141608,-1.9185319988419367,131.96937634141608,-8.963365677334238,131.96937634141608,-1.9185319988419367,126.5844466104023,-0.7458644775353918,102.245,94.4356,7.8089,67.9554,108.9,89.9,19.0,102.2,91.4,10.799999999999995,-3.5736414511888595,126.89773419646167,0,106.9807697,93.94325606,13.03751364,12.88615367,102.8473381,86.37948619,16.467851910000007,16.86869431,2022-11-29,130.09824052028557,-11.756599999999999,-19.8224,2.1322567901234604,-8.0658,-21.954656790123458,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.8632938299430262,0.5283149355193286,-5.306942935528111,-11.189933333333327,-2.8466144032921754,-2.831771428571429,-1.3443000000000005,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-11.5,2,9.6,11.09977137631459,17.214547206467266,90.3,99.53333333333332,87.9,89.93333333333334,Mon 12-05 12-05,H,150 (Ⅲ),Troy,"W, 60-55",66,90.6,45.3,25.7,36.7,24.5,83.1,40.5,25.7,33.3,19.0,-21.5,-16.5,136.5,98.1140625,105.928125,102.03580246913582,107.38071900739206,90.571875,93.24375,90.93603109282122,90.1661718009248,20221205,109.3,91.0,18.3,103.8,103.7,0.0999999999999943,110.425,90.9084,19.517,69.1754,-16.626455939907828,133.82301095541325,65.06167770640114,-16.48733732040295,139.04230612549412,-12.861581994577119,139.04230612549412,-16.48733732040295,139.04230612549412,-12.861581994577119,140.2788782986255,-9.227882279917793,102.416,102.343,0.0726135,66.1194,109.3,91.0,18.3,103.8,103.7,0.0999999999999943,-13.175777779455931,139.21545623467114,0,108.0594589,94.04926846,14.010190440000002,13.43412709,106.3045641,99.92947974,6.375084359999988,1.587379985,2022-12-05,138.94566325144947,-17.517,-37.3394,-5.185962139917692,-19.8224,-32.153437860082306,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.9419584331306725,0.8102575909069021,-8.417228623685409,-9.917,-5.306942935528111,-4.6674250000000015,-2.831771428571429,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-8.5,14,8.933333333333332,12.33318091754306,16.775538623473217,110.5,102.0,95.7,93.06666666666666,Sat 12-10 12-10,N,7 (I-A),Saint Mary's,"L, 68-61",65,93.8,43.8,20.0,30.8,32.1,104.6,55.1,16.9,17.9,40.8,2.5,-1.5,126.5,104.30703125,98.1140625,104.85720164609054,107.94786100604804,93.1359375,90.571875,92.5240207285475,91.17232238257483,20221210,108.0,91.2,16.799999999999997,107.7,87.4,20.3,108.888,90.6643,18.224,69.5615,0.9088257191243514,122.54868994000635,63.82846479587482,2.5089487716827676,126.16428109033386,1.3271481146181334,126.16428109033386,2.5089487716827676,126.16428109033386,1.3271481146181334,115.41924058032353,5.411200151676077,107.202,87.9463,19.2556,64.5061,108.0,91.2,16.799999999999997,107.7,87.4,20.3,5.074091664418939,118.4001742148344,0,105.3171465,92.29946697,13.01767953000001,12.01287083,107.3935098,86.27501497,21.118494830000003,25.27110131,2022-12-10,124.44266762258385,-4.224,-41.5634,-15.903774759945128,-37.3394,-25.659625240054872,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.5567984968164682,0.30315339584400935,-5.8908190824569395,-9.290666666666668,-8.417228623685409,-4.618155555555557,-4.6674250000000015,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
15.0,37,18.366666666666664,20.85545394502871,20.616349782841723,114.7,105.16666666666669,76.8,86.8,Mon 12-12 12-12,H,119 (Ⅲ),Kennesaw St.,"W, 88-54",75,117.8,57.4,16.1,29.0,41.0,72.3,42.9,28.1,16.7,40.8,4.0,-19.0,138.0,109.503515625,104.30703125,108.13813443072704,109.17552264131204,84.96796875000001,93.1359375,87.28268048569834,88.55917285847033,20221212,108.4,91.7,16.700000000000003,104.0,105.6,-1.5999999999999943,109.084,91.2528,17.8312,69.8068,-18.1869952909628,138.224061687046,66.62061110725463,-17.0572535401355,143.66929757995177,-7.289613104037215,143.66929757995177,-17.0572535401355,143.66929757995177,-7.289613104037215,132.3243221109534,-13.552697501780742,102.057,105.186,-3.12895,67.0913,108.4,91.7,16.700000000000003,104.0,105.6,-1.5999999999999943,-13.021274729976396,137.35181047080346,0,107.2939623,91.35850226,15.93546004000001,13.27816612,97.43914909,96.44085353,0.9982955600000025,-0.307368884,2022-12-12,131.73564006366138,19.1688,-22.3946,-24.456983173296756,-41.5634,2.0623831732967552,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.9648151676951044,0.9016018777901124,3.024253945028711,0.5354666666666645,-5.8908190824569395,-2.2394599999999976,-4.618155555555557,1,-1.0,1,-1,-1,1,-3.0,-3.0
