ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
11.5,22,,22.39999999999999,22.39999999999999,99.1,0.0,76.7,0.0,Tue 11-08 11-08,H,187 (Ⅳ),Georgia Southern,"W, 63-48",65,96.7,51.0,16.9,12.9,26.9,73.7,30.4,16.9,22.0,25.0,-23.5,-3.5,134.5,99.1,0.0,99.1,99.1,76.7,0.0,76.7,76.7,20221108,98.1,102.3,-4.200000000000003,97.7,98.4,-0.7000000000000028,96.2324,100.219,-3.98663,69.4575,-4.925786356820751,130.75626060066867,68.87842402916074,-1.469757799401421,138.52700783601978,-25.662712016448896,138.52700783601978,-1.469757799401421,138.52700783601978,-25.662712016448896,102.83178462242638,-2.598818901466217,94.2182,100.041,-5.82318,69.7139,98.1,102.3,-4.200000000000003,97.7,98.4,-0.7000000000000028,-25.662712016448896,102.83178462242638,0,97.64762669,99.52621734,-1.8785906500000067,-1.36146808,98.72445648,98.81356428,-0.08910779999999363,2.633970187,2022-11-08,137.3380504213791,25.986629999999998,25.986629999999998,0.0,0.0,25.986629999999998,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,-3,0.6305586598182363,0.59774189316061,26.38662999999999,,0.0,25.986629999999998,0.0,1,0.0,1,1,1,3,0.0,0.0
-1.5,-9,,11.93333333333333,16.69090909090908,98.3,0.0,107.3,0.0,Tue 11-15 11-15,H,353 (Ⅳ),Alabama St.,"W, 70-57",64,109.8,55.9,20.4,46.2,51.0,89.4,38.5,7.8,27.3,21.3,-14.5,-14.5,141.5,98.7,99.1,98.83333333333334,98.95454545454544,92.0,76.7,86.9,82.26363636363635,20221115,99.3,101.6,-2.299999999999997,93.2,109.8,-16.599999999999994,97.3165,101.337,-4.02029,68.8314,-14.195284222585968,142.50056302584258,72.69075603669987,-14.898943004111956,151.7330113494266,-38.41542350690154,151.7330113494266,-14.898943004111956,151.7330113494266,-38.41542350690154,133.1704896907941,-5.330567675425556,90.0284,108.256,-18.2277,74.2417,99.3,101.6,-2.299999999999997,93.2,109.8,-16.599999999999994,-38.30400493643434,133.20406718146782,0,97.64762669,99.52621734,-1.8785906500000067,-1.36146808,100.1575233,103.6683377,-3.510814400000001,-7.308913535,2022-11-15,149.37805738841996,-4.97971,21.006919999999997,25.986629999999998,25.986629999999998,-4.979710000000001,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,3,0.9163531986724158,0.694158696020446,15.95362333333333,,26.38662999999999,10.50346,25.986629999999998,1,1.0,-1,1,1,1,3.0,0.0
-6.5,4,5.833333333333329,9.32222222222222,14.401652892561971,120.3,105.9,116.2,100.06666666666666,Thu 11-17 11-17,H,90 (Ⅲ),Hofstra,"L, 85-76",68,111.3,54.5,11.7,23.5,7.5,124.4,62.2,10.2,11.5,61.2,20.0,2.5,141.0,109.5,98.7,105.9888888888889,102.83553719008265,104.1,92.0,96.66666666666669,88.43388429752065,20221117,99.0,101.6,-2.5999999999999943,106.1,105.4,0.6999999999999886,97.5758,101.516,-3.94046,67.1726,1.0171113066190287,141.43529137245162,67.1095361081081,-1.7107149610815924,145.84418200579609,-2.4556092115807537,145.84418200579609,-1.7107149610815924,145.84418200579609,-2.4556092115807537,147.66556220173356,8.442028369740257,108.077,104.799,3.27772,70.234,99.0,101.6,-2.5999999999999943,106.1,105.4,0.6999999999999886,-2.276355878101566,147.82219726747576,0,89.1996232,95.01457789,-5.814954689999993,-5.308774056,118.8034579,106.2703875,12.5330704,10.82009259,2022-11-17,142.4877958817644,7.94046,28.947379999999995,24.326726666666666,21.006919999999997,4.62065333333333,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,3,0.4059036140017165,0.21069770730081505,13.26268222222222,9.773793333333328,15.95362333333333,9.649126666666668,10.50346,1,1.0,1,1,1,3,1.0,3.0
16.0,7,0.8666666666666648,8.714814814814813,13.146806912096158,118.9,112.5,111.4,111.63333333333334,Sat 11-19 11-19,A,227 (Ⅲ),Northern Colorado,"W, 80-69",63,127.9,55.9,14.4,46.9,28.8,110.4,48.1,11.2,20.0,38.9,9.0,5.0,140.0,114.2,109.5,110.2925925925926,105.7563486100676,107.75,104.1,101.5777777777778,92.60954169797144,20221119,100.0,102.6,-2.5999999999999943,100.0,106.8,-6.799999999999997,97.9259,102.657,-4.73122,67.3141,4.666594888751533,142.81839541057042,68.84939769473685,1.171924328574164,147.56656534755166,-8.950151338097687,147.56656534755166,1.171924328574164,147.56656534755166,-8.950151338097687,136.861705194999,-0.6844365872650187,101.981,105.911,-3.92948,71.9034,100.0,102.6,-2.5999999999999943,100.0,106.8,-6.799999999999997,-8.60825406330364,137.38762932964835,0,89.1996232,95.01457789,-5.814954689999993,-5.308774056,89.94361496,102.445264,-12.50164903999999,-8.137402144,2022-11-19,124.57453224338002,11.73122,40.678599999999996,25.866944444444442,28.947379999999995,14.811655555555554,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.31696934194067294,0.5259864238287977,13.446034814814814,5.597886666666665,13.26268222222222,10.16965,9.649126666666668,1,1.0,1,1,1,3,3.0,1.0
-6.5,-15,-1.3000000000000018,0.6432098765432102,7.938296564442311,108.2,115.8,123.7,117.1,Fri 11-25 11-25,N,46 (I),North Texas,"L, 69-54",54,100.0,74.1,37.0,35.3,79.3,127.8,59.8,14.8,30.8,37.0,5.5,8.5,117.5,111.2,114.2,109.59506172839508,106.20064886278256,115.725,107.75,108.95185185185188,98.26235229834026,20221125,102.0,104.0,-2.0,103.7,94.5,9.200000000000005,100.898,103.997,-3.09986,65.0604,7.4403244695023645,117.64557122603165,57.47202518065434,6.78040263203917,120.86017391887046,-8.232421161005963,120.86017391887046,6.78040263203917,120.86017391887046,-8.232421161005963,112.67755108886398,0.048863597713690865,105.164,95.4991,9.66523,62.1005,102.0,104.0,-2.0,103.7,94.5,9.200000000000005,-8.128146703480997,112.86350372491435,0,96.20707825,101.6505394,-5.4434611500000045,-6.731932994,97.25962433,102.6768107,-5.41718637000001,1.659828356,2022-11-25,116.96004724772493,-11.90014,28.778459999999995,30.804162962962963,40.678599999999996,-2.025702962962967,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.20910695659274503,0.4981434585962846,3.74306987654321,1.7998599999999982,13.446034814814814,5.755692,10.16965,1,1.0,-1,1,1,1,3.0,3.0
12.0,14,2.1666666666666665,5.262139917695473,9.131333552725527,115.5,114.2,101.0,112.03333333333336,Sat 11-26 11-26,N,275 (Ⅳ),Oakland,"W, 80-67",66,120.9,63.4,18.1,26.9,17.9,101.3,44.7,12.1,20.0,31.6,7.0,-1.0,140.0,113.35,111.2,111.56337448559673,107.89143997864028,108.3625,115.725,106.30123456790128,98.76010642591474,20221126,102.7,105.8,-3.0999999999999943,103.4,111.0,-7.599999999999994,101.502,105.472,-3.97007,64.3631,-2.961230555834561,138.8048167361864,63.23331244096729,-2.9856735379697596,145.00242433930288,-10.38653801635104,145.00242433930288,-2.9856735379697596,145.00242433930288,-10.38653801635104,150.56509292847025,-7.133296666533951,102.351,110.991,-8.63999,69.066,102.7,105.8,-3.0999999999999943,103.4,111.0,-7.599999999999994,-10.290709623860288,150.6747517236418,0,96.20707825,101.6505394,-5.4434611500000045,-6.731932994,99.17012538,116.2042302,-17.034104819999996,-19.33306298,2022-11-26,137.9984190313475,17.97007,46.748529999999995,30.128928641975307,28.778459999999995,16.61960135802469,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.5379371440662541,0.7515456087457353,9.232209917695473,6.136736666666667,3.74306987654321,7.791421666666667,5.755692,1,1.0,1,1,1,3,1.0,3.0
2.0,5,1.399999999999996,5.241426611796978,8.416545634048155,103.6,109.1,98.4,107.7,Sun 11-27 11-27,N,157 (Ⅲ),Ball St.,"W, 67-65",63,105.6,51.9,20.5,37.0,25.9,102.4,41.5,11.0,27.0,52.8,-2.0,0.0,134.0,108.475,113.35,108.90891632373116,107.11117816434204,103.38125,108.3625,103.6674897119342,98.69463253029387,20221127,103.6,105.0,-1.4000000000000057,100.5,102.4,-1.9000000000000057,102.584,105.32,-2.73579,64.2046,-0.5347159729380166,135.07295613552535,63.071018925746806,-0.36349124402899236,137.01263098809727,-0.2192825635585189,137.01263098809727,-0.36349124402899236,137.01263098809727,-0.2192825635585189,143.53771719017922,2.3596100122422783,101.775,105.32,-3.54505,69.0588,103.6,105.0,-1.4000000000000057,100.5,102.4,-1.9000000000000057,-2.698453191837411,138.56690270140828,0,95.86453373,99.59277773,-3.7282439999999895,-3.447897677,98.68609355,98.72252002,-0.0364264700000092,0.366428078,2022-11-27,124.91311549678682,7.73579,54.48432,35.66879576131687,46.748529999999995,18.815524238683125,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,-3,0.5,0.4110966995702716,7.977216611796978,4.1357899999999965,9.232209917695473,7.783474285714286,7.791421666666667,1,1.0,1,1,1,3,3.0,1.0
-21.0,-11,2.8999999999999964,-0.1723822588020138,4.886264609675763,106.4,108.5,117.4,105.6,Sat 12-03 12-03,A,20 (I-A),Arkansas,"L, 99-58",71,81.6,45.6,25.3,29.7,19.3,139.2,69.5,15.5,28.0,35.6,24.0,20.0,133.0,107.4375,108.475,108.07261088248744,106.98187304355258,110.390625,103.38125,108.24499314128948,102.0956084338768,20221203,104.0,105.3,-1.2999999999999972,105.5,87.8,17.700000000000003,102.417,105.263,-2.84585,63.4603,20.244495969677907,132.21682075515233,64.43477217425318,16.823977918638647,134.189644313094,13.302623842394524,134.189644313094,16.823977918638647,134.189644313094,13.302623842394524,139.27046552569627,14.247430091600428,109.856,87.7002,22.1554,71.3795,104.0,105.3,-1.2999999999999972,105.5,87.8,17.700000000000003,13.39836532763107,130.19821401267802,0,97.43939332,99.93401772,-2.4946244000000064,-3.330024711,102.038339,87.92679157,14.111547429999987,16.9394605,2022-12-03,124.36814221724359,-8.15415,46.330169999999995,41.94063717421125,54.48432,4.3895328257887485,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,-3,0.028405513967363794,0.08740679469772994,2.673467741197986,5.745849999999996,7.977216611796978,5.79127125,7.783474285714286,1,1.0,1,1,1,3,3.0,3.0
2.0,-2,-2.800000000000002,-0.981588172534674,3.525125589734716,94.4,101.46666666666668,97.0,104.26666666666668,Tue 12-06 12-06,H,290 (Ⅳ),Cal St. Bakersfield,"W, 58-48",58,100.8,38.5,22.6,51.5,58.3,83.4,38.6,8.7,22.0,17.5,-17.0,-8.0,123.0,100.91875,107.4375,103.51507392165831,104.69425976290664,103.6953125,110.390625,104.496662094193,101.16913417317193,20221206,105.1,106.5,-1.4000000000000057,91.3,102.1,-10.799999999999995,102.802,106.126,-3.32355,63.8459,-6.796011734206225,118.2559286634654,58.17215190512091,-9.460941704021586,122.65762246181714,-6.973352534364279,122.65762246181714,-9.460941704021586,122.65762246181714,-6.973352534364279,119.01871222154624,2.094135767012972,93.3177,102.196,-8.87791,64.0527,105.1,106.5,-1.4000000000000057,91.3,102.1,-10.799999999999995,-10.597742353016297,116.24146156384874,0,97.62599026,101.4954752,-3.8694849400000066,-2.542017795,96.73178317,91.60412777,5.127655399999995,5.902321788,2022-12-06,112.20137742554107,1.32355,47.65371999999999,43.4038147828075,46.330169999999995,4.249905217192492,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.7769415761393583,0.4209586994584028,2.341961827465326,0.523549999999998,2.673467741197986,5.294857777777778,5.79127125,1,1.0,1,1,1,3,3.0,3.0
19.0,18,1.600000000000004,5.478941218310219,6.22964820978295,114.7,105.16666666666669,96.3,103.56666666666666,Sat 12-10 12-10,A,80 (Ⅱ),Santa Clara,"W, 75-64",65,114.7,52.7,12.2,25.0,35.7,97.9,45.3,10.7,24.4,14.1,-1.0,8.0,140.0,107.809375,100.91875,107.24338261443889,106.51348526056,99.99765625,103.6953125,101.76444139612867,100.283837050777,20221210,104.9,106.6,-1.6999999999999886,103.9,98.0,5.900000000000006,102.518,105.505,-2.987,63.5961,9.910482651454139,135.4426568038404,64.77819137795164,9.260322802878534,142.07741874307078,7.378670431090826,142.07741874307078,9.260322802878534,142.07741874307078,7.378670431090826,141.04505911324625,6.497168903318453,103.94,97.7031,6.23696,71.6067,104.9,106.6,-1.6999999999999886,103.9,98.0,5.900000000000006,7.14817030926515,135.1554248095355,0,97.806064,101.0637399,-3.2576758999999953,-1.624574652,99.42230002,98.36805404,1.0542459799999904,2.162512034,2022-12-10,130.7974979441105,20.987000000000002,68.64071999999999,44.820449855205,47.65371999999999,23.82027014479499,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,3,0.22305842386064167,0.2680313116259022,8.465941218310219,4.587000000000004,2.341961827465326,6.864072,5.294857777777778,1,1.0,1,1,1,3,3.0,3.0
