ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
11.0,21,,21.0,21.0,126.9,0.0,105.9,0.0,Mon 11-07 11-07,A,235 (Ⅳ),UC San Diego,"W, 85-71",66,128.3,56.9,10.6,36.8,27.7,107.1,51.9,13.6,20.7,39.6,11.0,-3.0,145.0,126.9,0.0,126.9,126.9,105.9,0.0,105.9,105.9,20221107,99.1,94.9,4.2,100.4,106.6,-6.2,99.4196,97.8453,1.5743,72.164,-3.582003093764257,145.92977824595997,72.3812105604552,-3.5061046472551567,148.51779379706568,-35.65467334128654,148.51779379706568,-3.5061046472551567,148.51779379706568,-35.65467334128654,208.33742693986775,4.270432016495448,98.2302,107.389,-9.15916,70.5116,99.1,94.9,4.2,100.4,106.6,-6.2,-35.65467334128654,208.33742693986775,0,95.62053609,98.47226789,-2.851731799999996,2.62345542,96.72254693,99.13784392,-2.4152969900000016,-1.304105206,2022-11-07,140.6884231063424,-0.802772567711898,140.6884231063424,-5.521238741551528,140.6884231063424,0.0,0.0,0.0,19.4257,19.4257,0.0,0.0,19.4257,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,-3,0.6124515189020077,0.34211130142535284,19.4257,,0.0,19.4257,0.0,1,0.0,1,1,1,3,0.0,0.0
3.0,8,,16.800000000000004,18.709090909090907,105.5,0.0,97.1,0.0,Sun 11-13 11-13,H,239 (Ⅳ),Portland St.,"W, 83-71",75,110.4,53.8,22.6,36.1,71.7,94.4,37.3,12.0,29.8,41.8,-4.0,-9.0,158.0,116.2,126.9,119.76666666666668,123.00909090909092,101.5,105.9,102.96666666666668,104.3,20221113,100.1,96.1,4.0,95.4,106.0,-10.599999999999994,100.232,98.7918,1.44044,72.1389,-12.602449287552815,149.76885476336156,76.36184758421054,-15.568993330561398,154.56239801580605,-23.9126474459648,154.56239801580605,-15.568993330561398,154.56239801580605,-23.9126474459648,201.33290530739401,-11.41728958533048,93.9794,103.678,-9.69842,74.4153,100.1,96.1,4.0,95.4,106.0,-10.599999999999994,-23.9126474459648,201.33290530739401,0,95.62053609,98.47226789,-2.851731799999996,2.62345542,85.21737048,97.87263725,-12.655266769999997,-16.02795313,2022-11-13,138.63995795324388,-16.237388992066975,138.63995795324388,-13.216403132484814,138.63995795324388,0.0,0.0,0.0,6.55956,25.98526,19.4257,19.4257,6.559560000000001,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.804317030846224,0.8615613308532257,15.359560000000004,,19.4257,12.99263,19.4257,1,1.0,1,1,1,3,3.0,0.0
15.5,15,14.9,16.300000000000004,18.089256198347105,105.8,112.73333333333332,90.5,97.83333333333331,Sat 11-19 11-19,A,158 (Ⅲ),Portland,"W, 80-68",72,110.9,61.3,20.8,29.0,16.1,94.3,46.4,16.6,18.2,35.7,-2.0,3.5,150.0,111.0,116.2,115.11111111111111,119.8801652892562,96.0,101.5,98.81111111111112,101.79090909090908,20221119,101.1,96.9,4.199999999999989,105.2,100.2,5.0,100.843,99.3321,1.51089,71.9809,6.732312121272656,151.36249300655945,75.09665929871977,4.854000125852394,155.9566918276791,-0.8318970136498554,155.9566918276791,4.854000125852394,155.9566918276791,-0.8318970136498554,162.68236443113466,2.745785292919777,103.578,98.7131,4.86469,73.343,101.1,96.9,4.199999999999989,105.2,100.2,5.0,-1.0204829229859258,162.83039194069676,0,106.4847769,98.25157648,8.233200420000003,7.201241037,101.2986167,95.39276168,5.90585501999999,7.169881633,2022-11-19,154.26100889332395,2.230247857988644,154.26100889332395,-5.28406128334349,154.26100889332395,-12.83112844444443,15.359559999999998,2.528431555555569,13.48911,39.47437,21.61222,25.98526,17.86215,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.36944134018176367,0.3968521788958833,14.789110000000004,13.38911,15.359560000000004,13.158123333333332,12.99263,1,1.0,1,1,1,3,3.0,3.0
-7.0,-6,5.633333333333336,8.600000000000005,13.563936889556722,97.3,102.86666666666667,104.1,97.23333333333332,Mon 11-28 11-28,A,115 (Ⅱ),Washington,"L, 77-66",73,90.3,39.7,20.5,38.8,11.0,105.4,52.9,20.5,20.7,50.0,1.5,4.0,141.5,104.15,111.0,109.1740740740741,115.7746806912096,100.05,96.0,100.5740740740741,102.21074380165288,20221128,102.5,96.4,6.099999999999994,102.3,95.8,6.5,103.078,99.2162,3.86138,69.0864,5.275582141239184,134.41572054000517,67.35639006315789,4.094459215483013,135.85750300394665,-2.238365441120332,135.85750300394665,4.094459215483013,135.85750300394665,-2.238365441120332,136.97169421634564,-8.69312825369721,102.157,96.1388,6.01779,68.5396,102.5,96.4,6.099999999999994,102.3,95.8,6.5,-1.4908184927387542,136.0501109264946,0,110.7430452,95.14515853,15.597886669999994,12.11466079,93.82930158,96.95713409,-3.1278325099999904,-3.202788416,2022-11-28,135.3858021116876,-8.347263895896774,135.3858021116876,-2.2366564834748317,135.3858021116876,-9.313395186654947,14.206495,4.893099813345053,-9.86138,29.61299,27.566270000000003,39.47437,2.046719999999997,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.35161929169946593,0.796141240025281,4.7386200000000045,1.7719533333333364,14.789110000000004,7.4032475,13.158123333333332,1,1.0,1,1,1,3,3.0,3.0
-2.0,4,4.300000000000002,7.2000000000000055,11.897766546000954,107.2,103.43333333333334,102.8,99.13333333333333,Wed 11-30 11-30,H,112 (Ⅲ),Cal St. Fullerton,"W, 69-62",64,107.1,47.4,14.0,36.4,40.4,96.2,47.2,18.6,30.6,39.6,-7.0,-9.0,138.0,105.675,104.15,108.51604938271608,114.2156478382624,101.425,100.05,101.31604938271607,102.31788129226145,20221130,102.6,97.0,5.599999999999994,99.9,106.0,-6.099999999999994,102.782,99.3448,3.4368,69.5721,-9.282695480688496,130.74187791575673,63.64036098179233,-11.504224493457265,134.5667850029288,-11.313433387405961,134.5667850029288,-11.504224493457265,134.5667850029288,-11.313433387405961,138.25427063224336,-12.322587978983748,99.2967,104.62,-5.32299,64.3062,102.6,97.0,5.599999999999994,99.9,106.0,-6.099999999999994,-11.680250438833435,137.21260855014742,0,107.2932716,97.79083426,9.50243734,8.378093931,99.21649249,102.606269,-3.3897765100000044,-0.517262531,2022-11-30,135.53962053080068,-7.51300433123199,135.53962053080068,-11.231138340073684,135.53962053080068,-9.132730600529076,6.883494000000011,-2.249236600529065,0.5632000000000001,30.17619,28.248510000000003,29.61299,1.9276799999999952,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,-3,0.804317030846224,0.8797183134477724,3.7632000000000057,0.8632000000000017,4.7386200000000045,6.0352380000000005,7.4032475,1,1.0,1,1,1,3,3.0,3.0
-4.5,-5,-2.7666666666666657,2.833333333333336,8.661808992182596,97.5,100.66666666666669,103.4,103.43333333333334,Sat 12-10 12-10,A,266 (Ⅳ),North Dakota,"W, 80-78 OT",77,103.7,45.0,11.7,26.7,34.3,101.2,58.3,24.6,27.8,50.0,13.5,-6.5,144.5,101.5875,105.675,104.84403292181072,111.17643914039652,102.4125,101.425,102.0106995884774,102.5146301482139,20221210,103.2,98.5,4.700000000000003,98.5,110.4,-11.900000000000006,103.695,100.285,3.41033,68.9338,-6.893511054035528,136.52023967058773,64.9356396,-7.330861860297347,140.2139531093281,-3.7185146134677796,140.2139531093281,-7.330861860297347,140.2139531093281,-3.7185146134677796,133.19858344147116,-1.6080096364711807,97.2827,110.086,-12.8033,66.2226,103.2,98.5,4.700000000000003,98.5,110.4,-11.900000000000006,-7.709733948756903,140.27467864384653,0,104.96848,99.3406901,5.627789899999996,3.278777669,98.6846714,101.1392447,-2.454573300000007,0.347761079,2022-12-10,135.87650850295478,-0.052107634859623886,135.87650850295478,-5.416811812221233,135.87650850295478,3.7495589074360978,2.7548214285714256,6.504380336007523,-8.41033,21.765859999999996,28.891070000000006,30.17619,-7.12521000000001,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.732057505466481,0.5608575521865631,-0.5769966666666639,-6.176996666666666,3.7632000000000057,3.6276433333333338,6.0352380000000005,-1,1.0,-1,1,1,-1,3.0,3.0
-15.0,-11,-4.233333333333334,-1.844444444444444,5.050570993603941,94.8,99.83333333333331,106.0,104.06666666666666,Thu 12-15 12-15,A,228 (Ⅲ),Oregon St.,"L, 73-58",68,85.3,42.0,22.1,32.4,35.7,107.4,56.1,20.6,27.3,44.9,-5.5,0.0,136.5,98.19375,101.5875,101.4960219478738,108.19890475123351,104.20625,102.4125,103.34046639231826,103.14833375762956,20221215,102.6,98.9,3.6999999999999886,99.4,103.8,-4.399999999999992,103.566,100.689,2.87697,69.6147,-0.995561185119513,131.06404871209867,63.276494469132295,-1.597328466542038,132.90174779505008,-0.6530804856043839,132.90174779505008,-1.597328466542038,132.90174779505008,-0.6530804856043839,131.98018240152265,1.0180371436513411,99.7718,104.158,-4.38648,63.8994,102.6,98.9,3.6999999999999886,99.4,103.8,-4.399999999999992,-2.1394794714978733,130.1005047835423,0,104.6301545,100.1719332,4.458221300000005,2.670627844,98.07665994,97.76547446,0.311185480000006,1.165215389,2022-12-15,130.20448776051308,0.8531502361464476,130.20448776051308,0.8130350709604102,130.20448776051308,6.835775195706842,-0.9414336904762051,5.894341505230637,-13.87697,7.888889999999996,26.516000000000005,21.765859999999996,-18.62711000000001,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.5,0.4613807007205042,-4.721414444444444,-7.110303333333334,-0.5769966666666639,1.1269842857142858,3.6276433333333338,-1,-1.0,-1,1,1,-1,-1.0,3.0
2.5,5,-3.900000000000001,0.5703703703703726,5.114103540221407,96.9,96.40000000000002,91.5,100.3,Sun 12-18 12-18,H,254 (Ⅳ),Alcorn St.,"W, 72-58",68,105.7,57.5,25.0,36.7,34.0,85.2,35.5,13.2,34.8,20.3,-10.5,-11.5,140.5,97.546875,98.19375,99.96401463191587,106.14455843282742,97.853125,104.20625,99.39364426154552,101.030454892606,20221218,102.3,99.5,2.799999999999997,98.3,106.2,-7.900000000000006,102.536,101.18,1.35554,69.8329,-10.502779922131566,140.43724602313614,67.87390338421052,-11.553079311062405,143.77679806583535,-12.497245329023057,143.77679806583535,-11.553079311062405,143.77679806583535,-12.497245329023057,139.0310080071293,-6.620468677296458,97.7933,105.995,-8.20197,68.3279,102.3,99.5,2.799999999999997,98.3,106.2,-7.900000000000006,-12.55291396771001,139.7364231247973,0,102.5422315,100.5448329,1.9973985999999968,1.450772991,98.66880202,100.5091268,-1.840324780000003,-7.070558415,2022-12-18,140.7339329213099,-7.6308283921075315,140.7339329213099,-13.755165039480552,140.7339329213099,-5.189580575520044,-4.883093624338632,-10.072674199858676,3.64446,11.533349999999997,20.30696333333334,7.888889999999996,-8.773613333333342,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,-3,0.8632938299430262,0.7358230594209105,-0.7851696296296273,-5.255540000000001,-4.721414444444444,1.4416687499999998,1.1269842857142858,-1,-1.0,-1,1,1,-1,-1.0,-1.0
-18.5,-13,-6.566666666666663,-4.253086419753082,1.656993805635698,88.4,93.36666666666667,102.3,99.93333333333334,Thu 12-22 12-22,N,30 (I-A),Utah St.,"L, 84-56",71,79.4,32.6,14.2,32.7,27.5,119.1,60.2,15.6,28.1,28.8,-7.5,9.5,147.5,92.9734375,97.546875,96.10934308794394,102.91827508140426,100.0765625,97.853125,100.36242950769702,101.26128127576854,20221222,101.8,99.1,2.700000000000003,111.1,95.9,15.199999999999989,102.263,100.7,1.56246,69.9191,9.129245663439775,149.99254360006884,71.58442775305832,9.133182023371887,152.09374044537432,11.290714518236921,152.09374044537432,9.133182023371887,152.09374044537432,11.290714518236921,152.20151925449454,9.614493856672851,110.922,96.6934,14.2283,71.9744,101.8,99.1,2.700000000000003,111.1,95.9,15.199999999999989,10.08769288728819,153.33812992482797,0,101.7680011,99.71222807,2.0557730300000117,2.580803738,109.0122572,93.90700842,15.105248779999997,17.03194994,2022-12-22,149.56004620024342,10.34477031245953,149.56004620024342,9.9219581655382,149.56004620024342,0.5260171127426614,-3.208352237654321,-2.68233512491166,-14.56246,-3.029110000000003,17.38242555555556,11.533349999999997,-20.411535555555563,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.182795768782416,0.17992103011657523,-5.8155464197530815,-8.129126666666663,-0.7851696296296273,-0.3365677777777778,1.4416687499999998,-1,-1.0,-1,-1,1,-3,-1.0,-1.0
-3.0,-6,-4.966666666666659,-4.968724279835385,0.1920858409746635,96.2,93.83333333333331,102.6,98.8,Fri 12-23 12-23,N,62 (Ⅱ),Iona,"L, 83-72",79,91.6,34.5,15.3,28.3,77.6,105.6,51.7,19.1,25.0,45.8,7.5,8.0,147.5,94.58671875,92.9734375,96.1395620586293,101.69677052114896,101.33828125,100.0765625,101.1082863384647,101.50468468017424,20221223,102.0,99.4,2.5999999999999943,106.8,94.6,12.200000000000005,101.756,101.401,0.354409,69.5628,7.7487809809531,144.85635349538376,70.27000530810811,6.951727316562625,145.72739601686047,9.97893616094558,145.72739601686047,6.951727316562625,145.72739601686047,9.97893616094558,140.20101105702352,8.828618788589182,107.62,96.3535,11.2663,71.0147,102.0,99.4,2.5999999999999943,106.8,94.6,12.200000000000005,8.588681597244909,144.70955775522935,0,99.81182914,100.1954137,-0.38358456000000274,1.646197015,105.4557021,93.56059092,11.89511118,22.76721571,2022-12-23,143.1351062638157,14.841740958103003,143.1351062638157,9.487008210925623,143.1351062638157,1.4395491178844315,-5.193504867190412,-3.7539557493059803,-6.354409,-9.383519000000003,10.578580370370373,-3.029110000000003,-19.962099370370375,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.22305842386064167,0.20022415602605226,-5.323133279835385,-5.321075666666658,-5.8155464197530815,-0.9383519,-0.3365677777777778,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
