ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
22.5,-11,,-11.199999999999989,-11.199999999999989,103.9,0.0,115.1,0.0,Tue 11-08 11-08,A,227 (Ⅲ),South Carolina,"L, 80-77",71,107.8,52.3,14.0,27.8,25.0,112.0,50.0,15.4,37.8,54.2,19.0,25.5,138.0,103.9,0.0,103.9,103.9,115.1,0.0,115.1,115.1,20221108,91.9,105.9,-14.0,98.7,92.2,6.5,90.6465,107.122,-16.4758,72.5988,21.832480937782627,141.23648950411086,72.72034877325746,18.65742717618548,141.14811874250856,6.315851197625719,141.14811874250856,18.65742717618548,141.14811874250856,6.315851197625719,169.74558300996065,7.613621841582329,102.305,93.6255,8.67992,70.4177,91.9,105.9,-14.0,98.7,92.2,6.5,6.315851197625719,169.74558300996065,0,98.01643314,98.87867383,-0.862240689999993,-3.473089228,95.61638773,91.26715022,4.349237509999995,9.30391193,2022-11-08,136.93491494932866,11.387012294985382,136.93491494932866,16.867484897957084,136.93491494932866,0.0,0.0,0.0,5.4758,5.4758,0.0,0.0,5.4758,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.007579219438719753,0.23419324362662397,5.275800000000011,,0.0,5.4758,0.0,1,0.0,1,1,1,3,0.0,0.0
-10.5,-21,,-14.633333333333326,-13.072727272727263,85.8,0.0,107.3,0.0,Sat 11-12 11-12,A,270 (Ⅳ),Tennessee St.,"L, 80-61",73,83.3,39.8,16.4,26.1,34.4,109.3,56.0,15.0,21.2,36.2,-5.5,8.5,146.5,94.85,103.9,97.86666666666667,100.6090909090909,111.2,115.1,112.5,113.68181818181816,20221112,94.6,107.5,-12.900000000000006,99.7,105.1,-5.399999999999992,91.5572,108.021,-16.4642,72.5532,9.384478065957992,147.42363606954746,74.48076204324325,10.303426140605296,157.4207522010046,12.274510061597482,157.4207522010046,10.303426140605296,157.4207522010046,12.274510061597482,152.26193786114274,6.127359492374069,95.2525,104.628,-9.37553,72.1677,94.6,107.5,-12.900000000000006,99.7,105.1,-5.399999999999992,12.274510061597482,152.26193786114274,0,98.01643314,98.87867383,-0.862240689999993,-3.473089228,102.2836031,100.677337,1.6062660999999991,5.693696605,2022-11-12,152.1434055911017,8.936108234650575,152.1434055911017,7.480698778099267,152.1434055911017,0.0,0.0,0.0,-4.535799999999998,0.9400000000000013,5.4758,5.4758,-4.535799999999998,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,-3,0.20910695659274503,0.2797588464163262,1.830866666666676,,5.275800000000011,0.46999999999999886,5.4758,1,1.0,-1,1,1,1,3.0,0.0
-5.0,-25,-19.366666666666664,-18.22222222222222,-15.314049586776852,99.6,96.43333333333334,125.0,115.8,Mon 11-14 11-14,A,90 (Ⅱ),Duquesne,"L, 96-71",74,96.1,42.5,19.0,40.0,35.8,129.9,54.7,14.9,51.1,35.1,25.0,20.0,142.0,97.225,94.85,98.44444444444446,100.42561983471072,118.1,111.2,116.66666666666669,115.73966942148758,20221114,94.2,107.5,-13.299999999999995,101.5,100.3,1.2000000000000028,90.9341,108.291,-17.3572,72.0692,19.514973313636,143.1652702902824,71.87626367795164,14.946844332284087,149.99060460313925,26.597948828175234,149.99060460313925,14.946844332284087,149.99060460313925,26.597948828175234,147.28479427890363,1.2387659531520967,102.145,97.7834,4.36133,70.1118,94.2,107.5,-13.299999999999995,101.5,100.3,1.2000000000000028,26.507922645533515,147.0199810671295,0,98.01643314,98.87867383,-0.862240689999993,-3.473089228,99.92619252,104.8433013,-4.917108779999992,-7.082304414,2022-11-14,148.11863218301843,-0.6878491567405689,148.11863218301843,29.656338063559325,148.11863218301843,17.22006333333333,1.8308666666666742,19.050930000000005,-7.642800000000001,-6.7028,3.9638666666666675,0.9400000000000013,-10.666666666666668,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.028405513967363794,0.4530426597523781,-0.8650222222222226,-2.0094666666666647,1.830866666666676,-2.2342666666666666,0.46999999999999886,-1,1.0,-1,-1,1,-3,1.0,3.0
-2.5,-22,-23.16666666666667,-19.681481481481484,-16.638767843726516,92.8,92.73333333333332,115.4,115.9,Thu 11-17 11-17,A,36 (I-A),Kentucky,"L, 106-63",77,81.5,39.0,15.5,24.4,23.5,137.2,64.7,16.8,45.2,33.8,23.5,40.5,145.5,95.0125,97.225,96.56296296296298,99.03914350112696,116.75,118.1,116.24444444444448,115.67791134485348,20221117,94.6,109.0,-14.400000000000006,112.1,91.3,20.8,91.7644,109.412,-17.6475,71.9435,37.445240346327004,147.9249062810653,72.46961882432433,30.87404209686082,155.3137000291086,36.69748620664144,155.3137000291086,30.87404209686082,155.3137000291086,36.69748620664144,151.95663821455088,17.90084581988546,114.256,85.8686,28.3873,70.8141,94.6,109.0,-14.400000000000006,112.1,91.3,20.8,36.65428739182716,152.04621698757842,0,103.9616685,109.5242574,-5.562588899999994,-10.88222183,99.64703376,87.12374869,12.52328507,18.91243851,2022-11-17,148.39969723874736,23.70269864934391,148.39969723874736,33.49082244905789,148.39969723874736,-3.9547833333333315,-0.9898629629629632,-4.944646296296295,-4.352499999999999,-11.055299999999999,0.4083111111111122,-6.7028,-11.463611111111112,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,5.736006052325937e-05,0.04411190517549157,-2.033981481481483,-5.5191666666666706,-0.8650222222222226,-2.7638250000000006,-2.2342666666666666,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
10.0,-3,-17.13333333333334,-14.254320987654324,-14.23171914486715,87.5,93.3,90.9,110.43333333333334,Sat 11-19 11-19,A,234 (Ⅲ),North Florida,"L, 72-66",73,90.5,38.4,20.6,43.1,21.9,98.8,43.6,11.0,15.8,58.2,-15.5,16.0,153.5,91.25625,95.0125,93.541975308642,96.94111741001296,103.825,116.75,107.79629629629632,111.1728365548801,20221119,95.0,109.7,-14.700000000000005,100.8,104.4,-3.6000000000000085,91.9124,109.868,-17.9559,72.4126,14.468650674148336,153.79401110458886,74.61608554651494,13.168091799840639,160.18315233390433,11.772495886791797,160.18315233390433,13.168091799840639,160.18315233390433,11.772495886791797,155.44960767556293,-0.316648387747108,100.31,105.004,-4.69333,72.4392,95.0,109.7,-14.700000000000005,100.8,104.4,-3.6000000000000085,11.777044155530717,155.55902322129737,0,103.9616685,109.5242574,-5.562588899999994,-10.88222183,91.82939732,102.7263296,-10.896932280000001,-8.318041029,2022-11-19,157.9876601655132,3.801970951503506,157.9876601655132,6.272533800634925,157.9876601655132,-6.755450740740731,-2.6418692592592627,-9.397319999999993,14.9559,3.9006000000000007,-3.4128925925925913,-11.055299999999999,7.313492592592592,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.06377814989000363,0.512029074762457,3.7015790123456753,0.8225666666666598,-2.033981481481483,0.7801200000000001,-2.7638250000000006,1,-1.0,1,1,-1,3,-3.0,-3.0
-4.5,-18,-14.866666666666667,-15.702880658436214,-15.025952027618574,98.9,93.06666666666668,117.5,107.93333333333334,Wed 11-23 11-23,A,68 (Ⅱ),Wake Forest,"L, 105-74",78,94.6,41.8,14.1,34.6,17.7,134.3,76.4,20.5,28.6,58.5,33.5,26.5,145.5,95.078125,91.25625,95.32798353909467,97.29727788091968,110.6625,103.825,111.03086419753087,112.32322990853824,20221123,95.2,109.3,-14.099999999999994,104.6,95.9,8.699999999999989,92.4185,109.805,-17.3869,71.5849,23.297635556052747,146.86497272930865,71.55771199388337,21.07410361185933,151.001738051704,21.524112696860744,151.001738051704,21.07410361185933,151.001738051704,21.524112696860744,142.82703503459328,11.081075013213976,105.839,96.5763,9.2622,70.2733,95.2,109.3,-14.099999999999994,104.6,95.9,8.699999999999989,21.641505460939033,143.03897154014416,0,99.31743426,107.1354951,-7.818060840000001,-11.3144736,98.6334262,96.84651637,1.786909829999999,3.135916841,2022-11-23,147.9659522921546,12.262051276319106,147.9659522921546,16.777687040836554,147.9659522921546,-7.189764084656088,3.0203214109347503,-4.1694426737213375,-0.6130999999999993,3.2875000000000014,-0.9750617283950609,3.9006000000000007,4.262561728395062,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.005804540573384642,0.14563481748369078,1.6840193415637863,2.5202333333333335,3.7015790123456753,0.5479166666666657,0.7801200000000001,1,1.0,1,1,1,3,3.0,-3.0
-2.0,-32,-18.100000000000005,-21.23525377229081,-18.16668802259701,90.1,92.16666666666669,122.4,110.26666666666668,Sat 11-26 11-26,A,168 (Ⅲ),Western Kentucky,"L, 90-64",71,89.5,43.3,9.8,18.2,19.4,125.9,61.2,18.2,41.2,50.0,8.5,24.0,145.5,92.5890625,95.078125,93.58532235939646,95.98868190257063,116.53125,110.6625,114.82057613168726,114.15536992516766,20221126,95.8,110.3,-14.5,104.3,100.6,3.700000000000003,93.0856,110.781,-17.6951,72.1986,20.536149149042714,144.58331367424353,69.07187684637269,17.390655015723382,149.9099259502118,18.13154913983667,149.9099259502118,17.390655015723382,149.9099259502118,18.13154913983667,144.22210487539823,5.986541647845655,105.461,99.7207,5.74031,67.2555,95.8,110.3,-14.5,104.3,100.6,3.700000000000003,17.7250593391354,146.0418437169724,0,100.1505287,107.1627138,-7.012185100000011,-10.97377682,96.51598894,100.52807,-4.01208106,-8.521619839,2022-11-26,144.4248039071541,3.4392416925002607,144.4248039071541,13.265499833669743,144.4248039071541,-5.5937874591416765,3.06576945914167,-2.5280180000000065,-14.3049,-11.017399999999999,0.44579218106995966,3.2875000000000014,-11.463192181069958,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.0111354894796164,0.28428905967596796,-3.540153772290811,-0.4049000000000049,1.6840193415637863,-1.5739142857142845,0.5479166666666657,-1,1.0,-1,-1,1,-3,3.0,3.0
22.0,8,-14.0,-11.190169181527208,-13.245472018488464,109.4,99.46666666666664,100.5,113.46666666666664,Tue 11-29 11-29,A,212 (Ⅲ),East Carolina,"W, 73-68",68,107.3,53.2,14.7,25.7,14.3,99.9,52.6,17.6,18.8,13.8,-6.5,17.0,147.5,100.99453125,92.5890625,98.85688157293096,98.42710337483052,108.515625,116.53125,110.04705075445818,111.672575393319,20221129,95.4,110.7,-15.299999999999995,100.0,103.9,-3.9000000000000057,93.0195,111.052,-18.0324,71.9268,14.669584614642275,144.25118806824412,70.21068589416785,12.542849823291888,151.02160669762208,17.446317426559066,151.02160669762208,12.542849823291888,151.02160669762208,17.446317426559066,147.69297936472665,7.131464697948459,99.6119,102.553,-2.94093,68.6227,95.4,110.7,-15.299999999999995,100.0,103.9,-3.9000000000000057,15.536044519033547,149.82302872084156,0,99.25311276,107.4993684,-8.246255640000001,-10.93539945,98.40390882,102.4327885,-4.028879680000003,-3.388928455,2022-11-29,149.16875072364843,7.12352732722502,149.16875072364843,15.564860567813362,149.16875072364843,3.624072709517301,-1.0168436736560302,2.6072290358612706,26.0324,15.015,-3.375271879286693,-11.017399999999999,18.390271879286693,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,3,0.05271850889006269,0.24850965547988935,6.842230818472791,4.032399999999999,-3.540153772290811,1.8768749999999983,-1.5739142857142845,1,-1.0,1,1,-1,3,-3.0,3.0
14.0,-2,-8.766666666666666,-8.426779454351468,-11.364477106036016,98.7,99.4,101.6,108.16666666666669,Sat 12-03 12-03,A,93 (Ⅱ),Furman,"L, 88-76",79,96.7,50.0,21.6,28.6,19.7,112.0,63.2,25.4,28.6,33.3,16.0,26.0,148.0,99.847265625,100.99453125,98.80458771528733,98.47672094304316,105.0578125,108.515625,107.2313671696388,109.84119804907915,20221203,96.4,110.3,-13.899999999999991,108.4,100.2,8.200000000000003,94.3304,110.44,-16.1097,71.383,24.014915399105973,149.6476397955215,69.59537878378379,20.68025505550105,154.4776045900005,18.22905786402638,154.4776045900005,20.68025505550105,154.4776045900005,18.22905786402638,147.88232335405908,5.485757317963689,110.423,98.9129,11.5103,68.5395,96.4,110.3,-13.899999999999991,108.4,100.2,8.200000000000003,19.83126200816681,149.9812444976774,0,100.4434507,104.8790032,-4.4355525,-9.918443528,99.76085445,102.2806668,-2.5198123500000094,0.428229629,2022-12-03,147.79002670497016,9.057010476734575,147.79002670497016,18.02823289390789,147.79002670497016,-6.413978537570465,4.520856809175422,-1.8931217283950428,14.1097,29.1247,2.7548187471422043,15.015,26.369881252857795,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.006639635587727177,0.3006774541321726,7.682920545648532,7.343033333333334,6.842230818472791,3.2360777777777763,1.8768749999999983,1,1.0,1,1,1,3,3.0,-3.0
-3.0,-18,-4.199999999999998,-11.81785296956765,-12.680026723120378,88.6,98.9,107.2,103.1,Tue 12-06 12-06,A,248 (Ⅳ),Winthrop,"L, 81-67",71,94.0,44.1,15.4,29.5,19.1,113.6,67.3,26.6,36.4,44.9,-11.0,11.0,159.0,94.2236328125,99.847265625,95.40305847685822,96.68095349885348,106.12890625,105.0578125,107.22091144642587,109.36098022197385,20221206,97.0,110.3,-13.299999999999995,102.8,108.7,-5.900000000000006,95.0671,110.265,-15.1978,72.3085,12.420547600012512,153.93277980490427,71.51053507396868,10.297418132811842,160.25506818260067,4.810107613950796,160.25506818260067,10.297418132811842,160.25506818260067,4.810107613950796,161.62351514541945,0.6048699754559266,103.106,107.591,-4.48497,69.5242,97.0,110.3,-13.299999999999995,102.8,108.7,-5.900000000000006,10.479214825353472,159.9759940023253,0,100.0754399,103.7818709,-3.706430999999995,-10.31713571,102.1657153,111.2024645,-9.036749200000003,-6.794920422,2022-12-06,158.8787568445144,4.349733060346921,158.8787568445144,1.5825470035850344,158.8787568445144,-12.638615692426244,7.768443952926596,-4.870171739499648,-2.802199999999999,26.3225,11.544779164761469,29.1247,14.777720835238533,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.14740707903152717,0.4770309705619341,3.3799470304323513,10.997800000000002,7.682920545648532,2.6322499999999973,3.2360777777777763,1,1.0,1,1,1,3,3.0,3.0
