ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-22.5,-7,,-7.0,-7.0,104.5,0.0,111.5,0.0,Tue 11-08 11-08,H,319 (Ⅳ),South Carolina St.,"W, 80-77",71,112.0,50.0,15.4,37.8,54.2,107.8,52.3,14.0,27.8,25.0,19.0,-25.5,138.0,104.5,0.0,104.5,104.5,111.5,0.0,111.5,111.5,20221108,98.7,92.2,6.5,91.9,105.9,-14.0,102.305,93.6255,8.67992,70.4177,-21.832480937782627,141.23648950411086,72.72034877325746,-18.65742717618548,141.14811874250856,-11.096612579795943,141.14811874250856,-18.65742717618548,141.14811874250856,-11.096612579795943,175.0290419010585,-7.613621841582329,90.6465,107.122,-16.4758,72.5988,98.7,92.2,6.5,91.9,105.9,-14.0,-11.096612579795943,175.0290419010585,0,95.61638773,91.26715022,4.349237509999995,9.30391193,98.01643314,98.87867383,-0.862240689999993,-3.473089228,2022-11-08,136.93491494932866,-11.387012294985382,136.93491494932866,-16.867484897957084,136.93491494932866,0.0,0.0,0.0,-15.67992,-15.67992,0.0,0.0,-15.67992,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.9924207805612802,0.765806756373376,-15.67992,,0.0,-15.67992,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
5.5,9,,-1.5333333333333368,-4.018181818181819,87.3,0.0,77.9,0.0,Fri 11-11 11-11,H,75 (Ⅲ),Clemson,"W, 60-58",70,86.1,42.2,27.2,45.2,20.3,83.2,43.4,18.6,22.5,14.8,-17.0,3.5,135.0,95.9,104.5,98.76666666666668,101.37272727272727,94.7,111.5,100.3,105.39090909090908,20221111,99.8,94.3,5.5,105.0,93.7,11.299999999999995,102.509,93.8288,8.67996,70.4346,-1.3170879655814929,136.6330860657754,70.2872183547653,0.08106646175147603,138.39676974114096,1.3259367065487453,138.39676974114096,0.08106646175147603,138.39676974114096,1.3259367065487453,163.48974516000953,-0.8546021788225175,106.052,93.5716,12.4807,70.1529,99.8,94.3,5.5,105.0,93.7,11.299999999999995,1.3259367065487453,163.48974516000953,0,95.61638773,91.26715022,4.349237509999995,9.30391193,107.0202397,97.79716589,9.223073810000002,9.709685247,2022-11-11,137.457428945647,-1.869933136496769,137.457428945647,1.9433010130725563,137.457428945647,0.0,0.0,0.0,0.32004000000000055,-15.359879999999999,-15.67992,-15.67992,0.32004000000000055,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.36944134018176367,0.5324343710683217,-10.213293333333336,,-15.67992,-7.679939999999998,-15.67992,-1,-1.0,1,-1,-1,-1,-3.0,0.0
-31.0,-30,-9.266666666666673,-11.08888888888889,-8.778512396694216,80.5,90.76666666666668,110.7,100.03333333333336,Thu 11-17 11-17,N,102 (Ⅱ),Colorado St.,"L, 85-53",71,74.4,37.7,22.5,20.5,14.8,119.4,63.3,11.2,16.7,25.0,6.0,1.0,132.0,88.2,95.9,92.67777777777778,97.57768595041324,102.7,94.7,103.76666666666668,106.35619834710742,20221117,99.7,94.1,5.6000000000000085,103.7,96.9,6.799999999999997,102.344,93.6556,8.68829,69.8566,-1.2005377365911158,135.3270234822681,67.91323509786629,0.6764540279518911,135.08976156109208,2.3749565984330196,135.08976156109208,0.6764540279518911,135.08976156109208,2.3749565984330196,130.196241595458,15.214634998632022,105.965,98.7051,7.26012,68.3443,99.7,94.1,5.6000000000000085,103.7,96.9,6.799999999999997,2.3366465803334533,130.4172525149166,0,82.78367654,103.0055064,-20.22182986,-28.2338941,100.3213432,98.40772134,1.9136218600000063,-0.91443325,2022-11-17,128.55829135685082,18.553529674530047,128.55829135685082,3.246001107177648,128.55829135685082,7.239199629629624,-10.213293333333333,-2.9740937037037085,-38.68829,-54.04817,-15.57324,-15.359879999999999,-38.47493,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.46206285593374585,0.07366699604469829,-19.77717888888889,-17.954956666666675,-10.213293333333336,-18.016056666666667,-7.679939999999998,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
-7.5,-7,-9.5,-9.959259259259255,-8.582419233658902,89.9,85.89999999999999,97.6,95.4,Fri 11-18 11-18,N,147 (Ⅲ),Davidson,"L, 69-60",67,89.3,44.6,23.8,33.3,26.8,102.7,52.6,19.3,25.0,15.5,-12.5,1.5,141.5,89.05000000000001,88.2,91.75185185185184,96.18174305033808,100.15,102.7,101.71111111111112,104.76416228399698,20221118,98.4,95.4,3.0,104.3,102.1,2.200000000000003,100.52,94.9551,5.56535,70.4186,-1.8691276618993982,139.189199624804,68.8496575650071,-0.6797337295938206,140.97220730103362,2.564780558645898,140.97220730103362,-0.6797337295938206,140.97220730103362,2.564780558645898,140.6970028657048,8.22010387269519,105.548,102.419,3.12815,68.7337,98.4,95.4,3.0,104.3,102.1,2.200000000000003,2.212754691518846,140.54144069531415,0,82.78367654,103.0055064,-20.22182986,-28.2338941,97.70140918,107.4821093,-9.780700120000006,-6.928049983,2022-11-18,133.6735455737434,14.669000715888721,133.6735455737434,1.69064159131851,133.6735455737434,5.340563888888896,-17.272093518518517,-11.93152962962962,-12.565349999999999,-66.61352,-28.398216666666663,-54.04817,-38.21530333333333,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.4432015031835318,0.2168525985408981,-15.524609259259254,-15.065349999999999,-19.77717888888889,-16.65338,-18.016056666666667,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-12.0,-16,-18.266666666666666,-12.27283950617284,-10.09470664572092,91.8,87.39999999999999,108.7,105.66666666666669,Sun 11-20 11-20,N,128 (Ⅲ),Furman,"L, 79-60",67,89.6,52.0,25.4,17.2,32.7,118.0,61.0,17.9,34.5,15.3,-2.0,7.0,141.0,90.425,89.05000000000001,91.7679012345679,95.38506249573116,104.425,100.15,104.04074074074076,105.47976914145208,20221120,98.4,96.5,1.9000000000000057,108.3,101.2,7.099999999999994,99.4028,95.2797,4.12303,70.3877,4.239572962601358,142.00995727975186,70.43946449630155,3.5525610812230894,147.10638846656252,6.121361547289037,147.10638846656252,3.5525610812230894,147.10638846656252,6.121361547289037,145.97356089630216,12.722807258713303,109.5,98.8729,10.6268,70.3517,98.4,96.5,1.9000000000000057,108.3,101.2,7.099999999999994,6.259492145652954,146.086182287664,0,84.32197179,104.7033658,-20.381394009999994,-28.86024031,101.6357168,105.268927,-3.6332102000000077,-0.238071475,2022-11-20,140.6845407577905,20.161302454601312,140.6845407577905,7.556067445208832,140.6845407577905,5.097060037037055,-16.663443370370377,-11.566383333333322,-20.12303,-86.73655,-41.13665111111111,-66.61352,-45.59989888888889,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.2524925375469229,0.11281439894747902,-16.39586950617284,-22.389696666666666,-15.524609259259254,-17.34731,-16.65338,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
3.5,1,-7.63333333333333,-7.61522633744856,-7.950214528317116,99.3,93.66666666666669,97.6,101.3,Fri 11-25 11-25,H,307 (Ⅳ),USC Upstate,"W, 68-53",59,114.8,50.8,13.5,41.9,18.6,89.5,48.1,21.9,32.3,17.3,-18.5,-11.5,139.5,94.8625,90.425,94.27860082304528,96.09686931468912,101.0125,104.425,101.89382716049384,104.04708384300623,20221125,98.3,97.8,0.5,99.7,111.3,-11.599999999999994,99.9852,97.3365,2.64863,68.498,-14.033591746429735,138.66062860783916,67.10884497012803,-12.169509677551545,142.5418349374096,-8.729403463374538,142.5418349374096,-12.169509677551545,142.5418349374096,-8.729403463374538,135.35358515048995,-3.9812919882242994,98.6141,111.216,-12.6022,68.8743,98.3,97.8,0.5,99.7,111.3,-11.599999999999994,-9.002918487837189,135.35917074726456,0,85.75517085,103.4370676,-17.681896750000007,-26.70338162,94.2244397,114.0288983,-19.80445859999999,-15.13761732,2022-11-25,134.29531787258946,6.275709330110196,134.29531787258946,-5.580210602989489,134.29531787258946,9.387649477954126,-17.56328984832451,-8.175640370370383,-1.6486299999999998,-88.38517999999999,-56.3366174074074,-86.73655,-32.04856259259259,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.8632938299430262,0.647719433251341,-10.263856337448559,-10.28196333333333,-16.39586950617284,-14.730863333333334,-17.34731,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-21.0,-36,-17.3,-17.310150891632375,-13.177448250441277,80.2,90.43333333333334,116.9,107.73333333333332,Wed 11-30 11-30,A,175 (Ⅲ),George Washington,"L, 79-55",65,84.6,38.5,16.9,34.1,13.8,121.5,61.0,18.5,35.5,16.9,-1.0,3.0,135.0,87.53125,94.8625,89.58573388203018,93.20652943929107,108.95625,101.0125,106.89588477366256,106.38397768973238,20221130,97.9,97.7,0.2000000000000028,103.1,103.8,-0.7000000000000028,99.8023,97.0391,2.76316,66.2499,-0.857820655966691,128.8121157990417,63.84746941578947,3.127980490925623,132.58836672125256,6.957147066121263,132.58836672125256,3.127980490925623,132.58836672125256,6.957147066121263,130.06534307783744,8.997131135238654,100.931,105.181,-4.25025,67.7507,97.9,97.7,0.2000000000000028,103.1,103.8,-0.7000000000000028,6.965483245956006,133.53685327361777,0,87.10837281,102.6663952,-15.55802238999999,-24.31303645,100.0461979,108.4920589,-8.445861000000008,-10.21062782,2022-11-30,129.39386493779696,10.48316537676704,129.39386493779696,3.9157505178868135,129.39386493779696,10.740543750734874,-11.461524491475615,-0.7209807407407407,-38.76316,-127.14833999999999,-67.01947160493827,-88.38517999999999,-60.128868395061716,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.38754848109799234,0.1957584688048104,-20.073310891632374,-20.06316,-10.263856337448559,-18.164048571428573,-14.730863333333334,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
8.5,1,-11.166666666666666,-11.040100594421585,-10.508821295815588,101.5,93.66666666666669,100.0,104.83333333333331,Sat 12-03 12-03,A,177 (Ⅳ),Georgetown,"W, 74-71 OT",69,107.9,53.2,23.3,41.7,21.0,103.5,45.4,13.1,38.5,29.2,4.0,5.5,141.0,94.515625,87.53125,93.55715592135346,94.7144331776018,104.478125,108.95625,104.59725651577506,105.2232544734174,20221203,96.6,99.6,-3.0,103.9,104.2,-0.2999999999999971,99.0029,98.7684,0.234494,65.8949,4.444788229049095,134.39185463747913,65.89705587866288,5.772073250579879,137.99706609162462,16.561903997631426,137.99706609162462,5.772073250579879,137.99706609162462,16.561903997631426,128.30426772258923,11.475600295123783,104.251,102.952,1.29854,70.3023,96.6,99.6,-3.0,103.9,104.2,-0.2999999999999971,12.21046765240449,131.3791349884081,0,86.45382199,103.9278359,-17.47401391000001,-22.891663,97.7586613,104.0774443,-6.318782999999996,-9.376764198,2022-12-03,129.67343579111304,10.453342771075576,129.67343579111304,12.473115013152643,129.67343579111304,17.19980072334901,-16.9640383748122,0.23576234853680944,0.765506,-126.38283399999999,-87.06242773662552,-127.14833999999999,-39.320406263374466,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.30020551430745246,0.13721571150475564,-11.274594594421584,-11.401160666666666,-20.073310891632374,-15.79785425,-18.164048571428573,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.0,2,-11.033333333333337,-6.660067062947726,-8.216308332940027,114.3,98.66666666666669,112.2,109.7,Sun 12-11 12-11,H,318 (Ⅳ),Presbyterian,"W, 68-57",56,121.3,56.4,10.7,31.0,18.2,101.7,57.6,19.6,23.8,15.2,-2.0,-10.0,127.0,104.4078125,94.515625,100.47143728090232,98.27544532712874,108.3390625,104.478125,107.13150434385004,106.49175366006878,20221211,96.8,100.6,-3.799999999999997,94.0,104.5,-10.5,99.5982,99.7843,-0.18611,64.7949,-10.251795410163687,119.94915206412239,60.596319516785215,-7.519936926026389,122.04285272657586,-2.9467641920575343,122.04285272657586,-7.519936926026389,122.04285272657586,-2.9467641920575343,113.5807059397046,-0.0436368642356868,93.7713,105.433,-11.6615,65.7447,96.8,100.6,-3.799999999999997,94.0,104.5,-10.5,-4.228453478855988,113.81061955071618,0,88.92815079,103.6080116,-14.679860809999994,-19.8108597,91.13595111,100.4738517,-9.337900590000004,-3.512136475,2022-12-11,114.39718169382581,8.37758973807076,114.39718169382581,0.8818545214973597,114.39718169382581,16.003228589335272,-13.235196160760555,2.768032428574715,2.18611,-124.19672399999999,-100.16922982441702,-126.38283399999999,-24.027494175582973,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.8295480920359348,0.5016579561919989,-6.473957062947726,-10.847223333333337,-11.274594594421584,-13.799636,-15.79785425,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
2.0,-4,-0.2666666666666657,-5.906711375298482,-7.522434090587293,105.2,107.0,109.6,107.26666666666668,Wed 12-14 12-14,A,48 (I),UAB,"L, 84-70",70,100.5,50.8,20.1,33.3,21.3,120.6,50.7,17.2,45.9,25.4,10.0,16.0,144.0,104.80390625,104.4078125,102.04762485393488,99.53445526765076,108.96953125,108.3390625,107.95433622923338,107.05688935823808,20221214,97.5,101.9,-4.400000000000006,111.7,97.1,14.600000000000009,100.067,100.593,-0.526178,64.1139,14.376034749006536,142.20465793623242,67.96602362475107,17.398501749332567,145.55150898216607,22.61584800144924,145.55150898216607,17.398501749332567,145.55150898216607,22.61584800144924,147.429150451029,18.36350349215118,111.928,97.1466,14.7811,74.5238,97.5,101.9,-4.400000000000006,111.7,97.1,14.600000000000009,20.456918970387505,141.33139860409176,0,90.58603753,105.1346308,-14.548593269999998,-19.72924555,104.4340961,98.23690686,6.19718924,10.93491086,2022-12-14,138.82295979801458,22.660576217141617,138.82295979801458,18.74241042434113,138.82295979801458,8.183022536117457,-8.234397524686276,-0.051374988568818836,-3.473822,-127.67054599999999,-108.17839454961134,-124.19672399999999,-19.492151450388647,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.06377814989000363,0.04015371291642478,-5.380533375298482,0.2595113333333343,-6.473957062947726,-12.7670546,-13.799636,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
