ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
14.0,7,,7.5,7.5,92.5,0.0,85.0,0.0,Mon 11-07 11-07,A,122 (Ⅲ),South Florida,"W, 64-61",70,91.8,44.6,21.5,26.8,39.3,87.5,50.0,22.9,22.2,36.5,-16.5,11.0,141.5,92.5,0.0,92.5,92.5,85.0,0.0,85.0,85.0,20221107,93.8,105.3,-11.5,97.9,93.9,4.0,95.3651,105.661,-10.2959,73.6204,9.159497897963817,137.12564649867932,72.48499121365577,15.094228020382396,142.02150565624743,-8.812614968020373,142.02150565624743,15.094228020382396,142.02150565624743,-8.812614968020373,115.71877059206075,3.8232649573523645,93.3464,95.6841,-2.33775,69.2158,93.8,105.3,-11.5,97.9,93.9,4.0,-8.812614968020373,115.71877059206075,0,99.54953963,107.1904207,-7.640881070000006,-6.950524928,88.18621852,95.09432357,-6.908105050000003,-11.83500327,2022-11-07,140.24399967003038,-1.701567581541866,140.24399967003038,13.18864415132468,140.24399967003038,0.0,0.0,0.0,17.2959,17.2959,0.0,0.0,17.2959,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.14740707903152717,0.3578840250492713,17.7959,,0.0,17.2959,0.0,1,0.0,1,1,1,3,0.0,0.0
8.0,-1,,4.633333333333336,5.9363636363636365,94.5,0.0,95.6,0.0,Wed 11-16 11-16,A,348 (Ⅳ),Evansville,"W, 67-61",70,95.5,47.3,20.0,21.2,29.1,86.9,34.7,17.1,36.7,50.0,-20.0,2.0,148.0,93.5,92.5,93.16666666666669,92.86363636363636,90.3,85.0,88.53333333333333,86.92727272727274,20221116,95.0,106.6,-11.599999999999994,93.9,104.7,-10.799999999999995,96.4715,106.746,-10.2746,73.2652,2.066536019365671,144.95103213450795,73.15597961650072,4.651647480483291,149.27938444661578,-3.6090784566412935,149.27938444661578,4.651647480483291,149.27938444661578,-3.6090784566412935,130.67633338637458,-5.429416928951014,92.0085,104.645,-12.6369,70.1952,95.0,106.6,-11.599999999999994,93.9,104.7,-10.799999999999995,-3.6000772465730844,130.63204974786152,0,99.18886019,83.99132242,15.197537769999997,12.35388666,99.81007655,96.91471747,2.8953590800000057,-0.8023184,2022-11-16,134.3470109454812,-7.457873981833217,134.3470109454812,9.822214447229861,134.3470109454812,12.384599999999997,0.0,12.384599999999997,9.2746,26.5705,17.2959,17.2959,9.2746,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.4244679994402739,0.6974523999295466,14.907933333333336,,17.7959,13.28525,17.2959,1,1.0,1,1,1,3,3.0,0.0
-0.5,0,2.3666666666666694,3.322222222222225,4.9842975206611575,104.3,97.1,103.6,94.73333333333332,Sat 11-19 11-19,A,72 (I),Bradley,"L, 73-60",66,91.6,42.9,16.8,26.3,28.6,111.4,55.6,19.8,34.4,40.7,-14.5,12.5,147.5,98.9,93.5,96.8777777777778,94.94297520661156,96.95,90.3,93.55555555555556,89.95867768595042,20221119,95.3,105.7,-10.400000000000006,102.9,96.0,6.900000000000006,96.2304,105.792,-9.56161,72.8667,14.087497528654083,148.42298121486323,72.84762820369843,17.045730889038694,149.52866573018787,3.5038507041241247,149.52866573018787,17.045730889038694,149.52866573018787,3.5038507041241247,131.79744626304816,-8.687958196794511,103.056,99.0479,4.00799,70.2816,95.3,105.7,-10.400000000000006,102.9,96.0,6.900000000000006,3.587158247184361,131.79086137156753,0,99.18886019,83.99132242,15.197537769999997,12.35388666,98.68718589,100.4773904,-1.7902045100000095,8.867852508,2022-11-19,135.63221896997356,-0.28332613733486767,135.63221896997356,-2.593278433880741,135.63221896997356,-19.639219999999995,14.90793333333333,-4.731286666666665,9.56161,36.13211,20.387433333333334,26.5705,15.744676666666663,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.11692964134637251,0.7960017761349045,12.883832222222225,11.928276666666669,14.907933333333336,12.044036666666665,13.28525,1,1.0,1,1,1,3,3.0,3.0
16.0,7,2.2666666666666706,4.614814814814818,5.387152516904584,94.9,97.9,87.7,95.63333333333333,Sat 11-26 11-26,N,304 (Ⅳ),Boston University,"W, 63-52",64,98.7,44.3,18.8,30.6,39.6,81.5,36.0,12.5,17.9,21.1,-29.0,5.0,144.0,96.9,98.9,96.21851851851856,94.93516153268216,92.325,96.95,91.60370370370372,89.54800901577762,20221126,96.2,106.1,-9.899999999999991,102.2,105.7,-3.5,97.4499,107.028,-9.5778,70.2613,4.056835954007283,141.02926981194162,67.83823462702703,4.691183625075951,146.0123606772917,-2.5086377067886048,146.0123606772917,4.691183625075951,146.0123606772917,-2.5086377067886048,132.98755548203792,-5.8023803038485156,100.413,104.115,-3.7019,67.8756,96.2,106.1,-9.899999999999991,102.2,105.7,-3.5,-2.6845572680891268,132.75757130476626,0,98.003326,90.56495921,7.4383667900000034,3.190850576,100.6427298,101.5240069,-0.8812771000000055,2.936302689,2022-11-26,132.47996970284888,-0.17268079282119686,132.47996970284888,-2.7934277503084814,132.47996970284888,-8.79038544444444,12.73985462962963,3.9494691851851895,16.5778,52.709909999999994,25.63565888888889,36.13211,27.074251111111103,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.31696934194067294,0.7097339480696431,14.192614814814817,11.844466666666671,12.883832222222225,13.1774775,12.044036666666665,1,1.0,1,1,1,3,3.0,3.0
2.5,-5,0.7000000000000028,1.1432098765432137,3.353124786558296,88.2,95.8,94.0,95.1,Sun 11-27 11-27,N,150 (Ⅲ),UC Davis,"L, 73-71",79,90.2,46.6,21.6,16.7,35.6,92.8,54.4,26.7,31.6,42.1,-4.0,4.5,148.0,92.55,96.9,93.54567901234572,93.71058670855814,93.1625,92.325,92.40246913580248,90.35746192199989,20221127,96.1,103.9,-7.800000000000011,99.4,102.0,-2.5999999999999943,97.6532,105.384,-7.73059,68.9705,4.939564199753022,145.83208260925815,71.25859388477951,3.8302946012633328,146.7348496216386,-3.5263196096092586,146.7348496216386,3.8302946012633328,146.7348496216386,-3.5263196096092586,139.78000298741563,-2.154945087932745,100.889,101.742,-0.85335,72.6322,96.1,103.9,-7.800000000000011,99.4,102.0,-2.5999999999999943,-3.582181525737927,139.8181148912265,0,98.75151541,90.45093851,8.300576899999996,2.94113419,106.7247702,100.7476423,5.977127899999999,8.586936346,2022-11-27,142.88952409152563,4.02311922988217,142.88952409152563,-3.3917708247298464,142.88952409152563,-14.088524796472674,13.0199765925926,-1.068548203880074,2.7305900000000003,55.44049999999999,34.66040925925926,52.709909999999994,20.780090740740732,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.3341175708976246,0.5813049035226722,8.873799876543213,8.430590000000002,14.192614814814817,11.088099999999999,13.1774775,1,1.0,1,1,1,3,3.0,3.0
-14.0,-22,-6.933333333333327,-6.63786008230452,-1.292897901906847,85.9,89.66666666666667,108.1,96.6,Mon 11-28 11-28,A,240 (Ⅲ),Milwaukee,"L, 84-68",78,86.8,43.5,20.4,21.4,33.9,107.2,56.9,28.1,36.7,64.7,10.5,2.0,141.5,89.22500000000001,92.55,90.99711934156382,92.29048003427484,100.63125,93.1625,97.63497942386832,93.5833779361817,20221128,95.8,103.3,-7.5,95.7,101.6,-5.899999999999992,96.7023,104.437,-7.73461,69.507,2.470558221678502,138.96884231039854,70.77661505974396,5.082736290256989,142.1295153213374,2.5215005003144566,142.1295153213374,5.082736290256989,142.1295153213374,2.5215005003144566,125.14213187657452,-2.5356177397638007,93.5161,103.082,-9.56613,71.5841,95.8,103.3,-7.5,95.7,101.6,-5.899999999999992,2.4071467101253847,125.18202181656739,0,97.62297105,88.43595912,9.187011929999997,3.824272444,90.60918023,90.49964815,0.10953208000000814,2.552909536,2022-11-28,121.86098713201076,1.1451073398483231,121.86098713201076,3.9156936845177768,121.86098713201076,6.396310948853621,10.018912296296296,16.415223245149917,-14.26539,41.17510999999999,41.587106172839505,55.44049999999999,-0.4119961728395154,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-3,0.4244679994402739,0.5954113110125957,1.0967499176954796,0.8012766666666726,8.873799876543213,6.862518333333332,11.088099999999999,1,1.0,-1,1,1,1,3.0,3.0
14.5,2,-8.533333333333326,-3.6252400548696793,-0.6214619197419646,111.0,95.03333333333336,108.6,103.56666666666666,Sun 12-04 12-04,A,58 (I),Missouri,"L, 96-89",79,112.6,64.3,22.8,27.6,23.8,121.5,64.8,17.7,26.7,37.7,30.0,21.5,155.0,100.1125,89.22500000000001,97.66474622770922,95.69221093713396,104.615625,100.63125,101.2899862825789,96.31367285687594,20221204,95.3,103.6,-8.299999999999997,113.9,99.9,14.0,96.6476,104.843,-8.19517,69.5938,22.08764695540377,155.48491706767197,73.01528067652917,21.47445701980152,159.64831736351775,18.966263287552493,159.64831736351775,21.47445701980152,159.64831736351775,18.966263287552493,145.48302454995843,4.043627991477223,113.366,97.7067,15.6592,73.7562,95.3,103.6,-8.299999999999997,113.9,99.9,14.0,15.106337497035444,145.2644271937828,0,98.68486157,92.22710517,6.457756399999994,4.745459779,107.7547752,100.8576287,6.897146499999991,7.223553615,2022-12-04,148.49670315713055,3.976163950859771,148.49670315713055,18.338874882158635,148.49670315713055,-0.8790922303329456,2.2220720752498746,1.342979844916929,10.19517,51.37027999999999,41.44977411522633,41.17510999999999,9.920505884773654,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.02029867074389724,0.35007891254130663,4.56992994513032,-0.33816333333332693,1.0967499176954796,7.338611428571428,6.862518333333332,1,1.0,1,1,1,3,1.0,3.0
-19.5,-28,-16.199999999999992,-12.016826703246451,-5.74483247978888,85.4,94.1,114.2,110.3,Wed 12-07 12-07,H,244 (Ⅳ),Fort Wayne,"L, 89-68",80,85.3,43.5,18.8,15.2,25.8,111.7,60.5,17.6,12.1,47.4,11.5,1.5,145.5,92.75625,100.1125,93.57649748513948,93.82089985765504,109.4078125,104.615625,105.59332418838594,99.56573233744396,20221207,97.0,104.0,-7.0,95.8,98.6,-2.799999999999997,98.187,105.143,-6.95624,70.264,-1.394236034530266,140.88650116060177,70.36414868847794,-1.063421737929957,140.5524566398953,-5.8006165702291055,140.5524566398953,-1.063421737929957,140.5524566398953,-5.8006165702291055,126.92654275746749,-15.569217996287598,97.4542,100.647,-3.19253,70.4002,97.0,104.0,-7.0,95.8,98.6,-2.799999999999997,-6.921237544120965,125.66395991073418,0,101.2331261,94.02891972,7.204206380000002,3.581586003,86.78304691,96.99051425,-10.207467340000008,-10.76366139,2022-12-07,129.81431260293866,-11.993356881758729,129.81431260293866,-4.826408223140149,129.81431260293866,-9.544944162061531,2.368872715396175,-7.176071446665357,-21.04376,30.326519999999988,44.75660941015089,51.37027999999999,-14.430089410150899,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.4432015031835318,0.9309339185796087,-5.060586703246451,-9.243759999999991,4.56992994513032,3.7908150000000003,7.338611428571428,-1,1.0,-1,1,1,-1,3.0,1.0
-5.0,-11,-12.599999999999994,-11.8112178021643,-6.773044756190901,88.9,95.1,100.3,107.7,Wed 12-14 12-14,A,309 (Ⅳ),Arkansas St.,"L, 68-61",69,88.4,46.8,23.2,16.7,55.3,98.6,42.5,14.5,29.7,66.0,-7.5,2.0,136.5,90.828125,92.75625,92.017664990093,92.92619079262684,104.85390625,109.4078125,103.8288827922573,99.69923554881775,20221214,96.5,104.9,-8.400000000000006,95.6,103.7,-8.100000000000009,97.5643,105.992,-8.42778,71.3068,1.8191526066661794,130.62602200447924,63.957330856899,3.8221644007824764,131.52099079736112,3.112959339865434,131.52099079736112,3.8221644007824764,131.52099079736112,3.112959339865434,125.25184938285773,-3.086634259197986,95.4845,106.694,-11.2095,63.0543,96.5,104.9,-8.400000000000006,95.6,103.7,-8.100000000000009,-0.2091893384242052,121.58759069300177,0,99.21124145,98.03525284,1.1759886100000045,-4.372826705,94.80360439,103.9520762,-9.14847180999999,-7.698007535,2022-12-14,128.51912288186801,-0.4439742085290064,128.51912288186801,1.6535387302928584,128.51912288186801,2.524045039954702,-3.884738709038249,-1.3606936690835472,-2.5722199999999997,27.754299999999986,39.94657960676726,30.326519999999988,-12.192279606767272,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.4244679994402739,0.6156077398768218,-3.3834378021643,-4.172219999999994,-5.060586703246451,3.0838111111111113,3.7908150000000003,-1,-1.0,-1,1,1,-1,-1.0,3.0
-8.5,-16,-18.86666666666666,-13.34081186810953,-8.52340025506528,98.9,91.06666666666668,115.3,109.93333333333334,Sat 12-17 12-17,A,53 (I),Iowa,"L, 106-75",79,95.3,47.9,12.7,16.7,11.3,134.6,63.6,12.7,34.3,50.0,26.5,22.5,154.5,94.8640625,90.828125,94.311776660062,94.01233792124016,110.076953125,104.85390625,107.65258852817156,102.53573817630544,20221217,96.3,104.2,-7.900000000000006,116.8,97.0,19.8,96.7629,105.613,-8.85022,71.7447,25.072833217328153,155.24227964809313,71.98636635789474,25.26830275605215,158.97940958767407,24.808343289447716,158.97940958767407,25.26830275605215,158.97940958767407,24.808343289447716,150.03698353295644,11.093926427151914,115.911,96.59,19.3215,70.5368,96.3,104.2,-7.900000000000006,116.8,97.0,19.8,22.189010555741355,148.41902053162477,0,98.2739556,97.95356641,0.3203891900000002,-4.31229002,109.031426,99.16312169,9.86830431,12.84973519,2022-12-17,150.58874923469295,14.455977751933446,150.58874923469295,24.19314361869148,150.58874923469295,3.717036108067436,-5.359477462674295,-1.6424413546068592,-7.14978,20.604519999999987,35.8824864045115,27.754299999999986,-15.277966404511517,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-3,0.016062285603828275,0.14535521258031459,-4.490591868109529,-10.01644666666666,-3.3834378021643,2.060451999999999,3.0838111111111113,-1,-1.0,-1,1,1,-1,-1.0,-1.0
