ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
4.5,10,,10.600000000000009,10.600000000000009,109.7,0.0,99.1,0.0,Mon 11-07 11-07,H,350 (Ⅳ),Merrimack,"W, 97-72",86,113.1,64.6,33.8,50.0,23.1,83.9,43.1,24.5,25.6,33.8,29.5,-20.5,139.5,109.7,0.0,109.7,109.7,99.1,0.0,99.1,99.1,20221107,104.6,90.6,14.0,92.9,98.0,-5.1,107.222,90.3444,16.8772,78.4393,-24.839343203693808,150.20005289602688,78.71980697041252,-18.931891770911577,150.37620151576675,-26.614702285135653,150.37620151576675,-18.931891770911577,150.37620151576675,-26.614702285135653,162.4516605972977,-16.47305522828775,91.1084,101.351,-10.2423,70.5514,104.6,90.6,14.0,92.9,98.0,-5.1,-26.614702285135653,162.4516605972977,0,102.5776837,99.61620515,2.9614785499999954,-0.401891184,93.37940325,105.1905156,-11.811112350000002,-8.659741362,2022-11-07,161.74406859997788,-8.60485212011892,161.74406859997788,-17.337722606005485,161.74406859997788,0.0,0.0,0.0,-6.877199999999998,-6.877199999999998,0.0,0.0,-6.877199999999998,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.9745535036187463,0.9416599979543786,-6.27719999999999,,0.0,-6.877199999999998,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-9.0,6,,9.066666666666674,9.763636363636367,117.0,0.0,111.0,0.0,Sat 11-12 11-12,H,272 (Ⅳ),Lafayette,"W, 83-68",67,124.1,61.1,15.0,21.4,37.0,101.7,54.2,17.9,24.3,15.3,1.5,-24.0,149.5,113.35,109.7,112.13333333333334,111.02727272727272,105.05,99.1,103.06666666666668,101.26363636363637,20221112,105.6,91.6,14.0,94.7,106.6,-11.899999999999991,108.067,91.19,16.8774,78.4184,-26.464138309255176,154.0004470987305,77.19215039658607,-24.750719398970134,157.65695351484794,-9.132314626145233,157.65695351484794,-24.750719398970134,157.65695351484794,-9.132314626145233,150.62124065880178,-14.262144671234466,93.6474,105.727,-12.0792,69.2007,105.6,91.6,14.0,94.7,106.6,-11.899999999999991,-9.132314626145233,150.62124065880178,0,102.5776837,99.61620515,2.9614785499999954,-0.401891184,94.09782973,103.5650522,-9.467222469999996,-13.08538462,2022-11-12,157.88035157714918,-11.806285884640289,157.88035157714918,-22.1768416560368,157.88035157714918,0.0,0.0,0.0,-10.877400000000002,-17.7546,-6.877199999999998,-6.877199999999998,-10.877400000000002,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9888645105203836,0.9128156643708462,-7.810733333333328,,-6.27719999999999,-8.877299999999998,-6.877199999999998,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-11.0,-3,4.5,5.011111111111114,7.424793388429754,117.6,114.76666666666668,120.7,110.26666666666668,Tue 11-15 11-15,H,337 (Ⅳ),Central Connecticut,"W, 91-74",69,131.9,60.9,10.1,38.2,17.4,107.3,59.6,17.4,14.3,15.8,12.5,-28.0,152.5,115.475,113.35,113.95555555555558,112.22231404958676,112.875,105.05,108.94444444444446,104.797520661157,20221115,106.5,93.2,13.299999999999995,94.8,108.4,-13.600000000000009,108.787,92.4848,16.3026,76.5444,-27.718550769917016,152.3809254644787,76.0120734401138,-25.463838540645582,158.817159136099,-19.914681452988983,158.817159136099,-25.463838540645582,158.817159136099,-19.914681452988983,174.88295525233352,-10.94400164942354,91.6568,106.442,-14.7853,69.8111,106.5,93.2,13.299999999999995,94.8,108.4,-13.600000000000009,-19.871080350677126,174.80885252938333,0,102.5776837,99.61620515,2.9614785499999954,-0.401891184,93.34154937,99.07725407,-5.735704699999999,-3.60106553,2022-11-15,151.28500706995737,-4.517498584120872,151.28500706995737,-18.634967900431405,151.28500706995737,10.254933333333332,-7.810733333333324,2.4442000000000075,-19.3026,-37.0572,-10.503,-17.7546,-26.5542,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.9961696194324102,0.8513604196045328,-11.291488888888889,-11.802600000000002,-7.810733333333328,-12.352400000000003,-8.877299999999998,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
11.0,19,7.533333333333327,9.907407407407405,9.656649135987978,94.6,109.73333333333332,74.9,102.2,Thu 11-17 11-17,H,87 (Ⅱ),Nebraska,"W, 70-50",71,98.4,42.6,18.3,42.9,18.9,70.3,33.6,23.9,36.7,21.9,-39.0,-9.0,159.0,105.0375,115.475,107.50370370370372,109.0182569496619,93.8875,112.875,97.59629629629632,99.3616078136739,20221117,107.3,95.0,12.299999999999995,104.3,96.7,7.599999999999994,109.702,93.9983,15.7036,75.4725,-12.239879575024503,158.09332781693723,77.62974667852062,-8.20436049742068,160.85583781657274,1.1136975790528878,160.85583781657274,-8.20436049742068,160.85583781657274,1.1136975790528878,172.01408777443714,-14.070425223137747,103.312,97.75,5.56166,72.3094,107.3,95.0,12.299999999999995,104.3,96.7,7.599999999999994,1.1591184585087584,171.86731068714437,0,107.3624421,101.6422453,5.7201967999999965,5.853979873,86.43838428,93.4628273,-7.024443020000007,-5.999946983,2022-11-17,149.42532712867927,-11.374219902200338,149.42532712867927,1.6644421474793347,149.42532712867927,15.937791851851838,-10.966951851851846,4.970839999999993,3.2964,-33.7608,-19.3544,-37.0572,-14.406400000000005,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,3,0.804317030846224,0.9098839104207992,-5.796192592592595,-8.170266666666674,-11.291488888888889,-8.4402,-12.352400000000003,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
2.0,11,9.199999999999994,10.271604938271604,9.900894747626529,101.4,104.53333333333336,90.4,95.33333333333331,Mon 11-21 11-21,N,81 (Ⅲ),Temple,"W, 78-72",77,101.1,48.6,18.2,34.2,20.3,93.4,51.8,27.2,22.6,28.6,0.0,-4.0,150.0,103.21875,105.0375,105.46913580246915,107.63311932245064,92.14375,93.8875,95.19753086419756,97.73222457482407,20221121,107.1,94.5,12.599999999999994,107.2,96.5,10.700000000000005,109.802,93.4002,16.4019,75.077,-6.506995938618942,151.6716498606852,73.38814128307254,-1.535892729125294,153.51838555579954,2.0430173703130916,153.51838555579954,-1.535892729125294,153.51838555579954,2.0430173703130916,165.29306243780098,-0.8679172580577301,106.42,98.6388,7.78123,68.7186,107.1,94.5,12.599999999999994,107.2,96.5,10.700000000000005,2.3089412426648006,165.04828829753677,0,104.0167825,99.51847465,4.498307850000003,5.068894885,102.4447655,99.12678204,3.3179834600000078,-2.24172075,2022-11-21,153.8217813858645,-5.365124930876192,153.8217813858645,2.072535471420096,153.8217813858645,11.947489074074074,-8.099563703703712,3.847925370370363,-5.401900000000001,-39.1627,-24.156533333333336,-33.7608,-15.006166666666665,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,-3,0.6483807083005341,0.532938571849225,-6.130295061728397,-7.201900000000007,-5.796192592592595,-7.83254,-8.4402,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
3.5,8,12.999999999999996,9.61440329218107,9.609822975330792,98.8,98.26666666666664,90.5,85.26666666666667,Tue 11-22 11-22,N,104 (Ⅲ),Syracuse,"W, 76-69 OT",77,99.0,45.5,20.8,39.5,31.3,89.9,41.0,18.2,28.6,26.9,-9.0,-3.5,154.0,101.009375,103.21875,103.24609053497944,106.0270976274596,91.321875,92.14375,93.63168724279836,96.4172746521288,20221122,107.1,94.6,12.5,108.9,99.9,9.0,109.437,93.1141,16.3232,75.6056,-2.919979543121059,151.34794763532608,72.83206825263159,-2.958658937331691,156.3746743034044,-1.8682219629987928,156.3746743034044,-2.958658937331691,156.3746743034044,-1.8682219629987928,159.07383772659412,-5.433739617055508,109.98,97.2579,12.7223,67.7211,107.1,94.6,12.5,108.9,99.9,9.0,-2.411359480931314,158.80861709041346,0,102.4964065,97.5036901,4.992716400000006,5.86694535,97.9097453,100.2602619,-2.350516600000006,-3.795475631,2022-11-22,147.60069265479865,-7.037341043738522,147.60069265479865,-0.8275880940706344,147.60069265479865,2.742873703703699,-7.195511851851851,-4.452638148148152,-8.3232,-47.4859,-29.158588888888893,-39.1627,-18.327311111111108,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,3,0.6305586598182363,0.6975960704789844,-6.70879670781893,-3.3232000000000035,-6.130295061728397,-7.914316666666668,-7.83254,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-7.5,7,8.966666666666663,8.942935528120712,9.24440061617974,102.3,100.83333333333331,94.7,91.86666666666667,Sat 11-26 11-26,H,256 (Ⅲ),Niagara,"W, 78-70",76,102.2,41.7,9.2,30.0,57.6,91.7,48.3,22.3,21.1,26.7,12.5,-15.5,135.5,101.6546875,101.009375,102.93072702331962,105.34944351337604,93.0109375,91.321875,93.98779149519892,96.10504289719628,20221126,106.7,94.5,12.200000000000005,96.3,103.1,-6.799999999999997,109.324,92.8102,16.5134,74.6935,-18.996599307150788,135.3505299848655,66.34397794594595,-16.753617268320873,137.08422569742328,-13.139606768460892,137.08422569742328,-16.753617268320873,137.08422569742328,-13.139606768460892,133.92850808883622,-6.87655349070296,97.6711,104.002,-6.33131,62.4416,106.7,94.5,12.200000000000005,96.3,103.1,-6.799999999999997,-13.353016238833902,134.60230711647236,0,102.3224067,96.99172492,5.330681780000006,6.151849254,100.4102476,99.60678714,0.8034604600000108,3.115848848,2022-11-26,135.65131017814053,-3.957914656470379,135.65131017814053,-12.429147245683424,135.65131017814053,8.166080554967674,-5.7038722957084165,2.462208259259259,-9.5134,-56.999300000000005,-35.267692592592596,-47.4859,-21.73160740740741,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.9300536172447476,0.7437371030059028,-7.570464471879289,-7.5467333333333375,-6.70879670781893,-8.142757142857144,-7.914316666666668,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-6.5,11,9.233333333333327,9.895290352080474,9.709055049601604,110.3,103.8,98.5,94.56666666666668,Tue 11-29 11-29,H,355 (Ⅳ),LIU Brooklyn,"W, 95-68",79,120.1,64.1,17.7,34.5,14.1,85.9,52.6,21.5,12.5,35.1,7.5,-33.5,155.5,105.97734375,101.6546875,105.38715134887975,106.2495446927622,95.75546875,93.0109375,95.49186099679928,96.54048964316058,20221129,106.1,94.7,11.399999999999991,88.4,108.3,-19.89999999999999,108.382,93.0211,15.3613,75.1822,-30.01144270091021,154.1157610423862,77.05908137980086,-28.9167474137528,156.96444433047247,-31.242264140360277,156.96444433047247,-28.9167474137528,156.96444433047247,-31.242264140360277,143.7499954085477,-24.89036535094442,89.4878,107.745,-18.2574,72.055,106.1,94.7,11.399999999999991,88.4,108.3,-19.89999999999999,-31.9341662778554,148.2810171363123,0,101.4373896,97.15179202,4.285597580000001,3.303398933,81.27184498,103.9357372,-22.663892220000008,-16.73649282,2022-11-29,145.6607535637869,-17.455290910499762,145.6607535637869,-30.162511573155953,145.6607535637869,-3.7621620190737435,-6.6261379809262575,-10.388300000000001,-4.3613,-61.360600000000005,-42.511561728395066,-56.999300000000005,-18.84903827160494,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.9992898072794584,0.991118241986005,-5.466009647919526,-6.127966666666673,-7.570464471879289,-7.670075000000001,-8.142757142857144,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-5.0,-4,4.933333333333333,5.063526901386985,7.107408676946768,93.0,101.86666666666667,97.6,96.93333333333334,Sun 12-04 12-04,A,29 (I-A),Iowa St.,"L, 71-60",73,82.7,38.7,27.6,29.7,47.2,97.8,47.3,16.5,27.8,50.0,-12.0,6.0,143.0,99.488671875,105.97734375,101.25810089925318,103.84053656680544,96.677734375,95.75546875,96.1945739978662,96.73312788985864,20221204,106.2,95.2,11.0,103.9,89.2,14.700000000000005,108.613,93.483,15.1305,75.0752,3.7132523451796544,138.69160626777634,70.90206544751065,6.967572723793154,140.58003508970333,4.120798776637517,140.58003508970333,6.967572723793154,140.58003508970333,4.120798776637517,126.21705069384674,10.56657312137984,105.001,90.5953,14.4061,66.3923,106.2,95.2,11.0,103.9,89.2,14.700000000000005,10.676347361136663,132.79876260279795,0,101.5146757,99.27587281,2.2388028900000023,-0.444070384,97.85814968,86.45274893,11.405400749999998,15.68789907,2022-12-04,134.3507791107361,13.57447202426097,134.3507791107361,2.4240839609960574,134.3507791107361,1.6390446752454988,-5.617094231062337,-3.9780495558168383,-19.130499999999998,-80.4911,-48.79457448559671,-61.360600000000005,-31.69652551440329,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.2838545830986763,0.15712595110907612,-10.066973098613015,-10.197166666666668,-5.466009647919526,-8.943455555555555,-7.670075000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
9.5,25,10.9,11.875684600924655,10.451516190229174,115.4,106.23333333333332,89.9,95.33333333333331,Wed 12-07 12-07,H,127 (Ⅲ),DePaul,"W, 86-67",73,118.4,54.6,16.5,41.2,29.2,92.3,44.2,19.3,32.6,15.9,-5.0,-9.5,158.0,107.4443359375,99.488671875,105.9720672661688,105.94225719102263,93.2888671875,96.677734375,94.09638266524416,95.49074100079343,20221207,105.7,96.0,9.700000000000005,106.7,101.4,5.299999999999997,108.255,93.7664,14.489,75.1274,-9.785074166096436,152.0684828400581,73.09735719715503,-7.934062665111497,156.7598092848083,-9.449626240352567,156.7598092848083,-7.934062665111497,156.7598092848083,-9.449626240352567,149.09573582580384,-6.2763907865292765,107.297,99.9615,7.33585,68.4004,105.7,96.0,9.700000000000005,106.7,101.4,5.299999999999997,-6.9573883393940195,154.5241728030935,0,101.0110648,99.18988009,1.8211847099999972,0.130484736,100.4295402,101.334987,-0.9054467999999929,-5.367782101,2022-12-07,151.01062149601802,-6.012217187541751,151.01062149601802,-6.3396517719039025,151.01062149601802,2.895793766656036,-8.215328675968639,-5.319534909312603,10.511,-69.98010000000001,-59.360082990397814,-80.4911,-10.620017009602194,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.817204231217584,0.7249971228854776,-2.6133153990753453,-3.5890000000000004,-10.066973098613015,-6.998009999999999,-8.943455555555555,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
