ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
16.0,2,,2.799999999999997,2.799999999999997,100.6,0.0,97.8,0.0,Mon 11-07 11-07,A,34 (I),Creighton,"L, 72-60",67,89.9,49.1,21.0,18.2,6.9,107.8,45.5,7.5,29.3,21.2,-17.5,28.0,149.5,100.6,0.0,100.6,100.6,97.8,0.0,97.8,97.8,20221107,101.3,108.8,-7.5,105.1,88.9,16.2,100.501,108.607,-8.1067,69.4937,23.10363758247209,145.23677577342605,70.22798051721195,21.57581832904296,147.42037708537586,9.527388056998731,147.42037708537586,21.57581832904296,147.42037708537586,9.527388056998731,127.21454623187488,3.865172278892203,107.865,89.4407,18.4245,71.0428,101.3,108.8,-7.5,105.1,88.9,16.2,9.527388056998731,127.21454623187488,0,114.040082,102.9018767,11.138205299999996,12.62997805,103.7343387,94.14349468,9.590844019999992,8.315878377,2022-11-07,153.8927414166456,-0.8573836957755674,153.8927414166456,18.695952517331136,153.8927414166456,0.0,0.0,0.0,10.1067,10.1067,0.0,0.0,10.1067,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.003830380567589775,0.35639499385890283,10.906699999999997,,0.0,10.1067,0.0,1,0.0,1,1,1,3,0.0,0.0
13.5,18,,7.9,5.58181818181818,113.2,0.0,95.1,0.0,Fri 11-11 11-11,H,302 (Ⅳ),Chicago St.,"W, 83-61",66,126.7,69.4,19.8,32.0,49.0,93.1,41.0,15.3,31.0,26.2,0.0,-8.5,144.0,106.9,100.6,104.8,102.89090909090908,96.45,97.8,96.9,97.30909090909093,20221111,101.8,109.3,-7.5,96.3,111.2,-14.900000000000006,100.706,108.813,-8.1068,69.5107,-15.153700641361496,145.5225106159585,69.84332303669986,-10.053824222420147,156.35594606725596,-23.800538627987745,156.35594606725596,-10.053824222420147,156.35594606725596,-23.800538627987745,148.28995061969633,-16.274148176435034,88.6646,111.643,-22.9784,70.6364,101.8,109.3,-7.5,96.3,111.2,-14.900000000000006,-23.800538627987745,148.28995061969633,0,114.040082,102.9018767,11.138205299999996,12.62997805,95.15942552,100.6040017,-5.4445761799999985,-4.251592067,2022-11-11,152.38077870182414,-13.82818700013405,152.38077870182414,-6.904990288700304,152.38077870182414,0.0,0.0,0.0,26.1068,36.213499999999996,10.1067,10.1067,26.106799999999996,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,3,0.790893043407255,0.9394195055291588,16.0068,,10.906699999999997,18.106749999999998,10.1067,1,1.0,1,1,1,3,3.0,0.0
28.5,26,15.933333333333332,14.23333333333333,9.457851239669418,116.1,109.96666666666664,89.2,94.03333333333336,Sun 11-13 11-13,H,335 (Ⅳ),St. Francis NY,"W, 84-48",65,128.5,63.6,9.2,24.1,25.4,73.4,32.2,18.4,29.3,23.7,-13.0,-7.5,145.0,111.5,106.9,108.56666666666668,105.29256198347106,92.825,96.45,94.33333333333334,95.83471074380164,20221113,103.1,109.0,-5.900000000000006,92.4,108.1,-15.699999999999989,101.976,109.273,-7.29722,68.5319,-11.217031992057684,143.87657323647497,67.51561969061166,-11.53605336818741,146.99217337161656,-30.980859765189326,146.99217337161656,-11.53605336818741,146.99217337161656,-30.980859765189326,149.02201465897494,-17.507334873947727,92.9402,110.091,-17.1513,69.2575,103.1,109.0,-5.900000000000006,92.4,108.1,-15.699999999999989,-31.030967356737463,149.0589036533392,0,114.040082,102.9018767,11.138205299999996,12.62997805,93.82018965,101.631973,-7.811783349999999,-16.96064525,2022-11-13,147.35070053501198,-21.82779576749119,147.35070053501198,-17.750396541619338,147.35070053501198,-16.006799999999995,16.006799999999995,0.0,33.29722,69.51071999999999,18.808966666666667,36.213499999999996,50.70175333333333,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.7624747379730235,0.9522790979771537,21.53055333333333,23.230553333333333,16.0068,23.17024,18.106749999999998,1,1.0,1,1,1,3,3.0,3.0
-13.0,-27,5.833333333333333,0.3222222222222228,2.7382419233658872,85.7,105.0,113.2,99.16666666666669,Thu 11-17 11-17,A,185 (Ⅲ),Montana,"L, 78-59",67,87.9,39.0,17.9,18.9,54.0,116.3,50.0,13.4,33.3,45.6,-1.0,6.0,138.0,98.6,111.5,100.94444444444449,101.73027798647632,103.0125,92.825,100.62222222222223,98.99203606311043,20221117,104.1,107.3,-3.200000000000003,100.7,104.3,-3.5999999999999943,102.975,108.03,-5.0547,67.9965,4.304635128637301,139.03240058856923,65.37926345163585,3.714417166369401,145.2543746975,-21.152259515279216,145.2543746975,3.714417166369401,145.2543746975,-21.152259515279216,144.65782275568134,-1.7511523391435304,99.1823,103.435,-4.25243,67.5941,104.1,107.3,-3.200000000000003,100.7,104.3,-3.5999999999999943,-21.220553993130263,144.74955399546934,0,97.20475864,95.27666019,1.9280984499999931,5.747343681,99.01464557,105.4048156,-6.390170030000007,2.977269546,2022-11-17,131.81364271570925,0.09942254025396835,131.81364271570925,-23.984767808450698,131.81364271570925,-42.994784444444434,21.45994444444444,-21.534839999999992,-21.9453,47.56541999999999,35.70955111111111,69.51071999999999,11.855868888888878,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.2838545830986763,0.566227010881211,5.376922222222223,10.888033333333333,21.53055333333333,11.891355,23.17024,1,1.0,1,1,1,3,3.0,3.0
6.5,2,0.5333333333333314,0.9481481481481496,2.6403797554811805,113.0,104.93333333333334,110.8,104.40000000000002,Fri 11-18 11-18,N,135 (Ⅱ),Troy,"W, 78-76",68,114.9,65.3,19.2,4.2,30.6,112.0,54.3,19.2,33.3,27.6,14.0,4.5,140.0,105.8,98.6,104.962962962963,103.77931835257152,106.90625,103.0125,104.01481481481484,101.13893859709034,20221118,102.9,107.6,-4.699999999999989,99.6,100.2,-0.6000000000000085,101.987,108.295,-6.30767,68.3943,4.080602828320451,140.97910185567247,68.94972398108109,2.868910331485722,148.44757801006386,2.885519253744961,148.44757801006386,2.868910331485722,148.44757801006386,2.885519253744961,144.0026566085633,1.7000589468787268,97.6207,97.8267,-0.206046,70.8709,102.9,107.6,-4.699999999999989,99.6,100.2,-0.6000000000000085,3.115348319008734,143.87226400862943,0,97.20475864,95.27666019,1.9280984499999931,5.747343681,107.488998,102.8795319,4.609466099999992,2.333127508,2022-11-18,142.89890580924126,-2.354092627400931,142.89890580924126,2.4025148267185585,142.89890580924126,-0.6785835555555639,11.795406888888897,11.116823333333333,8.30767,55.87308999999999,39.661507407407406,47.56541999999999,16.211582592592585,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.3341175708976246,0.4356882159263239,7.255818148148149,6.841003333333331,5.376922222222223,11.174617999999999,11.891355,1,1.0,1,1,1,3,3.0,3.0
6.5,0,-8.433333333333332,0.6320987654320998,2.160310709030057,127.6,108.76666666666664,127.6,117.2,Sat 11-19 11-19,N,351 (Ⅳ),Merrimack,"W, 72-61",58,125.1,69.0,31.3,50.0,6.0,106.0,50.0,10.4,15.6,23.5,-0.5,-4.5,133.5,116.7,105.8,112.50864197530866,108.1103513793767,117.253125,106.90625,111.87654320987656,105.95004067034664,20221119,104.1,108.2,-4.1000000000000085,92.8,99.8,-7.0,103.158,108.708,-5.55053,68.4348,-4.85747163999082,137.68008369036696,67.59586528250355,-2.411410170017234,141.47793742713304,-13.987904807151976,141.47793742713304,-2.411410170017234,141.47793742713304,-13.987904807151976,129.21419462209926,-6.013678761995358,90.8294,102.717,-11.8873,69.4382,104.1,108.2,-4.1000000000000085,92.8,99.8,-7.0,-14.206341525134016,129.2375123976237,0,97.20475864,95.27666019,1.9280984499999931,5.747343681,88.82128385,95.99325666,-7.17197281,-7.948122572,2022-11-19,123.21997547418385,-9.257568918188618,123.21997547418385,-10.545706049240366,123.21997547418385,-10.041120920634917,4.611917216931209,-5.429203703703708,5.55053,61.42361999999999,45.06536827160494,55.87308999999999,16.358251728395054,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6658824291023754,0.7165866830134227,6.1826287654321,-2.8828033333333316,7.255818148148149,10.237269999999999,11.174617999999999,1,1.0,1,1,1,3,3.0,3.0
1.0,3,1.9666666666666688,1.6547325102880674,2.440254216479138,107.4,116.0,103.7,114.03333333333336,Wed 11-23 11-23,A,234 (Ⅲ),Milwaukee,"W, 76-72",71,106.8,60.4,21.1,13.8,32.1,101.2,54.9,25.3,39.4,14.8,4.5,-3.0,143.5,112.05,116.7,110.80576131687243,107.9811965831264,110.4765625,117.253125,109.15102880658438,105.54094236664724,20221123,106.5,108.8,-2.299999999999997,94.8,104.4,-9.600000000000009,105.428,109.827,-4.3995,65.9347,-2.406389886898779,140.42519981661496,66.69262078335704,-1.3970789598164828,146.37009116497097,-7.512703513890187,146.37009116497097,-1.3970789598164828,146.37009116497097,-7.512703513890187,129.09338281917,-1.816735324125041,92.0898,104.996,-12.906,71.1081,106.5,108.8,-2.299999999999997,94.8,104.4,-9.600000000000009,-7.171274042922704,127.19519132186326,0,101.8267417,97.5324348,4.294306899999995,8.465993527,91.04186019,94.91029705,-3.8684368600000028,-4.996790768,2022-11-23,126.62407289264192,-7.07889846344797,126.62407289264192,-5.160811616108667,126.62407289264192,-2.3562825573192407,3.788582557319237,1.4322999999999961,7.3995,68.82311999999999,50.51811884773663,61.42361999999999,18.305001152263358,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.6124515189020077,0.5686830943929762,6.054232510288067,6.366166666666668,6.1826287654321,9.831874285714285,10.237269999999999,1,1.0,1,1,1,3,3.0,3.0
-13.0,-15,-4.099999999999994,-4.230178326474617,-0.9125192774261572,116.2,117.06666666666666,132.2,121.16666666666669,Sat 11-26 11-26,A,47 (I-A),Utah,"L, 95-66",67,99.2,48.2,19.5,29.7,30.4,142.7,67.2,10.5,32.3,31.1,20.5,16.0,140.5,114.125,112.05,112.60384087791498,109.4755244771034,121.33828125,110.4765625,116.8340192043896,110.38804375452956,20221126,106.7,108.5,-1.7999999999999972,102.7,95.4,7.299999999999997,105.788,109.88,-4.0914,65.6468,13.382049212234364,134.16703763530515,62.01400133655762,9.942734554901762,136.01092888600928,10.21264371719377,136.01092888600928,9.942734554901762,136.01092888600928,10.21264371719377,129.21635425725543,7.056802890675904,105.825,95.1632,10.6622,66.4097,106.7,108.5,-1.7999999999999972,102.7,95.4,7.299999999999997,9.730082121942184,125.82425125403616,0,101.9964742,97.31235449,4.68411970999999,8.853219105,103.2420315,93.00175426,10.240277239999998,10.36265694,2022-11-26,124.53818261985768,2.839286307378316,124.53818261985768,8.373559284303894,124.53818261985768,-4.052086818538129,3.9062956515774996,-0.14579116696062933,-10.9086,57.91451999999999,56.61978589849109,68.82311999999999,1.294734101508901,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.06377814989000363,0.250767508987788,-0.13877832647461652,-0.008599999999994168,6.054232510288067,7.239315,9.831874285714285,-1,1.0,1,1,1,1,3.0,3.0
-10.0,-15,-9.299999999999995,-8.020118884316414,-3.5829703178941306,96.8,106.8,112.4,116.1,Thu 12-08 12-08,A,107 (Ⅱ),Montana St.,"L, 82-65",70,92.4,35.3,11.4,20.9,50.0,116.5,58.5,19.9,26.9,39.6,4.0,7.0,143.0,105.4625,114.125,107.33589391861,107.1708836630846,116.869140625,121.33828125,115.3560128029264,110.75385398097872,20221208,107.5,110.2,-2.700000000000003,103.3,101.0,2.299999999999997,106.7,111.12,-4.42054,64.8932,5.853772819494907,138.9866952145516,62.61261479487909,7.38715451061249,143.11373844668714,8.099472883354112,143.11373844668714,7.38715451061249,143.11373844668714,8.099472883354112,146.62621610879876,-0.5815584541184506,101.741,103.001,-1.26059,67.8294,107.5,110.2,-2.700000000000003,103.3,101.0,2.299999999999997,4.259460923098098,136.4714353323068,0,103.6591571,101.4050759,2.2540812000000017,6.389994496,97.05431484,101.3103658,-4.256050959999996,-8.139965942,2022-12-08,130.69785785207904,-7.359774784963719,130.69785785207904,3.7375679177563157,130.69785785207904,1.2915434306698579,-0.0245082281664315,1.2670352025034264,-10.579460000000001,47.335059999999984,57.05136393232739,57.91451999999999,-9.716303932327406,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.2524925375469229,0.5220847323595896,-3.599578884316414,-4.8794599999999955,-0.13877832647461652,5.259451111111111,7.239315,-1,-1.0,-1,1,1,-1,1.0,3.0
5.0,1,-9.899999999999997,-4.713412589544275,-2.58606662373156,114.5,109.16666666666669,112.6,119.06666666666668,Sat 12-10 12-10,A,303 (Ⅳ),Idaho St.,"W, 76-70",65,117.2,58.0,17.0,15.4,38.0,108.0,55.7,23.1,35.5,26.4,10.5,-1.0,135.5,109.98125,105.4625,109.72392927907332,108.50345026979647,114.7345703125,116.869140625,114.4373418686176,111.08951689352804,20221210,107.4,110.7,-3.299999999999997,97.1,105.9,-8.800000000000011,106.083,111.206,-5.12342,65.572,-0.9714329005208953,131.52389985797942,61.159274896159324,-0.033803090528408575,138.94710361837664,-2.216386596832063,138.94710361837664,-0.033803090528408575,138.94710361837664,-2.216386596832063,144.38981621260007,1.722453687389951,93.8112,105.554,-11.7432,65.5691,107.4,110.7,-3.299999999999997,97.1,105.9,-8.800000000000011,-2.0558987209249096,131.39799184960899,0,101.9212123,101.4933181,0.4278941999999972,5.422563544,95.29787584,97.59801079,-2.3001349500000003,-9.02592965,2022-12-10,123.2739882394128,-7.154987069930826,123.2739882394128,0.9979686222217978,123.2739882394128,6.86142947950009,-3.8678907392165867,2.993538740283503,6.12342,53.45847999999999,53.81259595488493,47.335059999999984,-0.3541159548849393,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,-3,0.5379371440662541,0.43484856459877796,0.41000741045572564,-4.7765799999999965,-3.599578884316414,5.345848,5.259451111111111,1,-1.0,-1,1,1,1,-1.0,1.0
