ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-0.5,-11,,-11.399999999999991,-11.399999999999991,85.7,0.0,97.1,0.0,Mon 11-07 11-07,A,4 (I-A),Connecticut,"L, 85-54",75,71.9,41.1,32.0,15.6,48.9,113.2,50.0,20.0,47.2,49.2,-3.0,30.5,142.0,85.7,0.0,85.7,85.7,97.1,0.0,97.1,97.1,20221107,81.9,110.8,-28.9,104.6,92.9,11.7,88.5755,107.276,-18.7006,72.6065,31.150607373309775,143.34076884922948,73.30777757467995,33.866017197380984,144.7215084263226,28.077764029432636,144.7215084263226,33.866017197380984,144.7215084263226,28.077764029432636,124.70860692663183,22.371920267086438,108.438,89.3045,19.1336,70.979,81.9,110.8,-28.9,104.6,92.9,11.7,28.077764029432636,124.70860692663183,0,95.0,105.0,-10.0,-10.0,106.4595055,92.11749368,14.34201182000001,15.13819023,2022-11-07,149.8757746622513,20.533600055111762,149.8757746622513,31.63905033901127,149.8757746622513,0.0,0.0,0.0,7.700600000000001,7.700600000000001,0.0,0.0,7.700600000000001,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,-3,0.0018376628342935408,0.016558619546776066,7.30060000000001,,0.0,7.700600000000001,0.0,1,0.0,1,1,1,3,0.0,0.0
3.5,-9,,-10.633333333333326,-10.981818181818172,127.6,0.0,136.7,0.0,Thu 11-10 11-10,H,125 (Ⅲ),Quinnipiac,"L, 102-95",75,127.2,60.9,14.7,28.1,29.7,136.6,62.3,16.1,43.2,43.1,56.0,10.5,141.0,106.65,85.7,99.66666666666669,93.3181818181818,116.9,97.1,110.3,104.29999999999998,20221110,82.4,111.3,-28.89999999999999,101.0,101.3,-0.2999999999999971,88.7876,107.488,-18.7007,72.624,7.817463608890321,145.93223623295796,75.36408389189188,18.06140747298039,150.19580478623556,10.107433984676302,150.19580478623556,18.06140747298039,150.19580478623556,10.107433984676302,122.83603603163652,0.04236012481666762,98.1007,100.875,-2.77396,72.9524,82.4,111.3,-28.89999999999999,101.0,101.3,-0.2999999999999971,10.107433984676302,122.83603603163652,0,95.0,105.0,-10.0,-10.0,99.83297727,104.2756892,-4.4427119300000015,-5.635640527,2022-11-10,156.85674735685592,1.3439363870157308,156.85674735685592,19.752022019058145,156.85674735685592,0.0,0.0,0.0,9.700700000000001,17.401300000000003,7.700600000000001,7.700600000000001,9.700700000000001,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,3,0.15865525393145707,0.4983905524807817,8.067366666666675,,7.30060000000001,8.700650000000003,7.700600000000001,1,1.0,1,1,1,3,3.0,0.0
16.0,10,-3.2333333333333294,-3.4888888888888863,-7.021487603305779,105.8,106.36666666666667,95.0,109.59999999999998,Sat 11-12 11-12,A,187 (Ⅲ),Army,"W, 82-77",77,107.2,59.3,15.7,7.7,23.7,100.6,48.3,14.4,13.3,40.7,9.0,11.0,150.0,106.225,106.65,101.71111111111112,95.58760330578512,105.95,116.9,105.20000000000002,102.6090909090909,20221112,85.8,113.6,-27.8,95.0,101.8,-6.799999999999997,91.8856,110.412,-18.5268,72.6884,11.94425952511935,149.76133209105183,75.22029310213372,20.013529907670687,150.50564646679229,-6.821122594220729,150.50564646679229,20.013529907670687,150.50564646679229,-6.821122594220729,174.65960751937737,5.539782714939463,95.1555,103.063,-7.90753,72.7487,85.8,113.6,-27.8,95.0,101.8,-6.799999999999997,-6.7775039966723805,175.29486868249074,0,95.0,105.0,-10.0,-10.0,94.5249592,102.6864906,-8.161531400000001,-5.02921563,2022-11-12,151.28225304390418,5.686936498779062,151.28225304390418,4.806025113743615,151.28225304390418,-8.067366666666672,8.067366666666672,0.0,28.5268,45.9281,10.93416666666667,17.401300000000003,34.99393333333333,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.14740707903152717,0.29888906791271375,15.037911111111114,15.293466666666673,8.067366666666675,15.309366666666667,8.700650000000003,1,1.0,1,1,1,3,3.0,3.0
-1.5,-10,-2.833333333333333,-5.725925925925925,-7.599398948159274,113.3,115.56666666666666,123.5,118.4,Tue 11-15 11-15,A,40 (I-A),Providence,"L, 100-76",72,105.3,62.1,19.4,14.3,12.1,138.6,61.2,16.6,51.6,31.3,30.5,22.5,145.5,109.7625,106.225,105.57407407407408,98.80803906836962,114.725,105.95,111.3,106.4074380165289,20221115,87.9,113.4,-25.5,105.9,95.6,10.300000000000011,93.2607,110.215,-16.9542,72.7724,25.36730188528258,145.8611055788682,70.98818223840684,30.343265455114413,149.00674498871768,9.800777995362152,149.00674498871768,30.343265455114413,149.00674498871768,9.800777995362152,163.85486882267062,20.679216323003423,106.957,94.0724,12.8845,68.5764,87.9,113.4,-25.5,105.9,95.6,10.300000000000011,9.468721322421343,163.65447667833934,0,95.0,105.0,-10.0,-10.0,105.0743144,91.99455084,13.079763560000004,9.323744032,2022-11-15,144.090826913265,15.698522865929355,144.090826913265,4.669833996532674,144.090826913265,-26.97074814814814,14.003948148148151,-12.966799999999987,6.9542,52.8823,22.59881111111111,45.9281,30.28348888888889,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.016062285603828275,0.02445076684919545,11.228274074074076,14.120866666666668,15.037911111111114,13.220575,15.309366666666667,1,1.0,1,1,1,3,3.0,3.0
3.5,-18,-5.86666666666667,-9.88395061728395,-9.526780957584862,103.7,107.59999999999998,121.9,113.46666666666664,Sat 11-19 11-19,N,336 (Ⅳ),Holy Cross,"W, 81-79",74,110.2,55.7,23.1,29.6,45.3,107.4,54.8,20.4,27.8,22.6,9.0,1.5,151.0,106.73125,109.7625,104.9493827160494,99.69748651048424,118.3125,114.725,114.83333333333334,109.22426746806909,20221119,89.3,114.2,-24.90000000000001,92.9,109.7,-16.799999999999997,94.4156,111.127,-16.7111,72.7285,2.0387741094249208,150.1142722536933,74.58871501920342,6.195455487478782,155.50473627519438,-8.726308203785072,155.50473627519438,6.195455487478782,155.50473627519438,-8.726308203785072,166.34355753719535,-14.810147693807181,92.241,105.658,-13.4172,72.0981,89.3,114.2,-24.90000000000001,92.9,109.7,-16.799999999999997,-8.746602635346818,165.8970023147163,0,112.7074278,103.5847916,9.122636200000002,8.224066628,94.60071797,104.1864679,-9.585749929999992,-11.26469227,2022-11-19,164.1649344649461,-14.53641483520886,164.1649344649461,-7.468540409422808,164.1649344649461,-14.137672962962961,13.221572962962966,-0.9160999999999948,-1.2889000000000017,51.5934,32.69330740740741,52.8823,18.900092592592593,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.4432015031835318,0.9208025142765548,6.827149382716048,10.844433333333328,11.228274074074076,10.318680000000002,13.220575,1,1.0,1,1,1,3,3.0,3.0
-1.0,-14,-14.166666666666671,-11.289300411522635,-10.35827532893307,99.1,105.36666666666667,113.2,119.53333333333336,Mon 11-21 11-21,N,247 (Ⅳ),Illinois Chicago,"L, 77-71",72,98.0,50.0,22.1,17.2,55.1,106.3,60.7,17.9,17.1,33.9,-6.0,5.0,154.0,102.915625,106.73125,102.99958847736627,99.5888525994871,115.75625,118.3125,114.2888888888889,109.94712792842016,20221121,90.8,115.1,-24.3,93.5,104.3,-10.799999999999995,95.9076,112.35,-16.4425,72.0559,5.218468876674635,150.60631812732714,73.43562186330016,9.693364818953683,151.86421670334616,-0.21586943958826924,151.86421670334616,9.693364818953683,151.86421670334616,-0.21586943958826924,153.90214784146244,-5.87553642522613,94.9058,103.73,-8.82392,71.6461,90.8,115.1,-24.3,93.5,104.3,-10.799999999999995,-0.48798121252920146,153.61046770393818,0,110.9503182,106.5042572,4.446061,2.766707175,93.24577344,96.56436597,-3.3185925300000036,-0.600290768,2022-11-21,154.96142295523995,-2.4725758775665554,154.96142295523995,1.0380584932489683,154.96142295523995,-7.462982389770711,7.387795167548488,-0.0751872222222234,2.442499999999999,54.0359,38.99333827160494,51.5934,15.042561728395057,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.31696934194067294,0.712115284527855,5.153199588477364,2.2758333333333276,6.827149382716048,9.005983333333335,10.318680000000002,1,1.0,1,1,1,3,3.0,3.0
0.5,-16,-16.300000000000008,-13.05953360768176,-11.493134360036148,94.1,98.96666666666664,110.7,115.26666666666668,Tue 11-22 11-22,A,215 (Ⅲ),Fordham,"L, 71-60",66,91.5,44.5,16.8,18.2,20.0,108.2,55.0,24.4,43.5,42.0,-15.0,11.5,146.0,98.5078125,102.915625,100.03305898491084,98.59087939958034,113.228125,115.75625,113.0925925925926,110.08401375961648,20221122,91.9,115.5,-23.599999999999994,97.2,96.1,1.1000000000000083,96.191,112.607,-16.4158,71.9692,13.683381715425554,144.13714617140192,71.01906323584637,21.485105494970284,146.25014829456518,12.193543071923862,146.25014829456518,21.485105494970284,146.25014829456518,12.193543071923862,161.9537229177089,-4.4923332554281075,96.4458,98.7028,-2.25698,69.3719,91.9,115.5,-23.599999999999994,97.2,96.1,1.1000000000000083,12.190230727313587,156.85418650681345,0,109.3171498,104.5605617,4.756588100000002,2.091129087,92.19192996,99.07763607,-6.885706110000001,-3.071365296,2022-11-22,148.51701202044842,-1.6875675438299282,148.51701202044842,13.632062535151107,148.51701202044842,3.329694098177516,4.196999661963577,7.526693760141093,0.41580000000000084,54.4517,44.0075255144033,54.0359,10.444174485596704,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,3,0.13670617005697383,0.6656166532689309,3.3562663923182416,0.11579999999999302,5.153199588477364,7.778814285714288,9.005983333333335,1,1.0,1,1,1,3,3.0,3.0
-1.0,-13,-14.833333333333345,-13.306355738454512,-11.912564476393214,92.1,95.09999999999998,105.9,109.93333333333334,Sun 11-27 11-27,A,155 (Ⅱ),UMass Lowell,"L, 73-59",66,89.0,41.4,15.1,20.5,22.4,110.1,49.2,21.1,47.5,36.1,-20.5,13.0,152.5,95.30390625,98.5078125,97.38870598994058,97.41071950874756,109.5640625,113.228125,110.69506172839507,109.32328398514076,20221127,93.5,115.4,-21.90000000000001,100.5,102.1,-1.5999999999999943,97.2118,113.047,-15.8354,70.1826,16.95277424448325,148.76471832388256,70.0418354679943,18.951557955561015,152.0092193008805,17.00898949664104,152.0092193008805,18.951557955561015,152.0092193008805,17.00898949664104,158.79700737380335,9.094199691929205,102.285,100.06,2.22546,70.159,93.5,115.4,-21.90000000000001,100.5,102.1,-1.5999999999999943,17.104201751675003,159.9376069072173,0,110.7234368,104.0026599,6.720776900000004,5.329222621,106.1053427,93.62011145,12.485231249999998,4.50026826,2022-11-27,153.57536785452237,1.4769431250904148,153.57536785452237,16.54241185220927,153.57536785452237,2.9095982336011534,1.960483418250707,4.87008165185186,2.8354,57.2871,47.488917009602204,54.4517,9.798182990397798,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-3,0.10784037468050733,0.19321375394223295,2.5290442615454882,1.0020666666666553,3.3562663923182416,7.160887500000001,7.778814285714288,1,1.0,1,1,1,3,3.0,3.0
7.5,-3,-11.23333333333334,-9.97090382563634,-10.34664366250354,96.5,94.23333333333332,99.8,105.46666666666668,Sat 12-03 12-03,A,334 (Ⅳ),Binghamton,"W, 69-66",67,102.9,54.2,16.4,13.3,43.8,98.4,47.6,22.4,34.1,21.0,-8.0,4.5,143.0,95.901953125,95.30390625,97.09247065996038,97.24513414352072,104.68203125,109.5640625,107.06337448559673,107.59177780602424,20221203,94.6,115.7,-21.10000000000001,98.0,110.3,-12.299999999999995,97.1832,112.994,-15.8111,68.9642,6.921401465224733,142.0079103161165,66.19317331806545,10.273356977464047,147.93891931433933,-4.010519785776867,147.93891931433933,10.273356977464047,147.93891931433933,-4.010519785776867,148.8390190135074,-10.696889268146904,97.3132,108.54,-11.2267,67.4753,94.6,115.7,-21.10000000000001,98.0,110.3,-12.299999999999995,-4.192013218073173,151.14867435586524,0,109.4029801,102.6078409,6.795139199999994,5.940989604,95.86973911,109.9161742,-14.046435090000003,-21.66726273,2022-12-03,147.95652407931874,-16.567105533802362,147.95652407931874,-2.163338721569275,147.95652407931874,-11.412408835761134,0.7028532140679786,-10.709555621693156,12.8111,70.0982,50.75497800640147,57.2871,19.343221993598533,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.3341175708976246,0.8458394883620429,5.84019617436366,4.57776666666666,2.5290442615454882,7.7886888888888866,7.160887500000001,1,1.0,1,1,1,3,3.0,3.0
-7.0,-14,-10.500000000000004,-11.447269217090897,-11.08361754204835,96.0,94.86666666666667,110.4,105.36666666666667,Wed 12-07 12-07,H,238 (Ⅳ),Rider,"L, 78-67",69,97.3,54.6,16.0,11.4,25.9,113.3,51.6,17.4,33.3,27.4,2.5,4.0,142.5,95.9509765625,95.901953125,96.72831377330694,97.01874611742603,107.541015625,104.68203125,108.17558299039784,108.1023636594744,20221207,95.9,114.5,-18.599999999999994,101.6,104.3,-2.700000000000003,97.8939,112.345,-14.4513,68.5849,3.7973294478866535,142.51963151323432,65.83545526059746,6.920928743057516,145.7561010160838,-2.109697147263009,145.7561010160838,6.920928743057516,145.7561010160838,-2.109697147263009,143.01658557711906,-11.323934698479555,102.25,105.194,-2.94412,67.4818,95.9,114.5,-18.599999999999994,101.6,104.3,-2.700000000000003,-1.5533512854036071,145.7326476094698,0,108.0705628,100.1651963,7.9053664999999995,7.213486654,96.3517832,99.53791987,-3.1861366699999962,0.641969288,2022-12-07,137.98732576716165,-6.242184575283019,137.98732576716165,4.628705093002935,137.98732576716165,-1.8134850294215452,2.587567142296292,0.7740821128747468,0.4512999999999998,70.54950000000001,57.202718670934324,70.0982,13.346781329065685,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,-3,0.35161929169946593,0.8595879621786187,3.004030782909103,3.9512999999999963,5.84019617436366,7.054949999999998,7.7886888888888866,1,1.0,1,1,1,3,3.0,3.0
