ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-13.5,-13,,-13.299999999999995,-13.299999999999995,78.2,0.0,91.5,0.0,Mon 11-07 11-07,A,76 (I),Pittsburgh,"L, 80-58",79,73.7,34.7,21.6,26.7,38.7,101.7,44.4,19.1,38.3,32.4,-3.0,8.5,141.0,78.2,0.0,78.2,78.2,91.5,0.0,91.5,91.5,20221107,98.1,107.1,-9.0,101.1,95.7,5.4,92.5723,103.608,-11.036,75.2138,19.27022775366376,147.00363595972934,75.79539632546232,15.527880674947014,156.83127896561234,21.500861763777834,156.83127896561234,15.527880674947014,156.83127896561234,21.500861763777834,111.7497950499801,3.2848174321452035,103.478,94.0942,9.38398,70.8436,98.1,107.1,-9.0,101.1,95.7,5.4,21.500861763777834,111.7497950499801,0,96.91357669,97.50709557,-0.5935188800000049,-1.328738066,96.83912775,98.54057555,-1.7014477999999968,-6.033076555,2022-11-07,147.02274468590025,-1.5215197370781368,147.02274468590025,12.998607288231483,147.02274468590025,0.0,0.0,0.0,-1.9640000000000004,-1.9640000000000004,0.0,0.0,-1.9640000000000004,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,-3,0.20910695659274503,0.37720120489352116,-2.263999999999996,,0.0,-1.9640000000000004,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-9.5,-15,,-14.033333333333331,-13.699999999999998,96.4,0.0,111.9,0.0,Wed 11-09 11-09,A,142 (Ⅱ),Youngstown St.,"L, 90-72",74,97.7,50.8,20.3,29.7,33.3,122.1,50.7,12.2,38.6,32.4,7.0,8.5,155.0,87.30000000000001,78.2,84.26666666666668,81.5090909090909,101.7,91.5,98.3,95.2090909090909,20221109,98.3,107.4,-9.100000000000009,105.0,105.5,-0.5,92.5723,103.608,-11.036,75.2138,10.746374881666881,157.59553636101913,78.05437807965862,12.049273951669846,172.67267935393517,24.49067514005133,172.67267935393517,12.049273951669846,172.67267935393517,24.49067514005133,141.5201992586172,5.300549121884686,101.733,105.045,-3.3123,72.955,98.3,107.4,-9.100000000000009,105.0,105.5,-0.5,24.49067514005133,141.5201992586172,0,96.91357669,97.50709557,-0.5935188800000049,-1.328738066,101.0686195,100.4823675,0.5862520000000018,-1.485291238,2022-11-09,156.12693784866713,2.0325753584508277,156.12693784866713,8.793294016942042,156.12693784866713,0.0,0.0,0.0,-3.9640000000000004,-5.928000000000001,-1.9640000000000004,-1.9640000000000004,-3.9640000000000004,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,-3,0.20910695659274503,0.3068446699096996,-2.997333333333332,,-2.263999999999996,-2.9640000000000004,-1.9640000000000004,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
15.5,4,-7.999999999999996,-7.755555555555553,-10.33636363636363,100.4,91.66666666666669,95.6,99.66666666666669,Fri 11-18 11-18,A,117 (Ⅱ),Mississippi,"L, 72-68",72,94.3,50.9,26.4,33.3,25.9,99.9,43.5,23.6,43.6,70.4,2.0,19.5,138.0,93.85,87.30000000000001,89.64444444444446,84.94380165289255,98.65,101.7,97.4,95.2801652892562,20221118,98.8,108.7,-9.900000000000006,107.3,93.0,14.299999999999995,93.5283,105.595,-12.0669,73.8428,23.168342674956513,140.4591449600483,70.248031658037,21.993944221059095,150.42902893346513,24.84346928481889,150.42902893346513,21.993944221059095,150.42902893346513,24.84346928481889,135.20806097303708,9.736403235834288,107.805,92.2718,15.5335,66.8777,98.8,108.7,-9.900000000000006,107.3,93.0,14.299999999999995,24.736452399209554,135.1935154575303,0,92.0586832,93.07129615,-1.0126129499999905,3.346068597,103.5445332,95.58059303,7.963940170000001,7.193577832,2022-11-18,132.72879940407114,4.773398910114992,132.72879940407114,22.6118735289526,132.72879940407114,3.0266370370370375,-2.99733333333333,0.029303703703707384,16.0669,10.1389,-3.285333333333334,-5.928000000000001,13.424233333333333,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,3,0.0316454161166726,0.17689149655434244,4.3113444444444475,4.066900000000005,-2.997333333333332,3.3796333333333326,-2.9640000000000004,1,-1.0,1,1,-1,3,-3.0,-3.0
-3.5,-12,-7.866666666666664,-9.470370370370372,-10.802479338842971,111.5,102.76666666666668,124.4,110.63333333333333,Sun 11-20 11-20,H,282 (Ⅳ),Prairie View A&M,"W, 80-79",72,110.5,54.7,20.7,38.7,56.6,109.1,51.6,19.3,30.6,28.6,12.0,-4.5,147.0,102.675,93.85,96.92962962962964,89.77220135236664,111.525,98.65,106.40000000000002,100.5746806912096,20221120,100.0,108.1,-8.099999999999994,94.8,103.0,-8.200000000000003,94.2339,104.557,-10.3231,74.3092,-3.1887601259806786,146.89460306807433,75.62340523982931,-4.846410397433971,158.7484891392639,26.946126203064363,158.7484891392639,-4.846410397433971,158.7484891392639,26.946126203064363,142.07134671273593,6.337867426182342,93.9393,102.927,-8.98795,71.5433,100.0,108.1,-8.099999999999994,94.8,103.0,-8.200000000000003,26.75058927181866,142.0691781530214,0,95.46499217,96.50175233,-1.03676016,1.003298881,109.6644604,96.45795115,13.206509249999996,15.76386842,2022-11-20,152.59420999878859,8.867471331215683,152.59420999878859,-1.388588564413169,152.59420999878859,-2.97100925925926,2.97100925925926,0.0,-1.6768999999999998,8.462,1.1894111111111103,10.1389,7.272588888888889,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.6658824291023754,0.2730526712310417,0.8527296296296285,2.4564333333333366,4.3113444444444475,2.115500000000001,3.3796333333333326,1,1.0,1,1,1,3,3.0,-3.0
-2.0,-10,-6.13333333333333,-9.746913580246916,-10.71111945905334,92.7,101.53333333333336,103.0,107.66666666666669,Tue 11-22 11-22,A,291 (Ⅳ),Arkansas St.,"L, 70-64",69,92.9,48.2,16.0,13.9,22.8,101.6,53.6,20.3,27.3,28.6,-10.5,4.0,144.5,97.6875,102.675,95.51975308641975,90.30452837920906,107.2625,111.525,105.26666666666668,101.0156478382624,20221122,100.4,108.9,-8.5,95.2,102.5,-7.299999999999997,95.8487,106.251,-10.4023,73.4259,5.217791892684758,143.23512301924865,71.2089182739687,4.76933732590166,150.5296636141174,1.0572554682302246,150.5296636141174,4.76933732590166,150.5296636141174,1.0572554682302246,132.74430619665094,2.994401328108097,95.8918,104.519,-8.6267,68.1774,100.4,108.9,-8.5,95.2,102.5,-7.299999999999997,1.103826436902969,132.47882164985637,0,96.48517601,95.59688022,0.8882957900000008,2.33741248,96.87217429,97.12667577,-0.25450148000000183,0.29705905,2022-11-22,135.72800087086034,0.5671998067048065,135.72800087086034,-0.2632113707731918,135.72800087086034,-5.88772185185185,2.4745151851851865,-3.413206666666664,0.4023000000000003,8.8643,3.6136074074074065,8.462,5.250692592592594,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.35161929169946593,0.38775270780701476,0.6553864197530839,4.26896666666667,0.8527296296296285,1.7728600000000014,2.115500000000001,1,1.0,1,1,1,3,3.0,3.0
-6.5,-11,-11.700000000000005,-10.464609053497943,-10.927279557407278,115.1,106.43333333333334,127.0,118.13333333333333,Mon 11-28 11-28,H,329 (Ⅳ),McNeese St.,"W, 86-83",69,124.1,57.8,11.5,27.8,50.0,119.8,59.5,14.4,39.5,42.9,23.5,-9.5,145.5,106.39375,97.6875,102.04650205761318,94.81279594662558,117.13125,107.2625,112.51111111111112,105.74007550403286,20221128,99.8,108.2,-8.400000000000006,94.8,111.9,-17.10000000000001,95.8151,106.258,-10.4428,71.9463,-9.811949687598926,140.84198439198963,68.79877730227597,-10.639808274757726,151.1407125387534,-11.868200126485926,151.1407125387534,-10.639808274757726,151.1407125387534,-11.868200126485926,138.24887904893518,-17.11919741961978,92.6426,111.693,-19.0502,67.2245,99.8,108.2,-8.400000000000006,94.8,111.9,-17.10000000000001,-12.061161141978616,138.31301207835233,0,96.11890034,96.82923073,-0.71033039000001,1.702206035,89.02225242,109.384664,-20.36241158,-28.34944164,2022-11-28,135.19164915975188,-22.344870312116214,135.19164915975188,-5.18543354195274,135.19164915975188,3.1738190476190695,0.6643479717812983,3.838167019400368,-0.5571999999999999,8.3071,5.363838271604938,8.8643,2.943261728395062,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,-3,0.817204231217584,0.9484914817114013,-0.021809053497943154,-1.2572000000000045,0.6553864197530839,1.3845166666666682,1.7728600000000014,-1,1.0,1,1,1,1,3.0,3.0
-0.5,-5,-9.199999999999998,-8.776406035665294,-9.92231963787868,120.2,109.33333333333331,125.6,118.53333333333336,Sat 12-03 12-03,A,173 (Ⅲ),UNC Asheville,"L, 90-83",72,115.6,57.7,16.7,32.4,16.9,125.3,62.7,22.3,38.5,43.6,21.5,6.5,151.5,113.296875,106.39375,108.0976680384088,99.4286512290573,121.365625,117.13125,116.87407407407407,109.35097086693597,20221203,101.0,109.6,-8.599999999999994,103.7,106.4,-2.700000000000003,97.4483,108.188,-10.7397,71.8261,10.205640288668704,150.5543789091281,71.33782555917497,9.036789812151866,161.51535430964566,4.9914002392110906,161.51535430964566,9.036789812151866,161.51535430964566,4.9914002392110906,155.56973165508154,9.564433286023416,101.798,104.351,-2.55247,69.8221,101.0,109.6,-8.599999999999994,103.7,106.4,-2.700000000000003,9.047158282191425,153.72694121079516,0,96.83208606,102.9252394,-6.093153340000001,-2.856500333,98.99031339,97.35734448,1.6329689100000024,4.666223986,2022-12-03,143.32675569706947,7.382081312680285,143.32675569706947,5.404749476419248,143.32675569706947,-3.5879564207819286,-0.34458957965901504,-3.9325460004409436,5.739699999999999,14.0468,6.344925514403292,8.3071,7.701874485596707,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,3,0.26794249453351904,0.181174452238672,1.9632939643347047,1.5397000000000016,-0.021809053497943154,2.006685714285714,1.3845166666666682,1,-1.0,1,1,1,3,1.0,3.0
-6.0,-1,-6.166666666666662,-6.2509373571101925,-8.336443340082553,101.4,112.23333333333332,102.6,118.4,Sun 12-11 12-11,H,293 (Ⅳ),Chicago St.,"W, 75-74 OT",72,104.0,50.8,19.4,34.3,29.5,102.6,53.1,22.2,34.2,18.8,-1.0,-7.0,150.0,107.3484375,113.296875,105.86511202560588,99.7870782783196,111.9828125,121.365625,112.11604938271606,108.12352161840217,20221211,102.5,111.1,-8.599999999999994,102.6,115.3,-12.700000000000005,99.5727,110.118,-10.545,71.7602,-8.317699091746192,151.56496187279603,67.98334736842105,-7.447838685310671,161.7862035662517,-6.1604669720451435,161.7862035662517,-7.447838685310671,161.7862035662517,-6.1604669720451435,163.39073533574944,-1.7261063098463865,98.9026,115.43,-16.5271,66.6,102.5,111.1,-8.599999999999994,102.6,115.3,-12.700000000000005,-6.7890766605133654,153.46034674735486,0,99.1980421,104.165925,-4.967882900000006,-3.40601171,102.1750897,103.8787747,-1.703684999999993,3.520750568,2022-12-11,145.83247598156504,2.8044190880921036,145.83247598156504,-2.7810165251908714,145.83247598156504,6.688453642427259,0.7823201221503648,7.470773764577624,9.545,23.5918,8.912217009602195,14.0468,14.679582990397805,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.7475074624530771,0.5652883562810576,4.294062642889807,4.378333333333338,1.9632939643347047,2.948975000000001,2.006685714285714,1,1.0,1,1,1,3,3.0,1.0
12.0,10,1.1666666666666714,-0.8006249047401308,-4.984362732794817,100.3,107.3,90.2,106.13333333333333,Sat 12-17 12-17,A,269 (Ⅳ),Bowling Green,"W, 75-67",72,103.8,44.9,11.1,30.2,26.5,92.7,44.8,18.0,22.5,39.7,-14.5,4.0,156.5,103.82421875,107.3484375,104.01007468373726,99.88033677317055,101.09140625,111.9828125,104.81069958847738,104.8646995059654,20221217,101.6,109.9,-8.300000000000011,100.4,107.1,-6.699999999999989,98.6648,109.726,-11.0612,71.2506,6.599809885009051,153.90555403212625,71.32083707795165,5.590322560943008,159.94804328625466,3.6413697886032996,159.94804328625466,5.590322560943008,159.94804328625466,3.6413697886032996,163.8125684379983,7.699593053831023,100.236,108.199,-7.96339,70.3693,101.6,109.9,-8.300000000000011,100.4,107.1,-6.699999999999989,4.543349073090957,154.88450468789588,0,96.8587113,103.4706591,-6.61194780000001,-6.533145573,99.12030484,100.7782395,-1.6579346599999951,-5.3429053,2022-12-17,146.167979721763,2.727291379603159,146.167979721763,3.3051564433736615,146.167979721763,0.49669951161824866,2.9442086724584664,3.440908184076715,21.0612,44.653,13.805411339734796,23.5918,30.847588660265203,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,-3,0.35161929169946593,0.23168939108263142,10.260575095259869,12.22786666666667,4.294062642889807,4.961444444444442,2.948975000000001,1,1.0,1,1,1,3,3.0,3.0
-15.0,-31,-7.366666666666664,-10.867083269826752,-9.714478599559396,85.7,95.8,116.7,103.16666666666669,Thu 12-29 12-29,A,325 (Ⅳ),Little Rock,"L, 88-74",78,94.9,43.0,19.2,34.1,42.2,112.9,54.3,18.0,29.7,65.5,8.0,-1.0,154.0,94.762109375,103.82421875,97.90671645582484,97.30209372350318,108.895703125,101.09140625,108.7737997256516,107.0165723230626,20221229,101.8,108.7,-6.900000000000006,98.6,113.5,-14.900000000000006,98.8974,108.7,-9.8028,71.4425,1.9205619222804131,156.563939793307,72.46190215860598,-1.578329968548644,164.8761658226286,-1.3922484586601491,164.8761658226286,-1.578329968548644,164.8761658226286,-1.3922484586601491,161.4254403014042,3.3738806297257042,98.3349,111.537,-13.2025,71.3031,101.8,108.7,-6.900000000000006,98.6,113.5,-14.900000000000006,-1.9085790058623835,160.25955514990525,0,97.17417157,101.736422,-4.562250430000006,-4.937976865,98.86481049,104.6484563,-5.78364581000001,-5.505979666,2022-12-29,149.8731852392745,1.5113971726404856,149.8731852392745,-5.382551780415717,149.8731852392745,-7.2424328937648035,7.892925974514236,0.6504930807494329,-21.197200000000002,23.455799999999996,24.08794089315653,44.653,-0.6321408931565351,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,3,0.5379371440662541,0.37398320640071436,-1.0642832698267526,2.436133333333336,10.260575095259869,2.34558,4.961444444444442,-1,1.0,-1,1,1,-1,3.0,3.0
