ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-7.0,21,,21.5,21.5,117.4,0.0,95.9,0.0,Mon 11-07 11-07,H,177 (Ⅳ),UTEP,"W, 72-57",66,109.2,59.5,22.7,20.0,69.0,86.4,45.2,28.8,35.3,28.8,0.0,-22.0,129.0,117.4,0.0,117.4,117.4,95.9,0.0,95.9,95.9,20221107,109.4,88.8,20.6,97.7,94.0,3.7,111.367,83.6455,27.7214,68.6527,-22.219647638672164,128.27287785881165,68.98600251081082,-15.108485722495011,134.25957400614212,-18.715961466205755,134.25957400614212,-15.108485722495011,134.25957400614212,-18.715961466205755,139.54445063800978,-17.133101025956755,94.9954,95.7321,-0.73677,70.6413,109.4,88.8,20.6,97.7,94.0,3.7,-18.715961466205755,139.54445063800978,0,102.3741123,87.31886752,15.055244779999995,17.58639883,96.92755152,101.2148253,-4.287273780000007,-7.685279241,2022-11-07,133.3704832266773,-19.461153951402522,133.3704832266773,-13.824932875171498,133.3704832266773,0.0,0.0,0.0,-6.721399999999999,-6.721399999999999,0.0,0.0,-6.721399999999999,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.9819250838115705,0.9486311693137148,-6.221399999999999,,0.0,-6.721399999999999,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
14.0,42,,28.5,25.318181818181817,95.6,0.0,53.1,0.0,Thu 11-10 11-10,H,348 (Ⅳ),Houston Christian,"W, 82-31",70,117.2,53.7,20.0,52.5,27.9,44.3,25.0,30.0,28.6,10.0,-26.0,-37.0,139.0,106.5,117.4,110.13333333333334,113.43636363636364,74.5,95.9,81.63333333333334,88.11818181818182,20221110,109.8,89.2,20.599999999999994,93.1,108.8,-15.700000000000005,111.574,83.8523,27.7215,68.6699,-32.285587109831916,141.58991764315888,72.07282077709814,-31.02549353386062,150.03761108260997,-22.536085527009185,150.03761108260997,-31.02549353386062,150.03761108260997,-22.536085527009185,149.03856187366515,-22.020769383111187,93.4831,105.673,-12.1904,73.7837,109.8,89.2,20.599999999999994,93.1,108.8,-15.700000000000005,-22.536085527009185,149.03856187366515,0,102.3741123,87.31886752,15.055244779999995,17.58639883,95.0,105.0,-10.0,-10.0,2022-11-10,140.9006463565933,-21.97688301221072,140.9006463565933,-28.229914878898462,140.9006463565933,0.0,0.0,0.0,14.278500000000001,7.557100000000002,-6.721399999999999,-6.721399999999999,14.278500000000001,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.9997873050354329,0.9820127764471337,0.7785000000000011,,-6.221399999999999,3.7785500000000027,-6.721399999999999,1,-1.0,1,1,-1,3,-3.0,0.0
17.0,35,33.2,30.866666666666674,27.187603305785125,126.2,113.06666666666666,90.6,79.86666666666666,Wed 11-16 11-16,H,24 (I-A),Gonzaga,"W, 93-74",74,126.0,61.4,13.6,23.5,24.2,100.3,57.8,27.1,28.1,41.2,23.0,-2.0,144.0,116.35,106.5,115.4888888888889,115.7570247933884,82.55,74.5,84.62222222222223,88.56942148760331,20221116,110.6,89.3,21.3,115.4,88.1,27.30000000000001,112.54,84.3381,28.2019,67.7939,-5.457074302061798,143.27463608866185,72.11727997837836,0.0007064118692312604,147.7720942343139,-10.133030349857462,147.7720942343139,0.0007064118692312604,147.7720942343139,-10.133030349857462,119.14849627466174,-19.272991742589156,117.118,89.5607,27.5578,74.7832,110.6,89.3,21.3,115.4,88.1,27.30000000000001,-10.196449655250948,119.00082766834795,0,112.9942421,82.94626546,30.047976639999987,36.74616063,104.8722768,95.28507859,9.587198209999997,12.36566764,2022-11-16,144.00984119474106,-20.097685834845464,144.00984119474106,-4.1591477709130515,144.00984119474106,-2.5371000000000024,0.7785000000000011,-1.7586000000000013,6.798100000000002,14.355200000000004,-1.9619,7.557100000000002,16.317100000000003,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.5755320005597261,0.9667858845059232,2.664766666666676,4.998100000000004,0.7785000000000011,4.785066666666662,3.7785500000000027,1,1.0,1,1,1,3,3.0,-3.0
-1.5,33,37.03333333333333,31.577777777777783,28.24440270473328,99.9,107.23333333333332,66.9,70.2,Mon 11-21 11-21,N,289 (Ⅳ),Northern Arizona,"W, 73-48",70,103.7,56.3,21.3,24.2,28.6,68.2,34.3,29.8,30.8,27.8,-11.5,-26.5,132.5,108.125,116.35,110.2925925925926,112.87392937640868,74.725,82.55,78.71481481481483,84.62952667167544,20221121,113.3,89.9,23.39999999999999,100.4,105.7,-5.299999999999997,114.882,85.1912,29.691,67.3802,-22.973324668908447,133.33701160032848,65.15492816017071,-19.711140779430806,140.33555776979387,-24.213129408250225,140.33555776979387,-19.711140779430806,140.33555776979387,-24.213129408250225,127.23285877232375,-14.396918311590206,99.9126,104.936,-5.0231,67.9783,113.3,89.9,23.39999999999999,100.4,105.7,-5.299999999999997,-24.555425050306162,127.83986654371503,0,108.3100168,78.70693994,29.60307686,25.23691785,100.9081582,93.22062984,7.687528360000002,-1.597143623,2022-11-21,120.53741848910133,-17.48371347518919,120.53741848910133,-22.968801378301357,120.53741848910133,-0.21429359259260217,3.517038888888898,3.3027452962962958,3.309000000000001,17.664200000000005,3.4771333333333336,14.355200000000004,14.18706666666667,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9941954594266154,0.9148335739811327,1.8867777777777839,7.3423333333333325,2.664766666666676,4.416050000000002,4.785066666666662,1,1.0,1,1,1,3,3.0,3.0
3.0,31,33.36666666666667,31.55185185185186,28.836329485690865,108.6,111.56666666666666,77.1,78.2,Sat 11-26 11-26,H,265 (Ⅳ),UT Rio Grande Valley,"W, 91-54",77,118.0,52.8,14.3,36.4,30.6,70.0,36.1,28.5,29.3,50.0,0.0,-34.0,145.0,108.3625,108.125,109.7283950617284,112.09685130797074,75.9125,74.725,78.17654320987656,83.2605218222799,20221126,112.8,88.9,23.89999999999999,91.2,112.1,-20.89999999999999,114.499,85.0923,29.4069,67.6693,-34.71459856265786,147.41990738389865,70.27317231052632,-36.81373163749838,150.18199158880748,-38.97784950865966,150.18199158880748,-36.81373163749838,150.18199158880748,-38.97784950865966,140.0848256350889,-26.64893113031043,97.4197,110.627,-13.2075,73.0051,112.8,88.9,23.89999999999999,91.2,112.1,-20.89999999999999,-38.62650603849101,139.95939038257166,0,109.5236263,79.39239677,30.13122953,24.45961861,104.4062741,104.4676223,-0.06134819999999763,11.51922513,2022-11-26,142.5534563082055,-11.415242480549693,142.5534563082055,-36.36911929688391,142.5534563082055,-4.465031851851869,3.7087811111111186,-0.7562507407407502,1.5930999999999997,19.257300000000004,8.206155555555558,17.664200000000005,11.051144444444446,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-3,0.9993983468349583,0.9944254963032803,2.144951851851861,3.959766666666667,1.8867777777777839,3.851460000000003,4.416050000000002,1,1.0,1,1,1,3,3.0,3.0
-2.0,24,29.76666666666667,29.301234567901243,28.102451397383437,109.1,105.86666666666667,84.3,76.10000000000001,Thu 12-01 12-01,H,12 (I),Creighton,"W, 72-67",72,99.7,44.6,4.2,20.0,10.8,92.8,43.9,11.1,19.5,21.2,-1.5,-7.0,140.5,108.73125,108.3625,109.51893004115227,111.55196925197606,80.10624999999999,75.9125,80.21769547325104,83.44951785459264,20221201,111.9,88.3,23.60000000000001,113.5,93.1,20.40000000000001,113.968,84.6349,29.3329,67.4646,-9.286095974204358,131.20166983691456,64.84355710497867,-6.439834028148724,136.04845264283762,-12.327430751872,136.04845264283762,-6.439834028148724,136.04845264283762,-12.327430751872,129.55794426738274,-13.448623873391298,114.822,92.9071,21.9149,67.5688,111.9,88.3,23.60000000000001,113.5,93.1,20.40000000000001,-12.136654161046014,127.5037185355543,0,104.166407,78.69955819,25.466848810000002,19.09349319,111.5599272,98.57401792,12.985909280000001,12.46739715,2022-12-01,126.99096200881492,-6.398728823773936,126.99096200881492,-9.869716978787835,126.99096200881492,-4.001569484616898,3.81891555555557,-0.1826539290613276,-5.332899999999999,13.924400000000006,11.889870370370375,19.257300000000004,2.034529629629631,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,-3,0.7475074624530771,0.8998717833741077,-0.031665432098755275,0.43376666666667063,2.144951851851861,2.320733333333333,3.851460000000003,-1,1.0,1,1,1,1,3.0,3.0
-10.0,11,22.73333333333333,23.50082304526749,25.156551143313717,110.1,109.26666666666664,98.2,86.53333333333335,Tue 12-06 12-06,N,37 (I),Illinois,"L, 85-78 OT",80,97.0,47.1,17.4,28.9,27.5,105.8,53.3,21.2,27.0,51.7,21.0,-3.0,142.0,109.415625,108.73125,109.71262002743488,111.28797484252586,89.15312499999999,80.10624999999999,86.21179698216737,86.13142369921216,20221206,112.2,88.5,23.700000000000003,110.4,90.6,19.80000000000001,114.0,85.3924,28.608,68.5359,-5.200728542805592,138.38863165778537,70.58778490369845,-2.852374926782929,143.9890303741651,-10.960848911630551,143.9890303741651,-2.852374926782929,143.9890303741651,-10.960848911630551,124.43074555149393,-12.69918398585613,111.033,89.6652,21.3673,72.4047,112.2,88.5,23.700000000000003,110.4,90.6,19.80000000000001,-8.208914667207916,128.3192209690683,0,104.8702723,78.38920527,26.48106702999999,21.67358291,102.5373327,93.41122631,9.12610638999999,12.94388191,2022-12-06,128.80814931296536,-6.162102564616006,128.80814931296536,-8.06755158758223,128.80814931296536,-3.1835329109238906,-0.46723231922395314,-3.6507652301478437,-17.608,-3.683599999999995,12.568046913580252,13.924400000000006,-16.251646913580245,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.6124515189020077,0.886754245428423,-5.107176954732509,-5.87466666666667,-0.031665432098755275,-0.5262285714285682,2.320733333333333,-1,-1.0,-1,-1,1,-3,1.0,3.0
7.5,34,23.566666666666663,27.000548696845,26.76445093543849,118.7,112.63333333333333,84.7,89.06666666666666,Sat 12-10 12-10,H,304 (Ⅳ),Arkansas Pine Bluff,"W, 88-43",67,131.2,63.8,13.4,38.7,15.4,64.1,39.2,32.8,20.6,5.9,-8.0,-37.5,139.0,114.0578125,109.415625,112.70841335162324,112.6356157802484,86.92656249999999,89.15312499999999,85.70786465477826,85.87116484480995,20221210,112.5,89.0,23.5,94.7,109.2,-14.5,113.62,86.1696,27.4501,68.6487,-36.65507174425048,143.41061010290932,69.25618728691325,-31.46211173707767,147.65520946606705,-36.139508732535504,147.65520946606705,-31.46211173707767,147.65520946606705,-36.139508732535504,136.1686051744397,-20.276536460859376,92.4613,111.835,-19.3739,70.9221,112.5,89.0,23.5,94.7,109.2,-14.5,-29.607635634285344,130.68297107301478,0,105.1774166,79.53411023,25.643306370000005,19.56202341,98.46620115,96.84850082,1.6177003300000052,0.652201617,2022-12-10,128.24103066523432,-15.231389262221327,128.24103066523432,-28.624297676518296,128.24103066523432,9.550695767195773,-5.105904752106632,4.444791015089141,6.549900000000001,2.866300000000006,7.150831275720171,-3.683599999999995,-4.284531275720165,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.9998224803096265,0.9732645767740375,-0.4495513031549976,-3.883433333333336,-5.107176954732509,0.3582874999999994,-0.5262285714285682,-1,-1.0,-1,1,-1,-1,-3.0,1.0
-18.0,0,15.399999999999997,18.100365797896664,21.95273258354058,103.3,110.7,103.0,95.3,Mon 12-12 12-12,H,170 (Ⅲ),Rice,"W, 87-81 OT",79,110.2,53.9,19.0,35.1,42.2,102.6,50.0,21.5,35.7,24.6,26.0,-24.0,142.0,108.67890625,114.0578125,109.57227556774885,110.93823109293052,94.96328125,86.92656249999999,91.47190976985218,88.98549850938997,20221212,112.3,88.9,23.39999999999999,103.8,111.9,-8.100000000000009,113.846,86.4631,27.3832,68.1946,-26.662276037696337,144.1575895480449,67.46386042418207,-27.29785724589243,151.3133072927757,-24.626154633906086,151.3133072927757,-27.29785724589243,151.3133072927757,-24.626154633906086,142.91066571459447,-30.79201818083137,104.112,108.695,-4.58279,69.5467,112.3,88.9,23.39999999999999,103.8,111.9,-8.100000000000009,-32.53033944160674,142.0117626557492,0,106.5414801,78.63139186,27.910088240000007,23.95967883,99.47179202,110.0830818,-10.611289780000007,-4.909129649,2022-12-12,135.90892779559488,-21.544932053007244,135.90892779559488,-21.15662527110787,135.90892779559488,5.504965302926396,-3.706010259487897,1.7989550434384993,-27.3832,-24.516899999999993,5.72265418381345,2.866300000000006,-30.239554183813443,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.9888645105203836,0.9983191714534924,-9.282834202103334,-11.983200000000002,-0.4495513031549976,-2.7240999999999964,0.3582874999999994,-1,-1.0,-1,-1,1,-3,-1.0,-3.0
-0.5,18,17.599999999999998,18.23357719859778,21.32496302289684,112.1,111.36666666666667,93.6,93.76666666666668,Sun 12-18 12-18,N,103 (Ⅲ),Stanford,"W, 72-62",65,110.6,51.6,12.3,30.6,17.7,95.2,52.2,27.6,24.1,41.3,1.0,-10.5,133.0,110.389453125,108.67890625,110.41485037849924,111.14946180330676,94.281640625,94.96328125,92.18127317990144,89.82449878040997,20221218,110.7,89.5,21.200000000000003,103.8,93.6,10.200000000000005,112.892,87.458,25.4338,68.1357,-8.932852161688807,129.7453131498072,65.83100752446657,-7.23139284396656,132.63573971024454,-7.98865673380242,132.63573971024454,-7.23139284396656,132.63573971024454,-7.98865673380242,121.19862641189597,-8.54362980336628,105.443,93.7671,11.676,67.9221,110.7,89.5,21.200000000000003,103.8,93.6,10.200000000000005,-11.721234824706547,121.20644101756392,0,104.9185278,80.47285962,24.445668180000013,18.751552,102.9474672,91.02606908,11.921398120000006,14.95825712,2022-12-18,120.37336649856232,-2.4971642378780103,120.37336649856232,-8.22173721689569,120.37336649856232,3.3104331048943747,-8.655506956256652,-5.345073851362277,-7.4338000000000015,-31.950699999999994,-4.357197210791029,-24.516899999999993,-27.593502789208966,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.8413447460685429,0.79208557449466,-7.200222801402223,-7.833800000000004,-9.282834202103334,-3.195070000000001,-2.7240999999999964,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
