ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-11.5,-8,,-8.0,-8.0,91.5,0.0,99.5,0.0,Mon 11-07 11-07,H,347 (Ⅳ),Albany,"W, 67-62",66,101.1,46.2,19.6,28.1,39.6,93.6,45.3,22.6,32.4,34.0,-3.5,-16.5,132.5,91.5,0.0,91.5,91.5,99.5,0.0,99.5,99.5,20221107,104.6,97.0,7.6,92.1,102.4,-10.3,103.337,96.8782,6.45839,69.1544,-14.223938483133495,132.3411656870739,68.62516718065433,-16.357920679823565,138.42782864153997,-1.5233225628659497,138.42782864153997,-16.357920679823565,138.42782864153997,-1.5233225628659497,124.6466013677055,-14.801106666077501,91.8303,101.007,-9.17635,69.762,104.6,97.0,7.6,92.1,102.4,-10.3,-1.5233225628659497,124.6466013677055,0,107.3638717,96.53088146,10.83299024,7.841158086,92.93343246,98.08511031,-5.151677849999999,-9.525748274,2022-11-07,137.37994535118924,-14.45839,-14.45839,0.0,0.0,-14.45839,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,3,0.9419584331306725,0.9206754008067094,-14.45839,,0.0,-14.45839,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
15.0,21,,1.6999999999999975,-2.709090909090909,108.0,0.0,86.9,0.0,Thu 11-10 11-10,A,216 (Ⅲ),Massachusetts,"W, 67-55",64,104.3,60.6,26.5,39.3,44.7,85.7,37.1,17.1,32.6,37.9,-24.0,3.0,146.0,99.75,91.5,97.0,94.5,93.2,99.5,95.3,97.2090909090909,20221110,105.1,97.5,7.599999999999994,104.4,103.3,1.1000000000000083,103.54,97.0817,6.45843,69.1714,0.6528609782947399,147.45527248127385,73.10019776756758,-0.6647646423676008,157.08251625334537,13.003892300976862,157.08251625334537,-0.6647646423676008,157.08251625334537,13.003892300976862,151.59867459205338,-6.487919298731683,101.996,100.251,1.74462,74.2929,105.1,97.5,7.599999999999994,104.4,103.3,1.1000000000000083,13.003892300976862,151.59867459205338,0,107.3638717,96.53088146,10.83299024,7.841158086,108.8954214,111.8655358,-2.9701144,2.930233283,2022-11-10,168.01926693296332,14.54157,0.08318000000000048,-14.45839,-14.45839,14.54157,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,3,0.38754848109799234,0.7316784067355082,-4.758430000000002,,-14.45839,0.04159000000000024,-14.45839,-1,-1.0,1,1,-1,1,-3.0,0.0
2.5,21,11.6,8.366666666666665,1.7289256198347114,119.7,106.4,98.0,94.8,Sun 11-13 11-13,A,120 (Ⅲ),Penn,"W, 80-74",69,116.0,52.8,15.9,36.4,59.3,107.3,53.3,18.8,27.3,16.4,13.0,-3.5,141.0,109.725,99.75,104.56666666666666,99.08181818181818,95.6,93.2,96.20000000000002,97.35289256198344,20221113,105.5,96.7,8.799999999999997,103.6,101.4,2.1999999999999886,104.265,96.5321,7.73329,67.4282,-2.128229425253167,139.86300831715454,67.8109005945946,-0.6923451795938291,143.79553486908782,-3.1427631652343875,143.79553486908782,-0.6923451795938291,143.79553486908782,-3.1427631652343875,136.14461356920927,-5.266160946919868,102.833,103.802,-0.969071,70.699,105.5,96.7,8.799999999999997,103.6,101.4,2.1999999999999886,-3.490318118905488,135.965588364035,0,107.3638717,96.53088146,10.83299024,7.841158086,99.28620261,101.6733861,-2.387183489999998,1.767789425,2022-11-13,142.17082915504471,13.26671,13.34989,-9.611200000000002,0.08318000000000048,22.961090000000002,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,3,0.6305586598182363,0.692004129660961,0.6333766666666651,3.8667099999999994,-4.758430000000002,4.449963333333335,0.04159000000000024,1,-1.0,1,1,1,3,1.0,-3.0
1.5,6,16.533333333333335,7.844444444444448,2.6509391435011294,96.4,108.03333333333336,89.6,91.5,Thu 11-17 11-17,A,107 (Ⅱ),UNC Greensboro,"W, 56-53",61,91.9,45.2,24.6,31.3,21.2,86.9,34.9,14.8,39.1,19.0,-19.0,-1.5,128.0,103.0625,109.725,101.84444444444446,98.59421487603304,92.6,95.6,94.0,95.9432757325319,20221117,106.8,97.2,9.599999999999994,102.1,96.1,6.0,105.392,97.2577,8.13474,67.3678,2.420410800536274,128.48208922169863,63.97008632034141,1.4823661237690402,132.47879502435455,-1.4357077693912232,132.47879502435455,1.4823661237690402,132.47879502435455,-1.4357077693912232,131.69337902138213,-1.9948238685045894,102.827,96.6453,6.18183,66.7544,106.8,97.2,9.599999999999994,102.1,96.1,6.0,-1.5388731503342512,131.76652799475104,0,96.26379141,93.92660212,2.3371892899999978,-7.872182903,94.40007924,100.660894,-6.260814760000002,0.451633071,2022-11-17,121.68206786442985,-2.1347400000000007,11.21515,-1.957503333333336,13.34989,13.172653333333336,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,3,0.5567984968164682,0.5753388624032161,-0.2902955555555531,8.398593333333334,0.6333766666666651,2.8037875000000003,4.449963333333335,-1,1.0,1,1,1,1,3.0,1.0
1.5,2,10.366666666666667,6.0962962962962965,2.641677481046377,116.3,110.8,113.7,100.43333333333334,Tue 11-22 11-22,H,344 (Ⅳ),Coppin St.,"W, 83-67",64,129.9,59.8,14.1,40.6,24.6,104.9,48.3,7.8,17.1,24.1,8.5,-14.5,141.5,109.68125,103.0625,106.66296296296298,101.81344853493611,103.15,92.6,100.56666666666668,99.17177105388971,20221122,106.6,97.2,9.399999999999991,97.4,105.3,-7.899999999999991,105.711,96.9682,8.74304,66.2297,-17.418903045939153,142.8121184227276,70.34102874537695,-16.8250677501254,149.3286641670374,-13.834625768359794,149.3286641670374,-16.8250677501254,149.3286641670374,-13.834625768359794,143.46189244581203,-3.3752477758136905,95.0207,105.312,-10.2911,74.664,106.6,97.2,9.399999999999991,97.4,105.3,-7.899999999999991,-15.268543992045522,142.51334222555738,0,98.68559385,97.23729536,1.448298489999999,-4.768352227,103.3195951,100.879869,2.4397261000000015,4.440987171,2022-11-22,143.9858312283032,-6.743040000000001,4.472109999999999,2.433381111111109,11.21515,2.03872888888889,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.9163531986724158,0.6260661230896578,-2.646743703703704,1.6236266666666666,-0.2902955555555531,0.8944220000000005,2.8037875000000003,-1,-1.0,1,1,1,1,1.0,3.0
-14.5,-17,-2.5333333333333314,-1.602469135802468,-0.9295366064166002,109.9,107.53333333333336,126.9,110.06666666666666,Fri 11-25 11-25,N,266 (Ⅳ),Fairfield,"L, 74-69",62,111.4,47.2,14.5,37.5,44.4,119.5,61.0,14.5,23.3,40.0,15.5,-9.5,127.5,109.790625,109.68125,107.741975308642,103.28373061949318,115.025,103.15,109.34444444444446,104.21326722590976,20221125,107.7,98.1,9.600000000000009,101.0,104.3,-3.299999999999997,106.793,97.9895,8.8037,64.5469,-8.905875830037324,123.08951631253223,60.0460621081081,-8.180263955608389,130.5202814627419,-14.390597822008433,130.5202814627419,-8.180263955608389,130.5202814627419,-14.390597822008433,127.0787588043978,-2.343590448144866,97.516,103.435,-5.91928,65.398,107.7,98.1,9.600000000000009,101.0,104.3,-3.299999999999997,-14.067647915809074,126.65871957793856,0,99.62639866,100.4290692,-0.802670539999994,-7.767814053,99.69726053,104.3108016,-4.613541070000011,-2.006615325,2022-11-25,125.97272234105243,-25.8037,-21.33159,3.1129574074074053,4.472109999999999,-24.444547407407406,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,3,0.817204231217584,0.5883097200397477,-10.406169135802468,-11.33703333333333,-2.646743703703704,-3.5552649999999995,0.8944220000000005,-1,-1.0,-1,-1,1,-3,1.0,1.0
-2.0,9,-1.533333333333336,2.19835390946502,1.0212882311136902,95.7,107.3,85.9,108.83333333333331,Sat 11-26 11-26,N,92 (Ⅲ),South Alabama,"W, 62-60",68,91.6,48.1,20.7,27.3,33.3,88.7,45.7,16.3,16.7,17.2,-10.0,-4.0,132.0,102.7453125,109.790625,103.72798353909468,101.90487050685806,100.4625,115.025,101.52962962962964,100.88358227574436,20221126,108.0,99.7,8.299999999999997,101.0,99.0,2.0,107.198,99.7831,7.41533,64.2371,-5.546139569226341,127.63360272618723,61.96751096756757,-3.9608937388176457,132.14669377665152,-2.258238076166378,132.14669377665152,-3.9608937388176457,132.14669377665152,-2.258238076166378,129.64127477898705,5.014352318130996,99.217,100.745,-1.52821,67.8162,108.0,99.7,8.299999999999997,101.0,99.0,2.0,-0.8213770518204737,127.34938490378111,0,99.62639866,100.4290692,-0.802670539999994,-7.767814053,102.4850961,95.40315618,7.081939920000011,9.195110843,2022-11-26,126.00744010311271,1.58467,-19.74692,-5.035225061728395,-21.33159,-14.711694938271604,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.6483807083005341,0.31648264164121986,-5.216976090534979,-8.948663333333336,-10.406169135802468,-2.820988571428572,-3.5552649999999995,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
5.5,5,-0.4333333333333371,3.432235939643344,1.908326734547563,110.3,105.3,104.4,105.73333333333336,Sun 11-27 11-27,N,225 (Ⅳ),Mercer,"W, 70-60",63,111.4,46.7,17.5,36.8,28.3,95.5,49.0,17.5,21.9,32.7,-3.0,-4.5,133.0,106.52265625,102.7453125,105.9186556927298,103.43125768742932,102.43125,100.4625,102.48641975308644,101.52293095288177,20221127,106.9,99.0,7.900000000000006,102.1,103.7,-1.6000000000000083,106.531,99.5813,6.94963,64.2405,-4.783823951123736,131.60197970443622,61.83838047866287,-6.2099816823239,134.62231323262768,-5.337061568468937,134.62231323262768,-6.2099816823239,134.62231323262768,-5.337061568468937,133.81349235455752,-1.6904607521233928,103.486,104.033,-0.547161,67.6713,106.9,99.0,7.900000000000006,102.1,103.7,-1.6000000000000083,-5.194319142614499,133.0158489050672,0,99.87645106,99.44498222,0.43146883999999375,-6.254456166,101.0606048,103.2885846,-2.2279798,-1.662608209,2022-11-27,129.3668411879631,-1.94963,-21.69655,-9.939123374485597,-19.74692,-11.757426625514402,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,-3,0.6658824291023754,0.5639518276776126,-3.517394060356656,-7.382963333333337,-5.216976090534979,-2.7120687500000003,-2.820988571428572,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-10.0,-24,-2.966666666666669,-5.911842706904435,-2.911369035370175,102.5,102.83333333333331,127.1,105.8,Fri 12-02 12-02,A,363 (Ⅳ),LIU Brooklyn,"W, 74-64",63,118.2,51.8,17.6,47.1,38.6,102.2,50.9,17.6,25.8,18.2,-1.0,-20.0,139.0,104.511328125,106.52265625,104.77910379515322,103.26193810789673,114.765625,102.43125,110.69094650205764,106.17330714326688,20221202,106.4,99.2,7.200000000000003,88.7,108.3,-19.599999999999994,106.162,99.1504,7.01165,63.3711,-12.700341345488908,131.08739390779056,64.92914565064011,-14.35542560078678,134.85636072033327,-14.775416643078692,134.85636072033327,-14.35542560078678,134.85636072033327,-14.775416643078692,128.62272385091967,-6.597801766942865,89.8732,107.819,-17.9458,72.0284,106.4,99.2,7.200000000000003,88.7,108.3,-19.599999999999994,-17.03741740180666,126.74407268495936,0,98.64120424,98.89940477,-0.25820053000001053,-7.91300135,86.24175002,101.7790487,-15.537298680000006,-12.48440733,2022-12-02,123.40412767788538,-31.01165,-52.7082,-13.858265582990398,-21.69655,-38.8499344170096,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9715944860326362,0.7351166116524511,-12.923492706904435,-9.97831666666667,-3.517394060356656,-5.856466666666667,-2.7120687500000003,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
2.0,15,-1.2333333333333345,1.0587715287303765,0.3452435165153118,126.2,113.0,111.2,114.23333333333336,Wed 12-07 12-07,A,57 (I),Clemson,"L, 80-75",66,114.3,48.5,10.7,36.6,22.4,121.9,67.3,19.8,25.0,28.8,23.0,7.0,132.0,115.3556640625,104.511328125,111.91940253010216,107.43249481555183,112.9828125,114.765625,110.86063100137176,107.08725129903654,20221207,106.6,101.2,5.399999999999992,108.4,97.4,11.0,107.024,100.254,6.76935,62.4742,7.5222957473560825,127.34374397192931,60.07707472147938,7.3209987125649505,132.02062980842456,16.97978728191041,132.02062980842456,7.3209987125649505,132.02062980842456,16.97978728191041,129.7521487089762,7.39170726902784,109.434,96.3223,13.1113,67.6026,106.6,101.2,5.399999999999992,108.4,97.4,11.0,8.205678619930593,127.45414817662933,0,100.0337025,100.5528142,-0.5191116999999963,-6.044580131,102.1098525,96.2470092,5.862843300000009,10.39982887,2022-12-07,123.02492037925,8.23065,-44.477549999999994,-26.8082437219936,-52.7082,-17.669306278006395,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.2524925375469229,0.24072506785042513,-5.710578471269624,-8.002683333333335,-12.923492706904435,-4.447755000000001,-5.856466666666667,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
