ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,WinorLose,Score,WinnerScore,LoserScore,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
0.5,21,,21.200000000000003,21.200000000000003,102.3,0.0,81.1,0.0,Mon 11-07 11-07,H,254 (Ⅳ),Sacramento St.,"W, 76-50",68,112.2,57.8,13.3,29.0,7.8,73.8,36.4,31.0,38.5,30.9,-9.5,-25.5,135.5,102.3,0.0,102.3,102.3,81.1,0.0,81.1,81.1,20221107,W, 76-50,76,50,109.9,89.5,20.4,97.8,103.2,-5.4,112.012,88.8222,23.1898,69.7446,-25.296545119585026,134.24040279301616,67.87082153598863,-21.91191512738365,140.2366400697679,-19.312992709226485,140.2366400697679,-21.91191512738365,140.2366400697679,-19.312992709226485,118.35163377556819,-20.69595670878168,93.4072,102.559,-9.15192,68.4113,109.9,89.5,20.4,97.8,103.2,-5.4,-19.312992709226485,118.35163377556819,0,107.9646445,91.58508814,16.37955636000001,17.48309121,90.25713328,99.21027772,-8.953144439999988,-11.43047233,2022-11-07,132.43885117456313,-21.58176758315193,132.43885117456313,-19.55358368451833,132.43885117456313,0.0,0.0,0.0,-2.1898000000000017,-2.1898000000000017,0.0,0.0,-2.1898000000000017,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.9924207805612802,0.9756405495685992,-1.989799999999999,,0.0,-2.1898000000000017,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
4.5,26,,22.96666666666667,22.163636363636364,113.0,0.0,86.5,0.0,Fri 11-11 11-11,H,151 (Ⅳ),Long Beach St.,"W, 93-69",81,114.7,52.7,18.5,40.0,22.7,85.1,40.9,21.0,27.9,28.8,18.5,-19.5,143.5,107.65,102.3,105.86666666666667,104.24545454545454,83.8,81.1,82.9,82.08181818181818,20221111,W, 93-69,93,69,110.5,90.0,20.5,102.0,99.8,2.200000000000003,112.222,89.0321,23.1898,69.762,-18.924717686167973,145.73925459362096,73.02126476244666,-18.02065562584886,151.2637857524126,-5.825223293647866,151.2637857524126,-18.02065562584886,151.2637857524126,-5.825223293647866,137.24217424646648,-20.386693593017085,100.822,98.2045,2.61726,73.5844,110.5,90.0,20.5,102.0,99.8,2.200000000000003,-5.825223293647866,137.24217424646648,0,107.9646445,91.58508814,16.37955636000001,17.48309121,97.48362915,102.7923224,-5.308693250000005,-6.889223234,2022-11-11,149.97284798001658,-19.949868541604516,149.97284798001658,-15.639548444291293,149.97284798001658,0.0,0.0,0.0,2.8101999999999983,0.6203999999999965,-2.1898000000000017,-2.1898000000000017,2.8101999999999983,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,3,0.9683545838833274,0.9739066146615075,-0.22313333333333318,,-1.989799999999999,0.31019999999999825,-2.1898000000000017,-1,-1.0,1,1,-1,1,-3.0,0.0
9.5,30,26.166666666666668,25.57777777777778,23.73388429752066,124.1,113.13333333333333,93.3,86.96666666666665,Mon 11-14 11-14,H,220 (Ⅳ),Norfolk St.,"W, 86-56",63,136.0,67.0,11.1,33.3,32.1,88.6,49.1,20.6,20.7,7.3,-3.5,-20.5,145.5,115.875,107.65,111.94444444444446,107.85537190082644,88.55,83.8,86.36666666666667,84.12148760330578,20221114,W, 86-56,86,56,111.3,90.3,21.0,101.8,98.4,3.3999999999999915,112.955,89.5555,23.3992,71.163,-20.56289105923309,142.7895650865809,70.84342447937412,-16.842919800552693,146.3947779909057,-22.404637724737533,146.3947779909057,-16.842919800552693,146.3947779909057,-22.404637724737533,145.27341811372509,-15.854692655413992,99.5764,99.7656,-0.189226,69.9843,111.3,90.3,21.0,101.8,98.4,3.3999999999999915,-22.37277044622248,145.25026222672685,0,107.9646445,91.58508814,16.37955636000001,17.48309121,97.77163137,98.12627454,-0.3546431700000028,1.081952088,2022-11-14,142.05073862513945,-13.786874067070968,142.05073862513945,-16.106819302781545,142.05073862513945,0.22313333333333318,-0.22313333333333318,0.0,6.6008,7.221199999999996,-1.2530666666666692,0.6203999999999965,8.474266666666665,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.9745535036187463,0.9344745533591122,2.178577777777779,2.7674666666666674,-0.22313333333333318,2.4070666666666654,0.31019999999999825,1,-1.0,1,1,1,3,1.0,-3.0
-12.5,7,21.6,19.55185185185185,20.78226897069872,102.9,113.33333333333331,95.4,91.73333333333332,Fri 11-18 11-18,N,50 (I),Illinois,"L, 79-70",77,91.1,43.8,19.5,32.7,19.4,102.8,64.7,27.3,17.9,37.3,4.5,-3.5,144.5,109.3875,115.875,108.92962962962964,106.95439519158526,91.975,88.55,89.3777777777778,86.17212622088654,20221118,L, 79-70,79,70,112.9,90.6,22.30000000000001,110.4,91.3,19.10000000000001,114.214,89.9107,24.3037,70.0386,-3.660388905475685,146.13391606093134,72.86086665832148,-2.275844834837514,151.286064720316,-3.908493326502046,151.286064720316,-2.275844834837514,151.286064720316,-3.908493326502046,141.50149493411382,-7.618671505993305,109.286,90.4519,18.8342,73.1328,112.9,90.6,22.30000000000001,110.4,91.3,19.10000000000001,-4.04214142697657,141.04651827544816,0,107.9971823,85.92103373,22.07614857,25.97728363,106.098332,93.88094703,12.217384969999998,11.38056464,2022-11-18,143.42713453874592,-10.635295959793794,143.42713453874592,-4.661746190824076,143.42713453874592,-1.140014814814812,2.072737037037033,0.9327222222222211,-17.3037,-10.082500000000003,1.5716888888888858,7.221199999999996,-11.65418888888889,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.6305586598182363,0.7659542373089976,-4.751848148148149,-2.7036999999999978,2.178577777777779,-2.5206250000000026,2.4070666666666654,-1,1.0,-1,-1,1,-3,3.0,1.0
-2.0,14,17.433333333333334,17.70123456790124,19.54912915784441,113.2,113.4,99.2,95.96666666666664,Sun 11-20 11-20,N,17 (I-A),Baylor,"L, 80-75",69,109.1,50.8,11.6,22.9,26.2,116.3,53.6,16.0,27.3,41.1,8.0,3.0,147.0,111.29375,109.3875,110.35308641975313,108.08995970220612,95.5875,91.975,92.65185185185186,88.54083054436171,20221120,L, 80-75,80,75,112.9,91.3,21.60000000000001,116.1,93.0,23.099999999999994,113.268,90.1844,23.0837,70.9454,0.8662895414685181,154.575775171563,74.19647547795165,0.7599176852890537,159.97188456605502,0.34991345023750114,159.97188456605502,0.7599176852890537,159.97188456605502,0.34991345023750114,159.98206285040058,5.083832338841702,116.732,91.9065,24.8258,73.5215,112.9,91.3,21.60000000000001,116.1,93.0,23.099999999999994,0.30813322294478557,160.0634479455351,0,106.8312849,90.83756616,15.993718740000006,19.12227158,117.0478313,93.24800004,23.799831260000005,22.78983968,2022-11-20,156.13942003851372,2.7212062659536826,156.13942003851372,1.8958573493421795,156.13942003851372,1.0995651851851882,-2.079215925925922,-0.979650740740734,-9.0837,-19.166200000000003,-2.3130407407407434,-10.082500000000003,-16.85315925925926,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.38754848109799234,0.31413101324608117,-5.382465432098762,-5.650366666666667,-4.751848148148149,-3.83324,-2.5206250000000026,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
31.0,39,20.3,24.93415637860083,23.1583784018727,123.4,113.16666666666669,84.0,92.86666666666667,Wed 11-23 11-23,H,190 (Ⅳ),Pepperdine,"W, 100-53",73,137.2,62.7,12.3,40.6,29.9,72.7,40.8,23.3,18.4,11.7,1.5,-16.0,151.5,117.346875,111.29375,114.70205761316876,110.87360339271407,89.79375,95.5875,89.76790123456792,87.71522499084139,20221123,W, 100-53,100,53,113.7,92.2,21.5,100.9,98.8,2.1000000000000085,114.397,91.7739,22.6226,68.97,-19.52234393608707,149.74139297022458,70.72201459459461,-18.133335742449873,149.0231202144039,-8.725149366306397,149.0231202144039,-18.133335742449873,149.0231202144039,-8.725149366306397,142.47412692838586,-19.0522685526972,103.701,102.248,1.45294,72.0858,113.7,92.2,21.5,100.9,98.8,2.1000000000000085,-8.697314359948152,142.771703401432,0,111.7514743,87.94282064,23.808653660000004,28.75771325,100.1293673,97.42007418,2.709293119999998,16.26875125,2022-11-23,142.94491448312397,-11.25847265613369,142.94491448312397,-4.539984684439716,142.94491448312397,20.04568393139332,-6.314643668430342,13.731040262962978,16.3774,-2.788800000000002,-7.930760493827163,-19.166200000000003,5.1419604938271615,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,3,0.9362218501099964,0.9651997445213768,2.31155637860083,-2.3225999999999978,-5.382465432098762,-0.4648000000000039,-3.83324,1,-1.0,1,-1,-1,1,-3.0,-3.0
-2.0,19,24.133333333333336,22.956104252400557,22.40230960153221,113.6,116.73333333333332,94.6,92.6,Sun 11-27 11-27,H,253 (Ⅳ),Bellarmine,"W, 81-60",67,121.5,63.7,12.0,19.0,43.1,90.0,52.8,30.0,29.0,11.1,5.5,-23.0,135.5,115.4734375,117.346875,114.33470507544584,111.36931186676608,92.196875,89.79375,91.37860082304528,88.96700226523386,20221127,W, 81-60,81,60,114.8,91.6,23.200000000000003,103.0,108.3,-5.299999999999997,115.396,91.6875,23.7084,68.2985,-22.664616423251424,133.22754688706706,60.94314987695591,-22.6152015347567,137.50962091549673,-22.505958978834418,137.50962091549673,-22.6152015347567,137.50962091549673,-22.505958978834418,135.02801753609066,-22.986647174523952,102.272,108.335,-6.06269,62.7291,114.8,91.6,23.200000000000003,103.0,108.3,-5.299999999999997,-22.32261648129886,132.27103548590227,0,110.9481184,89.20635026,21.741768140000005,25.79947736,99.14628786,107.5489307,-8.402642839999999,-11.07613253,2022-11-27,130.69229222199948,-24.30518658135211,130.69229222199948,-18.829755462151304,130.69229222199948,-0.165168385067612,-0.3318108318636064,-0.4969792169312184,-4.708400000000001,-7.497200000000003,-6.216773662551444,-2.788800000000002,-1.2804263374485592,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,3,0.9857551401446322,0.9857090098727206,-0.7522957475994438,0.4249333333333354,2.31155637860083,-1.0710285714285703,-0.4648000000000039,-1,1.0,-1,-1,-1,-3,1.0,-3.0
7.5,43,33.833333333333336,29.67073616826704,26.165526037617266,127.4,121.46666666666664,84.3,87.63333333333333,Thu 12-01 12-01,A,73 (Ⅱ),Stanford,"W, 80-66",67,119.5,64.8,23.9,35.0,20.4,98.6,53.8,25.4,34.4,26.4,9.5,-6.5,136.5,121.43671875,115.4734375,118.68980338363058,114.28398243644496,88.2484375,92.196875,89.01906721536352,88.1184563988277,20221201,W, 80-66,80,66,114.5,91.6,22.90000000000001,104.8,93.3,11.5,114.901,91.4937,23.4073,68.8019,-3.6386651257184184,130.86330532024823,64.82000227112376,-3.427244200607163,134.67838482362043,-3.532609472678917,134.67838482362043,-3.427244200607163,134.67838482362043,-3.532609472678917,129.50913554749422,-3.7810932709047904,104.841,93.3422,11.4984,66.2314,114.5,91.6,22.90000000000001,104.8,93.3,11.5,-5.099893370374542,125.9028608799886,0,108.7478077,90.23864368,18.50916402,21.79577779,100.0699902,93.1999341,6.8700561000000135,12.52581834,2022-12-01,127.24577644791611,-3.8823662309574587,127.24577644791611,-7.3690345677299405,127.24577644791611,-3.699418041674848,-0.2116949670128605,-3.9111130086877086,19.5927,12.095499999999998,-6.643582441700964,-7.497200000000003,18.739082441700962,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,-3,0.732057505466481,0.6406153644488324,6.263436168267042,10.426033333333336,-0.7522957475994438,1.5119374999999984,-1.0710285714285703,1,-1.0,1,1,-1,3,-3.0,1.0
-1.0,18,26.76666666666667,25.847157445511364,24.717248576232304,106.0,115.66666666666669,87.8,88.89999999999999,Sun 12-04 12-04,H,37 (Ⅱ),Oregon,"W, 65-56",62,104.4,43.8,14.5,44.4,17.2,89.9,53.1,24.1,20.0,14.3,-20.0,-10.0,141.0,113.718359375,121.43671875,114.45986892242038,112.7778038116368,88.02421874999999,88.2484375,88.61271147690903,88.06055523540448,20221204,W, 65-56,65,56,116.5,91.7,24.8,110.0,96.7,13.299999999999995,116.119,91.7271,24.3917,69.0912,-10.024516449520064,139.03036101887213,65.4316268517781,-11.920652875512744,143.51687514916597,-10.9601394606626,143.51687514916597,-11.920652875512744,143.51687514916597,-10.9601394606626,142.66914266965048,-2.6574904211693635,111.098,95.8772,15.2205,66.5764,116.5,91.7,24.8,110.0,96.7,13.299999999999995,-11.439162513321461,134.98546283160323,0,109.249361,91.22875242,18.020608579999987,19.6443474,106.8347398,87.87950286,18.955236939999992,17.05538894,2022-12-04,129.8102042439268,-3.8622684742705786,129.8102042439268,-8.365408406388426,129.8102042439268,-0.10875721498248225,4.7499346726871,4.641177457704618,-6.3917,5.7037999999999975,-0.3972216278006444,12.095499999999998,6.101021627800642,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.8295480920359348,0.5999023382475122,1.4554574455113638,2.374966666666669,6.263436168267042,0.6337555555555561,1.5119374999999984,1,1.0,1,1,1,3,3.0,-3.0
-3.5,16,25.83333333333334,22.631438297007577,23.168657926008247,109.5,114.3,93.3,88.46666666666665,Sat 12-10 12-10,H,277 (Ⅳ),Denver,"W, 87-64",74,117.7,51.9,8.1,30.2,10.1,86.6,55.4,32.5,30.8,45.7,4.5,-26.5,146.5,111.6091796875,113.718359375,112.8065792816136,112.18183948224828,90.662109375,88.02421874999999,90.17514098460602,89.01318155624003,20221210,W, 87-64,87,64,116.4,91.9,24.5,104.7,110.3,-5.599999999999994,115.969,91.4153,24.5539,68.4034,-25.83852978386416,150.25250455543124,67.99103355732575,-26.788279946557154,157.0816639011016,-29.265130491657498,157.0816639011016,-26.788279946557154,157.0816639011016,-29.265130491657498,155.2486645496054,-18.040458214640246,103.462,109.145,-5.68285,69.8762,116.4,91.9,24.5,104.7,110.3,-5.599999999999994,-25.54420603614872,147.48753443978183,0,109.7858279,88.9671701,20.818657799999997,20.76797431,102.9337831,101.8195849,1.1141982000000041,-0.56618258,2022-12-10,142.0479381057424,-16.601358407778108,142.0479381057424,-25.342376230401726,142.0479381057424,-4.493946266034845,3.8643301922748314,-0.6296160737600136,-8.553899999999999,-2.850100000000001,1.636452248132903,5.7037999999999975,-4.486552248132904,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,3,0.9941954594266154,0.9571143564850492,-1.9224617029924218,1.2794333333333405,1.4554574455113638,-0.28500999999999976,0.6337555555555561,-1,1.0,-1,-1,1,-3,3.0,3.0
