ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
12.0,-11,,-11.799999999999995,-11.799999999999995,87.7,0.0,99.5,0.0,Wed 11-09 11-09,A,146 (Ⅲ),LSU,"L, 74-63",74,85.6,36.2,21.7,25.6,46.6,100.6,49.1,20.4,32.5,45.6,-0.5,23.0,137.5,87.7,0.0,87.7,87.7,99.5,0.0,99.5,99.5,20221109,88.5,101.8,-13.299999999999995,102.2,91.1,11.100000000000009,93.0848,103.763,-10.678,71.4562,23.161228452513598,142.5867001680161,72.35900792091039,21.15440256532179,137.14238613088432,17.36658142371462,137.14238613088432,21.15440256532179,137.14238613088432,17.36658142371462,130.68791116769964,20.482007155256028,107.888,91.6448,16.243,71.1882,88.5,101.8,-13.299999999999995,102.2,91.1,11.100000000000009,17.36658142371462,130.68791116769964,0,97.48320084,98.96346802,-1.4802671799999985,-1.750300992,101.4800938,79.74591052,21.73418328000001,28.85616141,2022-11-09,132.3200484859388,24.447174219175622,132.3200484859388,19.659363580047987,132.3200484859388,0.0,0.0,0.0,-0.3219999999999992,-0.3219999999999992,0.0,0.0,-0.3219999999999992,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,3,0.01424485985536783,0.0255483149755259,-1.1219999999999946,,0.0,-0.3219999999999992,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-12.5,-20,,-14.799999999999995,-13.436363636363632,80.2,0.0,101.0,0.0,Fri 11-11 11-11,A,37 (I-A),Illinois,"L, 86-48",75,64.1,33.6,32.1,34.1,10.9,114.9,53.1,14.7,35.9,40.6,-7.5,25.5,141.5,83.95,87.7,85.20000000000002,86.33636363636363,100.25,99.5,100.0,99.77272727272728,20221111,89.2,101.7,-12.5,109.3,90.7,18.599999999999994,93.4229,103.064,-9.64066,71.9727,23.943528775385168,145.15263634479328,74.59310008036984,27.159974048700363,147.04903348066642,20.535261885881255,147.04903348066642,27.159974048700363,147.04903348066642,20.535261885881255,134.06469177279993,15.775945383948013,107.495,89.9012,17.5939,72.8595,89.2,101.7,-12.5,109.3,90.7,18.599999999999994,20.535261885881255,134.06469177279993,0,97.48320084,98.96346802,-1.4802671799999985,-1.750300992,110.2999962,96.58302322,13.716972979999994,20.90812049,2022-11-11,155.29643375419045,19.190291575549665,155.29643375419045,25.35076343471401,155.29643375419045,0.0,0.0,0.0,-10.35934,-10.681339999999999,-0.3219999999999992,-0.3219999999999992,-10.35934,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.007579219438719753,0.06648775741922375,-5.159339999999995,,-1.1219999999999946,-5.340669999999999,-0.3219999999999992,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
3.5,-7,-13.5,-12.5,-12.429752066115698,89.3,85.73333333333333,97.2,99.23333333333332,Thu 11-17 11-17,A,20 (I-A),Kansas St.,"L, 69-53",65,81.4,44.9,33.8,40.6,30.6,106.0,47.4,21.5,42.9,29.3,-16.5,19.5,138.5,86.625,83.95,86.56666666666669,86.87520661157023,98.725,100.25,99.06666666666666,99.30495867768592,20221117,89.7,102.4,-12.700000000000005,107.9,91.7,16.200000000000003,93.89,104.16,-10.2695,71.534,19.7930092239705,142.1132803135678,72.88785472261736,25.064763785302723,144.24134759449362,29.292878622039733,144.24134759449362,25.064763785302723,144.24134759449362,29.292878622039733,122.18615566742686,7.9503564561236,104.224,92.386,11.8383,71.6305,89.7,102.4,-12.700000000000005,107.9,91.7,16.200000000000003,29.40529338811636,122.33851631241642,0,94.11111372,98.24433284,-4.133219119999993,-2.608289406,91.95211758,89.85843149,2.0936860900000056,3.545320246,2022-11-17,130.4765382329253,6.535655739063117,130.4765382329253,32.09048157443617,130.4765382329253,19.97660666666666,-5.159339999999993,14.817266666666669,3.2695000000000007,-7.411839999999998,-3.775113333333332,-10.681339999999999,-3.6367266666666658,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.0316454161166726,0.22447197215475123,-2.2304999999999993,-3.2304999999999993,-5.159339999999995,-2.4706133333333327,-5.340669999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
30.0,18,-3.5,-2.2666666666666666,-6.860706235912843,114.9,94.8,96.7,98.3,Mon 11-21 11-21,N,95 (Ⅲ),Toledo,"W, 83-71",67,124.4,60.0,16.5,39.1,56.0,106.4,45.5,12.0,31.6,19.7,4.0,18.0,150.0,100.7625,86.625,96.01111111111112,91.97062359128472,97.7125,98.725,98.2777777777778,98.83132982719756,20221121,90.3,102.8,-12.5,108.6,98.2,10.399999999999991,94.5403,104.612,-10.0722,69.5219,15.462554499754773,153.37476263582255,73.44321206088193,17.24023777942911,150.37250946527746,22.619098890845432,150.37250946527746,17.24023777942911,150.37250946527746,22.619098890845432,151.81124779568026,-4.817657789833291,110.426,99.8091,10.6169,74.2652,90.3,102.8,-12.5,108.6,98.2,10.399999999999991,22.80880007679706,151.70293456500448,0,103.0979957,99.20365708,3.894338619999999,3.087725993,104.1511174,106.4418881,-2.290770699999996,3.282219618,2022-11-21,159.94048828868074,0.14284236545364593,159.94048828868074,22.71843359749947,159.94048828868074,10.683016666666663,-3.3915299999999977,7.291486666666666,28.072200000000002,20.660360000000004,-4.987355555555554,-7.411839999999998,25.647715555555557,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.04323813274683286,0.6768199186902826,7.805533333333334,6.5722000000000005,-2.2304999999999993,5.165090000000001,-2.4706133333333327,1,-1.0,1,1,-1,3,-3.0,-3.0
12.0,7,5.899999999999996,0.9555555555555524,-4.267850556655963,95.8,100.0,88.4,94.1,Tue 11-22 11-22,N,101 (Ⅲ),Indiana St.,"W, 63-61",67,93.5,40.0,19.3,36.4,62.0,90.5,50.0,26.7,27.3,37.3,-24.5,10.0,148.5,98.28125,100.7625,95.94074074074076,92.66687384741478,93.05625,97.7125,94.9851851851852,96.93472440407074,20221122,93.0,102.8,-9.799999999999995,103.8,98.4,5.399999999999992,96.9344,104.059,-7.12507,67.7462,8.09348114397342,143.7131003795041,70.83101309843526,11.011179556446407,143.64623767911326,11.595915670318066,143.64623767911326,11.011179556446407,143.64623767911326,11.595915670318066,136.41524128561363,-1.324515476258938,103.496,99.2561,4.24038,73.5011,93.0,102.8,-9.799999999999995,103.8,98.4,5.399999999999992,11.756601482965053,136.52050581255315,0,101.4699337,95.45811584,6.011817859999994,6.967283349,99.95344926,95.83270981,4.120739450000002,13.0235725,2022-11-22,139.61456388908832,4.2897309618239206,139.61456388908832,12.403559741878226,139.61456388908832,3.396374481481484,4.280139333333333,7.676513814814816,14.125070000000001,34.785430000000005,3.5618829629629642,20.660360000000004,31.22354703703704,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.17045190796406517,0.5501911617008759,8.080625555555553,13.025069999999996,7.805533333333334,6.957086000000002,5.165090000000001,1,1.0,1,1,1,3,3.0,-3.0
-8.0,-27,-0.5666666666666723,-8.462962962962969,-8.455514091809427,95.6,102.09999999999998,122.9,102.66666666666669,Wed 11-23 11-23,N,193 (Ⅲ),Florida Gulf Coast,"L, 73-59",60,98.2,40.7,18.3,42.9,30.5,121.5,49.2,5.0,35.0,21.9,0.5,6.0,131.5,96.940625,98.28125,95.82716049382717,93.20016951152118,107.978125,93.05625,104.29012345679014,101.6556836033306,20221123,93.4,101.8,-8.399999999999991,104.5,103.5,1.0,96.8069,102.785,-5.97855,66.9294,3.4850027876807133,134.17509601852944,66.33865045945946,6.604029584699205,138.07127339097752,6.8884326795794735,138.07127339097752,6.604029584699205,138.07127339097752,6.8884326795794735,127.42360537018324,5.2156310006674715,101.449,102.26,-0.810189,69.6795,93.4,101.8,-8.399999999999991,104.5,103.5,1.0,6.757236116746555,127.48542292609883,0,99.90453374,96.09329203,3.8112417100000044,5.143863835,103.5362515,91.90893748,11.62731402,4.159083407,2022-11-23,130.08999082064884,-0.6532900459240807,130.08999082064884,7.613992281623169,130.08999082064884,6.514068603174615,7.085214380952366,13.599282984126981,-21.02145,13.763980000000004,13.969731975308644,34.785430000000005,-0.2057519753086403,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-3,0.2838545830986763,0.3096908738121684,-2.4844129629629688,5.411883333333328,8.080625555555553,2.2939966666666676,6.957086000000002,-1,1.0,-1,1,1,-1,3.0,3.0
-13.0,-16,-12.000000000000004,-11.008641975308644,-9.845420620571348,80.0,90.46666666666664,96.1,102.46666666666664,Sat 11-26 11-26,H,229 (Ⅳ),SIU Edwardsville,"L, 64-54",70,77.5,34.7,21.5,31.7,37.3,91.8,34.3,14.3,40.4,31.3,-21.5,-3.0,139.5,88.4703125,96.940625,90.55144032921812,90.8001386912446,102.0390625,107.978125,101.56008230452676,100.64555931181592,20221126,93.8,102.9,-9.100000000000009,98.4,102.9,-4.5,97.1536,104.069,-6.9155,65.2712,-3.229621063927226,135.19486474622644,67.505090571835,-0.5555833420728788,136.71411226556066,-1.2076953479487766,136.71411226556066,-0.5555833420728788,136.71411226556066,-1.2076953479487766,129.68997536319247,-4.2126435590739675,97.0921,103.152,-6.06002,72.706,93.8,102.9,-9.100000000000009,98.4,102.9,-4.5,-0.5786619412968728,128.70117146580006,0,99.82363515,96.54072844,3.282906710000006,4.40830835,99.53347432,96.95201505,2.5814592699999963,-3.046623975,2022-11-26,133.42799486276098,-6.935470241860671,133.42799486276098,0.6881885035699753,133.42799486276098,7.546024269841239,1.3077911375661602,8.8538154074074,-9.0845,4.679480000000003,13.901147983539097,13.763980000000004,-9.221667983539094,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.6124515189020077,0.6558650866548148,-4.093141975308644,-5.084500000000004,-2.4844129629629688,0.6684971428571433,2.2939966666666676,-1,-1.0,-1,1,1,-1,-1.0,3.0
-14.5,-25,-23.066666666666663,-15.939094650205762,-12.74625323501292,97.2,90.93333333333334,123.0,114.0,Tue 11-29 11-29,H,244 (Ⅳ),Idaho St.,"L, 75-65",63,102.9,40.4,12.7,31.4,43.9,118.7,53.8,11.1,29.0,37.7,15.0,-4.5,125.0,92.83515625,88.4703125,92.76762688614542,91.96374983829102,112.51953125,102.0390625,108.7067215363512,104.71000307330394,20221129,92.6,102.1,-9.5,95.9,105.8,-9.899999999999991,95.3307,103.451,-8.12027,64.3945,-6.507977923035597,118.34195863113575,60.64780265504978,-3.454470123873115,122.13185175566619,-8.371496838648627,122.13185175566619,-3.454470123873115,122.13185175566619,-8.371496838648627,120.5352284392701,-6.299919534129089,92.1311,105.536,-13.4047,66.2097,92.6,102.1,-9.5,95.9,105.8,-9.899999999999991,-4.655057707901412,114.33517783251274,0,96.15683406,96.29481652,-0.13798246000000347,0.498941647,92.9589022,98.24416394,-5.28526174000001,-11.29989668,2022-11-29,114.79686284466077,-8.762167071982887,114.79686284466077,-4.6148605188795315,114.79686284466077,2.1680493885949206,-3.618475579071128,-1.4504261904762075,-16.879730000000002,-12.200249999999999,10.827258655692734,4.679480000000003,-23.027508655692735,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.6658824291023754,0.7257443286052098,-7.818824650205762,-14.946396666666663,-4.093141975308644,-1.5250312499999996,0.6684971428571433,-1,-1.0,-1,-1,1,-3,-1.0,-1.0
6.0,5,-12.1,-8.75939643347051,-9.410570828646934,88.1,88.43333333333334,82.5,100.53333333333336,Sat 12-03 12-03,H,351 (Ⅳ),Lindenwood,"W, 61-47",65,93.8,46.9,30.7,46.9,50.0,72.3,32.8,16.9,20.5,20.7,-28.0,-8.0,136.0,90.467578125,92.83515625,91.21175125743028,91.26124986769264,97.509765625,112.51953125,99.9711476909008,100.67182069633958,20221203,93.5,103.9,-10.400000000000006,88.8,108.7,-19.90000000000001,95.7145,105.342,-9.62727,64.2181,-7.626502576227601,129.26427422940625,63.470319962162165,-9.64288068204209,126.50956981001195,-3.5064764807071906,126.50956981001195,-9.64288068204209,126.50956981001195,-3.5064764807071906,128.16112255465947,0.2094856744230782,94.0326,110.125,-16.0926,69.4814,93.5,103.9,-10.400000000000006,88.8,108.7,-19.90000000000001,-3.8939077826486668,119.46227346152796,0,95.53098825,99.93301651,-4.402028260000009,-4.57907625,100.8441279,99.41810562,1.426022279999998,-0.786971437,2022-12-03,127.44081398421825,0.6773739660787683,127.44081398421825,1.8751225463993961,127.44081398421825,14.051378505046031,-8.34266338648832,5.708715118557711,14.62727,2.4270200000000006,3.151422437128492,-12.200249999999999,-0.7244024371284912,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.7769415761393583,0.4920412239293638,0.8678735665294894,-2.4727300000000003,-7.818824650205762,0.26966888888888896,-1.5250312499999996,1,-1.0,-1,1,-1,1,-3.0,-1.0
-5.5,-3,-7.733333333333334,-6.839597622313674,-8.245012496165673,95.6,93.63333333333333,98.6,101.36666666666667,Tue 12-06 12-06,A,42 (I),Oklahoma,"L, 75-53",65,81.5,39.6,24.6,35.1,32.1,115.3,65.6,21.5,14.3,46.7,5.5,16.5,122.5,93.0337890625,90.467578125,92.67450083828686,92.05011352811216,98.0548828125,97.509765625,99.51409846060054,100.29512602427782,20221206,93.6,102.8,-9.200000000000005,109.0,93.9,15.099999999999994,95.4006,104.292,-8.89169,64.115,17.915870813324574,116.34952737003263,57.217210981507826,17.538148002110283,118.2329735611612,18.090890602419908,118.2329735611612,17.538148002110283,118.2329735611612,18.090890602419908,119.66716478129318,9.590671874182895,109.963,93.2069,16.7565,62.7368,93.6,102.8,-9.200000000000005,109.0,93.9,15.099999999999994,16.357762153898218,112.9669625104406,0,94.57319964,98.60299925,-4.029799609999998,-3.965354353,102.5550612,95.38108208,7.1739791199999985,1.754037668,2022-12-06,112.93723550470074,4.856844954733546,112.93723550470074,18.183151918795595,112.93723550470074,2.9129392072439177,-4.6441093566113825,-1.7311701493674647,5.8916900000000005,8.318710000000001,2.909954958085662,2.4270200000000006,5.40875504191434,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-3,0.05804156686932749,0.18051680693156846,2.0520923776863267,1.1583566666666663,0.8678735665294894,0.8318710000000014,0.26966888888888896,1,1.0,1,1,1,3,1.0,-3.0
