ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
10.0,0,,0.0999999999999943,0.0999999999999943,93.0,0.0,92.9,0.0,Mon 11-07 11-07,A,31 (I-A),North Carolina,"L, 69-56",64,87.1,32.8,17.1,39.0,41.4,107.3,47.9,14.0,25.0,62.5,-26.5,23.0,151.5,93.0,0.0,93.0,93.0,92.9,0.0,92.9,92.9,20221107,99.7,102.9,-3.2,111.0,89.3,21.7,97.2773,100.287,-3.0096,69.0382,22.221552916257203,139.71556809546797,70.70071449189189,22.340363461630446,147.56882928182944,15.93147496211372,147.56882928182944,22.340363461630446,147.56882928182944,15.93147496211372,128.00432686206818,16.174766549597678,111.619,88.3004,23.3183,71.9929,99.7,102.9,-3.2,111.0,89.3,21.7,15.93147496211372,128.00432686206818,0,93.63646759,98.70087389,-5.064406300000002,-2.738945195,107.4489474,95.22222914,12.226718259999998,10.81541769,2022-11-07,141.58697296199477,11.642593142927666,141.58697296199477,19.767212764788056,141.58697296199477,0.0,0.0,0.0,3.0096,3.0096,0.0,0.0,3.0096,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.01424485985536783,0.06172486887483153,3.109599999999994,,0.0,3.0096,0.0,1,0.0,1,1,1,3,0.0,0.0
-9.0,-19,,-6.566666666666672,-3.5363636363636424,91.1,0.0,111.0,0.0,Tue 11-15 11-15,A,46 (I),Oklahoma,"L, 74-53",61,86.7,36.8,11.5,25.6,28.1,121.1,63.3,19.6,30.8,32.7,-0.5,12.0,127.5,92.05,93.0,92.36666666666667,92.65454545454544,101.95,92.9,98.93333333333334,96.1909090909091,20221115,100.9,104.2,-3.299999999999997,104.9,91.4,13.5,98.2767,101.312,-3.03487,68.4496,15.620471718628558,130.16193851876753,66.76172828449504,15.551332759473027,138.23928269499316,3.648280104152696,138.23928269499316,15.551332759473027,138.23928269499316,3.648280104152696,105.6068122212345,16.209370587293627,105.336,90.2333,15.103,68.5665,100.9,104.2,-3.299999999999997,104.9,91.4,13.5,3.791713273119452,105.52607075674557,0,93.63646759,98.70087389,-5.064406300000002,-2.738945195,105.2855391,91.34786458,13.937674519999987,14.95452916,2022-11-15,130.00038492564562,13.79597235458887,130.00038492564562,6.817173598586351,130.00038492564562,-12.928399999999996,0.0,-12.928399999999996,-15.96513,-12.95553,3.0096,3.0096,-15.965129999999998,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,3,0.12654895447355774,0.06132450510763021,-3.5317966666666716,,3.109599999999994,-6.477765,3.0096,-1,1.0,-1,-1,1,-3,3.0,0.0
-17.5,-3,-7.800000000000007,-5.577777777777785,-3.5479338842975268,101.8,95.3,105.4,103.1,Fri 11-18 11-18,A,3 (I-A),Connecticut,"L, 86-50",66,76.1,33.6,19.8,30.2,36.4,130.9,63.5,15.2,24.0,44.2,2.0,18.5,134.0,96.925,92.05,95.51111111111112,94.31735537190082,103.675,101.95,101.0888888888889,97.86528925619834,20221118,100.6,105.0,-4.400000000000006,106.5,93.1,13.400000000000006,98.4173,102.139,-3.72154,67.4495,19.473439468093126,134.36872050364667,67.11513085704125,16.452496824028536,141.69119947485115,24.451438733329997,141.69119947485115,16.452496824028536,141.69119947485115,24.451438733329997,125.04124214169188,21.46398287415579,109.679,89.9068,19.7722,69.9515,100.6,105.0,-4.400000000000006,106.5,93.1,13.400000000000006,24.378942825734914,124.87638501204502,0,93.44777078,105.2079216,-11.760150820000007,-4.272539379,101.202748,86.14764672,15.055101280000002,20.02748048,2022-11-18,129.11131288593688,18.33624908136143,129.11131288593688,21.484135051806334,129.11131288593688,6.3280022222222305,-3.531796666666671,2.7962055555555594,0.7215400000000001,-12.233989999999999,-2.3121099999999997,-12.95553,-9.921879999999998,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,3,0.039042694968427716,0.02046744737221806,-1.8562377777777845,-4.078460000000007,-3.5317966666666716,-4.0779966666666665,-6.477765,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
20.0,14,-3.1666666666666714,0.9481481481481424,-0.3574004507888855,102.7,98.53333333333336,88.7,101.7,Fri 11-25 11-25,N,145 (Ⅲ),Missouri St.,"W, 68-54",65,104.5,48.1,18.4,28.1,39.6,83.0,40.0,23.1,32.4,75.6,-10.0,6.0,132.0,99.8125,96.925,97.90740740740742,95.84147257700975,96.1875,103.675,96.95925925925928,96.19887302779864,20221125,101.0,106.1,-5.099999999999994,102.0,101.0,1.0,99.1435,103.748,-4.6048,65.5864,6.514097342226968,128.02108410641685,61.91897271123756,3.9508921242010615,133.70958677640692,17.66473123667064,133.70958677640692,3.9508921242010615,133.70958677640692,17.66473123667064,123.5516412233964,2.8171681896838834,105.237,99.4602,5.77703,66.369,101.0,106.1,-5.099999999999994,102.0,101.0,1.0,17.747281641894723,123.43972277879831,0,94.81065885,96.365087,-1.5544281500000068,0.407979862,100.8752876,97.85726358,3.0180240199999986,0.604262118,2022-11-25,120.83400013093049,0.12153595652963389,120.83400013093049,13.861823353817606,120.83400013093049,15.135590370370375,-3.2423970370370423,11.893193333333333,18.6048,6.370810000000002,-5.619403333333333,-12.233989999999999,11.990213333333335,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.2838545830986763,0.3942335364346842,5.552948148148142,1.4381333333333286,-1.8562377777777845,1.5927025000000001,-4.0779966666666665,1,-1.0,1,1,-1,3,-3.0,-3.0
4.0,2,4.233333333333334,1.3987654320987652,0.1257632675363685,103.9,102.8,101.6,98.56666666666666,Sat 11-26 11-26,N,138 (Ⅲ),Vermont,"W, 68-66",66,103.7,44.8,9.1,12.1,64.6,100.6,55.4,25.9,25.0,47.8,6.0,2.0,128.0,101.85625,99.8125,99.90493827160496,97.3066593811898,98.89375,96.1875,98.50617283950618,97.18089611365342,20221126,101.0,104.8,-3.799999999999997,103.6,101.9,1.6999999999999886,99.835,101.98,-2.14513,65.8195,1.8241262718055324,125.77458340260463,61.36689977027029,3.5648137106582283,133.34905166999053,-0.9918960929776455,133.34905166999053,3.5648137106582283,133.34905166999053,-0.9918960929776455,119.02327989664197,-4.42043086604653,102.455,101.664,0.790843,65.5443,101.0,104.8,-3.799999999999997,103.6,101.9,1.6999999999999886,0.5003805471284383,122.02069042164293,0,94.81065885,96.365087,-1.5544281500000068,0.407979862,95.30026087,104.257254,-8.95699313,-0.775086653,2022-11-26,120.22886805806868,-0.7260112424756784,120.22886805806868,-0.8477731577956789,120.22886805806868,-7.239048454569211,2.1694689259259214,-5.069579528643289,4.14513,10.515940000000002,-1.622665555555555,6.370810000000002,12.138605555555557,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.4244679994402739,0.6631200551194395,3.5438954320987652,6.378463333333334,5.552948148148142,2.1031880000000003,1.5927025000000001,1,1.0,1,1,1,3,3.0,-3.0
13.0,12,9.733333333333334,5.232510288065841,2.448351764347936,103.1,103.23333333333332,90.2,93.5,Sun 11-27 11-27,N,73 (Ⅱ),North Texas,"W, 55-51",57,96.2,44.6,12.2,16.7,43.5,89.2,46.2,29.7,44.4,15.4,-11.5,9.0,117.5,102.478125,101.85625,100.96995884773663,98.35999403915528,94.546875,98.89375,95.7374485596708,95.91164227480732,20221127,100.7,104.2,-3.5,104.8,94.2,10.599999999999994,100.26,101.986,-1.72609,65.8911,7.706272156202715,114.67543709206572,56.39556450938833,8.333540948323865,118.5697242721422,5.2194309144354065,118.5697242721422,8.333540948323865,118.5697242721422,5.2194309144354065,108.88171646339674,2.946402586571324,106.922,95.0653,11.8567,60.1691,100.7,104.2,-3.5,104.8,94.2,10.599999999999994,5.280246045019175,108.97556362647096,0,94.95928528,96.78035178,-1.8210665000000006,-2.576167471,101.6592834,98.26884304,3.3904403600000137,13.32592593,2022-11-27,111.38829184181283,8.96807534230414,111.38829184181283,2.9596829892064562,111.38829184181283,-7.0353228271605115,5.496965382716054,-1.5383574444444577,13.72609,24.24203,2.423536296296297,10.515940000000002,21.8184937037037,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.19568296915377603,0.3895048607599162,6.958600288065841,11.459423333333334,3.5438954320987652,4.040338333333333,2.1031880000000003,1,1.0,1,1,1,3,3.0,3.0
3.5,-1,4.466666666666669,2.888340192043896,1.6759241708301302,90.0,99.0,91.8,94.53333333333336,Wed 11-30 11-30,A,250 (Ⅳ),Coastal Carolina,"W, 60-58",66,91.5,49.1,21.4,28.9,14.0,88.5,38.3,25.9,30.3,59.6,-13.0,1.5,131.0,96.2390625,102.478125,97.3133058984911,96.83999512294524,93.1734375,94.546875,94.4249657064472,95.16407095211508,20221130,100.8,103.2,-2.4000000000000057,97.5,104.0,-6.5,100.075,100.323,-0.247999,65.7123,1.985246637425604,127.66467347926647,62.93948397268848,0.9949830318264219,132.7055042762167,-5.75670147895035,132.7055042762167,0.9949830318264219,132.7055042762167,-5.75670147895035,124.49528894095705,-4.992363906507144,100.348,103.133,-2.78506,67.3336,100.8,103.2,-2.4000000000000057,97.5,104.0,-6.5,-5.553814566699824,123.10808962649962,0,96.00019602,95.1943479,0.8058481200000074,0.262558078,91.50348057,104.2401082,-12.736627630000001,-8.241357313,2022-11-30,120.73608865352233,-3.6603203242543145,120.73608865352233,-10.927896913902913,120.73608865352233,-18.57328219429747,7.8318573794826465,-10.741424814814822,-0.752001,23.490029,9.696367530864197,24.24203,13.793661469135802,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.4432015031835318,0.6827715819118532,3.136339192043896,4.714665666666669,6.958600288065841,3.3557184285714285,4.040338333333333,1,1.0,1,1,1,3,3.0,3.0
8.0,12,7.966666666666664,6.19222679469593,3.698483412497379,110.6,101.23333333333332,97.8,93.26666666666664,Tue 12-06 12-06,H,209 (Ⅳ),East Carolina,"W, 74-61",63,118.0,55.8,22.3,44.4,86.0,97.2,42.4,15.9,41.9,42.4,-2.0,-5.0,137.0,103.41953125,96.2390625,101.7422039323274,99.34181419150065,95.48671875,93.1734375,95.54997713763146,95.64333077900324,20221206,100.4,102.5,-2.0999999999999943,101.5,105.6,-4.099999999999994,100.36,100.048,0.312694,65.5135,-6.027905538259425,129.78158044025878,63.4580721820768,-5.123944716597663,136.8800905063092,-7.735952725196106,136.8800905063092,-5.123944716597663,136.8800905063092,-7.735952725196106,129.72147332446067,-7.395901541392888,100.75,104.218,-3.46777,68.0944,100.4,102.5,-2.0999999999999943,101.5,105.6,-4.099999999999994,-6.625974813698996,127.85154147859565,0,95.76086871,94.63751844,1.123350270000003,0.393060413,98.88017042,103.9306353,-5.050464880000007,-5.346998328,2022-12-06,125.90549942844841,-5.375345211284163,125.90549942844841,-9.215569299125491,125.90549942844841,-8.387603979433111,5.486727829446735,-2.9008761499863756,11.687306,35.177335,14.294254687242798,23.490029,20.8830803127572,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6830306580593271,0.7593992985886296,5.87953279469593,7.6539726666666645,3.136339192043896,4.397166875,3.3557184285714285,1,1.0,1,1,1,3,3.0,3.0
26.0,43,18.13333333333333,18.59481786313062,10.91694097386149,129.7,110.09999999999998,86.3,91.96666666666664,Sat 12-10 12-10,H,133 (Ⅲ),Jacksonville,"W, 81-53",62,130.3,62.0,14.5,32.1,37.0,85.3,46.1,20.9,23.3,15.7,9.5,-2.0,124.5,116.559765625,103.41953125,111.06146928821826,104.8614843385005,90.893359375,95.48671875,92.46665142508763,93.94454336463902,20221210,101.5,102.4,-0.9000000000000057,104.2,98.0,6.200000000000003,101.231,99.9685,1.26208,65.064,-2.2851247370891485,117.90322782327993,58.36203779231863,0.8765617987497194,123.73241568754241,-3.542384918058866,123.73241568754241,0.8765617987497194,123.73241568754241,-3.542384918058866,111.67723245212389,-3.026282656963275,102.427,99.4211,3.00557,63.0587,101.5,102.4,-0.9000000000000057,104.2,98.0,6.200000000000003,-0.40369484044559417,112.31247998365399,0,96.59853257,94.87913534,1.7193972299999984,2.249625953,97.03019921,95.18550281,1.8446964000000037,-5.833800882,2022-12-10,110.53886614379532,-6.322504517169577,110.53886614379532,-2.2375125429150486,110.53886614379532,-1.5904972362635323,6.136728384411672,4.54623114814814,41.73792,76.915255,21.255281458161868,35.177335,55.659973541838134,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.5755320005597261,0.6134098332396358,17.332737863130617,16.87125333333333,5.87953279469593,8.546139444444446,4.397166875,1,1.0,1,1,1,3,3.0,3.0
-3.5,8,21.433333333333326,15.096545242087078,10.404769887704852,109.8,116.7,101.7,95.26666666666664,Sun 12-18 12-18,H,194 (Ⅳ),High Point,"W, 85-82",77,110.5,53.7,22.1,32.4,64.8,106.6,48.4,14.3,30.2,50.0,21.5,-6.5,145.5,113.1798828125,116.559765625,110.64097952547884,105.75939627695496,96.2966796875,90.893359375,95.54443428339178,95.35462638925011,20221218,103.0,100.1,2.9000000000000057,103.1,104.7,-1.6000000000000083,102.98,98.9114,4.06818,65.7121,-8.400268677939437,142.1205683521313,68.46911051137981,-7.396132002212909,148.10105610517158,-15.166523349653836,148.10105610517158,-7.396132002212909,148.10105610517158,-15.166523349653836,146.8278492195039,-11.683175982045348,102.056,104.33,-2.27477,73.2495,103.0,100.1,2.9000000000000057,103.1,104.7,-1.6000000000000083,-8.686278000679572,142.6234981981433,0,99.6320599,93.49993295,6.13212695,10.5701409,99.58745385,104.632908,-5.045454149999998,-7.196979612,2022-12-18,138.63311068763616,-14.114458501790061,138.63311068763616,-11.74239624434432,138.63311068763616,-10.806021225530088,13.872736007575508,3.0667147820454206,3.93182,80.847075,39.80860597210791,76.915255,41.03846902789209,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.732057505466481,0.8670777920739763,11.028365242087078,17.365153333333325,17.332737863130617,8.0847075,8.546139444444446,1,1.0,1,1,1,3,3.0,3.0
