ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-13.0,-15,,-15.0,-15.0,84.9,0.0,99.9,0.0,Fri 11-11 11-11,A,172 (Ⅲ),Texas A&M Corpus Chris,"L, 75-55",70,78.6,40.2,27.2,28.2,45.1,107.2,54.5,21.4,34.4,37.5,-14.5,7.0,144.5,84.9,0.0,84.9,84.9,99.9,0.0,99.9,99.9,20221111,93.7,101.9,-8.200000000000003,96.5,97.8,-1.2999999999999972,93.0311,103.44,-10.409,73.4501,8.221923522903055,143.16515228775404,75.72538140497868,9.29257668906763,147.0957032770339,12.385215235360679,147.0957032770339,9.29257668906763,147.0957032770339,12.385215235360679,116.24643026776519,24.736646470444626,94.4537,99.0065,-4.5528,72.4777,93.7,101.9,-8.200000000000003,96.5,97.8,-1.2999999999999972,12.385215235360679,116.24643026776519,0,90.32133455,107.5284637,-17.20712915,-18.03972796,104.345316,94.95463605,9.390679949999992,3.579292008,2022-11-11,153.70618475846373,18.338092922241245,153.70618475846373,7.244647239014299,153.70618475846373,0.0,0.0,0.0,-4.590999999999999,-4.590999999999999,0.0,0.0,-4.590999999999999,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.2524925375469229,0.009239664582111118,-4.590999999999999,,0.0,-4.590999999999999,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
10.0,2,,-9.300000000000004,-11.89090909090909,90.0,0.0,87.9,0.0,Thu 11-17 11-17,H,215 (Ⅳ),Texas St.,"W, 61-56",66,92.5,51.0,28.8,31.0,30.6,84.9,39.8,15.2,29.5,15.6,-18.0,5.0,135.0,87.45,84.9,86.60000000000001,85.82727272727273,93.9,99.9,95.9,97.71818181818182,20221117,94.0,102.8,-8.799999999999997,100.6,97.9,2.6999999999999886,93.2749,104.877,-11.6023,71.6463,3.0239634809317977,137.388323041325,69.5553083398293,4.2154508011876715,138.95411790158244,7.1741783536041535,138.95411790158244,4.2154508011876715,138.95411790158244,7.1741783536041535,134.26849611772633,-4.710741533433435,99.4894,101.216,-1.72635,68.2483,94.0,102.8,-8.799999999999997,100.6,97.9,2.6999999999999886,7.143872784170712,134.2697636482159,0,91.03132368,96.89592637,-5.864602689999998,1.20814592,95.2277867,102.9109057,-7.683119000000005,-6.534342505,2022-11-17,132.45130600015818,-7.280995196294825,132.45130600015818,2.384448710300461,132.45130600015818,-0.2925333333333291,0.0,-0.2925333333333291,13.6023,9.0113,-4.590999999999999,-4.590999999999999,13.6023,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.31696934194067294,0.6731550529482878,2.3022999999999954,,-4.590999999999999,4.505649999999999,-4.590999999999999,1,-1.0,1,1,-1,3,-3.0,0.0
8.0,0,-4.400000000000001,-6.3000000000000025,-9.783471074380165,115.8,96.9,116.1,101.3,Tue 11-22 11-22,H,277 (Ⅳ),Prairie View A&M,"W, 82-75",72,113.5,64.1,19.4,16.0,67.4,103.8,43.8,11.1,29.7,42.2,18.0,1.0,139.0,101.625,87.45,96.33333333333334,91.27685950413225,105.0,93.9,102.63333333333334,101.0603305785124,20221122,94.6,102.2,-7.600000000000008,95.8,103.4,-7.600000000000008,93.8214,104.364,-10.5427,70.3813,-2.573931500352785,138.80096611211724,70.49523160654337,-3.8873704170903096,141.21047405224886,10.554798156783395,141.21047405224886,-3.8873704170903096,141.21047405224886,10.554798156783395,132.25977786401418,6.810979857663767,95.7051,104.465,-8.76023,70.4138,94.6,102.2,-7.600000000000008,95.8,103.4,-7.600000000000008,10.53791344206526,132.38514824840317,0,94.41555132,96.9769006,-2.5613492799999875,4.844051004,111.1823003,98.25248128,12.929819019999996,16.69319049,2022-11-22,144.41665514861367,6.166653643234895,144.41665514861367,19.734106158188254,144.41665514861367,28.352316666666667,2.3022999999999954,30.654616666666662,10.5427,19.554000000000002,-0.05690000000000017,9.0113,19.6109,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.46206285593374585,0.2582775472518791,4.2426999999999975,6.142699999999999,2.3022999999999954,6.518000000000002,4.505649999999999,1,1.0,1,1,1,3,3.0,-3.0
-24.5,-38,-12.266666666666673,-17.06666666666667,-15.022839969947407,79.1,94.96666666666664,117.7,107.23333333333332,Fri 11-25 11-25,H,184 (Ⅳ),Grambling St.,"L, 75-55",69,79.5,34.3,23.1,34.1,57.4,108.4,49.3,14.4,35.7,17.6,-10.0,-4.5,140.0,90.3625,101.625,90.5888888888889,89.06288504883545,111.35,105.0,107.65555555555557,104.08572501878288,20221125,95.8,102.7,-6.900000000000006,92.5,104.4,-11.900000000000006,94.9553,104.916,-9.96056,69.7086,-5.5367834830358476,139.48178270102528,71.06628158065435,-7.618551436068103,141.90956334559917,-9.226594326094625,141.90956334559917,-7.618551436068103,141.90956334559917,-9.226594326094625,134.6571116823964,4.103428326770569,92.8546,105.027,-12.1728,71.6692,95.8,102.7,-6.900000000000006,92.5,104.4,-11.900000000000006,-9.344414898841753,135.23717650903995,0,91.89021767,99.12441736,-7.234199689999997,-5.0547731,99.49750165,95.51110764,3.986394009999998,5.990608887,2022-11-25,135.31737908751137,5.850375488544657,135.31737908751137,-2.2121275242820957,135.31737908751137,-0.4305166666666693,5.068183333333328,4.637666666666659,-28.03944,-8.485439999999997,6.4800666666666675,19.554000000000002,-14.965506666666665,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6658824291023754,0.34797154035069866,-7.106106666666671,-2.3061066666666736,4.2426999999999975,-2.1213599999999992,6.518000000000002,-1,1.0,-1,-1,1,-3,3.0,3.0
-6.0,-14,-17.900000000000002,-16.311111111111114,-14.98232361177515,99.8,98.23333333333332,114.6,116.13333333333333,Sun 11-27 11-27,H,263 (Ⅳ),Dartmouth,"L, 78-77 OT",75,103.3,48.5,10.7,17.5,25.8,104.6,50.8,13.4,16.7,27.4,13.5,-5.0,141.5,95.08125,90.3625,93.65925925925929,91.015087767229,112.975,111.35,109.97037037037038,105.99741137900416,20221127,94.1,103.9,-9.800000000000011,95.3,104.6,-9.299999999999995,93.9085,106.121,-12.2129,68.3439,-2.2078390437796855,136.3781972040585,68.36382958677099,-3.458857010186108,138.2544458135169,-5.55742092580434,138.2544458135169,-3.458857010186108,138.2544458135169,-5.55742092580434,136.52371672795525,-2.5120199572638313,95.5897,105.499,-9.9097,70.3205,94.1,103.9,-9.800000000000011,95.3,104.6,-9.299999999999995,-5.555812822591522,136.64883776020747,0,91.76653036,98.83842118,-7.071890819999993,-4.868815387,98.21370143,103.8236574,-5.6099559700000015,-2.074860052,2022-11-27,134.66139396524062,0.06232510973876515,134.66139396524062,-3.7674992518052264,134.66139396524062,-4.201286481481484,-2.1287646666666724,-6.330051148148156,-1.7871000000000006,-10.272539999999998,1.491564444444447,-8.485439999999997,-11.764104444444445,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,3,0.6830306580593271,0.5945402546526173,-4.098211111111114,-5.687100000000003,-7.106106666666671,-2.0545080000000002,-2.1213599999999992,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
-1.0,-9,-21.000000000000004,-14.07407407407408,-14.003719318725125,99.1,92.66666666666669,108.7,113.66666666666669,Mon 11-28 11-28,H,340 (Ⅳ),Incarnate Word,"W, 68-62",63,108.4,52.6,17.5,33.3,17.5,98.8,41.4,12.7,33.3,15.6,-2.5,-7.0,132.5,97.090625,95.08125,95.47283950617285,92.485071809551,110.8375,112.975,109.54691358024692,106.48879112827612,20221128,94.4,104.8,-10.399999999999991,94.6,108.0,-13.400000000000006,93.6831,106.339,-12.6562,67.7738,-7.602001518037582,128.1820265783782,64.73911482731151,-5.606317668642163,133.61830063887172,-1.0996185903252869,133.61830063887172,-5.606317668642163,133.61830063887172,-1.0996185903252869,125.68184020744474,2.0239538392541903,90.5312,109.416,-18.8847,67.1522,94.4,104.8,-10.399999999999991,94.6,108.0,-13.400000000000006,-1.1189519343301735,125.61071850433535,0,90.41851996,101.8371424,-11.418622440000007,-11.18807173,93.15340214,95.92481549,-2.771413350000003,-8.998464741,2022-11-28,120.46675027510786,-0.21220284193051953,120.46675027510786,6.865199899279403,120.46675027510786,22.274943830687832,-6.91399441269842,15.360949417989412,3.6562,-6.6163399999999974,-2.429803703703701,-10.272539999999998,-4.186536296296296,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.7475074624530771,0.42357444131574296,-1.4178740740740796,-8.343800000000003,-4.098211111111114,-1.1027233333333353,-2.0545080000000002,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
2.0,-7,-10.466666666666669,-11.716049382716054,-12.730315806229648,107.8,102.23333333333332,114.8,112.7,Sat 12-10 12-10,A,46 (I),New Mexico,"L, 94-76",74,102.9,47.5,20.3,28.6,37.7,127.2,55.8,10.8,29.0,88.5,22.0,20.0,148.0,102.4453125,97.090625,99.58189300411524,95.26960420781444,112.81875,110.8375,111.2979423868313,107.9999200140441,20221210,95.3,106.2,-10.900000000000006,110.3,97.4,12.899999999999991,94.7068,107.573,-12.8665,66.8828,19.416701790317312,144.18854829836073,68.20485318463727,21.096431534317944,147.17369006033385,27.450136153347987,147.17369006033385,21.096431534317944,147.17369006033385,27.450136153347987,142.32365394605057,20.143736359161153,108.978,99.8395,9.13822,71.6896,95.3,106.2,-10.900000000000006,110.3,97.4,12.899999999999991,26.024134158040564,141.88585517400344,0,92.38337239,105.875769,-13.49239661,-12.31829366,102.9941321,92.72889881,10.265233289999998,7.724242066,2022-12-10,136.50108413664424,15.535850829537821,136.50108413664424,26.66005587143794,136.50108413664424,15.819190862564492,-3.8266322751322726,11.99255858743222,5.8665,-0.7498399999999972,-3.8253158024691327,-6.6163399999999974,3.0754758024691355,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,-3,0.028405513967363794,0.027526919615854184,1.150450617283946,2.3998333333333317,-1.4178740740740796,-0.1071200000000001,-1.1027233333333353,1,-1.0,1,-1,-1,1,-3.0,-3.0
1.5,-6,-7.833333333333338,-10.110699588477372,-11.670258386915169,103.8,103.56666666666666,110.7,111.4,Tue 12-13 12-13,A,45 (I),Utah,"L, 91-70",77,91.5,44.2,11.8,9.5,38.3,119.0,55.8,17.0,39.4,24.6,20.0,22.5,141.0,103.12265625,102.4453125,100.98792866941017,96.82058526093908,111.759375,112.81875,111.09862825788753,108.49084364785423,20221213,95.9,106.6,-10.699999999999989,106.4,92.3,14.100000000000009,95.6124,108.362,-12.7497,67.6591,22.3432478288589,133.86337970458294,65.40613858904695,20.50075443753805,135.93575807229337,31.65984545399748,135.93575807229337,20.50075443753805,135.93575807229337,31.65984545399748,142.44762828233232,22.677567379313047,107.712,92.1728,15.5392,67.9591,95.9,106.6,-10.699999999999989,106.4,92.3,14.100000000000009,23.863735332478605,132.2731326506645,0,94.86857961,106.631587,-11.763007389999999,-11.04518832,103.206187,86.02542287,17.18076413,20.00944226,2022-12-13,129.10814696537827,22.225091008941256,129.10814696537827,29.305589823781816,129.10814696537827,14.73845000300874,-0.5629047148736053,14.175545288135135,6.749700000000001,5.9998600000000035,-2.800157201646088,-0.7498399999999972,8.800017201646092,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,-3,0.016062285603828275,0.015395304561244938,2.6390004115226287,4.916366666666662,1.150450617283946,0.7499824999999998,-0.1071200000000001,1,1.0,1,1,-1,3,1.0,-3.0
16.5,-2,-5.300000000000002,-7.407133058984916,-9.912029589294226,111.5,107.7,113.5,113.0,Sun 12-18 12-18,H,356 (Ⅳ),Bethune Cookman,"W, 90-69",70,128.1,56.0,18.5,41.2,48.3,98.2,50.0,17.1,22.2,21.7,17.5,-4.5,141.5,107.311328125,103.12265625,104.49195244627344,99.48956975895015,112.6296875,111.759375,111.89908550525836,109.4015993482444,20221218,96.3,107.0,-10.700000000000005,93.0,109.5,-16.5,95.9323,108.505,-12.5726,68.6286,-6.3185881166374855,138.1153873101352,66.94217174253201,-8.011356088125652,140.74146476825615,-6.4715833050101805,140.74146476825615,-8.011356088125652,140.74146476825615,-6.4715833050101805,139.84235221652975,-6.276466170043236,93.7859,109.917,-16.1311,68.5725,96.3,107.0,-10.700000000000005,93.0,109.5,-16.5,-11.796691260206106,135.69863738881529,0,96.00254336,106.619428,-10.616884639999995,-10.61646795,90.9641057,104.7907006,-13.82659489999999,-5.510376977,2022-12-18,135.63918249202874,1.6948866228722679,135.63918249202874,-9.303390878916751,135.63918249202874,-10.611540926306951,1.9823571433470466,-8.629183782959904,10.5726,16.572460000000003,0.13318186556927558,5.9998600000000035,16.439278134430726,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,3,0.6658824291023754,0.7249995184507796,5.165466941015084,7.272599999999998,2.6390004115226287,1.8413844444444454,0.7499824999999998,1,1.0,1,1,1,3,3.0,1.0
-11.0,-18,-9.133333333333336,-11.10475537265661,-11.473478754877092,94.4,103.23333333333332,112.9,112.36666666666667,Thu 12-22 12-22,H,56 (Ⅱ),North Texas,"L, 78-54",64,84.6,37.5,20.4,25.0,32.7,122.1,55.8,14.1,37.5,23.3,8.5,13.0,123.5,100.8556640625,107.311328125,101.12796829751564,98.56419343914104,112.76484375,112.6296875,112.23272367017223,110.03767219401811,20221222,97.5,107.5,-10.0,102.9,92.9,10.0,97.0114,108.454,-11.4425,68.7266,10.983960261182006,120.98592497280748,59.57990096358464,8.829802810210147,122.9596300069841,6.235586153234529,122.9596300069841,8.829802810210147,122.9596300069841,6.235586153234529,120.56042231274675,5.268970771897898,105.563,93.0118,12.5511,60.9439,97.5,107.5,-10.0,102.9,92.9,10.0,7.798726112263973,118.16443280553976,0,97.00938382,107.4070282,-10.397644380000003,-9.651860308,98.09375517,94.07127318,4.022481989999989,10.73991193,2022-12-22,120.25619702890754,10.472084836036288,120.25619702890754,6.253194449197977,120.25619702890754,-11.200761413032916,4.813301950035326,-6.38745946299759,-6.557499999999999,10.014960000000004,5.612941243712852,16.572460000000003,4.402018756287152,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.10784037468050733,0.3079017357258056,0.3377446273433904,2.3091666666666644,5.165466941015084,1.0014960000000013,1.8413844444444454,1,1.0,1,1,1,3,3.0,3.0
