ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
8.0,27,,27.10000000000001,27.10000000000001,109.7,0.0,82.6,0.0,Mon 11-07 11-07,H,73 (Ⅱ),Utah Valley,"W, 75-58",72,104.1,51.6,13.9,27.0,25.0,80.5,35.2,12.5,15.9,32.8,-3.5,-9.0,136.5,109.7,0.0,109.7,109.7,82.6,0.0,82.6,82.6,20221107,103.5,89.8,13.7,101.9,95.0,6.9,104.227,91.7144,12.5128,71.2601,-10.643383347251351,138.34295554143753,72.52169773058321,-8.998521016677984,140.93078794220398,-21.121166276629758,140.93078794220398,-8.998521016677984,140.93078794220398,-21.121166276629758,123.92028541426458,-0.38853216130361545,99.2353,96.3293,2.90595,71.5446,103.5,89.8,13.7,101.9,95.0,6.9,-21.121166276629758,123.92028541426458,0,104.6036756,100.43853,4.1651456000000024,5.725548508,105.6540117,96.40897656,9.245035139999999,7.988009567,2022-11-07,153.38691620427227,14.4872,14.4872,0.0,0.0,14.4872,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,-3,0.804317030846224,0.5147587182456583,14.587200000000008,,0.0,14.4872,0.0,1,0.0,1,1,1,3,0.0,0.0
14.5,36,,30.23333333333334,28.80909090909092,123.1,0.0,86.6,0.0,Fri 11-11 11-11,H,85 (Ⅱ),Bradley,"W, 84-62",72,117.3,54.5,20.9,33.3,48.2,86.5,41.4,15.4,20.5,37.9,8.5,-7.5,137.5,116.4,109.7,114.16666666666669,112.13636363636364,84.6,82.6,83.93333333333334,83.32727272727273,20221111,104.1,90.3,13.799999999999995,101.5,94.3,7.200000000000003,104.432,91.9193,12.5128,71.2772,-10.079423739385803,140.57205292371623,71.99919849388336,-8.709123029709403,139.92868151235888,-28.700042037955598,139.92868151235888,-8.709123029709403,139.92868151235888,-28.700042037955598,135.82117415938137,-5.2473926927830945,101.914,97.9202,3.99396,71.0121,104.1,90.3,13.799999999999995,101.5,94.3,7.200000000000003,-28.700042037955598,135.82117415938137,0,104.6036756,100.43853,4.1651456000000024,5.725548508,97.90426185,95.51203639,2.3922254599999917,2.633701223,2022-11-11,146.0292611330912,23.4872,37.9744,14.4872,14.4872,23.4872,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,-3,0.7624747379730235,0.691375032755448,17.720533333333343,,14.587200000000008,18.9872,14.4872,1,1.0,1,1,1,3,3.0,0.0
15.0,31,31.83333333333334,30.7888888888889,29.371074380165293,123.4,118.73333333333332,91.5,86.89999999999999,Mon 11-14 11-14,H,77 (Ⅲ),Santa Clara,"W, 96-74",79,121.8,60.0,11.4,22.9,22.9,93.9,45.4,16.5,21.4,32.3,22.0,-7.0,148.0,119.9,116.4,117.24444444444448,114.18429752066116,88.05,84.6,86.45555555555556,84.81322314049586,20221114,105.9,90.7,15.200000000000005,102.0,96.2,5.799999999999997,105.705,92.2023,13.5028,70.9798,-9.63799995515761,147.84367150795367,75.94778019800853,-11.48395672960308,151.0015495284007,-13.5255800007844,151.0015495284007,-11.48395672960308,151.0015495284007,-13.5255800007844,139.65054885838643,-2.516362218221559,102.012,95.8693,6.14241,75.2204,105.9,90.7,15.200000000000005,102.0,96.2,5.799999999999997,-13.54265517733093,139.5763345448918,0,104.6036756,100.43853,4.1651456000000024,5.725548508,104.463148,97.85719479,6.60595321000001,9.354602673,2022-11-14,160.74495753712543,17.4972,55.4716,22.316266666666667,37.9744,33.15533333333333,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,-3,0.7475074624530771,0.5947005742448548,17.286088888888898,18.33053333333334,17.720533333333343,18.49053333333333,18.9872,1,1.0,1,1,1,3,3.0,3.0
-4.0,0,22.700000000000003,20.425925925925934,23.9763335837716,110.2,118.90000000000002,110.5,96.2,Thu 11-17 11-17,A,209 (Ⅲ),San Diego,"W, 91-89 OT",77,118.7,63.3,22.2,38.2,43.3,116.1,50.0,13.0,37.8,25.3,31.5,-6.0,148.5,115.05,119.9,114.89629629629631,113.45987978963186,99.275,88.05,94.47037037037038,89.48354620586025,20221117,107.5,91.1,16.400000000000006,100.7,99.3,1.4000000000000057,107.238,92.5852,14.6525,71.5545,-5.540012579216594,145.631112949544,72.31981761806544,-6.992094460817469,146.49791461059723,-20.569146923976323,146.49791461059723,-6.992094460817469,146.49791461059723,-20.569146923976323,156.83611871110872,-3.6500997484656637,102.252,100.75,1.50148,71.0519,107.5,91.1,16.400000000000006,100.7,99.3,1.4000000000000057,-20.73753137907817,156.9340249569773,0,108.444685,95.52858294,12.91610206,20.03525629,107.3356433,104.6796576,2.6559857000000022,1.484427541,2022-11-17,159.57726307825098,-14.6525,40.819100000000006,33.36804444444444,55.4716,7.451055555555563,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,3,0.7161454169013237,0.6359404179414849,5.773425925925935,8.047500000000003,17.286088888888898,10.204775,18.49053333333333,1,1.0,1,1,1,3,3.0,3.0
0.5,20,17.46666666666667,20.550617283950626,23.39881838672222,119.2,117.6,98.4,100.13333333333333,Tue 11-22 11-22,H,70 (Ⅱ),Oral Roberts,"W, 95-85",81,117.6,68.8,23.5,20.0,41.1,105.2,56.1,18.6,13.5,18.2,20.5,-9.5,159.5,117.125,115.05,116.3308641975309,114.5035380096988,98.8375,99.275,95.78024691358026,91.10471962297656,20221122,109.6,93.8,15.799999999999995,108.7,103.8,4.900000000000006,109.238,94.8551,14.3833,70.6902,-11.188690846252229,155.26989749562605,71.6475846290185,-13.078363597272542,158.3593080234653,-23.69482128625233,158.3593080234653,-13.078363597272542,158.3593080234653,-23.69482128625233,154.91857346029087,-14.397257181882637,109.579,103.942,5.63705,71.2521,109.6,93.8,15.799999999999995,108.7,103.8,4.900000000000006,-23.58356910490073,155.2271667196481,0,108.5040558,96.49059427,12.01346153,17.59441809,97.38055194,99.49238198,-2.111830040000001,-2.652250054,2022-11-22,148.28273869041118,5.6167,46.43580000000001,35.85172962962963,40.819100000000006,10.584070370370377,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.817204231217584,0.9148386032559381,6.167317283950625,3.0833666666666684,5.773425925925935,9.28716,10.204775,1,1.0,1,1,1,3,3.0,3.0
-13.5,4,8.333333333333334,15.200411522633752,19.96266958913636,117.7,115.7,113.2,107.36666666666667,Thu 12-01 12-01,H,138 (Ⅲ),Utah Tech,"W, 86-81",71,121.1,66.4,16.9,14.8,29.1,114.1,59.6,21.1,21.9,46.2,19.5,-18.5,147.5,117.4125,117.125,116.78724279835394,115.08471291702628,106.01875,98.8375,101.5868312757202,95.1220433278899,20221201,109.5,93.9,15.599999999999994,99.6,102.9,-3.300000000000012,109.688,95.2961,14.3915,70.6889,-18.977374342762268,142.2289200067471,68.40201855945946,-17.462818477397477,144.8506092315726,-22.300849097510376,144.8506092315726,-17.462818477397477,144.8506092315726,-22.300849097510376,152.63545474081985,-10.210988911350597,97.7306,105.006,-7.27511,68.0257,109.5,93.9,15.599999999999994,99.6,102.9,-3.300000000000012,-21.408068378593445,150.82991144361984,0,107.8624961,96.43490637,11.427589730000008,16.98337901,103.3849372,100.5407332,2.8442039999999906,2.525858063,2022-12-01,146.0093118493168,-10.3915,36.04430000000001,39.37975308641976,46.43580000000001,-3.3354530864197542,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,3,0.9609573050315723,0.8345928853218216,0.8089115226337515,-6.058166666666667,6.167317283950625,6.007383333333333,9.28716,1,1.0,-1,1,1,1,3.0,3.0
14.5,31,19.0,20.700274348422504,22.09672966383884,115.9,117.6,84.2,98.6,Sun 12-04 12-04,N,99 (Ⅲ),San Francisco,"W, 82-64",72,113.4,54.0,11.1,26.7,29.0,88.5,50.0,24.9,21.4,27.3,-6.5,-3.5,152.5,116.65625,117.4125,116.49149519890264,115.2329469321124,95.109375,106.01875,95.79122085048012,93.13621726827355,20221204,110.5,96.0,14.5,103.6,95.5,8.099999999999994,110.475,96.9567,13.5184,70.7967,-4.133974187354909,152.82420603630334,72.73368965547654,-4.514881559634105,152.42958481087936,-5.968681144883993,152.42958481087936,-4.514881559634105,152.42958481087936,-5.968681144883993,163.01892943878082,-9.10148729345623,105.951,98.1568,7.79465,72.2234,110.5,96.0,14.5,103.6,95.5,8.099999999999994,-8.468753740871989,153.95012514652154,0,109.1020583,97.82555819,11.27650011,15.26027713,96.8164935,98.02814881,-1.2116553099999976,-2.245700587,2022-12-04,149.9596573760805,17.4816,53.52590000000001,38.26793539094651,36.04430000000001,15.257964609053495,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,3,0.6305586598182363,0.8069764769178485,7.181874348422504,5.4816,0.8089115226337515,7.646557142857141,6.007383333333333,1,1.0,1,1,1,3,1.0,3.0
4.5,12,16.33333333333334,18.06684956561501,20.406415179504503,106.9,113.5,94.1,97.16666666666669,Sat 12-10 12-10,N,124 (Ⅲ),Loyola Marymount,"W, 79-67",72,110.4,50.0,9.8,22.6,57.4,93.6,43.0,15.4,14.7,42.1,-2.5,-7.5,148.5,111.778125,116.65625,113.29433013260176,113.71786567172832,94.6046875,95.109375,95.22748056698676,93.3114504922238,20221210,112.4,96.1,16.30000000000001,107.9,102.8,5.1000000000000085,111.572,96.5976,14.9748,71.0492,-7.242386804514027,147.86259698528215,69.21758598634425,-8.401053205412012,155.35999458526095,-8.881284972139847,155.35999458526095,-8.401053205412012,155.35999458526095,-8.881284972139847,152.0274053373971,-6.490052108839393,105.682,100.923,4.75928,68.4877,112.4,96.1,16.30000000000001,107.9,102.8,5.1000000000000085,-11.938695830545232,150.3008620937311,0,108.7117111,97.34398546,11.367725640000003,13.41013849,102.0369991,99.79185894,2.2451401600000054,5.678610062,2022-12-10,147.26260392585112,-2.9748,50.551100000000005,43.353923593964346,53.52590000000001,7.197176406035659,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,-3,0.7624747379730235,0.7317453550394488,3.0920495656150084,1.3585333333333391,7.181874348422504,6.318887499999999,7.646557142857141,1,1.0,1,1,1,3,3.0,1.0
-19.5,-2,13.966666666666669,11.177899710410005,16.223430601412776,107.1,109.96666666666664,109.7,96.0,Mon 12-19 12-19,H,199 (Ⅳ),Weber St.,"L, 75-72",71,101.9,50.0,14.1,8.8,58.0,106.1,57.9,15.6,15.6,28.1,4.5,-16.5,142.5,109.4390625,111.778125,111.22955342173452,112.51461736777772,102.15234375,94.6046875,100.0516537113245,96.29118676636494,20221219,111.4,94.9,16.5,97.1,106.5,-9.400000000000006,111.38,95.7826,15.597,71.8078,-19.117870468041765,143.20467782747872,68.29830868790896,-22.663602435111528,147.99159474445133,-20.12850410912311,147.99159474445133,-22.663602435111528,147.99159474445133,-20.12850410912311,149.73791013388043,-20.0359877728542,98.0418,104.285,-6.2429,66.8642,111.4,94.9,16.5,97.1,106.5,-9.400000000000006,-25.058393092223707,144.7457956569619,0,108.6090027,94.66915024,13.939852460000012,15.73484028,91.16922402,100.7897594,-9.620535379999993,-12.04602342,2022-12-19,137.4228184903348,-17.597,32.954100000000004,45.75298239597623,50.551100000000005,-12.798882395976229,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,-3,0.9419584331306725,0.9718166237179213,-4.419100289589995,-1.630333333333331,3.0920495656150084,3.6615666666666673,6.318887499999999,-1,1.0,-1,1,1,-1,3.0,3.0
18.5,31,13.800000000000002,17.85193314027334,18.946443219337723,119.5,111.16666666666669,88.3,97.36666666666667,Thu 12-22 12-22,N,159 (Ⅲ),Seattle,"W, 84-56",71,119.1,60.2,15.6,28.1,28.8,79.4,32.6,14.2,32.7,27.5,-7.5,-9.5,147.5,114.46953125,109.4390625,113.98636894782302,113.78468693727268,95.226171875,102.15234375,96.13443580754966,94.83824371793494,20221222,111.1,95.9,15.199999999999989,101.8,99.1,2.700000000000003,110.922,96.6934,14.2283,71.9744,-9.129245663439775,149.99254360006884,71.58442775305832,-9.133182023371887,152.09374044537432,-11.862826980377628,152.09374044537432,-9.133182023371887,152.09374044537432,-11.862826980377628,152.188741626457,-9.614493856672851,102.263,100.7,1.56246,69.9191,111.1,95.9,15.199999999999989,101.8,99.1,2.700000000000003,-10.13976137715244,153.50226761856163,0,109.0122572,93.90700842,15.105248779999997,17.03194994,101.7680011,99.71222807,2.0557730300000117,2.580803738,2022-12-22,149.56004620024342,16.7717,49.72580000000001,41.48668826398416,32.954100000000004,8.239111736015843,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.817204231217584,0.8200789698834248,3.6236331402733377,-0.42829999999999835,-4.419100289589995,4.972579999999999,3.6615666666666673,1,-1.0,1,1,1,3,-1.0,3.0
