ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-5.5,11,,11.099999999999994,11.099999999999994,93.0,0.0,81.9,0.0,Mon 11-07 11-07,H,326 (Ⅳ),Manhattan,"W, 73-56",73,99.8,50.0,19.1,27.5,61.1,76.5,57.3,36.9,4.3,34.1,-4.5,-22.5,133.5,93.0,0.0,93.0,93.0,81.9,0.0,81.9,81.9,20221107,97.8,88.3,9.5,92.8,101.8,-9.0,99.4699,91.5514,7.91854,72.6562,-16.379001380747198,137.52499692712183,74.55073883669986,-17.29325485244486,138.65332820492824,-21.365763632453216,138.65332820492824,-17.29325485244486,138.65332820492824,-21.365763632453216,120.35720231510415,-12.882698542620531,91.7433,101.43,-9.68654,72.1331,97.8,88.3,9.5,92.8,101.8,-9.0,-21.365763632453216,120.35720231510415,0,91.41341393,83.94078538,7.47262855000001,4.106066804,102.0467233,106.5957108,-4.54898750000001,-8.331559461,2022-11-07,139.74694463434105,-11.31566105779855,139.74694463434105,-15.884525923935627,139.74694463434105,0.0,0.0,0.0,3.08146,3.08146,0.0,0.0,3.08146,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.9839377143961717,0.8900743595567986,3.181459999999994,,0.0,3.08146,0.0,1,0.0,1,1,1,3,0.0,0.0
-4.5,5,,9.299999999999995,10.118181818181814,88.0,0.0,82.3,0.0,Sat 11-12 11-12,H,263 (Ⅳ),Morgan St.,"W, 69-54",74,93.1,57.3,32.4,33.3,52.1,72.9,37.3,28.3,32.6,14.3,-29.0,-19.5,152.0,90.5,93.0,91.33333333333334,92.09090909090908,82.1,81.9,82.03333333333333,81.97272727272728,20221112,98.8,89.3,9.5,94.7,103.3,-8.599999999999994,100.302,92.383,7.9187,72.6344,-18.23093050414242,147.93280727476952,78.46168330014225,-18.191785082473032,149.8379814667801,-16.843184013474,149.8379814667801,-18.191785082473032,149.8379814667801,-16.843184013474,134.70350622208505,-18.203117238032064,92.4866,103.188,-10.7014,75.94,98.8,89.3,9.5,94.7,103.3,-8.599999999999994,-16.843184013474,134.70350622208505,0,91.41341393,83.94078538,7.47262855000001,4.106066804,88.86454255,101.346025,-12.481482450000001,-9.138479881,2022-11-12,134.32348850049573,-12.533542182776529,134.32348850049573,-16.408377981825552,134.32348850049573,0.0,0.0,0.0,-2.9187000000000003,0.16275999999999957,3.08146,3.08146,-2.9187000000000003,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9683545838833274,0.9585081419355976,1.381299999999995,,3.181459999999994,0.08137999999999934,3.08146,1,1.0,-1,1,1,1,3.0,0.0
-7.0,9,8.633333333333335,9.233333333333334,9.933057851239669,96.2,92.4,87.1,83.76666666666667,Wed 11-16 11-16,N,72 (Ⅱ),Arizona St.,"L, 63-59",68,86.4,41.2,23.4,23.5,35.3,92.3,40.5,17.6,28.9,36.2,-10.5,-3.0,132.5,93.35,90.5,92.95555555555556,92.8380165289256,84.6,82.1,83.72222222222223,82.90495867768595,20221116,98.3,89.1,9.200000000000005,101.5,90.5,11.0,99.9019,92.1333,7.76863,71.7395,0.8520460775456655,136.50095806411179,73.91229862588904,1.1141357261013667,135.50760745161432,-3.4594736095198604,135.50760745161432,1.1141357261013667,135.50760745161432,-3.4594736095198604,114.96770578748465,9.3858749366725,101.354,92.3128,9.04131,72.4292,98.3,89.1,9.200000000000005,101.5,90.5,11.0,-3.54690029758698,114.91388338114626,0,95.1716061,91.46654116,3.7050649399999998,2.43605054,104.6479797,87.51766113,17.13031857,29.38670839,2022-11-16,135.21442066684736,19.919850711733616,135.21442066684736,-4.612674932763824,135.21442066684736,-8.393540740740738,1.3812999999999942,-7.012240740740744,1.23137,1.3941299999999996,2.1085599999999998,0.16275999999999957,-0.7144300000000001,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,3,0.6124515189020077,0.18568961154891794,1.4647033333333344,0.8647033333333347,1.381299999999995,0.46471000000000107,0.08137999999999934,1,1.0,-1,1,1,1,1.0,3.0
0.0,13,9.466666666666669,10.688888888888888,10.599774605559729,101.1,95.1,87.5,85.63333333333333,Thu 11-17 11-17,N,67 (Ⅱ),Pittsburgh,"W, 71-67",73,97.5,45.9,20.6,24.2,71.4,92.0,46.5,24.7,32.4,36.8,8.5,-4.0,129.5,97.225,93.35,95.67037037037038,94.34019534184822,86.05,84.6,84.9814814814815,83.7404207362885,20221117,98.3,89.0,9.299999999999995,102.1,99.3,2.799999999999997,99.4709,92.0565,7.41446,70.7309,-2.1290929904212987,132.9657141982801,69.27784785519204,-4.782282590077344,133.67674541104145,-8.38839535014045,133.67674541104145,-4.782282590077344,133.67674541104145,-8.38839535014045,121.38751824386203,-8.998482790314746,103.09,98.5109,4.57949,68.8558,98.3,89.0,9.299999999999995,102.1,99.3,2.799999999999997,-8.257767432206114,121.35367873115213,0,95.1716061,91.46654116,3.7050649399999998,2.43605054,91.10439159,100.8889916,-9.784600009999991,-16.27393393,2022-11-17,127.19919156280716,-12.961874574856658,127.19919156280716,-6.828999706170137,127.19919156280716,-9.096520740740736,1.1507761111111101,-7.945744629629626,5.58554,6.97967,1.8704166666666664,1.3941299999999996,5.109253333333333,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.6483807083005341,0.8042771047804411,3.274428888888888,2.0522066666666685,1.4647033333333344,1.7449174999999997,0.46471000000000107,1,1.0,1,1,1,3,1.0,1.0
-4.5,-7,5.066666666666667,4.625925925925927,7.308906495457958,74.5,90.6,82.0,85.53333333333332,Sun 11-20 11-20,A,26 (I),Memphis,"L, 62-47",69,68.4,34.5,26.2,28.2,23.6,90.3,46.5,26.2,33.3,22.8,-27.0,10.5,136.0,85.8625,97.225,88.61358024691359,90.7328870978758,84.025,86.05,83.98765432098767,83.42398060241786,20221120,99.0,89.7,9.299999999999995,108.5,92.1,16.400000000000006,99.473,91.5673,7.90568,71.7076,10.817297194455108,140.90346260551578,74.36435127965862,8.681070972987882,143.3921315476174,6.219236990017828,143.3921315476174,8.681070972987882,143.3921315476174,6.219236990017828,140.86048282791057,7.853790803861955,108.893,90.8957,17.9971,72.9046,99.0,89.7,9.299999999999995,108.5,92.1,16.400000000000006,6.239515734929254,140.73915797035093,0,91.50088652,92.64181795,-1.140931430000009,-0.489373003,101.2521277,96.80046807,4.451659630000009,3.080151361,2022-11-20,138.71507854395028,4.763628090154697,138.71507854395028,10.291908886683842,138.71507854395028,-0.07671955555555776,2.3798195555555584,2.3031000000000006,-14.90568,-7.926010000000001,3.573501111111111,6.97967,-11.499511111111111,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.15865525393145707,0.22723608750442392,-3.2797540740740736,-2.839013333333333,3.274428888888888,-1.5852019999999998,1.7449174999999997,-1,1.0,-1,-1,1,-3,3.0,1.0
-8.5,0,2.1666666666666665,3.2172839506172863,6.052741678101967,96.2,90.6,95.8,88.43333333333334,Sat 11-26 11-26,H,123 (Ⅲ),Kennesaw St.,"W, 64-61",66,97.5,45.5,21.3,25.8,75.0,93.0,47.3,24.4,40.0,32.7,-8.0,-11.5,133.0,91.03125,85.8625,91.14238683127572,91.72690762553476,89.9125,84.025,87.92510288065844,85.67416594743278,20221126,97.6,89.5,8.099999999999994,103.5,108.2,-4.700000000000003,99.5532,92.0085,7.54472,69.6885,-12.198439837874751,133.32339739790766,66.89511132076815,-12.698528824279599,136.17083365635028,-10.198445239450505,136.17083365635028,-12.698528824279599,136.17083365635028,-10.198445239450505,127.44697740427365,-6.11406621343837,101.717,106.792,-5.07461,67.4821,97.6,89.5,8.099999999999994,103.5,108.2,-4.700000000000003,-10.07564634642725,127.55495786543754,0,92.65891782,91.63340301,1.0255148100000042,1.385543579,99.57585197,102.4719582,-2.896106230000001,-0.036421976,2022-11-26,127.73659141776048,-2.8369235075162607,127.73659141776048,-8.042390926157225,127.73659141776048,1.8507080105820135,-1.1125779365079351,0.7381300740740784,-7.54472,-15.47073,-0.2596692592592591,-7.926010000000001,-15.211060740740741,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.8632938299430262,0.7198150002535251,-4.3274360493827135,-5.378053333333334,-3.2797540740740736,-2.578455,-1.5852019999999998,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
2.5,11,1.533333333333336,6.044855967078192,7.079515918447064,100.2,90.3,88.5,88.76666666666667,Wed 11-30 11-30,H,91 (Ⅲ),Vanderbilt,"W, 70-65",69,101.4,51.1,21.7,24.1,84.1,94.2,51.0,27.5,29.0,40.8,4.5,-2.5,130.5,95.615625,91.03125,94.16159122085048,93.26746987543753,89.20625,89.9125,88.1167352537723,86.18795395699046,20221130,96.7,89.5,7.200000000000003,104.9,95.6,9.300000000000011,98.6793,91.6839,6.99541,68.9458,-2.0583982808617804,128.1992913679619,67.13526171578948,-2.5980256083039137,128.17670121346143,1.3848357308606198,128.17670121346143,-2.5980256083039137,128.17670121346143,1.3848357308606198,116.4066823965963,1.5854648535680909,105.924,96.0919,9.83234,68.4539,96.7,89.5,7.200000000000003,104.9,95.6,9.300000000000011,-1.2684967537153629,117.48922616501139,0,91.86004542,90.6599117,1.2001337200000108,0.535345119,104.464056,95.04384983,9.42020617,7.011824834,2022-11-30,125.09205466358736,2.3972789063920175,125.09205466358736,4.783546591887358,125.09205466358736,7.899368240740762,-4.62525532627865,3.274112914462112,4.00459,-11.46614,-5.330022839506173,-15.47073,-6.136117160493827,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.5940963859982835,0.43998917818315364,-0.9505540329218078,-5.462076666666664,-4.3274360493827135,-1.63802,-2.578455,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-8.5,-2,3.066666666666668,3.06323731138546,5.265058478729415,111.8,102.73333333333332,114.7,99.66666666666669,Sat 12-03 12-03,A,93 (Ⅱ),Temple,"L, 83-73",70,104.0,55.9,25.7,29.6,39.2,118.3,56.5,20.0,35.5,50.0,27.0,1.5,129.0,103.7078125,95.615625,100.04106081390032,96.63702080717614,101.953125,89.20625,96.97782350251488,91.37196232844674,20221203,97.3,89.8,7.5,106.3,97.8,8.5,99.438,91.9698,7.4682,69.0968,3.037365581914223,125.46003251861495,64.6981940347084,3.7399627292076403,126.5357686217265,5.385287469725664,126.5357686217265,3.7399627292076403,126.5357686217265,5.385287469725664,116.74253155162754,1.6011018953164822,105.54,98.3557,7.184,65.8248,97.3,89.8,7.5,106.3,97.8,8.5,2.8889805269808377,118.55709868592643,0,94.35294352,91.27129263,3.0816508899999917,4.109029874,99.31710328,98.97725504,0.3398482399999949,-3.079661652,2022-12-03,122.11099388998434,-2.830080401981853,122.11099388998434,0.6920585485895003,122.11099388998434,-1.2205436290199483,-2.7450254183813465,-3.965569047401295,-9.4682,-20.93434,-7.3753952263374485,-11.46614,-13.55894477366255,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,3,0.4432015031835318,0.4394018573339701,-4.404962688614541,-4.401533333333332,-0.9505540329218078,-2.6167925,-1.63802,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-19.5,-19,-3.566666666666668,-4.457841792409694,0.7623205735058849,93.6,101.86666666666667,113.1,105.43333333333334,Wed 12-07 12-07,H,203 (Ⅳ),Jacksonville,"L, 73-62",66,93.7,41.3,12.1,20.5,55.8,110.4,53.9,19.7,24.1,39.2,9.5,-8.5,125.5,98.65390625,103.7078125,97.89404054260024,96.0848352058714,107.5265625,101.953125,102.35188233500992,95.32251463236553,20221207,98.6,91.6,7.0,102.3,97.6,4.700000000000003,100.412,93.6512,6.7613,69.2258,-6.869192697200262,120.11239388324817,61.873980651209116,-4.98638201236578,120.78752701545017,-6.290796651034392,120.78752701545017,-4.98638201236578,120.78752701545017,-6.290796651034392,110.7701156043082,-4.678099604116099,101.012,99.8866,1.12558,62.8341,98.6,91.6,7.0,102.3,97.6,4.700000000000003,-7.279705845354222,107.80100104926373,0,96.2637661,95.75674186,0.5070242399999927,2.939425665,93.58197544,95.45561464,-1.8736391999999995,-5.918827963,2022-12-07,115.41779266960897,-7.18761694683819,115.41779266960897,-6.373011307372174,115.41779266960897,-1.263176830132596,-4.133175947645177,-5.396352777777773,-25.7613,-46.69564,-11.895043484224967,-20.93434,-34.80059651577503,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.790893043407255,0.6720327981985497,-11.219141792409694,-10.327966666666669,-4.404962688614541,-5.188404444444444,-2.6167925,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-6.0,4,-6.066666666666667,-1.5718945282731287,1.3873531965048156,94.4,99.93333333333334,90.2,106.0,Sun 12-11 12-11,H,262 (Ⅳ),Howard,"W, 70-60",71,98.3,51.0,21.1,21.9,51.9,84.2,43.9,28.1,38.9,24.6,-5.0,-16.0,135.0,96.526953125,98.65390625,96.7293603617335,95.77850153207658,98.86328125,107.5265625,98.30125489000662,94.39114833557178,20221211,98.5,93.4,5.099999999999994,97.3,110.6,-13.299999999999995,100.135,95.5145,4.62071,69.3817,-13.938283969003962,133.5177936194716,66.60889934352774,-16.152977456558162,136.78370093966572,-14.124475654571404,136.78370093966572,-16.152977456558162,136.78370093966572,-14.124475654571404,123.56100457416655,-9.002847325148835,97.1488,108.045,-10.8963,67.4905,98.5,93.4,5.099999999999994,97.3,110.6,-13.299999999999995,-16.708398391682426,127.07358015171867,0,94.24068233,97.43162749,-3.1909451599999983,-3.553723537,91.3988479,102.9568233,-11.55797539999999,-6.684970934,2022-12-11,127.20867668425207,-3.855260264763409,127.20867668425207,-16.80420175531605,127.20867668425207,-6.730890673003458,-9.164796314641617,-15.895686987645075,-0.6207099999999999,-47.31635,-23.495242322816644,-46.69564,-23.821107677183356,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.9362218501099964,0.8043919461604399,-6.192604528273129,-10.687376666666667,-11.219141792409694,-4.731635,-5.188404444444444,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
