ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
1.5,-21,,-21.90000000000001,-21.90000000000001,77.1,0.0,99.0,0.0,Mon 11-07 11-07,A,186 (Ⅲ),Richmond,"L, 69-48",67,72.0,30.5,18.0,30.0,21.9,103.4,52.0,15.0,27.3,56.9,-25.5,22.5,142.5,77.1,0.0,77.1,77.1,99.0,0.0,99.0,99.0,20221107,88.7,106.8,-18.1,100.2,94.7,5.5,95.1057,105.796,-10.6902,71.2156,17.247751072625498,140.94894479406514,71.14387788790896,20.645904567883754,139.51510578964454,19.400170363978557,139.51510578964454,20.645904567883754,139.51510578964454,19.400170363978557,106.84555400227354,1.6443002487201,102.719,94.4957,8.22322,70.2292,88.7,106.8,-18.1,100.2,94.7,5.5,19.400170363978557,106.84555400227354,0,102.5779662,96.95009595,5.627870250000001,2.550242206,101.1675387,98.85925575,2.3082829499999917,-2.928546846,2022-11-07,145.14934426405324,-1.9095623803053314,145.14934426405324,18.656485961813686,145.14934426405324,0.0,0.0,0.0,-10.3098,-10.3098,0.0,0.0,-10.3098,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.016062285603828275,0.43778004193744147,-11.209800000000008,,0.0,-10.3098,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
17.5,-6,,-16.733333333333334,-19.081818181818186,101.9,0.0,108.3,0.0,Sun 11-13 11-13,A,134 (Ⅲ),Davidson,"L, 75-71",68,104.3,53.8,16.2,17.9,35.8,110.2,52.5,11.8,19.4,28.8,4.5,21.5,141.5,89.5,77.1,85.36666666666667,81.6090909090909,103.65,99.0,102.1,100.69090909090907,20221113,89.9,107.9,-18.0,104.5,99.5,5.0,96.0679,106.709,-10.6408,70.9544,16.715890758372225,148.46652810841528,70.99648817183501,21.042843478477927,147.37168198936942,20.928092073943013,147.37168198936942,21.042843478477927,147.37168198936942,20.928092073943013,135.83304442332513,2.7865510699282083,106.558,99.8435,6.71417,70.3417,89.9,107.9,-18.0,104.5,99.5,5.0,20.928092073943013,135.83304442332513,0,102.5779662,96.95009595,5.627870250000001,2.550242206,104.8792567,100.9878802,3.8913764999999927,2.276862476,2022-11-13,149.0861282565905,1.8417907084021152,149.0861282565905,18.187880339860698,149.0861282565905,0.0,0.0,0.0,4.6408000000000005,-5.668999999999999,-10.3098,-10.3098,4.6408000000000005,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.02029867074389724,0.39535613079787624,-6.092533333333334,,-11.209800000000008,-2.8344999999999985,-10.3098,-1,-1.0,1,-1,-1,-1,-3.0,0.0
-18.5,-39,-22.6,-24.322222222222223,-22.794214876033056,89.4,89.46666666666665,128.9,112.06666666666666,Fri 11-18 11-18,A,160 (Ⅲ),Longwood,"L, 90-58",68,85.0,45.4,29.3,31.3,18.5,131.9,64.8,14.7,35.5,15.6,10.0,13.5,138.0,89.45,89.5,86.71111111111112,83.02561983471074,116.275,103.65,111.03333333333336,105.8198347107438,20221118,90.9,108.1,-17.19999999999999,104.0,100.2,3.799999999999997,96.9699,106.724,-9.75372,70.6007,10.40952044659366,144.29646691318288,70.87567114736844,19.6108398217833,148.03062407375023,6.944682802017903,148.03062407375023,19.6108398217833,148.03062407375023,6.944682802017903,132.96811553709568,6.264431994130305,99.9558,100.69,-0.734562,70.5738,90.9,108.1,-17.19999999999999,104.0,100.2,3.799999999999997,6.636162391028911,133.00025579465023,0,97.61020493,101.5093293,-3.8991243700000098,-5.485582892,99.16100738,99.95840962,-0.7974022399999967,6.259955385,2022-11-18,143.8316305990022,10.316931659643444,143.8316305990022,8.59967593344222,143.8316305990022,-0.7547043333333354,-6.09253333333333,-6.847237666666666,-29.24628,-34.915279999999996,-8.762866666666667,-5.668999999999999,-26.152413333333328,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.09927139684333097,0.2753830381857325,-14.568502222222223,-12.846280000000002,-6.092533333333334,-11.638426666666666,-2.8344999999999985,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
-19.5,-36,-27.399999999999995,-28.314814814814817,-25.249812171299773,91.4,94.23333333333336,127.7,121.63333333333333,Sat 11-19 11-19,N,251 (Ⅳ),SIU Edwardsville,"L, 93-67",75,89.8,51.8,32.2,32.4,17.5,124.6,62.7,13.4,21.9,28.6,11.0,6.5,149.0,90.425,89.45,88.2740740740741,84.54823441021787,121.9875,116.275,116.5888888888889,109.79804658151764,20221119,91.1,109.3,-18.200000000000003,97.6,104.5,-6.900000000000006,96.5142,107.89,-11.3753,70.2515,1.2333134771428576,150.84666837550475,74.28501535490753,8.711900564506251,153.2351905004171,7.641746561952641,153.2351905004171,8.711900564506251,153.2351905004171,7.641746561952641,149.63727036107952,-4.8918457633922685,95.3511,104.861,-9.51017,74.3363,91.1,109.3,-18.200000000000003,97.6,104.5,-6.900000000000006,7.451940771388442,149.3893651586662,0,97.61020493,101.5093293,-3.8991243700000098,-5.485582892,97.95845243,108.4739262,-10.51547377,-5.372335374,2022-11-19,155.84807730312826,0.0841259361353508,155.84807730312826,7.117604989746141,155.84807730312826,8.545804814814812,-12.302962962962958,-3.7571581481481466,-24.6247,-59.53998,-17.480337777777777,-34.915279999999996,-42.05964222222222,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.26794249453351904,0.6793529063212332,-16.939514814814817,-16.024699999999996,-14.568502222222223,-14.884995,-11.638426666666666,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
0.5,-23,-33.13333333333333,-26.74320987654321,-24.949846321972537,105.0,95.26666666666668,128.6,128.4,Sun 11-20 11-20,N,311 (Ⅳ),Fairleigh Dickinson,"L, 93-89",73,122.3,55.6,20.6,47.5,16.9,127.8,54.5,8.2,28.9,37.9,31.0,4.5,151.0,97.7125,90.425,93.8493827160494,88.26673724472371,125.29375,121.9875,120.5925925925926,113.21658356669624,20221120,91.4,110.9,-19.5,95.2,112.8,-17.599999999999994,96.5142,107.89,-11.3753,70.2515,-4.504264663852695,148.123407140379,72.19206028236131,1.8290372990604737,154.05076986549284,13.337838602251141,154.05076986549284,1.8290372990604737,154.05076986549284,13.337838602251141,165.1957520833026,5.068732202083595,92.6569,110.075,-17.4177,72.2419,91.4,110.9,-19.5,95.2,112.8,-17.599999999999994,13.289826069359354,165.53480037761253,0,100.5154592,107.4163805,-6.900921300000007,-9.992800524,110.9482712,111.7346048,-0.7863336000000061,-1.500117653,2022-11-20,170.89064618334316,6.131042737822099,170.89064618334316,11.946181708724538,170.89064618334316,23.2850697777778,-16.052354592592607,7.232715185185192,-11.6247,-71.16468,-31.50021851851852,-59.53998,-39.66446148148148,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.3341175708976246,0.3146414570928552,-15.367909876543212,-21.758033333333334,-16.939514814814817,-14.232936,-14.884995,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-9.5,-38,-32.63333333333333,-30.49547325102881,-27.322601536159347,78.5,91.63333333333333,116.5,124.26666666666668,Tue 11-29 11-29,A,340 (Ⅳ),Presbyterian,"L, 72-57",69,82.8,40.8,17.4,24.4,21.7,104.6,50.0,21.8,37.8,37.9,-5.0,5.5,134.0,88.10625,97.7125,88.73292181069961,86.49096683659212,120.896875,125.29375,119.2283950617284,113.81356837275148,20221129,92.7,113.1,-20.39999999999999,93.6,105.6,-12.0,98.0441,111.987,-13.9434,68.6983,4.306176927417837,132.9061931610363,63.98411125135136,8.9797748102893,133.94834117371283,6.836983048958107,133.94834117371283,8.9797748102893,133.94834117371283,6.836983048958107,132.35097254677925,-3.2566067983184865,93.5866,105.957,-12.3701,65.4759,92.7,113.1,-20.39999999999999,93.6,105.6,-12.0,6.5097993362930175,132.74455142018672,0,101.9881795,106.824081,-4.835901500000006,-8.656992037,90.5576338,105.3176517,-14.760017899999994,-9.122190471,2022-11-29,133.86570983298077,1.334640104670747,133.86570983298077,5.036292730369297,133.86570983298077,4.994647116990004,-17.18169617636682,-12.187049059376816,-24.0566,-95.22128000000001,-44.721705679012345,-71.16468,-50.49957432098766,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.30020551430745246,0.6217777058766862,-16.55207325102881,-18.689933333333332,-15.367909876543212,-15.870213333333336,-14.232936,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
19.0,11,-16.766666666666662,-16.563648834019208,-20.30031034776673,125.4,102.96666666666664,114.1,119.73333333333336,Sat 12-03 12-03,H,193 (Ⅳ),Navy,"W, 80-72",65,124.0,59.3,10.9,25.0,23.7,111.6,54.9,17.1,31.3,8.2,9.5,11.0,142.5,106.753125,88.10625,100.95528120713308,93.56533650266628,117.4984375,120.896875,117.51893004115227,113.86564685043302,20221203,91.8,113.8,-22.0,100.8,100.7,0.0999999999999943,97.0024,112.341,-15.3384,68.7343,5.809937403126327,134.24908714837596,63.37771769587482,10.71536271161147,134.37892454511325,15.6930291992642,134.37892454511325,10.71536271161147,134.37892454511325,15.6930291992642,143.79824862575762,6.939478339333164,101.676,102.103,-0.426275,64.8214,91.8,113.8,-22.0,100.8,100.7,0.0999999999999943,16.803882653921473,139.7003593739073,0,99.46535355,106.0522793,-6.586925749999992,-9.395622185,108.1119725,98.56257492,9.54939757999999,16.08349884,2022-12-03,138.08500178645426,14.314168568922739,138.08500178645426,22.54424859176069,138.08500178645426,25.105210842641597,-17.00309517048796,8.102115672153635,26.3384,-68.88288,-61.55489711934157,-95.22128000000001,-7.327982880658432,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,3,0.14740707903152717,0.25433735754589437,-1.225248834019208,-1.4282666666666621,-16.55207325102881,-9.84041142857143,-15.870213333333336,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
11.0,-4,-10.233333333333327,-12.37576588934614,-17.33661755726369,109.8,104.56666666666666,113.8,114.8,Sat 12-10 12-10,H,172 (Ⅳ),Radford,"W, 77-74",68,112.5,69.1,23.4,17.4,36.2,108.1,58.3,17.5,18.8,13.3,7.0,8.0,144.0,108.2765625,106.753125,103.9035208047554,96.5170935021815,115.64921875,117.4984375,116.27928669410151,113.8537110594452,20221210,94.7,114.1,-19.39999999999999,102.0,105.4,-3.4000000000000057,99.0153,112.69,-13.6746,68.8964,2.0402502584255586,142.90606038282766,66.73826682162162,7.193897336675249,147.5815819449444,14.505680295082607,147.5815819449444,7.193897336675249,147.5815819449444,14.505680295082607,154.79955916244378,3.786235652221677,99.616,104.181,-4.56454,68.0979,94.7,114.1,-19.39999999999999,102.0,105.4,-3.4000000000000057,12.945658330188818,147.94191082588654,0,102.5482412,105.3382028,-2.789961599999998,-3.71942834,102.9531847,94.74419294,8.20899175999999,4.502727646,2022-12-10,140.43925704048365,3.6113342840892955,140.43925704048365,15.209637947843625,140.43925704048365,15.358137598144875,-5.147502821216275,10.2106347769286,9.6746,-59.20828,-63.99755807956105,-68.88288,4.789278079561051,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,3,0.22305842386064167,0.35920153562586143,1.2988341106538606,3.4412666666666727,-1.225248834019208,-7.401035,-9.84041142857143,1,-1.0,1,-1,-1,1,-3.0,-3.0
2.0,-22,-4.899999999999996,-15.583843926230765,-18.18450527412484,99.6,111.6,121.6,116.5,Tue 12-13 12-13,A,283 (Ⅳ),American,"L, 69-61",59,104.0,48.1,15.3,31.3,22.2,117.6,63.8,17.1,21.4,34.0,-6.0,10.0,136.0,103.93828125,108.2765625,102.46901386983694,97.0776219563303,118.624609375,115.64921875,118.0528577960677,115.26212723045516,20221213,95.5,114.0,-18.5,101.5,103.8,-2.299999999999997,99.8072,112.991,-13.1834,68.9463,10.299100343548773,139.0095668053292,63.956274759601705,14.831788902184421,141.32715240746595,19.42930153804454,141.32715240746595,14.831788902184421,141.32715240746595,19.42930153804454,146.24951000543075,10.757316121285662,100.976,104.22,-3.24475,65.212,95.5,114.0,-18.5,101.5,103.8,-2.299999999999997,16.393532223588462,140.12963166859495,0,102.8404797,105.5149864,-2.674506699999995,-2.244614476,104.1364441,96.60465619,7.531787910000006,4.441724746,2022-12-13,137.5330213928406,6.086781835784912,137.5330213928406,13.826314168272482,137.5330213928406,7.792705576367245,1.822992289285155,9.6156978656524,-8.8166,-68.02488,-62.40113205304071,-59.20828,-5.623747946959284,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,-3,0.17045190796406517,0.1527980989907871,-2.400443926230764,8.283400000000004,1.2988341106538606,-7.55832,-7.401035,-1,1.0,-1,-1,-1,-3,1.0,-3.0
10.5,0,-8.533333333333337,-10.255895950820513,-14.805504315193051,98.8,102.73333333333332,98.4,111.26666666666668,Thu 12-22 12-22,A,166 (Ⅲ),Fordham,"L, 80-77 OT",83,93.2,54.7,23.0,14.3,15.6,96.9,42.8,18.2,26.7,31.9,13.5,13.5,143.5,101.369140625,103.93828125,101.24600924655796,97.39078160063389,108.5123046875,118.624609375,111.50190519737848,112.19628591582692,20221222,95.9,114.3,-18.39999999999999,101.3,100.2,1.0999999999999943,99.8224,112.882,-13.0595,68.6664,13.35911402520567,147.69541002916674,69.14940902987198,18.145248399614005,150.41952334808724,16.331865852543515,150.41952334808724,18.145248399614005,150.41952334808724,16.331865852543515,163.58084001341277,2.2476995037101233,100.837,100.591,0.24573,70.7945,95.9,114.3,-18.39999999999999,101.3,100.2,1.0999999999999943,20.819203511978458,152.76067563259323,0,103.2699321,104.760554,-1.4906218999999936,-0.828528949,97.26718501,101.1924579,-3.925272889999988,-0.900975405,2022-12-22,146.09810723589922,1.8693439680902202,146.09810723589922,11.071455683928107,146.09810723589922,-1.1505256294458366,2.3474494926032055,1.1969238631573689,13.0595,-54.965379999999996,-64.27571470202714,-68.02488,9.310334702027149,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.09927139684333097,0.41524755313180184,2.803604049179487,4.526166666666663,-2.400443926230764,-5.496538000000001,-7.55832,1,-1.0,1,-1,-1,1,-3.0,1.0
