ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
4.0,26,,26.099999999999994,26.099999999999994,124.0,0.0,97.9,0.0,Mon 11-07 11-07,H,352 (Ⅳ),Delaware St.,"W, 95-57",69,136.9,66.7,14.4,39.3,33.3,82.1,41.9,17.3,18.4,11.3,15.0,-34.0,137.0,124.0,0.0,124.0,124.0,97.9,0.0,97.9,97.9,20221107,107.5,90.6,16.9,84.1,109.6,-25.5,110.517,90.3629,20.1543,68.7664,-36.40790727764452,138.22962136560218,70.82763126714084,-34.10649669119797,141.4654186607761,-49.111428867463125,141.4654186607761,-34.10649669119797,141.4654186607761,-49.111428867463125,167.43513342508476,-27.972464825964266,82.2299,109.035,-26.8053,72.4072,107.5,90.6,16.9,84.1,109.6,-25.5,-49.111428867463125,167.43513342508476,0,105.3827913,90.48234953,14.90044177,17.23677648,88.91427329,107.8094481,-18.89517481,-11.03302144,2022-11-07,141.32971468203004,-22.067517524645666,141.32971468203004,-31.92881286470204,141.32971468203004,0.0,0.0,0.0,5.845700000000001,5.845700000000001,0.0,0.0,5.845700000000001,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.9993983468349583,0.996139629924152,5.945699999999995,,0.0,5.845700000000001,0.0,1,0.0,1,1,1,3,0.0,0.0
4.0,25,,26.03333333333333,26.06363636363636,112.2,0.0,86.3,0.0,Thu 11-10 11-10,H,272 (Ⅳ),Lehigh,"W, 78-52",66,117.7,56.8,7.5,17.9,27.1,78.5,40.5,16.6,22.5,3.2,-9.5,-22.0,139.5,118.1,124.0,120.06666666666666,121.85454545454546,92.1,97.9,94.03333333333336,95.79090909090908,20221110,108.0,91.1,16.900000000000006,96.3,105.6,-9.299999999999995,110.732,90.5773,20.1543,68.7842,-24.78764577157613,143.1975378424162,71.15524910184921,-23.27401338698794,147.44150889134258,-36.786964502571834,147.44150889134258,-23.27401338698794,147.44150889134258,-36.786964502571834,173.17865475726427,-24.903316979407556,94.9607,104.196,-9.23478,72.7233,108.0,91.1,16.900000000000006,96.3,105.6,-9.299999999999995,-36.786964502571834,173.17865475726427,0,105.3827913,90.48234953,14.90044177,17.23677648,89.52192154,104.2519378,-14.73001626,-20.12224155,2022-11-10,139.54868745111625,-28.54650507808676,139.54868745111625,-20.710731424580644,139.54868745111625,0.0,0.0,0.0,4.845700000000001,10.691400000000002,5.845700000000001,5.845700000000001,4.845700000000001,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,3,0.9819250838115705,0.9911478350484175,5.879033333333332,,5.945699999999995,5.345700000000001,5.845700000000001,1,1.0,1,1,1,3,3.0,0.0
-9.5,19,23.73333333333333,23.75555555555556,24.81570247933884,139.5,125.23333333333332,120.3,101.5,Sun 11-13 11-13,H,306 (Ⅳ),William & Mary,"W, 94-77",64,146.4,69.5,10.9,34.6,20.3,119.9,59.5,18.7,34.5,20.7,34.5,-26.5,136.5,128.8,118.1,126.54444444444444,125.06280991735537,106.2,92.1,102.78888888888888,100.24710743801651,20221113,108.6,91.4,17.19999999999999,97.5,107.2,-9.700000000000005,111.413,91.033,20.3801,67.7007,-27.820882525656565,139.47453312919427,67.53091858591749,-22.875678595837158,142.7556255745596,-36.59199775610422,142.7556255745596,-22.875678595837158,142.7556255745596,-36.59199775610422,155.81818308806305,-24.083538416041634,93.8758,108.669,-14.7936,70.1237,108.6,91.4,17.19999999999999,97.5,107.2,-9.700000000000005,-36.46476636547421,155.7840718661628,0,105.3827913,90.48234953,14.90044177,17.23677648,86.62796785,102.4547692,-15.826801349999997,-13.80919234,2022-11-13,129.52653186097876,-22.888899155219875,129.52653186097876,-26.176334662273348,129.52653186097876,-5.879033333333329,5.879033333333329,0.0,-1.3800999999999988,9.311300000000003,7.460933333333335,10.691400000000002,1.8503666666666678,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,3,0.9941954594266154,0.9890952787449142,3.375455555555561,3.353233333333332,5.879033333333332,3.1037666666666652,5.345700000000001,1,1.0,1,1,1,3,3.0,3.0
-10.0,15,20.066666666666663,20.87037037037037,23.04921111945905,118.1,123.26666666666664,103.0,103.2,Thu 11-17 11-17,N,188 (Ⅲ),Old Dominion,"W, 75-71",66,113.9,53.6,9.1,17.6,37.5,107.8,45.1,10.6,40.9,16.9,16.0,-14.0,130.0,123.45,128.8,123.72962962962964,123.7968444778362,104.6,106.2,102.85925925925926,100.74763335837712,20221117,110.3,92.8,17.5,99.6,100.5,-0.9000000000000057,113.139,93.3966,19.7425,67.1406,-12.93768464246508,131.28870780804235,64.36319489530584,-12.165066971121924,134.2321409679228,-17.26620029841484,134.2321409679228,-12.165066971121924,134.2321409679228,-17.26620029841484,160.74530501711712,-5.646995957649892,98.9326,99.5247,-0.592182,67.3919,110.3,92.8,17.5,99.6,100.5,-0.9000000000000057,-17.482065180670194,160.4311055717827,0,108.8845864,98.27935797,10.605228429999997,8.991794744,105.4557679,103.0384833,2.417284600000002,6.843849914,2022-11-17,142.52191300064814,-1.3824859171765524,142.52191300064814,-12.952497017172007,142.52191300064814,-0.640915407407415,3.7816074074074137,3.1406919999999987,-4.7425,4.568800000000003,8.077722222222224,9.311300000000003,-3.508922222222221,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9087887802741321,0.7046455889684161,1.1278703703703705,0.32416666666666316,3.375455555555561,1.1422000000000025,3.1037666666666652,1,1.0,-1,1,1,1,3.0,3.0
-1.0,22,18.966666666666665,21.446913580246918,22.96753637046649,101.8,119.8,79.2,100.83333333333331,Fri 11-18 11-18,N,54 (Ⅱ),Penn St.,"W, 61-59",64,95.9,47.4,14.2,23.5,15.5,92.8,50.9,22.0,23.5,7.1,-20.5,-3.0,140.5,112.625,123.45,116.41975308641976,119.7974182091387,91.9,104.6,94.97283950617285,96.8298818386722,20221118,111.1,93.7,17.39999999999999,107.8,95.1,12.700000000000005,113.354,94.668,18.6858,67.3885,-1.0537608609584765,135.44589026295358,64.15366028307254,-3.0591953847321207,136.03608314729456,-1.782968210278953,136.03608314729456,-3.0591953847321207,136.03608314729456,-1.782968210278953,153.50726506658057,-0.15386566098315768,111.195,94.3212,16.8737,66.9254,111.1,93.7,17.39999999999999,107.8,95.1,12.700000000000005,-1.8395183340611343,153.36178479420775,0,108.8845864,98.27935797,10.605228429999997,8.991794744,105.4970023,95.43639848,10.060603820000011,11.72434964,2022-11-18,136.6499656140714,1.7530339850283099,136.6499656140714,-2.189540664846348,136.6499656140714,-0.19484296296296577,1.5384548148148234,1.3436118518518576,3.3141999999999996,7.883000000000003,6.908081481481484,4.568800000000003,0.9749185185185185,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.6124515189020077,0.5058458400822762,2.761113580246917,0.2808666666666646,1.1278703703703705,1.5765999999999991,1.1422000000000025,1,1.0,1,1,1,3,1.0,3.0
-8.0,12,16.799999999999994,18.531275720164608,21.100711575836225,110.1,110.0,97.4,93.2,Sun 11-20 11-20,A,62 (I),College of Charleston,"L, 77-75",73,102.7,54.5,17.8,22.9,7.6,105.4,57.6,19.2,19.4,20.3,0.0,-6.0,152.0,111.3625,112.625,114.31316872427983,118.03425126202256,94.65,91.9,95.78189300411525,96.93353968618632,20221120,111.7,93.6,18.10000000000001,110.0,101.3,8.700000000000003,112.582,93.7659,18.8166,67.2565,-7.643313950118198,150.96409925867692,71.29829993669986,-3.021610353532182,157.44115932516564,-1.858002608391153,157.44115932516564,-3.021610353532182,157.44115932516564,-1.858002608391153,164.68120919504605,4.473299544274241,104.772,102.131,2.64134,74.5247,111.7,93.6,18.10000000000001,110.0,101.3,8.700000000000003,-1.6727519606979033,164.58028921737403,0,106.2317371,98.23200268,7.99973442000001,6.708671894,109.4804266,101.1286961,8.351730500000002,15.70856194,2022-11-20,156.82256212939814,8.636884489828546,156.82256212939814,-2.2073267084180657,156.82256212939814,12.492942592592582,1.593767407407416,14.086709999999998,-6.816600000000001,1.0664000000000016,7.233054320987657,7.883000000000003,-6.166654320987655,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.7161454169013237,0.3350435292578642,-0.2853242798353932,-2.0166000000000075,2.761113580246917,0.1777333333333324,1.5765999999999991,-1,1.0,-1,1,1,-1,3.0,1.0
-21.0,-8,8.933333333333328,9.52085048010974,15.718764016593273,98.3,103.4,106.8,94.46666666666664,Fri 11-25 11-25,H,302 (Ⅳ),Charleston Southern,"W, 69-64",60,114.1,47.5,11.6,36.8,24.6,105.9,50.0,16.5,37.8,13.3,-10.5,-26.0,143.5,104.83125,111.3625,108.97544581618658,114.44620557801844,100.725,94.65,99.45459533607682,98.72744156142517,20221125,112.0,94.2,17.799999999999997,98.0,108.0,-10.0,113.278,95.3219,17.9559,65.8608,-23.695067881643062,139.15180542188375,64.94399517951635,-23.061601661212364,142.6272352394176,-24.112136104106536,142.6272352394176,-23.061601661212364,142.6272352394176,-24.112136104106536,149.27240646947533,-10.281520865483358,96.3984,108.182,-11.7833,69.3214,112.0,94.2,17.799999999999997,98.0,108.0,-10.0,-25.05167850013285,150.43476170031482,0,105.5567995,99.28943085,6.2673686499999945,2.538781108,100.8946876,103.9568794,-3.062191800000008,-6.273009578,2022-11-25,140.0295328405375,-7.507208583165685,140.0295328405375,-22.05699018973523,140.0295328405375,0.5702766901822294,0.17806219870665174,0.7483388888888811,-25.9559,-24.889499999999998,5.177502880658439,1.0664000000000016,-30.067002880658436,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.9933603644122728,0.8362575541065703,-8.43504951989026,-9.022566666666672,-0.2853242798353932,-3.555642857142857,0.1777333333333324,-1,-1.0,-1,-1,1,-3,-1.0,3.0
-2.5,12,5.499999999999996,10.447233653406492,15.097170559030856,104.2,104.2,91.9,98.7,Mon 11-28 11-28,H,229 (Ⅳ),Minnesota,"W, 67-57",66,101.9,53.5,21.3,36.7,14.0,86.7,41.7,13.7,20.5,23.3,-3.5,-12.5,127.5,104.515625,104.83125,107.3836305441244,112.5832591092878,96.3125,100.725,96.9363968907179,97.48608855025694,20221128,111.8,95.6,16.200000000000003,99.5,100.0,-0.5,112.809,96.6093,16.1998,64.2697,-11.90202636121657,120.22239065848714,57.197656026742536,-13.238530789767786,122.18251344133495,-12.42526387072506,122.18251344133495,-13.238530789767786,122.18251344133495,-12.42526387072506,120.88106972471084,-12.944605124876063,101.32,100.074,1.24554,62.5644,111.8,95.6,16.200000000000003,99.5,100.0,-0.5,-14.543656432269174,118.51634371800763,0,105.6967939,98.83523889,6.861555010000004,3.03754427,89.11508515,99.01292592,-9.897840770000002,-12.71929866,2022-11-28,113.82001616701041,-10.536550876497436,113.82001616701041,-9.318819272327119,113.82001616701041,2.8107909378470093,-6.63311721209746,-3.8223262742504507,-4.1998,-29.089299999999998,-4.844831412894372,-24.889499999999998,-24.244468587105626,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,-3,0.8830703586536275,0.891178449464652,-5.7525663465935075,-10.699800000000003,-8.43504951989026,-3.636162500000001,-3.555642857142857,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
8.0,28,10.9,16.598155768937666,17.60677591193434,125.2,109.23333333333336,96.3,98.33333333333331,Sun 12-04 12-04,H,43 (Ⅱ),North Carolina,"W, 80-72",69,116.0,56.6,14.5,32.3,24.6,104.4,50.0,14.5,12.1,52.9,10.5,0.0,141.5,114.8578125,104.515625,113.3224203627496,114.8772119985082,96.30625,96.3125,96.72426459381194,97.27043608657384,20221204,111.3,95.2,16.099999999999994,114.3,95.9,18.39999999999999,112.067,96.4938,15.5735,65.2737,-1.045522578817156,134.67270930870538,62.669251514936,-2.5469398037429585,138.6910246597952,-0.47980759661119954,138.6910246597952,-2.5469398037429585,138.6910246597952,-0.47980759661119954,132.4210070494713,-2.666857655469258,114.215,94.4422,19.7731,67.495,111.3,95.2,16.099999999999994,114.3,95.9,18.39999999999999,-3.8711574401572353,139.99503825486238,0,104.3735855,100.9050903,3.4684952000000067,0.613686451,103.867337,98.80849858,5.058838420000001,4.449583764,2022-12-04,133.7985513923914,0.6047655028775552,133.7985513923914,2.4549247062679598,133.7985513923914,3.2016504286694136,-7.453252962581921,-4.251602533912507,12.4265,-16.662799999999997,-12.92632094192958,-29.089299999999998,-3.736479058070417,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,3,0.5,0.6002469843089394,1.0246557689376665,-4.673499999999999,-5.7525663465935075,-1.8514222222222223,-3.636162500000001,1,-1.0,-1,-1,-1,-1,-3.0,-3.0
21.5,44,28.666666666666668,25.99877051262511,22.55099847340082,121.6,117.0,76.8,88.33333333333333,Wed 12-07 12-07,H,58 (Ⅱ),Dayton,"W, 77-49",66,117.2,56.3,7.6,15.6,11.1,74.6,32.5,18.3,33.3,28.3,-1.5,-6.5,127.5,118.22890625,114.8578125,116.0816135751664,116.09953708968852,86.553125,96.30625,90.0828430625413,93.5485386162877,20221207,112.8,95.7,17.099999999999994,103.4,93.2,10.200000000000005,112.974,96.85,16.124,65.5717,-5.4247101760848935,120.96504931786811,58.47326033413942,-7.1553078768846134,122.92999712189467,-7.560343627929216,122.92999712189467,-7.1553078768846134,122.92999712189467,-7.560343627929216,115.18631033837008,-6.755743392218243,105.453,93.5053,11.948,62.6897,112.8,95.7,17.099999999999994,103.4,93.2,10.200000000000005,-7.338109546789533,117.42743492788044,0,105.6878759,99.68902215,5.998853749999995,4.271176097,95.1837231,95.22299023,-0.03926712999999893,0.337837212,2022-12-07,117.77317395921719,-3.9749333403199785,117.77317395921719,-4.124349791308788,117.77317395921719,-1.4446356723152753,-2.9940484137211136,-4.438684086036389,27.876,11.213200000000004,-14.171813961286386,-16.662799999999997,25.38501396128639,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.732057505466481,0.7400190487008165,9.874770512625112,12.542666666666669,1.0246557689376665,1.1213200000000008,-1.8514222222222223,1,1.0,1,1,-1,3,-1.0,-3.0
