ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-1.0,3,,3.5999999999999943,3.5999999999999943,99.5,0.0,95.9,0.0,Mon 11-07 11-07,H,262 (Ⅳ),Fairfield,"W, 71-59",68,104.7,45.7,14.7,23.5,84.8,87.0,45.5,19.2,18.4,30.9,-12.5,-13.0,142.5,99.5,0.0,99.5,99.5,95.9,0.0,95.9,95.9,20221107,103.8,94.9,8.9,99.7,98.3,1.4,105.625,95.497,10.1279,72.5248,-12.547686034274314,136.61576294177212,70.546410114367,-9.331976020776608,142.13105444805603,-6.201420978119216,142.13105444805603,-9.331976020776608,142.13105444805603,-6.201420978119216,129.2393870753822,-7.39679476009691,95.187,97.832,-2.64507,68.3823,103.8,94.9,8.9,99.7,98.3,1.4,-6.201420978119216,129.2393870753822,0,105.5938843,97.53912999,8.054754309999993,7.815208072,104.3925863,100.6154813,3.777105000000006,-2.585538091,2022-11-07,150.31324651824275,-9.36430334836048,150.31324651824275,-7.368008165164738,150.31324651824275,0.0,0.0,0.0,-7.1279,-7.1279,0.0,0.0,-7.1279,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.8921596253194927,0.7594257793385465,-6.527900000000006,,0.0,-7.1279,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
2.0,27,,11.466666666666663,7.890909090909087,118.5,0.0,91.3,0.0,Fri 11-11 11-11,H,87 (Ⅲ),Georgia,"W, 81-71",75,108.5,59.4,21.4,25.0,49.1,95.1,48.4,20.1,24.4,30.6,14.0,-8.0,138.0,109.0,99.5,105.83333333333334,102.95454545454544,93.6,95.9,94.36666666666667,95.06363636363636,20221111,104.3,95.5,8.799999999999997,104.0,99.1,4.900000000000006,105.829,95.7015,10.1279,72.5418,-5.679013369041982,145.2595065288143,72.53075878719773,-7.206248170950204,150.42174614508613,0.5096158171569272,150.42174614508613,-7.206248170950204,150.42174614508613,0.5096158171569272,119.52968197956744,-12.916809661930372,103.936,96.1022,7.83399,70.2893,104.3,95.5,8.799999999999997,104.0,99.1,4.900000000000006,0.5096158171569272,119.52968197956744,0,105.5938843,97.53912999,8.054754309999993,7.815208072,100.2201629,103.5757317,-3.3555688000000004,-7.205433695,2022-11-11,153.8740174985387,-12.931638530108785,153.8740174985387,-4.998674834096093,153.8740174985387,0.0,0.0,0.0,16.8721,9.7442,-7.1279,-7.1279,16.8721,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,3,0.7769415761393583,0.890683713945235,1.3387666666666629,,-6.527900000000006,4.8721,-7.1279,1,-1.0,1,1,-1,3,-3.0,0.0
-9.0,6,12.433333333333332,9.81111111111111,7.638016528925616,93.6,103.86666666666667,87.1,91.43333333333334,Tue 11-15 11-15,H,81 (Ⅲ),Utah Valley,"W, 68-65 OT",74,91.5,38.5,14.8,23.9,32.3,87.4,36.0,14.8,36.0,16.0,-14.0,-12.0,147.0,101.3,109.0,101.75555555555556,101.25371900826444,90.35,93.6,91.94444444444446,93.61570247933884,20221115,105.4,95.8,9.600000000000009,103.6,96.9,6.699999999999989,106.683,96.271,10.4123,72.6087,-9.777843057735211,145.58364853900645,72.47887192617355,-6.316285911798701,149.32948394984493,-14.524512672333199,149.32948394984493,-6.316285911798701,149.32948394984493,-14.524512672333199,141.82357854360072,-3.3227963836902177,100.599,98.1967,2.40238,70.1743,105.4,95.8,9.600000000000009,103.6,96.9,6.699999999999989,-14.434953893073875,141.84003410072657,0,105.5938843,97.53912999,8.054754309999993,7.815208072,105.6540117,96.40897656,9.245035139999999,7.988009567,2022-11-15,151.8191273795114,-2.0645197539042925,151.8191273795114,-10.28992208585477,151.8191273795114,-4.092583333333335,1.3387666666666647,-2.75381666666667,-4.4123,5.331899999999999,-1.503866666666668,9.7442,6.835766666666667,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,3,0.8734510455264423,0.6241720943461972,-0.6011888888888901,2.0210333333333317,1.3387666666666629,1.7772999999999985,4.8721,-1,1.0,1,1,1,1,3.0,-3.0
4.5,3,12.266666666666666,7.574074074074072,6.812922614575502,101.3,104.46666666666664,98.2,92.2,Fri 11-18 11-18,N,272 (Ⅳ),La Salle,"W, 75-63",71,106.1,50.8,14.1,25.0,15.4,89.1,50.0,22.6,18.8,30.2,-4.5,-7.5,142.5,101.3,101.3,101.60370370370372,101.26213373403456,94.275,90.35,94.02962962962964,94.44921111945904,20221118,104.5,95.2,9.299999999999995,101.4,99.6,1.8000000000000114,105.708,95.8801,9.82772,71.3899,-7.927557662122069,143.6080220609977,71.48657593854908,-5.520048349007908,146.69148989648593,-9.225149404835058,146.69148989648593,-5.520048349007908,146.69148989648593,-9.225149404835058,140.45479303298364,-5.944543339407787,99.4719,100.767,-1.29505,70.3952,104.5,95.2,9.299999999999995,101.4,99.6,1.8000000000000114,-9.380907237292282,140.50128554754056,0,98.36591343,93.27213372,5.093779710000007,3.467878995,98.44597501,101.6128412,-3.1668661900000075,0.097220097,2022-11-18,140.22778679744778,-2.4095686327482326,140.22778679744778,-10.016063584278939,140.22778679744778,-1.643041111111113,1.0332481481481484,-0.6097929629629646,-6.827719999999999,-1.4958200000000001,0.7747222222222208,5.331899999999999,-2.270542222222221,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.7624747379730235,0.7143530671296558,-2.2536459259259276,2.4389466666666664,-0.6011888888888901,-0.3739550000000005,1.7772999999999985,-1,-1.0,-1,-1,1,-3,1.0,3.0
-8.0,5,4.899999999999996,6.7493827160493804,6.501482139198136,99.0,97.96666666666664,93.9,93.06666666666666,Sun 11-20 11-20,N,92 (Ⅱ),Loyola Marymount,"L, 77-75 OT",78,96.1,52.5,23.1,25.7,31.7,98.7,54.2,23.1,21.6,28.3,1.0,-6.0,151.0,100.15,101.3,100.73580246913582,100.8508366914828,94.0875,94.275,93.98641975308644,94.34935455228468,20221120,105.1,95.7,9.399999999999991,106.6,104.7,1.8999999999999917,105.576,95.5332,10.0428,71.6579,-5.5186619022145464,148.6894126856779,72.79637380526316,-5.971429902751524,157.82101854737812,-5.191582114417314,157.82101854737812,-5.971429902751524,157.82101854737812,-5.191582114417314,149.8917576819821,-0.37915601125213527,103.449,100.825,2.62367,71.4169,105.1,95.7,9.399999999999991,106.6,104.7,1.8999999999999917,-4.950467507948041,149.74821662592228,0,96.42422645,95.59463914,0.829587310000008,0.484913765,102.6987807,102.3435548,0.35522589999999354,4.979423499,2022-11-20,146.51047452128068,3.271840106676592,146.51047452128068,-5.072019940831893,146.51047452128068,2.433109792592594,-0.3785710370370392,2.054538755555555,-5.0428,-6.53862,0.017874814814813844,-1.4958200000000001,-6.556494814814814,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.7161454169013237,0.5144027140557577,-3.2934172839506193,-5.142800000000004,-2.2536459259259276,-1.3077240000000003,-0.3739550000000005,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
4.5,15,8.033333333333331,9.799588477366257,8.210303568434838,117.2,105.83333333333331,101.3,97.8,Wed 11-23 11-23,H,322 (Ⅳ),South Carolina St.,"W, 105-74",78,134.3,76.4,20.5,28.6,58.5,94.6,41.8,14.1,34.6,17.7,33.5,-26.5,145.5,108.675,100.15,106.22386831275722,103.82341183848594,97.69375,94.0875,96.42427983539096,95.6131082700511,20221123,104.6,95.9,8.699999999999989,95.2,109.3,-14.099999999999994,105.839,96.5763,9.2622,70.2733,-23.297635556052747,146.86497272930865,71.55771199388337,-21.07410361185933,151.001738051704,-23.289777404844305,151.001738051704,-21.07410361185933,151.001738051704,-23.289777404844305,144.88625067503745,-11.081075013213976,92.4185,109.805,-17.3869,71.5849,104.6,95.9,8.699999999999989,95.2,109.3,-14.099999999999994,-23.34465155473127,144.93147329679783,0,98.6334262,96.84651637,1.786909829999999,3.135916841,99.31743426,107.1354951,-7.818060840000001,-11.3144736,2022-11-23,147.9659522921546,-12.262051276319106,147.9659522921546,-17.53458357770507,147.9659522921546,6.116254384479727,-4.195791880070554,1.9204625044091728,5.7378,-0.8008199999999999,-2.167623456790124,-6.53862,1.366803456790124,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.9941954594266154,0.8543651825163092,0.5373884773662567,-1.2288666666666686,-3.2934172839506193,-0.1334699999999991,-1.3077240000000003,1,-1.0,1,-1,-1,1,-3.0,-3.0
6.5,22,14.5,14.033058984910838,10.808430192355775,122.9,113.03333333333336,100.4,98.53333333333336,Sat 11-26 11-26,H,335 (Ⅳ),Hampton,"W, 97-70",73,133.6,65.0,15.1,34.4,10.0,96.4,51.0,23.4,22.9,44.2,19.5,-20.5,147.5,115.7875,108.675,111.7825788751715,107.29188241330668,99.046875,97.69375,97.74951989026066,96.48345222095092,20221126,105.4,96.2,9.200000000000005,96.6,108.1,-11.5,106.631,96.9896,9.64128,70.4054,-21.88875988326049,149.4941246476142,72.03413829331436,-19.745812545564064,152.8531474781593,-26.333674892750324,152.8531474781593,-19.745812545564064,152.8531474781593,-26.333674892750324,149.966681289713,-10.57932572514548,94.4034,109.045,-14.6418,71.9263,105.4,96.2,9.200000000000005,96.6,108.1,-11.5,-25.285503058400685,149.22331555782546,0,99.11774419,95.76629388,3.35145030999999,4.75420075,99.43988343,104.9364851,-5.496601670000004,1.534030159,2022-11-26,146.98206024632304,-4.39999343030307,146.98206024632304,-21.46221174034344,146.98206024632304,-2.6411014873603964,-1.3741451793062875,-4.015246666666684,12.35872,11.5579,-1.7120223045267493,-0.8008199999999999,13.26992230452675,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,-3,0.9745535036187463,0.8431658887601239,4.391778984910838,4.85872,0.5373884773662567,1.651128571428572,-0.1334699999999991,1,1.0,1,1,-1,3,1.0,-3.0
9.0,22,20.133333333333336,16.68870598994056,12.843261066472907,127.3,122.46666666666664,105.3,102.33333333333331,Tue 11-29 11-29,A,56 (I),Wisconsin,"W, 78-75",69,112.9,61.1,21.7,34.6,29.6,108.6,53.6,17.4,20.0,32.1,23.0,6.0,130.0,121.54375,115.7875,116.95505258344768,110.92972197452364,102.1734375,99.046875,100.26634659350712,98.08646090805074,20221129,106.3,96.4,9.899999999999991,100.9,88.2,12.700000000000005,107.201,97.3505,9.85067,69.4282,7.420413456853609,124.86800930931678,63.67178251294453,5.789811073762927,124.91357790098562,5.952049089417103,124.91357790098562,5.789811073762927,124.91357790098562,5.952049089417103,111.51415457988281,5.974399388010632,104.303,88.9366,15.3667,64.4713,106.3,96.4,9.899999999999991,100.9,88.2,12.700000000000005,5.094503610939392,114.4301382128696,0,100.4423534,97.12078602,3.3215673800000047,4.436806776,93.76274803,86.52143834,7.241309689999994,6.507130246,2022-11-29,116.3917134554537,3.198576564401307,116.3917134554537,3.3035973823240568,116.3917134554537,-3.528396548762176,2.7305576157815743,-0.7978389329806017,12.14933,23.707230000000003,2.7112851303155003,11.5579,20.995944869684504,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.2838545830986763,0.28468132135289514,6.838035989940559,10.282663333333337,4.391778984910838,2.9634037499999994,1.651128571428572,1,1.0,1,1,1,3,3.0,1.0
-17.0,0,14.866666666666664,11.159137326627038,10.526304508932377,92.1,114.1,92.0,99.23333333333332,Fri 12-02 12-02,A,64 (I),Clemson,"L, 77-57",72,79.4,40.7,15.3,12.2,23.7,107.3,61.6,26.5,9.5,58.1,-8.5,3.0,142.5,106.821875,121.54375,108.6700350556318,107.50613616097388,97.08671875,102.1734375,97.51089772900474,96.9798316520415,20221202,108.5,97.6,10.900000000000006,108.4,97.9,10.5,108.813,98.0193,10.7934,69.9495,4.7124717739931015,141.1392906755268,66.67192314366999,3.7673036248412046,144.89407421679533,3.676132037478624,144.89407421679533,3.7673036248412046,144.89407421679533,3.676132037478624,146.95270947014905,2.291889641860081,109.073,97.1982,11.8752,67.006,108.5,97.6,10.900000000000006,108.4,97.9,10.5,0.4593756397850063,141.64299077725514,0,103.0794819,99.79826153,3.2812203699999998,3.719997867,100.4238793,99.4806386,0.9432406999999898,3.61121657,2022-12-02,138.53287161707144,1.862717328461315,138.53287161707144,-0.12910705693811053,138.53287161707144,-5.35374738321139,6.1800101327922565,0.8262627495808665,-10.7934,12.913830000000003,9.709933420210334,23.707230000000003,3.203896579789669,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.38754848109799234,0.4136073465146155,0.3657373266270376,4.0732666666666635,6.838035989940559,1.43487,2.9634037499999994,1,1.0,1,1,1,3,3.0,3.0
-4.0,11,11.099999999999994,11.172758217751356,10.648794598217396,110.1,109.83333333333331,98.9,98.73333333333336,Sat 12-10 12-10,N,82 (Ⅱ),LSU,"L, 72-70",69,102.0,55.5,21.8,27.6,23.6,104.9,51.6,10.2,23.7,23.4,-0.5,-2.0,142.5,108.4609375,106.821875,109.14669003708786,107.97774776806952,97.993359375,97.08671875,97.9739318193365,97.32895316985211,20221210,108.1,97.5,10.599999999999994,104.7,94.4,10.299999999999995,108.003,98.0547,9.94812,70.2144,1.6779213784774214,142.49079778738474,68.90050180369843,0.02546774243894845,144.00837256355203,-1.5950911312788218,144.00837256355203,0.02546774243894845,144.00837256355203,-1.5950911312788218,143.03604488792652,-3.182968882320111,107.23,95.0868,12.1431,68.9845,108.1,97.5,10.599999999999994,104.7,94.4,10.299999999999995,-0.9610571685622828,136.83171065558952,0,100.9248007,98.84521568,2.0795850200000103,4.258469797,96.70793426,99.18568904,-2.477754779999998,-8.526832763,2022-12-10,138.0578276187914,-8.809137620961096,138.0578276187914,-4.862643908943241,138.0578276187914,-11.030149504948884,3.367411465778032,-7.662738039170853,1.0518800000000006,13.965710000000003,10.77789894680689,12.913830000000003,3.187811053193114,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.5755320005597261,0.6191083735316881,1.224638217751357,1.151879999999995,0.3657373266270376,1.3965709999999998,1.43487,1,1.0,1,1,1,3,3.0,3.0
