ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
1.0,11,,11.900000000000006,11.900000000000006,107.5,0.0,95.6,0.0,Mon 11-07 11-07,H,286 (Ⅳ),Mount St. Mary's,"W, 76-59",69,109.4,54.4,25.9,50.0,33.3,84.9,41.8,24.5,30.2,41.8,4.0,-17.0,130.0,107.5,0.0,107.5,107.5,95.6,0.0,95.6,95.6,20221107,107.1,91.1,16.0,94.9,100.1,-5.2,103.789,92.2058,11.5836,72.3632,-15.79405947760069,133.81945317561673,70.41598143044098,-18.864021349974387,139.9898536035233,-13.82156597277236,139.9898536035233,-18.864021349974387,139.9898536035233,-13.82156597277236,135.33618692315443,-19.33589355452945,93.9568,100.048,-6.09166,68.4083,107.1,91.1,16.0,94.9,100.1,-5.2,-13.82156597277236,135.33618692315443,0,102.176015,90.65413843,11.521876570000003,10.17423557,93.91412229,104.328666,-10.414543710000004,-12.46735192,2022-11-07,138.61674305886947,-17.892337437203075,138.61674305886947,-17.006304507228663,138.61674305886947,0.0,0.0,0.0,-0.5836000000000006,-0.5836000000000006,0.0,0.0,-0.5836000000000006,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9472814911099373,0.9672268405338981,0.3164000000000051,,0.0,-0.5836000000000006,0.0,1,0.0,-1,-1,1,-1,0.0,0.0
22.0,40,,21.36666666666667,17.063636363636366,122.6,0.0,82.3,0.0,Fri 11-11 11-11,A,65 (I),Pittsburgh,"W, 81-56",67,120.4,59.6,16.3,28.6,33.3,83.2,47.8,28.2,24.1,40.0,2.5,-3.0,134.5,115.05,107.5,112.53333333333332,110.24545454545456,88.94999999999999,95.6,91.16666666666666,93.18181818181816,20221111,107.6,91.7,15.899999999999991,101.7,96.3,5.400000000000006,103.996,92.4119,11.5836,72.3803,2.277215107920327,140.96749913233072,73.09288044992888,-3.623403291529641,146.917696946464,7.835488922911193,146.917696946464,-3.623403291529641,146.917696946464,7.835488922911193,128.99558983291533,-5.694674709750046,103.642,94.3054,9.33671,70.9921,107.6,91.7,15.899999999999991,101.7,96.3,5.400000000000006,7.835488922911193,128.99558983291533,0,102.176015,90.65413843,11.521876570000003,10.17423557,96.83912775,98.54057555,-1.7014477999999968,-6.033076555,2022-11-11,140.58385366053417,-9.757414129362004,140.58385366053417,-5.410188825142825,140.58385366053417,0.0,0.0,0.0,28.4164,27.8328,-0.5836000000000006,-0.5836000000000006,28.4164,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.6124515189020077,0.7062112818908362,9.78306666666667,,0.3164000000000051,13.9164,-0.5836000000000006,1,1.0,1,1,-1,3,-1.0,0.0
-0.5,12,21.53333333333333,18.377777777777784,16.215702479338844,99.4,109.83333333333331,87.0,88.3,Tue 11-15 11-15,H,237 (Ⅳ),Morehead St.,"W, 75-57",71,105.8,50.0,14.1,25.0,25.8,80.4,44.0,28.2,20.0,30.0,-2.0,-18.5,134.0,107.225,115.05,108.15555555555557,108.27355371900826,87.975,88.94999999999999,89.77777777777777,92.0578512396694,20221115,109.3,92.0,17.299999999999997,94.7,98.5,-3.799999999999997,106.425,92.0978,14.3273,70.7306,-16.823717869938754,135.6664012809813,69.78645213314365,-18.56768452688604,139.57122010837003,-24.82010863187585,139.57122010837003,-18.56768452688604,139.57122010837003,-24.82010863187585,134.75045271821656,-11.901567570538475,95.5728,100.343,-4.77017,69.3616,109.3,92.0,17.299999999999997,94.7,98.5,-3.799999999999997,-24.575940924664604,134.73549776592392,0,102.176015,90.65413843,11.521876570000003,10.17423557,103.6792108,102.8377601,0.84145070000001,-1.33650464,2022-11-15,142.44035408874925,-10.073303410661879,142.44035408874925,-23.564837816100038,142.44035408874925,-13.955469999999996,9.78306666666667,-4.172403333333326,-2.3272999999999993,25.505499999999998,8.888533333333333,27.8328,16.616966666666663,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,3,0.9609573050315723,0.871494183338075,4.050477777777784,7.206033333333332,9.78306666666667,8.501833333333332,13.9164,1,1.0,1,1,1,3,3.0,-1.0
17.0,43,32.13333333333333,26.81851851851852,21.212847483095416,129.7,117.23333333333332,86.0,85.10000000000001,Fri 11-18 11-18,H,134 (Ⅲ),Penn,"W, 92-58",67,136.4,66.7,10.4,24.0,48.1,86.0,40.8,26.7,45.2,30.0,9.0,-17.0,141.0,118.4625,107.225,115.33703703703704,112.16927122464313,86.9875,87.975,88.51851851851852,90.9564237415477,20221118,108.9,91.9,17.0,103.7,101.8,1.9000000000000057,106.253,92.0019,14.2507,70.6912,-14.776530895450364,144.3256450696653,70.6436367886202,-15.42173359006624,149.36152241927084,-20.940032175026804,149.36152241927084,-15.42173359006624,149.36152241927084,-20.940032175026804,143.7021817365036,-19.30951983239803,103.026,103.591,-0.565204,70.2527,108.9,91.9,17.0,103.7,101.8,1.9000000000000057,-20.85340465719085,143.81011668091043,0,106.3918505,92.39959961,13.992250890000008,11.6941702,98.00402485,104.8997466,-6.895721750000007,-0.304893684,2022-11-18,146.58048663123554,-10.567238126216253,146.58048663123554,-18.918866716884423,146.58048663123554,-8.704250303703725,6.583687037037043,-2.1205632666666823,28.749299999999998,54.254799999999996,14.427522222222223,25.505499999999998,39.82727777777777,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,3,0.9472814911099373,0.9670425458706136,12.56781851851852,17.88263333333333,4.050477777777784,13.5637,8.501833333333332,1,1.0,1,1,1,3,3.0,3.0
-10.5,8,21.433333333333334,20.61234567901235,18.846875213441702,110.7,113.26666666666668,102.5,91.83333333333331,Thu 11-24 11-24,N,3 (I-A),Purdue,"L, 80-68",68,99.7,45.2,17.6,37.5,27.0,117.3,59.6,26.4,38.5,59.6,13.0,1.5,135.0,114.58125,118.4625,113.79135802469136,111.90213100198072,94.74375,86.9875,93.179012345679,93.05525578853904,20221124,111.4,92.4,19.0,111.7,94.6,17.10000000000001,108.626,92.8102,15.8155,68.6034,1.9525155737029678,132.14016531134138,64.05918104637269,-1.4287187653969653,137.11072718611263,-1.4446661630581668,137.11072718611263,-1.4287187653969653,137.11072718611263,-1.4446661630581668,122.38729557283237,-0.21340043580968882,113.335,94.0136,19.321,65.6434,111.4,92.4,19.0,111.7,94.6,17.10000000000001,-1.4328961331022378,122.66346564656345,0,110.2993792,93.46242875,16.836950450000003,13.52139905,104.7608925,89.06372345,15.69716905,14.39759272,2022-11-24,128.92964833086873,0.5612824893821511,128.92964833086873,-0.7172255714932874,128.92964833086873,-6.063146296296306,11.332690740740745,5.269544444444438,-7.8155,46.439299999999996,27.703281481481483,54.254799999999996,18.736018518518513,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.4432015031835318,0.5081074853275469,4.79684567901235,5.6178333333333335,12.56781851851852,9.287860000000002,13.5637,1,1.0,1,1,1,3,3.0,3.0
2.5,20,24.066666666666663,20.5082304526749,19.111079720088664,114.6,118.33333333333331,94.3,94.26666666666664,Fri 11-25 11-25,N,229 (Ⅳ),Portland St.,"W, 89-71",76,116.8,67.6,24.9,29.2,54.9,93.2,43.6,31.5,39.4,80.9,11.0,-15.5,149.0,114.590625,114.58125,114.06090534979424,112.3926526379842,94.521875,94.74375,93.55267489711936,93.28157291789556,20221125,111.3,93.5,17.799999999999997,99.1,107.5,-8.400000000000006,108.625,93.5629,15.0619,68.8987,-16.119784582170283,146.09074981092863,71.34720102716928,-19.69719013454997,154.94577971417115,-20.58036946664644,154.94577971417115,-19.69719013454997,154.94577971417115,-20.58036946664644,160.46752725566037,-0.3696677604517191,97.8367,105.174,-7.33683,72.7983,111.3,93.5,17.799999999999997,99.1,107.5,-8.400000000000006,-20.524159103209367,160.46514008480236,0,110.0478017,92.60346148,17.444340219999987,15.11689545,110.8837509,93.76716939,17.11658150999999,13.5317051,2022-11-25,150.24929653048088,-1.1309889456777995,150.24929653048088,-19.109951421788253,150.24929653048088,-2.918736730158736,8.607864656084667,5.689127925925931,4.9381,51.377399999999994,33.94862098765432,46.439299999999996,17.42877901234567,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.9300536172447476,0.5140424418136644,5.446330452674902,9.004766666666663,4.79684567901235,8.562899999999997,9.287860000000002,1,1.0,1,1,1,3,3.0,3.0
31.0,48,25.566666666666663,29.73882030178327,24.39997431643618,122.8,116.03333333333336,74.6,90.46666666666664,Sun 11-27 11-27,N,39 (I),Florida,"W, 84-55",77,109.2,48.5,16.9,40.5,38.8,71.5,36.2,18.2,15.0,37.9,-7.5,2.0,146.5,118.6953125,114.590625,116.97393689986282,114.28489761289616,84.5609375,94.521875,87.23511659807957,89.88492329646,20221127,111.1,93.3,17.799999999999997,109.6,94.6,15.0,109.434,93.8716,15.5627,68.9957,-0.4090263776365788,146.0172961373974,70.5703330167852,-2.053487691871979,149.7312992188531,-7.943298777687428,149.7312992188531,-2.053487691871979,149.7312992188531,-7.943298777687428,151.4229056989171,-11.510839184064679,110.45,95.2754,15.1743,71.9044,111.1,93.3,17.799999999999997,109.6,94.6,15.0,-4.394161152532174,146.94859034785097,0,109.3673448,91.96447983,17.402864969999996,14.39053544,101.6080342,100.0154484,1.592585800000009,-1.094261294,2022-11-27,146.46031993462628,-10.927672622156095,146.46031993462628,-1.6363833054661256,146.46031993462628,-2.262222766020029,4.422689300411539,2.16046653439151,32.4373,83.81469999999999,39.75821399176955,51.377399999999994,44.056486008230436,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.4244679994402739,0.8635197701820396,14.176120301783271,10.003966666666663,5.446330452674902,11.973528571428572,8.562899999999997,1,1.0,1,1,1,3,3.0,3.0
-7.5,16,28.33333333333333,25.32588020118885,22.963615349811416,113.8,117.06666666666666,97.3,88.73333333333333,Sat 12-03 12-03,A,24 (I-A),Xavier,"L, 84-74",71,104.0,53.4,16.9,24.2,25.4,118.0,58.7,21.1,31.0,57.7,10.5,2.5,147.5,116.24765625,118.6953125,115.91595793324188,114.1967344105514,90.93046875,84.5609375,90.59007773205306,91.23311906074,20221203,111.6,91.2,20.39999999999999,114.2,96.9,17.299999999999997,110.071,91.2527,18.818,68.9585,2.116945953661684,146.73815389818492,70.18337167780939,1.402986436682383,152.42591912016724,-3.9915813399538433,152.42591912016724,1.402986436682383,152.42591912016724,-3.9915813399538433,151.88181379324584,-2.4557841920778998,113.591,96.7625,16.8284,71.5487,111.6,91.2,20.39999999999999,114.2,96.9,17.299999999999997,-3.921749379318526,151.4649613123617,0,109.6358507,86.15961616,23.476234540000007,26.10952094,112.3451591,96.58219346,15.762965640000004,14.48782154,2022-12-03,145.42256132329896,-5.792469905504362,145.42256132329896,-4.518318422486061,145.42256132329896,-10.938525163302643,10.651904827225827,-0.28662033607681536,-2.8180000000000014,80.99669999999999,54.44370932784636,83.81469999999999,26.552990672153626,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.4059036140017165,0.5924625635862386,6.507880201188847,9.515333333333327,14.176120301783271,10.1245875,11.973528571428572,1,1.0,1,1,1,3,3.0,3.0
3.5,24,29.73333333333333,25.05058680079257,23.242958013482067,128.0,121.53333333333332,103.5,91.8,Wed 12-07 12-07,H,208 (Ⅳ),Navy,"W, 85-64",64,133.4,64.7,14.1,37.9,27.6,100.5,54.5,14.1,15.6,14.3,14.5,-17.5,134.5,122.123828125,116.24765625,119.9439719554946,116.7064190631784,97.215234375,90.93046875,94.89338515470205,93.46346104969636,20221207,112.3,91.6,20.700000000000003,101.7,103.6,-1.8999999999999917,110.547,92.1418,18.4054,68.4354,-16.450681543783993,131.2968769422922,62.88930951806544,-18.76052881512122,135.71244538264153,-23.51813630850705,135.71244538264153,-18.76052881512122,135.71244538264153,-23.51813630850705,144.91979708769134,-12.051099727084747,102.439,103.862,-1.4236,64.6028,112.3,91.6,20.700000000000003,101.7,103.6,-1.8999999999999917,-21.668427853190842,139.25811993847987,0,108.354289,89.02912257,19.325166429999996,22.74100409,107.8610368,100.5501973,7.3108395,15.78491377,2022-12-07,132.60675846182494,-6.474739410393923,132.60675846182494,-19.506019998431157,132.60675846182494,-10.024923142908841,7.961351510821519,-2.063571632087322,5.5946,86.59129999999999,63.294706218564244,80.99669999999999,23.296593781435746,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,-3,0.9522096477271853,0.8744586951878056,6.645186800792569,11.32793333333333,6.507880201188847,9.621255555555555,10.1245875,1,1.0,1,1,1,3,3.0,3.0
5.0,20,20.566666666666663,23.600391200528374,22.780602011030783,113.7,118.5,93.0,97.93333333333334,Sat 12-10 12-10,H,70 (Ⅱ),UAB,"W, 81-70",73,111.4,54.6,17.9,25.0,46.3,96.3,51.8,26.1,32.4,31.6,-2.5,-6.0,153.5,117.9119140625,122.123828125,117.86264797032972,116.15979741532776,95.1076171875,97.215234375,94.26225676980135,93.379195404297,20221210,114.0,92.8,21.200000000000003,112.2,97.0,15.200000000000005,111.646,92.709,18.9375,68.3215,-7.109779741580411,152.10957656244545,72.16334525817925,-9.20312554518378,158.60220037291575,-9.523441834423277,158.60220037291575,-9.20312554518378,158.60220037291575,-9.523441834423277,158.14555678721146,-13.1259735701707,112.024,96.582,15.442,74.2531,114.0,92.8,21.200000000000003,112.2,97.0,15.200000000000005,-12.402100166603265,154.16579141941787,0,110.0273935,89.38142592,20.645967580000004,23.38833398,106.3860547,97.43923187,8.946822830000002,14.44876433,2022-12-10,149.5651399197136,-8.853929400801618,149.5651399197136,-9.586179075637048,149.5651399197136,-7.318212722753062,6.636870280398888,-0.6813424423541736,1.0625,87.65379999999999,71.06023747904283,86.59129999999999,16.593562520957164,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.7161454169013237,0.8943671607518598,4.6628912005283745,1.6291666666666629,6.645186800792569,8.765379999999999,9.621255555555555,1,1.0,1,1,1,3,3.0,3.0
