ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-13.5,-29,,-29.00000000000001,-29.00000000000001,105.8,0.0,134.8,0.0,Sat 11-12 11-12,A,299 (Ⅳ),High Point,"L, 91-80",72,111.8,46.0,12.6,37.8,54.0,127.2,62.9,19.6,39.3,39.7,34.5,-2.5,136.5,105.8,0.0,105.8,105.8,134.8,0.0,134.8,134.8,20221112,98.1,102.2,-4.1000000000000085,97.0,101.9,-4.900000000000006,102.593,100.985,1.60747,69.3277,-0.13137769866447968,139.69849048371628,70.10450553755334,3.4041064679850734,142.8556604373457,38.58177766183014,142.8556604373457,3.4041064679850734,142.8556604373457,38.58177766183014,194.42186654087752,-4.958941574333338,96.3475,100.489,-4.14153,71.0877,98.1,102.2,-4.1000000000000085,97.0,101.9,-4.900000000000006,38.58177766183014,194.42186654087752,0,105.9125201,101.0150576,4.897462499999989,3.402706614,93.53642767,101.0625614,-7.526133730000012,-8.27312304,2022-11-12,144.36098569344836,-6.270157830235178,144.36098569344836,1.3137584337737565,144.36098569344836,0.0,0.0,0.0,-30.60747,-30.60747,0.0,0.0,-30.60747,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.5940963859982835,0.6816365815182859,-30.60747000000001,,0.0,-30.60747,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
5.0,1,,-18.80000000000001,-23.436363636363648,122.1,0.0,120.5,0.0,Mon 11-14 11-14,A,87 (Ⅱ),Drake,"L, 80-72",64,112.6,57.3,18.8,24.1,20.0,125.1,54.6,4.7,32.4,18.5,6.5,13.0,145.5,113.95,105.8,111.23333333333336,108.76363636363637,127.65,134.8,130.03333333333336,132.20000000000002,20221114,99.2,104.5,-5.299999999999997,107.4,94.6,12.800000000000011,103.484,103.133,0.351579,69.4181,11.562025866155622,147.5429802569481,70.18446397453769,17.355542669812166,148.41377565047998,41.05165488560489,148.41377565047998,17.355542669812166,148.41377565047998,41.05165488560489,148.08046362286353,8.189164746818761,107.425,96.7712,10.654,71.0761,99.2,104.5,-5.299999999999997,107.4,94.6,12.800000000000011,41.05165488560489,148.08046362286353,0,105.9125201,101.0150576,4.897462499999989,3.402706614,107.1214613,96.98025235,10.141208950000006,11.80175829,2022-11-14,151.63637657686508,8.009390799735058,151.63637657686508,14.742246657851638,151.63637657686508,0.0,0.0,0.0,0.648421,-29.959049,-30.60747,-30.60747,0.648420999999999,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.10784037468050733,0.21771884966559052,-19.151579000000012,,-30.60747000000001,-14.9795245,-30.60747,-1,-1.0,1,-1,-1,-1,-3.0,0.0
-1.5,-5,-10.833333333333336,-14.23333333333334,-20.102479338842983,92.5,106.8,97.6,117.63333333333333,Fri 11-18 11-18,H,192 (Ⅳ),Gardner Webb,"W, 60-58",65,91.9,30.7,7.7,29.0,54.4,88.8,52.0,26.0,32.0,11.8,-18.0,-3.5,136.0,103.225,113.95,104.98888888888892,105.80661157024792,112.625,127.65,119.22222222222224,125.90909090909092,20221118,101.0,105.5,-4.5,96.1,98.9,-2.800000000000012,104.78,104.245,0.535077,68.1835,-5.267116613901251,137.94794551596533,67.71087098790896,-2.870903622552717,139.61044535121857,5.844552209635445,139.61044535121857,-2.870903622552717,139.61044535121857,5.844552209635445,161.81085393233423,-1.2802268197329738,97.1576,98.6534,-1.49571,69.8127,101.0,105.5,-4.5,96.1,98.9,-2.800000000000012,5.573207230353902,162.34831963091452,0,105.1433196,104.9159464,0.22737320000000238,1.981482097,98.39700284,94.5439227,3.853080140000003,3.923964609,2022-11-18,140.51305516847125,-0.6366133716034739,140.51305516847125,12.362048950563647,140.51305516847125,23.976566222222225,-19.151579000000005,4.824987222222218,-5.535077,-35.494126,-30.391329666666667,-29.959049,-5.102796333333334,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.6305586598182363,0.5485213319428524,-14.768410333333339,-11.368410333333335,-19.151579000000012,-11.831375333333334,-14.9795245,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
4.0,11,2.7666666666666706,-5.555555555555559,-14.302028549962436,117.9,110.83333333333331,106.1,108.06666666666666,Sun 11-20 11-20,H,275 (Ⅳ),North Carolina A&T,"W, 78-64",62,125.6,63.5,11.3,23.1,36.5,103.0,46.7,8.0,25.0,18.0,7.0,-10.0,135.0,110.5625,103.225,109.2925925925926,108.00540946656648,109.3625,112.625,114.84814814814816,122.30743801652892,20221120,101.0,105.9,-4.900000000000006,96.4,101.8,-5.399999999999992,103.865,103.652,0.213554,67.9882,-11.356746708982698,142.2618314018439,69.16943453029873,-4.58026649390915,145.1475567711953,-8.066000083522251,145.1475567711953,-4.58026649390915,145.1475567711953,-8.066000083522251,153.6702684563311,-11.839212155885278,94.3728,104.501,-10.1284,71.5214,101.0,105.9,-4.900000000000006,96.4,101.8,-5.399999999999992,-7.947538455947999,153.76387095510597,0,106.188149,107.5527741,-1.3646250999999978,-0.35213912,98.60956622,109.7494809,-11.13991467999999,-4.223254655,2022-11-20,157.87252715595315,-4.570066056398588,157.87252715595315,-3.4234438125025974,157.87252715595315,7.792891425925925,-13.589623277777779,-5.796731851851854,10.786446,-24.707680000000003,-32.09226177777778,-35.494126,7.384581777777775,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.8295480920359348,0.870243729012468,-5.769109555555559,2.553112666666671,-14.768410333333339,-6.17692,-11.831375333333334,-1,-1.0,1,-1,-1,-1,-3.0,-1.0
9.5,2,2.966666666666673,-2.970370370370372,-11.301659722696538,117.9,109.43333333333334,115.7,106.46666666666664,Sun 11-27 11-27,A,141 (Ⅱ),LSU,"L, 78-75",67,112.5,57.8,19.5,30.0,15.5,117.0,60.4,16.5,19.2,32.1,16.5,12.5,136.5,114.23125,110.5625,112.16172839506174,109.80442592719076,112.53125,109.3625,115.13209876543212,121.10608564988728,20221127,103.1,106.4,-3.300000000000012,103.7,91.4,12.299999999999995,106.447,105.836,0.610269,64.9918,13.458335936157532,136.42329644927193,64.28724451237554,14.401495420585746,135.25314731454154,18.085714106059,135.25314731454154,14.401495420585746,135.25314731454154,18.085714106059,138.6693165576717,6.706507971835251,107.659,92.8764,14.7831,69.5379,103.1,106.4,-3.300000000000012,103.7,91.4,12.299999999999995,17.48260298023699,138.5608298098789,0,107.512084,110.7112182,-3.199134200000003,-1.460087601,97.02717,95.94158214,1.085587860000004,-2.147808455,2022-11-27,138.99189926460798,1.3254542219431187,138.99189926460798,16.514394599398152,138.99189926460798,7.320114936801894,-5.7394047222222335,1.5807102145796605,1.389731,-23.317949000000002,-29.630734518518523,-24.707680000000003,6.31278551851852,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.11692964134637251,0.2615041617753513,-3.5806393703703723,2.3563976666666733,-5.769109555555559,-4.6635898000000005,-6.17692,-1,-1.0,1,-1,-1,-1,-1.0,-3.0
0.5,-1,4.033333333333336,-2.613580246913584,-9.592267045842622,102.1,112.63333333333334,104.0,108.6,Thu 12-01 12-01,H,323 (Ⅳ),Presbyterian,"W, 76-63",67,113.4,61.0,19.4,19.0,32.0,94.0,63.0,26.9,9.5,6.0,7.0,-12.5,132.0,108.165625,114.23125,108.80781893004117,108.40362121315606,108.265625,112.53125,111.42139917695476,117.99588825899868,20221201,105.3,107.1,-1.7999999999999972,93.3,104.4,-11.100000000000009,107.594,105.788,1.80685,64.1842,-12.027804338677626,126.50867769426218,60.02984798236131,-9.805574519605997,129.72501546548125,-12.264348082328334,129.72501546548125,-9.805574519605997,129.72501546548125,-12.264348082328334,132.3887631979637,-12.034906841475575,93.1776,104.826,-11.6486,65.7498,105.3,107.1,-1.7999999999999972,93.3,104.4,-11.100000000000009,-12.214651858951806,133.22555019073923,0,109.5822998,109.9641916,-0.38189180000000533,-0.240273759,89.49672545,102.2230568,-12.726331349999995,-5.658573761,2022-12-01,130.14225321214866,-4.883858029149451,130.14225321214866,-9.27447583774071,130.14225321214866,-0.47027110218826707,-3.276602585185177,-3.7468736873734443,-2.80685,-26.124799000000003,-27.52647267901235,-23.317949000000002,1.4016736790123474,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.8830703586536275,0.8741399910308254,-4.420430246913584,2.226483333333336,-3.5806393703703723,-4.354133166666666,-4.6635898000000005,-1,-1.0,1,-1,-1,-1,-1.0,-1.0
5.5,1,0.6666666666666666,-1.1757201646090552,-7.539127582962144,89.5,103.16666666666669,87.8,102.5,Sat 12-03 12-03,A,92 (Ⅱ),Vanderbilt,"L, 65-62",69,89.9,48.2,21.7,22.9,21.4,94.2,56.6,21.7,10.3,17.0,-9.5,8.5,136.5,98.8328125,108.165625,102.37187928669412,104.9665991744004,98.0328125,108.265625,103.54759945130318,112.50572675736257,20221203,106.1,107.7,-1.6000000000000083,105.4,96.6,8.800000000000011,107.854,106.122,1.73201,65.0003,8.994451381422301,136.74563671181602,63.201835084921775,11.076913176274203,140.36844862004483,13.199554952174298,140.36844862004483,11.076913176274203,140.36844862004483,13.199554952174298,141.0682859875211,9.962247681187208,106.195,96.8682,9.32708,68.3549,106.1,107.7,-1.6000000000000083,105.4,96.6,8.800000000000011,11.997530256584787,139.25157826264493,0,108.7827093,111.0217522,-2.239042900000001,-2.746446572,103.9015245,97.62873351,6.27279098999999,5.574251246,2022-12-03,143.93457727387488,7.053506237477045,143.93457727387488,9.958196126659814,143.93457727387488,4.3299864722058405,-3.899631488536101,0.4303549836697389,-0.73201,-26.856809000000002,-27.05924811934157,-26.124799000000003,0.20243911934156955,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,-3,0.20910695659274503,0.17136486069340762,-2.907730164609055,-1.0653433333333333,-4.420430246913584,-3.836687,-4.354133166666666,-1,-1.0,1,-1,-1,-1,-1.0,-1.0
3.5,-4,-1.400000000000001,-2.1171467764060368,-6.89564984060539,89.7,93.76666666666668,93.7,95.16666666666669,Tue 12-06 12-06,H,257 (Ⅳ),Coastal Carolina,"W, 71-61",69,103.2,49.2,18.9,32.4,19.4,88.7,42.4,14.5,28.2,9.1,-5.5,-6.5,137.5,94.26640625,98.8328125,98.14791952446274,102.19085386996396,95.86640625,98.0328125,100.2650663008688,109.08650371056936,20221206,105.9,107.0,-1.0999999999999943,98.2,104.2,-6.0,107.542,105.362,2.18031,65.3997,-6.8396122662937415,136.83304788124576,63.00558722688478,-7.313383452713424,139.4623329468444,-10.651443392534322,139.4623329468444,-7.313383452713424,139.4623329468444,-10.651443392534322,132.00602317997817,-7.112021529939085,101.214,103.628,-2.4144,67.7265,105.9,107.0,-1.0999999999999943,98.2,104.2,-6.0,-8.187914317479702,138.18393696296903,0,105.5788449,107.0625574,-1.4837124999999958,-2.345531437,95.37273042,101.5743508,-6.2016203800000085,-4.062855432,2022-12-06,135.5313158183167,-2.78963952509055,135.5313158183167,-4.441736989284571,135.5313158183167,0.8611695187144601,-3.666463091906695,-2.805293573192235,-6.18031,-33.037119000000004,-26.991768412894384,-26.856809000000002,-6.04535058710562,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.732057505466481,0.750903407220143,-4.297456776406037,-3.5803100000000008,-2.907730164609055,-4.1296398750000005,-3.836687,-1,-1.0,-1,-1,-1,-3,-1.0,-1.0
-27.5,-30,-10.9,-11.544764517604026,-11.16916805140441,92.3,90.5,122.7,101.40000000000002,Sat 12-10 12-10,A,207 (Ⅲ),Georgia Southern,"L, 79-57",65,87.9,47.9,27.8,37.5,51.1,121.9,67.3,20.1,22.7,21.2,1.5,-5.5,134.5,93.283203125,94.26640625,96.1986130163085,100.39251680269778,109.283203125,95.86640625,107.74337753391254,111.5616848541022,20221210,106.0,106.9,-0.9000000000000057,96.7,102.9,-6.200000000000003,106.96,104.578,2.38214,65.9055,-3.3524040187547257,131.31721287722434,62.07191862588906,0.15662802349959293,135.36598048732546,-3.505354389169341,135.36598048732546,0.15662802349959293,135.36598048732546,-3.505354389169341,125.86651394688711,-4.363516497150393,96.3419,104.842,-8.49987,66.2108,106.0,106.9,-0.9000000000000057,96.7,102.9,-6.200000000000003,-1.3659336498214891,126.73840513115432,0,104.1364712,105.7693215,-1.6328503000000012,-1.492490783,89.26666198,102.6493694,-13.382707420000003,-9.386645605,2022-12-10,128.1452574283565,-3.256580077392073,128.1452574283565,-2.447690219305599,128.1452574283565,2.9585335002041564,-4.9985524743370044,-2.040018974132848,-32.38214,-65.41925900000001,-29.006885275262924,-33.037119000000004,-36.41237372473709,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.6997944856925475,0.6611387562647727,-13.926904517604026,-13.28214,-4.297456776406037,-7.268806555555556,-4.1296398750000005,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
19.5,20,-4.733333333333334,-0.9631763450693508,-5.465682951149061,111.2,97.73333333333332,91.0,102.46666666666664,Tue 12-20 12-20,A,29 (I),Texas A&M,"W, 67-62",63,106.0,47.6,12.7,31.4,11.1,98.1,53.0,20.6,21.9,30.0,-11.5,14.5,140.5,102.2416015625,93.283203125,101.19907534420568,102.3575137476618,100.1416015625,109.283203125,102.16225168927502,107.82319669881088,20221220,103.9,108.1,-4.199999999999989,111.9,99.6,12.300000000000011,105.542,105.998,-0.456348,66.4129,13.236242166569497,145.96101022636793,66.13298332475107,16.112927445494407,152.5241356397267,18.697373172157356,152.5241356397267,16.112927445494407,152.5241356397267,18.697373172157356,145.1159584589916,10.7265375132216,110.989,98.2858,12.7028,70.0037,103.9,108.1,-4.199999999999989,111.9,99.6,12.300000000000011,15.849374354675453,148.65804135073046,0,102.1124559,107.3752704,-5.262814500000005,-2.023512896,105.7971813,101.7200042,4.0771771,-1.922414543,2022-12-20,147.64444728418573,1.8820490565307537,147.64444728418573,19.105098203716018,147.64444728418573,15.921684940687209,-12.309574425059942,3.6121105156272666,20.456348,-44.96291100000001,-41.144343183508624,-65.41925900000001,-3.818567816491388,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,3,0.08364680132758417,0.1534910472439064,-0.5068283450693508,-4.276985333333334,-13.926904517604026,-4.4962911,-7.268806555555556,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
