ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-0.5,18,,18.0,18.0,115.4,0.0,97.4,0.0,Mon 11-07 11-07,H,263 (Ⅳ),Morgan St.,"W, 96-73",81,118.1,55.6,24.6,60.0,58.1,89.8,40.7,22.1,37.0,31.4,22.5,-23.5,146.5,115.4,0.0,115.4,115.4,97.4,0.0,97.4,97.4,20221107,108.7,91.0,17.7,93.7,102.3,-8.6,108.243,91.9252,16.3182,72.6485,-24.940517545786562,152.48844319526648,78.23437392674253,-25.099596798244846,157.4603455142908,-23.871770176097073,157.4603455142908,-25.099596798244846,157.4603455142908,-23.871770176097073,163.63169856996316,-24.978236323165767,91.6692,102.397,-10.7283,75.7053,108.7,91.0,17.7,93.7,102.3,-8.6,-23.871770176097073,163.63169856996316,0,104.0227845,89.25207256,14.770711939999998,21.93321628,88.86454255,101.346025,-12.481482450000001,-9.138479881,2022-11-07,148.09722837625975,-26.639447776769515,148.09722837625975,-22.865873405064733,148.09722837625975,0.0,0.0,0.0,1.681799999999999,1.681799999999999,0.0,0.0,1.681799999999999,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.9873925774343177,0.9913173277314733,1.681799999999999,,0.0,1.681799999999999,0.0,1,0.0,1,1,1,3,0.0,0.0
4.5,29,,21.8,20.07272727272727,127.3,0.0,97.9,0.0,Fri 11-11 11-11,H,161 (Ⅳ),Montana,"W, 86-64",65,133.1,72.0,13.9,21.1,38.0,99.1,52.9,24.8,31.0,25.0,6.5,-17.5,143.5,121.35,115.4,119.36666666666667,117.56363636363636,97.65,97.4,97.56666666666668,97.49090909090908,20221111,109.3,91.5,17.799999999999997,99.2,102.3,-3.0999999999999943,108.452,92.1341,16.3182,72.6657,-18.4130550921723,144.13437388063855,72.23570097866288,-19.738806199847104,150.1045070509527,-46.87376016128258,150.1045070509527,-19.738806199847104,150.1045070509527,-46.87376016128258,174.01179329075845,-19.492650499111633,97.638,101.403,-3.76516,69.884,109.3,91.5,17.799999999999997,99.2,102.3,-3.0999999999999943,-46.87376016128258,174.01179329075845,0,104.0227845,89.25207256,14.770711939999998,21.93321628,95.6085793,102.2376648,-6.629085500000002,0.96924799,2022-11-11,142.05180386491276,-17.39768165312418,142.05180386491276,-17.2685222045572,142.05180386491276,0.0,0.0,0.0,12.681799999999999,14.363599999999998,1.681799999999999,1.681799999999999,12.681799999999999,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,3,0.9522096477271853,0.9683047729730527,5.4818,,1.681799999999999,7.181799999999999,1.681799999999999,1,1.0,1,1,1,3,3.0,0.0
-7.0,1,16.33333333333333,15.066666666666665,16.714049586776856,101.5,114.73333333333332,99.9,98.40000000000002,Tue 11-15 11-15,H,232 (Ⅳ),Fairfield,"W, 78-65",74,105.7,58.8,23.0,32.3,35.1,88.1,41.8,19.0,23.7,27.9,3.5,-20.0,139.5,111.425,121.35,113.41111111111113,114.64297520661157,98.775,97.65,98.34444444444446,97.9289256198347,20221115,111.2,93.0,18.200000000000003,101.3,102.8,-1.5,110.401,93.5865,16.8142,71.0781,-18.241408382116866,138.22998837035448,68.20504837894738,-18.125597581450357,146.08685547491672,-30.886046883669053,146.08685547491672,-18.125597581450357,146.08685547491672,-30.886046883669053,160.88809707176043,-11.897923082175545,97.1611,101.556,-4.39526,67.4584,111.2,93.0,18.200000000000003,101.3,102.8,-1.5,-30.8060526020044,160.4473593431326,0,104.0227845,89.25207256,14.770711939999998,21.93321628,104.3925863,100.6154813,3.777105000000006,-2.585538091,2022-11-15,138.4513977910184,-18.817514941032513,138.4513977910184,-22.456284828607153,138.4513977910184,-10.969983333333333,5.4818,-5.488183333333334,-15.8142,-1.4506000000000014,5.909066666666666,14.363599999999998,-7.3596666666666675,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,3,0.9715944860326362,0.8714213289514804,-1.747533333333335,-0.480866666666671,5.4818,-0.4835333333333338,7.181799999999999,-1,1.0,-1,-1,1,-3,3.0,3.0
0.0,13,14.899999999999997,14.61111111111111,16.166040570999243,117.7,115.5,104.0,100.6,Fri 11-18 11-18,H,31 (I),Indiana,"L, 81-79",71,110.6,49.2,16.8,34.2,34.4,113.4,55.2,15.4,36.4,44.8,17.5,2.0,142.5,114.5625,111.425,114.84074074074076,115.19879789631857,101.3875,98.775,100.22962962962964,99.0327573253193,20221118,110.6,93.1,17.5,110.1,89.4,20.69999999999999,110.142,93.7025,16.4399,72.1143,1.9760458984849123,145.57594120540188,72.86631981977241,-1.4982316209355702,149.96910009243334,6.445715572500741,149.96910009243334,-1.4982316209355702,149.96910009243334,6.445715572500741,151.30120130620955,0.06072946596370343,111.699,87.4449,24.2539,71.0331,110.6,93.1,17.5,110.1,89.4,20.69999999999999,6.332134338352641,151.3350124213342,0,108.9422481,96.94079563,12.001452470000004,7.483054722,113.5037911,95.42615716,18.07763394,24.67501625,2022-11-18,159.31463695707035,10.15883907553848,159.31463695707035,5.71918028756086,159.31463695707035,4.381711111111109,0.09068888888888793,4.472399999999997,-3.4399000000000015,-4.890500000000003,3.455844444444444,-1.4506000000000014,-8.346344444444448,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.4244679994402739,0.4976926269939361,-1.8287888888888908,-1.5399000000000047,-1.747533333333335,-1.2226250000000007,-0.4835333333333338,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
5.5,22,12.666666666666666,17.30740740740741,17.354033194453926,132.4,117.2,109.7,104.53333333333336,Thu 11-24 11-24,N,51 (I),Florida,"W, 90-83",77,116.7,64.4,19.4,29.0,33.9,107.6,50.0,14.3,29.8,10.1,23.5,-1.5,149.5,123.48125,114.5625,120.69382716049384,118.326289187897,105.54375,101.3875,103.38641975308644,100.97225599344304,20221124,112.5,95.1,17.400000000000006,108.1,92.9,15.199999999999989,112.076,95.7335,16.3424,71.295,0.23334649280988629,151.50582098989761,72.95091004267427,-1.2748366729049536,154.61186951286606,1.4372604358691197,154.61186951286606,-1.2748366729049536,154.61186951286606,1.4372604358691197,152.6864011292531,-9.967759516419747,109.179,92.9721,16.2068,71.9328,112.5,95.1,17.400000000000006,108.1,92.9,15.199999999999989,1.191532350941074,152.68655981381477,0,112.0647071,98.90015932,13.164547780000007,12.83166741,98.36157038,98.73340021,-0.3718298299999958,-4.018977992,2022-11-24,155.0663819521102,-12.292699168823049,155.0663819521102,0.881625257293507,155.0663819521102,1.5575385185185393,-1.767345555555556,-0.20980703703701664,5.657599999999999,0.7670999999999957,0.6737296296296287,-4.890500000000003,0.093370370370367,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.5567984968164682,0.8287686248404496,0.9650074074074091,-3.6757333333333353,-1.8287888888888908,0.15342000000000056,-1.2226250000000007,1,-1.0,1,1,-1,3,-3.0,-3.0
-2.0,4,13.766666666666673,13.17160493827161,15.08966352273503,105.7,118.6,100.8,104.83333333333331,Fri 11-25 11-25,N,30 (I-A),Duke,"L, 71-64",66,97.7,45.2,22.9,29.4,36.5,108.4,54.6,16.8,29.0,35.2,-13.5,5.0,148.5,114.590625,123.48125,115.69588477366256,116.03060024464298,103.171875,105.54375,102.52427983539096,100.94093672190792,20221125,113.7,95.9,17.799999999999997,112.6,91.1,21.5,113.038,96.0626,16.9752,71.8804,3.842815622515843,143.49894387119167,67.6710510566145,3.0521466317110253,146.66560410792732,3.6985417011949275,146.66560410792732,3.0521466317110253,146.66560410792732,3.6985417011949275,145.64538760551383,-2.647155427990171,113.895,91.7421,22.1532,66.1832,113.7,95.9,17.799999999999997,112.6,91.1,21.5,5.341032006441314,144.91380549462352,0,112.7530994,96.52001507,16.233084329999997,14.26943213,98.49292507,87.69948648,10.793438589999994,19.42567667,2022-11-25,134.4542274700696,3.489284875267302,134.4542274700696,1.060231517915426,134.4542274700696,-5.831814050558485,-0.8383777777777723,-6.670191828336257,-12.975200000000001,-12.208100000000005,0.7048530864197511,0.7670999999999957,-12.912953086419757,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.31696934194067294,0.5995219954090403,-3.803595061728391,-3.208533333333328,0.9650074074074091,-2.0346833333333336,0.15342000000000056,-1,1.0,-1,-1,1,-3,3.0,-3.0
3.5,10,12.533333333333337,12.114403292181072,14.164270154965024,114.7,117.6,104.7,105.06666666666666,Sun 11-27 11-27,N,24 (I-A),Gonzaga,"L, 88-84",74,112.9,57.4,12.1,17.6,11.8,118.3,60.5,17.5,28.6,30.6,13.5,7.5,158.5,114.6453125,114.590625,115.36392318244172,115.78867292743516,103.9359375,103.171875,103.24951989026064,101.62440277247012,20221127,113.3,96.0,17.299999999999997,117.3,92.6,24.700000000000003,113.057,96.3632,16.6935,70.9945,6.07988618832367,160.39194844675887,73.01637892532005,5.741701392729823,162.36664483657248,1.7237610471314373,162.36664483657248,5.741701392729823,162.36664483657248,1.7237610471314373,169.66614084584813,0.9125595462994909,118.89,93.933,24.9566,72.3021,113.3,96.0,17.299999999999997,117.3,92.6,24.700000000000003,3.686154245662538,165.96536974553362,0,113.1363326,96.79688352,16.33944908000001,14.55023314,111.0269435,93.91152774,17.115415760000005,24.02657324,2022-11-27,159.5263825719428,6.919280395668039,159.5263825719428,5.895364326466336,159.5263825719428,-2.444659303350985,-2.971695943562608,-5.416355246913593,-6.6935,-18.901600000000006,-3.5994646090535007,-12.208100000000005,-15.302135390946505,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.23752526202697655,0.46537135329131796,-4.579096707818929,-4.1601666666666635,-3.803595061728391,-2.700228571428571,-2.0346833333333336,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
9.5,31,15.366666666666667,18.47626886145405,17.26167558133502,108.7,109.7,77.5,94.33333333333331,Wed 11-30 11-30,H,270 (Ⅳ),Southeastern Louisiana,"W, 95-63",81,117.7,59.7,18.6,36.4,32.8,78.1,42.2,22.3,15.0,39.7,5.5,-22.5,152.5,111.67265625,114.6453125,113.14261545496116,114.49982330426512,90.71796875,103.9359375,94.6663465935071,97.2381477229301,20221130,114.2,97.4,16.799999999999997,97.4,109.0,-11.599999999999994,113.207,96.6679,16.5394,70.7085,-24.82277714669415,153.95439366432902,71.32134052702703,-26.087718688046238,160.66324100239444,-14.289704160264918,160.66324100239444,-26.087718688046238,160.66324100239444,-14.289704160264918,159.3221644373287,-9.255779063904669,96.8084,108.213,-11.4043,70.9093,114.2,97.4,16.799999999999997,97.4,109.0,-11.599999999999994,-17.095748914594076,159.64539659397238,0,112.4132455,98.74485225,13.668393250000008,10.16275885,104.6183691,97.86889195,6.74947714999999,3.645806903,2022-11-30,155.80063224960526,-6.782853383695681,155.80063224960526,-14.48665188587107,155.80063224960526,10.997351953752702,-4.545858161865578,6.451493791887124,14.4606,-4.441000000000006,-8.70017640603567,-18.901600000000006,4.259176406035664,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.9839377143961717,0.8109771217496355,1.9368688614540481,-1.1727333333333334,-4.579096707818929,-0.5551250000000003,-2.700228571428571,1,-1.0,1,-1,-1,1,-3.0,-3.0
7.5,20,20.666666666666668,19.250845907636037,17.90500729381956,120.1,114.5,99.3,93.83333333333331,Sat 12-03 12-03,H,21 (I),West Virginia,"W, 84-74",71,118.0,58.7,21.1,31.0,57.7,104.0,53.4,16.9,24.2,25.4,10.5,-2.5,147.5,115.886328125,111.67265625,115.46174363664078,115.51803724894418,95.008984375,90.71796875,96.21089772900471,97.6130299551246,20221203,114.2,96.9,17.299999999999997,111.6,91.2,20.39999999999999,113.591,96.7625,16.8284,71.5487,-2.116945953661684,146.73815389818492,70.18337167780939,-1.402986436682383,152.42591912016724,3.1649004223990436,152.42591912016724,-1.402986436682383,152.42591912016724,3.1649004223990436,151.18455989207484,2.4557841920778998,110.071,91.2527,18.818,68.9585,114.2,96.9,17.299999999999997,111.6,91.2,20.39999999999999,3.612276857078982,150.55466576777545,0,112.3451591,96.58219346,15.762965640000004,14.48782154,109.6358507,86.15961616,23.476234540000007,26.10952094,2022-12-03,145.42256132329896,5.792469905504362,145.42256132329896,4.189275943198595,145.42256132329896,10.458906964857281,-0.4320135688157336,10.026893396041547,3.1716000000000015,-1.2694000000000045,-7.280450937357116,-4.441000000000006,6.011050937357111,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.5940963859982835,0.4075374364137614,2.422445907636039,3.8382666666666694,1.9368688614540481,-0.14104444444444653,-0.5551250000000003,1,1.0,1,-1,-1,1,1.0,-3.0
-0.5,30,27.53333333333333,23.03389727175736,20.21318778585237,120.9,116.56666666666666,90.3,89.03333333333335,Sat 12-10 12-10,A,50 (Ⅱ),Cincinnati,"W, 80-77",76,105.6,51.6,15.8,25.0,33.9,101.6,51.7,19.8,18.2,30.5,7.5,-3.5,149.5,118.3931640625,115.886328125,117.27449575776052,116.49657593095432,92.6544921875,95.008984375,94.24059848600317,96.28338814510194,20221210,116.3,98.2,18.099999999999994,108.2,98.9,9.299999999999995,115.124,97.3451,17.7786,71.7308,-0.8514041111580468,153.46824913981592,70.39730095988621,-1.8545031744437637,159.25314046424836,-2.559369596383082,159.25314046424836,-1.8545031744437637,159.25314046424836,-2.559369596383082,159.60789928405228,-11.44340354484244,108.841,98.4196,10.4215,68.9931,116.3,98.2,18.099999999999994,108.2,98.9,9.299999999999995,-2.459580970599351,156.05773297302326,0,115.3975906,94.21217686,21.18541374,20.3102945,102.0052877,102.2350023,-0.22971460000000832,3.079816761,2022-12-10,153.80470291327197,-9.928142745603608,153.80470291327197,-3.444150992610787,153.80470291327197,-0.9900602580503204,2.006909443959483,1.0168491859091624,12.2214,10.951999999999995,-5.276767291571413,-1.2694000000000045,16.22876729157141,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.6305586598182363,0.8621099375289902,5.25529727175736,9.75473333333333,2.422445907636039,1.095200000000002,-0.14104444444444653,1,1.0,1,1,-1,3,1.0,1.0
