Full Team Name,University,CoverNumber,PomeroyName,TRankName,OldTRankName,UpdatedTRankName,SportsReference,RevisedSportsReference,,
Abilene Christian Wildcats,Abilene Christian,,Abilene Christian,Abilene Christian,Abilene Christian,Abilene Christian,Abilene Christian,Abilene Christian,,1
Air Force Falcons,Air Force,,Air Force,Air Force,Air Force,Air Force,Air Force,Air Force,,1
Akron Zips,Akron,,Akron,Akron,Akron,Akron,Akron,Akron,,1
Alabama Crimson Tide,Alabama,,Alabama 9,Alabama 9,Alabama,Alabama,Alabama,Alabama,,1
Alabama AM Bulldogs,Alabama A%26M,,Alabama A&M,Alabama A&M,Alabama A&M,Alabama A&M,Alabama A&M,Alabama A&M,,1
Alabama St Hornets,Alabama St.,,Alabama St.,Alabama St.,Alabama St.,Alabama St.,Alabama State,Alabama State,,1
Albany Great Danes,Albany,2403,Albany,Albany,Albany,Albany,Albany (NY),Albany (NY),,1
Alcorn St Braves,Alcorn St.,,Alcorn St.,Alcorn St.,Alcorn St.,Alcorn St.,Alcorn State,Alcorn State,,1
American Eagles,American,,American,American,American,American,American,American,,1
Appalachian St Mountaineers,Appalachian St.,,Appalachian St.,Appalachian St.,Appalachian St.,Appalachian St.,Appalachian State,Appalachian State,,1
Arizona Wildcats,Arizona,2175,Arizona 4,Arizona 4,Arizona,Arizona,Arizona,Arizona,,1
Arizona State Sun Devils,Arizona St.,,Arizona St. 11,Arizona St. 11,Arizona St.,Arizona St.,Arizona State,Arizona State,,1
Arkansas Razorbacks,Arkansas,,Arkansas 7,Arkansas 7,Arkansas,Arkansas,Arkansas,Arkansas,,1
Arkansas St Red Wolves,Arkansas St.,,Arkansas St.,Arkansas St.,Arkansas St.,Arkansas St.,Arkansas State,Arkansas State,,1
Arkansas Pine Bluff Golden Lions,Arkansas Pine Bluff,,Arkansas Pine Bluff,Arkansas Pine Bluff,Arkansas Pine Bluff,Arkansas Pine Bluff,Arkansas-Pine Bluff,Arkansas-Pine Bluff,,1
Army Black Knights,Army,,Army,Army,Army,Army,Army,Army,,1
Auburn Tigers,Auburn,,Auburn 4,Auburn 4,Auburn,Auburn,Auburn,Auburn,,1
Austin Peay Governors,Austin Peay,,Austin Peay,Austin Peay,Austin Peay,Austin Peay,Austin Peay,Austin Peay,,1
Ball St Cardinals,Ball St.,,Ball St.,Ball St.,Ball St.,Ball St.,Ball State,Ball State,,1
Baylor Bears,Baylor,2446,Baylor,Baylor,Baylor,Baylor,Baylor,Baylor,,1
Belmont Bruins,Belmont,,Belmont,Belmont,Belmont,Belmont,Belmont,Belmont,,1
Bellarmine knights,Bellarmine,,Bellarmine,Bellarmine,Bellarmine,Bellarmine,Bellarmine,Bellarmine,,1
Bethune Cookman Wildcats,Bethune Cookman,,Bethune Cookman,Bethune Cookman,Bethune Cookman,Bethune Cookman,Bethune-Cookman,Bethune-Cookman,,1
Binghamton Bearcats,Binghamton,2251,Binghamton,Binghamton,Binghamton,Binghamton,Binghamton,Binghamton,,1
Boise St Broncos,Boise St.,,Boise St.,Boise St.,Boise St.,Boise St.,Boise State,Boise State,,1
Boston College Eagles,Boston College,2486,Boston College,Boston College,Boston College,Boston College,Boston College,Boston College,,1
Boston U Terriers,Boston University,,Boston University,Boston University,Boston University,Boston University,Boston University,Boston University,,1
Bowling Green Falcons,Bowling Green,,Bowling Green,Bowling Green,Bowling Green,Bowling Green,Bowling Green State,Bowling Green State,,1
Bradley Braves,Bradley,,Bradley,Bradley,Bradley,Bradley,Bradley,Bradley,,1
Brigham Young Cougars,BYU,,BYU,BYU,BYU,BYU,BYU,Brigham Young,,0
Brown Bears,Brown,,Brown,Brown,Brown,Brown,Brown,Brown,,1
Bryant Bulldogs,Bryant,,Bryant,Bryant,Bryant,Bryant,Bryant,Bryant,,1
Bucknell Bison,Bucknell,,Bucknell 14,Bucknell 14,Bucknell,Bucknell,Bucknell,Bucknell,,1
Buffalo Bulls,Buffalo,,Buffalo 13,Buffalo 13,Buffalo,Buffalo,Buffalo,Buffalo,,1
Butler Bulldogs,Butler,2295,Butler 10,Butler 10,Butler,Butler,Butler,Butler,,1
Cal Poly SLO Mustangs,Cal Poly,,Cal Poly,Cal Poly,Cal Poly,Cal Poly,Cal Poly,Cal Poly,,1
CSU Fullerton Titans,Cal St. Fullerton,,Cal St. Fullerton 15,Cal St. Fullerton 15,Cal St. Fullerton,Cal St. Fullerton,Cal State Fullerton,Cal State Fullerton,,1
CSU Bakersfield Roadrunners,Cal St. Bakersfield,,Cal St. Bakersfield,Cal St. Bakersfield,Cal St. Bakersfield,Cal St. Bakersfield,Cal State Bakersfield,Cal State Bakersfield,,1
California Baptist Lancers,Cal Baptist,Cal Baptist,Cal Baptist,Cal Baptist,Cal Baptist,Cal Baptist,California Baptist,California Baptist,,1
California Golden Bears,California,,California,California,California,California,California,California,,1
Campbell Fighting Camels,Campbell,,Campbell,Campbell,Campbell,Campbell,Campbell,Campbell,,1
Canisius Golden Griffins,Canisius,,Canisius,Canisius,Canisius,Canisius,Canisius,Canisius,,1
Central Arkansas Bears,Central Arkansas,,Central Arkansas,Central Arkansas,Central Arkansas,Central Arkansas,Central Arkansas,Central Arkansas,,1
Central Conn St Blue Devils,Central Connecticut,,Central Connecticut,Central Connecticut,Central Connecticut,Central Connecticut,Central Connecticut,Central Connecticut State,,0
Central Florida Knights,UCF,2339,UCF,UCF,UCF,UCF,UCF,Central Florida,,0
Central Michigan Chippewas,Central Michigan,,Central Michigan,Central Michigan,Central Michigan,Central Michigan,Central Michigan,Central Michigan,,1
Charleston Cougars,College of Charleston,,Charleston,College of Charleston,College of Charleston,College of Charleston,College of Charleston,College of Charleston,,1
Charleston Southern Buccaneers,Charleston Southern,,Charleston Southern,Charleston Southern,Charleston Southern,Charleston Southern,Charleston Southern,Charleston Southern,,1
Charlotte 49ers,Charlotte,,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,,1
Chattanooga Mocs,Chattanooga,,Chattanooga,Chattanooga,Chattanooga,Chattanooga,Chattanooga,Chattanooga,,1
Chicago St Cougars,Chicago St.,,Chicago St.,Chicago St.,Chicago St.,Chicago St.,Chicago State,Chicago State,,1
Cincinnati Bearcats,Cincinnati,2244,Cincinnati 2,Cincinnati 2,Cincinnati,Cincinnati,Cincinnati,Cincinnati,,1
Clemson Tigers,Clemson,2466,Clemson 5,Clemson 5,Clemson,Clemson,Clemson,Clemson,,1
Cleveland St Vikings,Cleveland St.,,Cleveland St.,Cleveland St.,Cleveland St.,Cleveland St.,Cleveland State,Cleveland State,,1
Coastal Carolina Chanticleers,Coastal Carolina,,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Carolina,,1
Colgate Raiders,Colgate,,Colgate,Colgate,Colgate,Colgate,Colgate,Colgate,,1
Colorado Buffaloes,Colorado,,Colorado,Colorado,Colorado,Colorado,Colorado,Colorado,,1
Colorado St Rams,Colorado St.,,Colorado St.,Colorado St.,Colorado St.,Colorado St.,Colorado State,Colorado State,,1
Columbia Lions,Columbia,,Columbia,Columbia,Columbia,Columbia,Columbia,Columbia,,1
Connecticut Huskies,Connecticut,,Connecticut,Connecticut,Connecticut,Connecticut,UConn,Connecticut,,0
