ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
10.5,18,,18.89999999999999,18.89999999999999,124.1,0.0,105.2,0.0,Mon 11-07 11-07,A,59 (I),UCF,"W, 98-95 2OT",85,115.0,59.8,22.3,35.3,39.4,111.5,51.9,16.4,36.2,18.5,52.0,7.5,141.0,124.1,0.0,124.1,124.1,105.2,0.0,105.2,105.2,20221107,103.7,104.0,-0.3,101.2,96.1,5.1,100.171,101.235,-1.06378,70.5403,10.128309193109956,141.54455252534945,70.86159451009956,8.214655187928159,148.69597508157102,-17.875058626843014,148.69597508157102,8.214655187928159,148.69597508157102,-17.875058626843014,186.1200005850314,11.868105581712683,103.33,95.6926,7.63759,70.6202,103.7,104.0,-0.3,101.2,96.1,5.1,-17.875058626843014,186.1200005850314,0,96.29745073,96.82375326,-0.5263025300000095,7.206280074,108.2898106,97.66782332,10.621987279999999,8.775894181,2022-11-07,144.44954631585875,3.254931359361109,144.44954631585875,5.858269741338958,144.44954631585875,0.0,0.0,0.0,19.06378,19.06378,0.0,0.0,19.06378,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,-3,0.23752526202697655,0.12917580825344155,19.963779999999993,,0.0,19.06378,0.0,1,0.0,1,1,1,3,0.0,0.0
-0.5,1,,12.999999999999996,15.681818181818176,96.5,0.0,95.3,0.0,Fri 11-18 11-18,N,328 (Ⅳ),Texas A&M Commerce,"W, 72-64",71,100.8,52.5,18.2,23.7,25.4,89.6,42.5,12.6,21.4,17.9,-9.0,-8.5,145.0,110.3,124.1,114.9,119.08181818181816,100.25,105.2,101.9,103.4,20221118,105.2,105.3,-0.0999999999999943,95.2,107.6,-12.399999999999991,101.59,102.447,-0.857013,70.2808,-6.680236952027158,144.22626844295303,69.37854648648648,-9.197250005785136,151.59297577027723,-21.794336564204027,151.59297577027723,-9.197250005785136,151.59297577027723,-21.794336564204027,159.95481700376868,-6.259550855070913,97.2433,107.589,-10.3457,69.3975,105.2,105.3,-0.0999999999999943,95.2,107.6,-12.399999999999991,-21.509620139572284,159.72561368849304,0,105.2497425,93.5937615,11.655980999999997,7.700453349,99.35076341,96.72183002,2.6289333900000003,0.03174192,2022-11-18,138.34340842870267,-5.320440523683274,138.34340842870267,-8.288166729339345,138.34340842870267,-0.655646296296295,0.0,-0.655646296296295,1.857013,20.920793,19.06378,19.06378,1.8570129999999985,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.790893043407255,0.7244617197729046,13.857012999999997,,19.963779999999993,10.4603965,19.06378,1,1.0,1,1,1,3,3.0,0.0
-5.5,-10,3.066666666666668,5.033333333333336,10.848760330578507,98.4,106.33333333333331,109.3,103.26666666666668,Sat 11-19 11-19,N,158 (Ⅲ),Eastern Kentucky,"L, 77-75",73,103.0,50.8,12.4,23.3,26.2,105.7,53.3,20.6,32.3,26.2,-0.5,-3.5,152.5,104.35,110.3,109.4,115.32148760330575,104.775,100.25,104.36666666666667,104.47272727272724,20221119,105.1,104.9,0.1999999999999886,97.9,102.6,-4.699999999999989,101.179,101.845,-0.66569,71.0064,-4.610447580304637,148.10487425534592,73.70484520967283,-3.8684799261121725,158.58824229391897,-12.993972130505028,158.58824229391897,-3.8684799261121725,158.58824229391897,-12.993972130505028,149.115881512282,-11.134275614716486,96.0584,102.904,-6.84585,72.9716,105.1,104.9,0.1999999999999886,97.9,102.6,-4.699999999999989,-12.796966163725289,149.27279386205385,0,105.2497425,93.5937615,11.655980999999997,7.700453349,94.58833371,98.15681755,-3.568483839999999,-4.274118748,2022-11-19,144.50855512859164,-8.825839828614534,144.50855512859164,-14.866540259699192,144.50855512859164,-13.562283370370363,13.85701299999999,0.294729629629626,-9.33431,11.586483,19.682784333333338,20.920793,-8.096301333333338,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.6305586598182363,0.8555203062993271,5.6990233333333356,3.7323566666666683,13.857012999999997,3.862161,10.4603965,1,1.0,-1,1,1,1,3.0,3.0
-7.5,-11,-7.133333333333326,-0.5444444444444381,6.74898572501878,102.9,99.26666666666668,114.6,106.4,Sun 11-20 11-20,A,279 (Ⅳ),Georgia St.,"L, 74-68",69,98.8,44.5,14.5,34.2,25.0,107.5,47.5,14.5,31.3,27.9,8.5,-1.5,133.5,103.625,104.35,107.23333333333336,113.06303531179564,109.6875,104.775,107.7777777777778,106.31404958677685,20221120,105.1,106.0,-0.9000000000000057,99.1,100.2,-1.1000000000000083,101.179,101.845,-0.66569,71.0064,0.4947809204778224,137.85679651929604,69.68404468165006,4.012681533154478,150.0657559192855,-0.5828800050945266,150.0657559192855,4.012681533154478,150.0657559192855,-0.5828800050945266,139.47853431140288,-2.6140625649470337,95.2733,100.699,-5.42555,68.9908,105.1,106.0,-0.9000000000000057,99.1,100.2,-1.1000000000000083,-0.684025129997808,139.30163007395132,0,101.7166257,97.96479186,3.751833839999989,3.694275459,92.36719488,97.79053418,-5.423339299999995,-4.309875512,2022-11-20,135.33826384982405,-3.6324685381560613,135.33826384982405,-3.7649623471735367,135.33826384982405,-3.726105148148153,6.04089377777778,2.3147886296296267,-10.33431,1.252172999999999,16.984017222222224,11.586483,-15.731844222222225,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.5567984968164682,0.5983034964100005,0.12124555555556193,-6.467643333333326,5.6990233333333356,0.31304325,3.862161,1,1.0,-1,1,1,1,1.0,3.0
4.0,0,-7.566666666666658,-0.3962962962962902,5.503715593197185,90.0,97.1,90.1,104.66666666666669,Sat 11-26 11-26,H,263 (Ⅳ),Western Carolina,"W, 73-61",74,98.4,51.9,20.2,18.9,56.6,82.2,45.0,17.5,15.0,21.7,-14.5,-8.0,148.5,96.8125,103.625,101.48888888888892,108.86975616419642,99.89375,109.6875,101.8851851851852,103.36604057099922,20221126,105.5,106.6,-1.0999999999999943,100.5,109.6,-9.099999999999994,102.63,104.341,-1.71033,70.1393,-8.711419952986148,148.41861101939944,69.27508006173544,-10.449404046049267,158.1828214185594,-9.838746669855043,158.1828214185594,-10.449404046049267,158.1828214185594,-9.838746669855043,151.92716516016102,-3.2493009937427786,99.9008,108.011,-8.11024,69.4338,105.5,106.6,-1.0999999999999943,100.5,109.6,-9.099999999999994,-9.811121583676949,152.02389549113101,0,101.8734363,98.6782383,3.1951979999999907,2.686438103,104.3157989,99.91473133,4.401067570000009,1.398929459,2022-11-26,145.1965412862583,-2.8712468687528343,145.1965412862583,-8.681921742925084,145.1965412862583,-3.256679192416266,-0.24257347777776417,-3.4992526701940303,1.71033,2.962502999999999,11.740069148148152,1.252172999999999,-8.777566148148154,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,-3,0.7769415761393583,0.6215131318622937,1.3140337037037098,-5.8563366666666585,0.12124555555556193,0.5925005999999999,0.31304325,1,1.0,-1,1,1,1,1.0,1.0
-14.0,-21,-11.033333333333326,-7.364197530864192,0.6303127580704242,99.5,97.46666666666664,120.8,108.5,Tue 11-29 11-29,A,224 (Ⅲ),North Carolina Central,"L, 79-66",67,98.7,62.0,29.9,26.9,34.8,118.2,61.8,23.9,32.0,33.3,2.0,-1.0,143.0,98.15625,96.8125,100.82592592592596,107.16616413434252,110.346875,99.89375,108.19012345679016,106.53585137627208,20221129,104.0,105.1,-1.0999999999999943,98.2,105.7,-7.5,101.691,103.069,-1.37756,70.2589,0.8338227016381552,137.9123957159385,67.67071403513513,-0.5222208098754919,147.6532623102657,3.1556880490305934,147.6532623102657,-0.5222208098754919,147.6532623102657,3.1556880490305934,140.9462636910077,2.0446658556921733,97.2193,102.96,-5.7404,67.7103,104.0,105.1,-1.0999999999999943,98.2,105.7,-7.5,2.7995771105584626,140.95550000121682,0,99.00972837,95.57342183,3.436306540000004,4.550611448,97.34268551,96.31259786,1.0300876499999987,0.992849267,2022-11-29,130.58191217220087,-0.46026488629755136,130.58191217220087,2.173894620093108,130.58191217220087,5.058158211640208,-1.631156174603167,3.427002037037041,-19.62244,-16.659937000000003,8.814213765432102,2.962502999999999,-25.474150765432107,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.5379371440662541,0.42280213053123805,-5.986637530864192,-9.655773333333325,1.3140337037037098,-2.776656166666667,0.5925005999999999,-1,1.0,-1,-1,1,-3,1.0,1.0
0.5,-3,-8.433333333333328,-6.209465020576126,-0.1933804706696514,118.4,102.63333333333333,122.3,111.06666666666666,Sat 12-03 12-03,H,272 (Ⅳ),Tennessee Martin,"W, 90-83",72,125.3,62.7,22.3,38.5,43.6,115.6,57.7,16.7,32.4,16.9,21.5,-6.5,151.5,108.278125,98.15625,106.68395061728398,109.20867974628024,116.3234375,110.346875,112.8934156378601,109.40206021694988,20221203,103.7,106.4,-2.700000000000003,101.0,109.6,-8.599999999999994,101.798,104.351,-2.55247,69.8221,-10.205640288668704,150.5543789091281,71.33782555917497,-9.036789812151866,161.51535430964566,-4.908948475571095,161.51535430964566,-9.036789812151866,161.51535430964566,-4.908948475571095,155.6013313718732,-9.564433286023416,97.4483,108.188,-10.7397,71.8261,103.7,106.4,-2.700000000000003,101.0,109.6,-8.599999999999994,-8.785418257363881,153.9973378358181,0,98.99031339,97.35734448,1.6329689100000024,4.666223986,96.83208606,102.9252394,-6.093153340000001,-2.856500333,2022-12-03,143.32675569706947,-7.382081312680285,143.32675569706947,-5.315770595047923,143.32675569706947,3.693938196208137,-4.655076864638474,-0.9611386684303369,-0.44753,-17.107467000000003,0.32283017695473415,-16.659937000000003,-17.43029717695474,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,3,0.732057505466481,0.818825547761328,-3.6569950205761264,-5.880863333333329,-5.986637530864192,-2.443923857142857,-2.776656166666667,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-12.5,-18,-14.666666666666664,-10.406310013717416,-3.576402203275169,89.2,102.36666666666667,108.0,117.03333333333332,Sat 12-10 12-10,A,61 (Ⅱ),Dayton,"L, 79-56",69,81.3,38.5,14.5,21.4,23.0,114.6,60.3,26.1,46.4,22.4,-1.0,10.5,136.0,98.7390625,108.278125,100.85596707818934,105.57073797422927,112.16171875,116.3234375,111.26227709190674,109.14714017750444,20221210,104.8,108.0,-3.200000000000003,102.1,94.2,7.899999999999991,103.02,105.999,-2.97903,69.3519,11.765868715021227,129.06236113969618,62.46731814324325,11.161744385343617,134.29335295543527,11.145400438751109,134.29335295543527,11.161744385343617,134.29335295543527,11.145400438751109,136.99809148569489,2.631112029839848,103.943,94.2091,9.73414,63.3213,104.8,108.0,-3.200000000000003,102.1,94.2,7.899999999999991,9.633256073967777,125.79276836783431,0,98.75227969,100.7364677,-1.984188010000011,0.149393073,93.48753731,96.58683908,-3.099301770000011,-0.266500581,2022-12-10,121.59700017313907,1.488263141154789,121.59700017313907,7.447175381578859,121.59700017313907,-5.204130534926943,-4.269346755535974,-9.473477290462917,-15.02097,-32.128437000000005,-5.487268882030178,-17.107467000000003,-26.641168117969826,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.15865525393145707,0.4010686119378487,-7.427280013717416,-11.687636666666664,-3.6569950205761264,-4.016054625,-2.443923857142857,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
2.0,1,-7.166666666666662,-6.537540009144943,-2.707965439043319,108.8,105.46666666666664,107.6,112.63333333333333,Tue 12-13 12-13,A,341 (Ⅳ),South Carolina St.,"W, 94-84",79,118.8,71.7,26.5,34.6,52.8,106.1,40.7,6.3,31.4,25.9,27.5,-8.0,150.5,103.76953125,98.7390625,103.50397805212624,106.1578765243694,109.880859375,112.16171875,110.04151806127116,108.86584196341272,20221213,103.5,108.3,-4.799999999999997,97.4,111.0,-13.599999999999994,102.649,106.485,-3.83622,70.5227,-4.310821548534193,155.5632403077339,72.62423633328592,-2.4000824775870058,163.46730037721957,4.514489859569372,163.46730037721957,-2.4000824775870058,163.46730037721957,4.514489859569372,160.00139495237363,5.846519690874459,95.5856,110.847,-15.2611,72.3949,103.5,108.3,-4.799999999999997,97.4,111.0,-13.599999999999994,-3.1449716359833224,157.0169946297754,0,96.62253268,101.6427346,-5.020201919999991,-1.957918259,100.7533675,103.7112083,-2.9578407999999996,-9.515716432,2022-12-13,150.5242792467251,-3.571971543456442,150.5242792467251,2.266343867233644,150.5242792467251,12.531396378204812,-6.244880890889352,6.2865154873154605,4.83622,-27.292217000000004,-14.367658254686788,-32.128437000000005,-12.924558745313217,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.7769415761393583,0.2888281473722657,-2.7013200091449434,-3.3304466666666617,-7.427280013717416,-3.0324685555555555,-4.016054625,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
3.0,2,-5.033333333333331,-3.525026672763296,-1.7610626319445335,108.3,102.1,105.8,107.13333333333333,Sat 12-17 12-17,A,234 (Ⅳ),East Tennessee St.,"W, 74-73",71,104.5,57.5,26.8,34.5,35.8,103.1,51.8,26.8,40.6,28.1,1.0,2.0,146.0,106.034765625,103.76953125,105.10265203475082,106.5473535199386,107.8404296875,109.880859375,108.62767870751412,108.30841615188314,20221217,104.3,108.5,-4.200000000000003,97.5,104.9,-7.400000000000006,103.356,106.667,-3.31147,71.2093,0.9830702139296079,148.3458264224382,68.90801395917497,1.6944824263089373,151.7917830668897,4.683622829271963,151.7917830668897,1.6944824263089373,151.7917830668897,4.683622829271963,145.64412693891646,-0.883674660803365,99.2897,106.946,-7.65608,68.0281,104.3,108.5,-4.200000000000003,97.5,104.9,-7.400000000000006,3.1058548366168446,144.3521712229995,0,98.46527874,100.7043033,-2.2390245600000043,1.346849583,94.46174457,103.4829593,-9.021214730000011,-8.275002881,2022-12-17,138.9027637429208,-4.767639787951225,138.9027637429208,2.5544990926767213,138.9027637429208,5.088004747104321,-3.6882408656745853,1.3997638814297364,5.31147,-21.980747000000004,-18.675844503124527,-27.292217000000004,-3.304902496875478,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,3,0.4244679994402739,0.5335351875111107,-0.21355667276329626,-1.7218633333333315,-2.7013200091449434,-2.1980747,-3.0324685555555555,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
