ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-10.5,8,,8.100000000000009,8.100000000000009,111.7,0.0,103.6,0.0,Tue 11-09 11-09,H,91 (Ⅲ),Hofstra,"W, 83-75 OT",71,116.7,52.3,15.5,39.5,38.5,105.4,47.3,15.5,35.6,6.8,16.5,-18.5,141.5,111.7,0.0,111.7,111.7,103.6,0.0,103.6,103.6,20211109,109.5,91.7,17.799999999999997,101.4,106.7,-5.299999999999997,110.5,89.6,20.88,67.6,-17.8269842719725,138.0049089720649,67.50384068278805,-20.562309132133734,145.59795972723333,12.480267084337699,145.59795972723333,-20.562309132133734,145.59795972723333,12.480267084337699,161.51882046069016,102.7,102.1,0.6,70.2,109.5,91.7,17.799999999999997,101.4,106.7,-5.299999999999997,12.480267084337699,161.51882046069016,0,91.04539080991096,97.88421784475268,-6.838827034841728,-12.108271479286174,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,-12.879999999999999,-12.879999999999999,0.0,0.0,-12.879999999999999,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,3,0.9609573050315723,0.5,-12.77999999999999,,0.0,-12.879999999999999,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
19.5,42,,19.700000000000006,14.427272727272737,113.7,0.0,70.8,0.0,Fri 11-12 11-12,H,201 (Ⅳ),Rice,"W, 79-46",65,120.9,49.3,10.7,38.1,26.9,70.4,36.0,30.6,33.3,30.0,-15.5,-13.5,140.5,112.7,111.7,112.36666666666667,112.06363636363636,87.19999999999999,103.6,92.66666666666669,97.63636363636364,20211112,106.8,90.6,16.200000000000003,104.8,103.7,1.0999999999999943,109.9,89.0,20.88,67.5,-15.911043544760417,141.25895029989513,69.13229018492177,-15.263721513220418,145.93316324627318,-3.7033424555436483,145.93316324627318,-15.263721513220418,145.93316324627318,-3.7033424555436483,144.3484099132027,105.3,101.1,4.25,72.0,106.8,90.6,16.200000000000003,104.8,103.7,1.0999999999999943,-3.7033424555436483,144.3484099132027,0,101.95954405909715,95.20224477167147,6.757299287425681,2.6024094706200382,106.08925924254672,106.99172909185432,-0.9024698493076073,-5.3969351706207584,2021-11-12,-9.889838771051899,148.8861135840331,-7.438787400825376,148.8861135840331,21.12,8.240000000000002,-12.879999999999999,-12.879999999999999,21.12,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.900728603156669,0.8268753679112169,-1.1799999999999926,,-12.77999999999999,4.120000000000001,-12.879999999999999,-1,-1.0,1,1,-1,1,-3.0,0.0
14.5,43,31.500000000000004,27.63333333333334,19.713223140495877,119.5,114.96666666666664,76.0,83.46666666666665,Tue 11-16 11-16,H,67 (Ⅲ),Virginia,"W, 67-47",59,114.4,60.2,18.8,33.3,30.6,80.3,39.5,29.0,29.4,48.8,-4.5,-5.5,118.5,116.1,112.7,114.74444444444444,113.41570247933883,81.6,87.19999999999999,87.11111111111111,93.70247933884296,20211116,107.3,89.1,18.200000000000003,100.0,91.3,8.700000000000003,110.6,88.4,22.18,66.8,-8.291272637149355,117.08474159659195,60.81365576102418,-8.815446403026463,117.0957682432931,-16.401032147173783,117.0957682432931,-8.815446403026463,117.0957682432931,-16.401032147173783,125.8775281310966,104.6,91.1,13.55,64.0,107.3,89.1,18.200000000000003,100.0,91.3,8.700000000000003,-16.269677422265776,125.81707397709789,0,97.03633197314817,97.02284841508346,0.013483558064706358,1.852079088840377,116.082739631113,106.23312543710728,9.849614194005724,13.544990282208886,2021-11-16,2.1900404466152565,134.68160984832818,5.277015109564353,134.68160984832818,20.82,29.060000000000002,-5.840000000000001,8.240000000000002,34.900000000000006,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.6997944856925475,0.41738990467256576,5.45333333333334,9.320000000000004,-1.1799999999999926,9.686666666666667,4.120000000000001,1,-1.0,1,1,1,3,1.0,-3.0
8.0,38,41.66666666666667,31.2888888888889,23.147182569496625,116.4,116.53333333333336,77.8,74.86666666666666,Mon 11-22 11-22,N,120 (Ⅲ),Butler,"W, 70-52",64,108.8,56.6,15.5,22.2,28.3,80.8,47.6,31.1,18.5,43.9,-1.5,-10.0,123.5,116.25,116.1,115.2962962962963,113.95830202854997,79.69999999999999,81.6,84.00740740740741,90.81111945905332,20211122,108.8,88.5,20.3,101.2,94.3,6.900000000000006,111.5,88.2,23.27,65.5,-7.390899237808121,118.79293656185644,60.56187766714083,-8.115240418108591,119.62104912705323,-18.82142897070834,119.62104912705323,-8.115240418108591,119.62104912705323,-18.82142897070834,115.29472100946195,104.8,93.9,10.91,65.0,108.8,88.5,20.3,101.2,94.3,6.900000000000006,-18.9160137579917,115.21403825241856,0,108.83998427488892,83.44662515525194,25.393359119636983,33.911553080858454,99.17860022468037,102.1832698923878,-3.0046696677074323,-8.193411822087453,2021-11-22,-17.713452638397555,120.75217388006813,-25.49955733631468,120.75217388006813,14.73,43.790000000000006,5.793333333333333,29.060000000000002,37.99666666666667,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.8295480920359348,0.9541978903560179,8.018888888888899,18.396666666666672,5.45333333333334,10.947500000000002,9.686666666666667,1,1.0,1,1,1,3,3.0,1.0
-10.0,0,27.26666666666667,20.75925925925927,18.88405846595178,100.9,112.26666666666668,101.2,85.0,Tue 11-23 11-23,N,23 (I-A),Wisconsin,"L, 65-63",63,99.8,50.9,19.0,27.8,27.8,103.0,54.1,14.3,7.1,30.6,6.0,-8.0,122.0,108.575,116.25,110.49753086419756,111.58406529608632,90.45,79.69999999999999,89.73827160493829,92.70000683013453,20211123,109.0,88.8,20.200000000000003,100.2,88.9,11.299999999999995,111.6,87.5,24.1,65.9,-4.548518988556509,118.99158304239826,62.71280227596018,-5.101944453267102,119.68880685703772,-7.866748930040216,119.68880685703772,-5.101944453267102,119.68880685703772,-7.866748930040216,111.56780035644222,104.8,88.7,16.12,66.9,109.0,88.8,20.200000000000003,100.2,88.9,11.299999999999995,-7.72550852333178,111.36966130439751,0,111.97601573056733,84.89748794304022,27.078527787527108,32.3559766639706,103.1155625283134,88.41015162478105,14.705410903532353,16.341879431458054,2021-11-23,-7.376385692335468,120.11513064886412,-10.0428891337056,120.11513064886412,-24.1,19.690000000000005,18.45888888888889,43.790000000000006,1.2311111111111153,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,3,0.7769415761393583,0.7588203273370298,-3.3407407407407312,3.166666666666668,8.018888888888899,3.937999999999999,10.947500000000002,-1,1.0,1,1,1,1,3.0,3.0
24.0,55,31.233333333333334,32.30617283950618,25.523320563051456,123.0,113.43333333333334,67.6,82.2,Wed 11-24 11-24,N,48 (Ⅱ),Oregon,"W, 78-49",67,116.2,56.7,16.4,33.3,26.7,73.0,44.6,28.3,14.8,26.1,-3.5,-5.0,130.5,115.7875,108.575,114.66502057613172,113.65968978770698,79.02499999999999,90.45,82.35884773662553,88.13636922465552,20211124,109.7,87.7,22.0,109.1,95.9,13.199999999999989,111.7,88.2,23.55,65.8,-5.752269593143808,126.71051372723863,62.992034139402556,-6.157494052355581,129.90840591070253,-12.398780063669337,129.90840591070253,-6.157494052355581,129.90840591070253,-12.398780063669337,127.78758012721799,109.4,94.6,14.82,67.3,109.7,87.7,22.0,109.1,95.9,13.199999999999989,-12.284000780244416,127.91764911295525,0,110.5388782454966,84.60405870465664,25.934819540839968,27.4849590880164,100.6736263152994,99.19112465281738,1.4825016624820222,-4.879690212078762,2021-11-24,-15.824934709591943,125.98672217249715,-20.387150936213857,125.98672217249715,31.45,51.14,18.869259259259263,19.690000000000005,32.270740740740735,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6830306580593271,0.9341121814746978,8.756172839506181,7.683333333333334,-3.3407407407407312,8.52333333333333,3.937999999999999,1,-1.0,1,1,1,3,1.0,3.0
9.5,31,28.96666666666667,32.13744855967079,26.664535006133008,119.6,114.5,87.8,85.53333333333335,Tue 11-30 11-30,H,330 (Ⅳ),Northwestern St.,"W, 99-58",71,139.3,64.3,18.3,52.8,21.4,81.6,45.7,29.5,20.0,40.4,19.5,-31.5,137.5,117.69375,115.7875,116.31001371742114,114.73974618994208,83.4125,79.02499999999999,84.17256515775037,88.07521118380906,20211130,111.6,88.5,23.099999999999994,93.1,111.4,-18.30000000000001,113.3,87.9,25.47,65.9,-32.677800871589646,138.3861296614588,66.83741109530584,-32.6893202310656,142.4218127412368,-44.0623434046363,142.4218127412368,-32.6893202310656,142.4218127412368,-44.0623434046363,135.99694629004915,93.0,110.4,-17.39,71.3,111.6,88.5,23.099999999999994,93.1,111.4,-18.30000000000001,-38.733633694730756,136.09470305385128,0,112.88564183012149,86.11643301211699,26.7692088180045,28.05023138674273,90.7424939310745,106.67040542837071,-15.927911497296208,-10.595247800951586,2021-11-30,-32.76751974808234,136.84075042095708,-27.864415733000605,136.84075042095708,5.530000000000001,56.67,29.626172839506175,51.14,27.043827160493827,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,3,0.9986501019683699,0.9990979408430123,6.667448559670788,3.4966666666666697,8.756172839506181,8.095714285714287,8.52333333333333,1,1.0,1,1,1,3,3.0,1.0
44.0,61,49.43333333333334,41.791632373113856,32.92552864138155,131.2,124.59999999999998,70.1,75.16666666666667,Fri 12-03 12-03,H,192 (Ⅳ),Bryant,"W, 111-44",74,149.1,69.0,9.4,39.3,22.5,59.1,32.3,25.5,23.4,14.5,12.5,-23.0,142.5,124.446875,117.69375,121.27334247828075,117.7325196099526,76.75625,83.4125,79.48171010516691,84.80699096857104,20211203,111.6,88.2,23.39999999999999,101.2,104.4,-3.200000000000003,113.5,87.8,25.74,66.1,-24.851363864355385,137.68053572895798,67.22830725462305,-22.74467984780449,142.2949533340765,-31.413774559057767,142.2949533340765,-22.74467984780449,142.2949533340765,-31.413774559057767,134.75678203214218,98.8,104.1,-5.38,71.5,111.6,88.2,23.39999999999999,101.2,104.4,-3.200000000000003,-29.720867847746064,135.64110981019027,0,114.41859299177683,83.4772334980765,30.941359493700332,37.37991839771129,92.1028935693436,103.75552152436735,-11.652627955023746,-8.391542869062942,2021-12-03,-32.59287629109191,135.57048403888996,-32.926608736846546,135.57048403888996,35.260000000000005,91.93,38.64078189300412,56.67,53.28921810699589,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.9857551401446322,0.9990456525849695,16.051632373113858,23.69333333333334,6.667448559670788,11.49125,8.095714285714287,1,1.0,1,1,1,3,3.0,3.0
-1.5,31,41.49999999999999,38.39442158207591,32.68452343385763,103.8,118.2,72.2,76.69999999999999,Mon 12-06 12-06,H,253 (Ⅳ),Alcorn St.,"W, 77-45",68,112.8,53.5,20.5,35.3,36.8,65.9,35.4,29.3,26.3,41.7,-11.0,-33.5,133.0,114.1234375,124.446875,115.44889498552052,115.19933422632484,74.478125,76.75625,77.05447340344462,82.51481079246722,20211206,112.4,87.0,25.40000000000001,94.7,106.0,-11.299999999999995,113.9,87.5,26.44,66.5,-28.701713556145776,128.55684449012455,64.32432432432432,-27.984989663283585,133.7056409058685,-30.150927334473685,133.7056409058685,-27.984989663283585,133.7056409058685,-30.150927334473685,125.38593039360862,91.7,104.9,-13.17,68.0,112.4,87.0,25.40000000000001,94.7,106.0,-11.299999999999995,-28.68243518166368,128.38234388293117,0,113.74754279565016,81.4848932841862,32.26264951146396,38.34669663965669,102.4502193477358,95.61907918282058,6.831140164915212,1.3588489560843169,2021-12-06,-20.240955692054627,127.36342910554887,-25.95082872058174,127.36342910554887,4.559999999999999,96.49000000000001,56.403854595336085,91.93,40.086145404663924,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9992898072794584,0.9730544003201791,11.954421582075906,15.059999999999992,16.051632373113858,10.721111111111114,11.49125,1,1.0,1,1,1,3,3.0,3.0
2.0,18,36.9,31.596281054717277,30.01461008224715,122.1,119.03333333333332,104.1,82.13333333333333,Sat 12-11 12-11,A,26 (I-A),Alabama,"L, 83-82",70,116.5,48.6,14.2,43.8,26.0,117.9,59.0,17.1,24.1,62.0,19.0,3.0,146.0,118.11171875,114.1234375,117.66592999034702,116.4540007306294,89.2890625,74.478125,86.06964893562974,86.43939064838226,20211211,112.6,86.7,25.89999999999999,113.2,91.4,21.8,114.2,87.5,26.73,67.0,1.061688711133982,141.3679555577138,69.47795163584638,0.6093528007885567,142.9321426611931,-3.089057278821281,142.9321426611931,0.6093528007885567,142.9321426611931,-3.089057278821281,135.26477896344534,114.5,91.4,23.1,72.9,112.6,86.7,25.89999999999999,113.2,91.4,21.8,-3.7225881791042266,136.1002614303206,0,113.14637316304402,84.65045013504277,28.495923028001243,33.43432001188382,113.72797558688028,90.5099362512742,23.21803933560608,26.827344241325623,2021-12-11,-0.4094023807617333,141.21130476199954,-2.058848805429605,141.21130476199954,-8.73,87.76,69.7659030635574,96.49000000000001,17.994096936442602,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.38754848109799234,0.5155510995170092,4.866281054717277,10.169999999999998,11.954421582075906,8.776000000000003,10.721111111111114,1,1.0,1,1,1,3,3.0,3.0
